c,bE,aE,bP,aP,bS,aS,t
0,11,11,38,44,1,4,1539849600029
0,11,11,38.03,44,8,4,1539849600031
0,11,11,38.03,43.04,8,6,1539849600031
0,11,11,38.03,43.04,8,7,1539849600031
0,11,11,38.03,42.5,8,1,1539849600032
0,11,11,38.5,42.5,2,1,1539849600032
0,11,11,38.5,42.5,2,5,1539849600032
0,11,11,39.61,42.5,1,5,1539849600032
0,11,11,39.61,42.41,1,10,1539849794183
0,11,11,39.61,42.4,1,10,1539849837143
0,11,11,39.61,42.41,1,10,1539849840639
0,11,11,39.61,42.4,1,10,1539849869142
0,11,11,39.61,42.41,1,10,1539849869641
0,11,11,39.61,42.4,1,10,1539849871642
0,11,11,39.61,42.39,1,10,1539849887154
0,11,11,39.61,42.4,1,10,1539849925645
0,11,11,39.61,42.39,1,10,1539849927147
0,11,11,39.61,42.4,1,10,1539849941660
0,11,11,39.61,42.39,1,10,1539849947644
0,11,11,39.61,42.4,1,10,1539849952653
0,11,11,39.61,42.39,1,10,1539849956149
0,11,11,39.61,42.38,1,10,1539849964164
0,11,11,39.61,42.39,1,10,1539849972679
0,11,11,39.61,42.4,1,10,1539850053659
0,11,11,39.61,42.39,1,10,1539850054665
0,11,11,39.61,42.4,1,10,1539850067658
0,11,11,39.61,42.39,1,10,1539850069158
0,11,11,39.61,42.39,1,12,1539850095694
0,11,11,39.61,42.39,1,2,1539850123172
0,11,11,39.61,42.22,1,10,1539850172965
0,11,11,39.61,42.21,1,2,1539850221489
0,11,11,39.61,42.21,1,12,1539850229188
0,11,11,39.61,42.21,1,2,1539850229672
0,11,11,39.61,42.21,1,12,1539850230177
0,11,11,39.61,42.2,1,10,1539850301432
0,11,11,39.61,42.21,1,12,1539850306432
0,11,11,39.61,42.2,1,10,1539850308431
0,11,11,39.61,42.21,1,12,1539850309426
0,11,11,39.61,42.2,1,10,1539850310440
0,11,11,39.61,42.19,1,10,1539850317441
0,11,11,39.61,42.18,1,2,1539850331346
0,11,11,39.61,42.18,1,12,1539850332437
0,11,11,39.61,42.18,1,2,1539850334937
