c,bE,aE,bP,aP,bS,aS,t
0,8,8,15.09,16.75,25,1,1538564400081
0,11,8,15.21,16.75,11,1,1538564400826
0,11,8,15.21,16.75,22,1,1538564400831
0,11,8,15.21,16.75,11,1,1538564466822
0,8,8,15.09,16.75,25,1,1538564466822
0,8,8,15.02,16.75,1,1,1538565142585
0,8,8,15.09,16.75,12,1,1538565142585
0,11,8,15.16,16.75,11,1,1538568001404
0,8,8,15.02,16.75,1,1,1538568091637
0,8,8,15.06,16.75,12,1,1538568776023
0,11,8,15.36,16.75,11,1,1538569272450
0,8,8,15.06,16.75,12,1,1538569322850
0,11,8,15.36,16.75,11,1,1538569751564
0,8,8,15.06,16.75,12,1,1538569759799
0,11,8,15.45,16.75,50,1,1538570099714
0,8,8,15.06,16.75,12,1,1538570123507
0,11,8,15.31,16.75,11,1,1538570620230
0,8,8,15.06,16.75,12,1,1538570630698
0,8,8,15.06,16.45,12,1,1538570700005
0,11,8,15.36,16.45,11,1,1538571210558
0,8,8,15.06,16.45,12,1,1538571218555
0,11,8,15.36,16.45,11,1,1538571350247
0,11,8,15.4,16.45,11,1,1538571351420
0,8,8,15.06,16.45,12,1,1538571363924
0,11,8,15.39,16.45,11,1,1538571393781
0,8,8,15.06,16.45,12,1,1538571412809
0,11,8,15.2,16.45,6,1,1538571495291
0,11,1,15.2,16.44,6,2,1538571900039
0,11,11,15.2,16.44,6,1,1538571900039
0,11,1,15.21,16.44,2,2,1538571900040
0,11,1,15.21,16.44,1,2,1538571900040
0,19,1,15.21,16.44,2,2,1538571900040
0,12,11,15.21,16.44,2,2,1538571900040
0,19,11,15.21,16.44,2,2,1538571900040
0,8,11,15.21,16.44,2,2,1538571900040
0,11,1,15.21,16.44,2,4,1538571900041
0,11,1,15.21,16.44,4,4,1538571900041
0,11,1,15.21,16.44,6,4,1538571900041
0,11,11,15.21,16.44,2,2,1538571900041
0,11,1,15.21,16.44,3,4,1538571900041
0,11,1,15.21,16.44,5,4,1538571900041
0,19,1,15.21,16.44,6,4,1538571900062
0,12,1,15.21,16.44,6,4,1538571900063
0,1,1,15.21,16.44,6,4,1538571900063
0,12,1,15.21,16.44,6,2,1538571900063
0,1,8,15.21,16.45,6,1,1538571900063
0,1,8,15.21,16.45,5,1,1538571900063
0,1,8,15.21,16.45,4,1,1538571900063
0,12,8,15.21,16.45,5,1,1538571900063
0,12,12,15.21,16.44,6,1,1538571900063
0,12,8,15.21,16.45,3,1,1538571900063
0,12,8,15.21,16.45,4,1,1538571900063
0,1,8,15.21,16.45,3,1,1538571900063
0,1,8,15.21,16.45,2,1,1538571900063
0,11,8,15.2,16.45,6,1,1538571900063
0,12,8,15.21,16.45,2,1,1538571900063
0,1,8,15.21,16.45,1,1,1538571900063
0,11,8,15.21,16.45,1,1,1538571900069
0,11,8,15.21,16.45,2,1,1538571900069
0,11,8,15.21,16.45,4,1,1538571900071
0,11,8,15.21,16.45,3,1,1538571900071
0,11,8,15.21,16.45,6,1,1538571900072
0,11,8,15.21,16.45,5,1,1538571900072
0,19,8,15.21,16.45,6,1,1538571900209
0,8,8,15.21,16.45,6,1,1538571900209
0,12,8,15.21,16.45,6,2,1538571900211
0,12,11,15.21,16.44,6,1,1538571900211
0,12,11,15.21,16.44,6,2,1538571900212
0,11,11,15.21,16.44,6,2,1538571900212
0,11,1,15.21,16.44,6,4,1538571900212
0,1,11,15.21,16.44,6,2,1538571900212
0,8,1,15.21,16.44,6,4,1538571931893
0,19,1,15.21,16.44,6,4,1538571931893
0,1,1,15.21,16.44,6,4,1538571931893
0,12,1,15.21,16.44,6,4,1538571931893
0,1,1,15.21,16.44,6,2,1538571931893
0,1,8,15.21,16.45,6,1,1538571931893
0,1,8,15.21,16.45,4,1,1538571931893
0,1,8,15.21,16.45,5,1,1538571931893
0,1,8,15.21,16.45,3,1,1538571931893
0,1,8,15.21,16.45,2,1,1538571931893
0,1,8,15.21,16.45,1,1,1538571931893
0,11,8,15.2,16.45,6,1,1538571931893
0,11,8,15.22,16.45,1,1,1538571931899
0,11,8,15.22,16.45,2,1,1538571931900
0,11,8,15.22,16.45,4,1,1538571931901
0,11,8,15.22,16.45,3,1,1538571931901
0,11,8,15.22,16.45,5,1,1538571931901
0,11,8,15.22,16.45,6,1,1538571931901
0,19,11,15.22,16.43,6,1,1538571932036
0,8,11,15.22,16.43,6,1,1538571932036
0,12,11,15.22,16.43,6,1,1538571932036
0,1,11,15.22,16.43,6,1,1538571932037
0,11,1,15.22,16.43,6,2,1538571932037
0,19,1,15.22,16.43,6,2,1538571932181
0,8,1,15.22,16.43,6,2,1538571932181
0,12,1,15.22,16.43,6,2,1538571932181
0,1,1,15.22,16.43,6,2,1538571932182
0,11,1,15.22,16.43,6,4,1538571932182
0,11,8,15.22,16,6,50,1538572003411
0,12,11,15.22,15.99,6,1,1538572003558
0,19,11,15.22,15.99,6,1,1538572003558
0,11,1,15.22,15.99,6,2,1538572003558
0,1,11,15.22,15.99,6,1,1538572003558
0,19,1,15.22,15.99,6,2,1538572003560
0,8,1,15.22,15.99,6,2,1538572003560
0,1,1,15.22,15.99,6,2,1538572003560
0,12,1,15.22,15.99,6,2,1538572003560
0,11,1,15.22,15.99,6,4,1538572003560
0,11,11,15.22,15.99,27,12,1538572020075
0,8,11,15.22,15.99,6,12,1538572020075
0,11,12,15.22,15.99,27,23,1538572020075
0,11,19,15.22,15.99,27,22,1538572020075
0,19,12,15.22,15.99,27,23,1538572020095
0,12,12,15.22,15.99,27,23,1538572020096
0,12,12,15.22,15.99,27,21,1538572020096
0,12,12,15.22,15.99,27,22,1538572020096
0,12,12,15.22,15.99,26,21,1538572020096
0,12,12,15.22,15.99,25,21,1538572020096
0,12,12,15.22,15.99,24,21,1538572020096
0,12,12,15.22,15.99,23,21,1538572020096
0,12,12,15.22,15.99,22,21,1538572020096
0,11,12,15.22,15.99,21,21,1538572020096
0,19,12,15.22,15.99,21,21,1538572020105
0,11,12,15.23,15.99,2,21,1538572020190
0,11,12,15.23,15.99,1,21,1538572020190
0,11,12,15.23,15.99,23,21,1538572020190
0,11,12,15.23,15.99,24,21,1538572020191
0,11,12,15.23,15.99,26,21,1538572020192
0,11,12,15.23,15.99,25,21,1538572020192
0,12,12,15.23,15.99,26,21,1538572020335
0,19,12,15.23,15.99,26,21,1538572020335
0,11,11,15.23,15.98,26,1,1538572020335
0,12,11,15.23,15.98,26,1,1538572020335
0,19,11,15.23,15.98,26,14,1538572020335
0,11,19,15.23,15.98,26,22,1538572020336
0,11,19,15.51,15.98,5,22,1538572021526
0,11,12,15.51,15.98,5,22,1538572021527
0,11,19,15.51,15.98,5,22,1538572021527
0,11,11,15.51,15.75,5,3,1538572021566
0,11,12,15.51,15.74,5,7,1538572021566
0,11,19,15.51,15.74,5,5,1538572021566
0,12,12,15.52,15.74,5,7,1538572021672
0,11,12,15.52,15.74,1,7,1538572021672
0,19,12,15.52,15.74,7,7,1538572021674
0,19,12,15.52,15.74,6,7,1538572021674
0,19,12,15.52,15.74,8,7,1538572021674
0,12,12,15.52,15.74,9,7,1538572021675
0,12,12,15.52,15.71,9,4,1538572021695
0,12,19,15.52,15.71,9,3,1538572021695
0,11,12,15.6,15.71,1,4,1538572021807
0,11,12,15.61,15.71,1,4,1538572021936
0,8,12,15.61,15.71,1,4,1538572021957
0,19,12,15.61,15.71,1,4,1538572021957
0,12,12,15.61,15.71,1,4,1538572021959
0,11,12,15.61,15.71,1,5,1538572021960
0,11,12,15.61,15.71,6,5,1538572023078
0,19,12,15.61,15.71,1,5,1538572023218
0,11,12,15.61,15.71,6,5,1538572023221
0,11,12,15.61,15.71,5,5,1538572023909
0,12,12,15.6,15.71,6,5,1538572023916
0,19,12,15.62,15.71,1,5,1538572025513
0,11,12,15.6,15.71,5,5,1538572025513
0,12,12,15.61,15.71,1,5,1538572026811
0,12,12,15.6,15.71,5,5,1538572026811
0,11,12,15.62,15.71,1,5,1538572026939
0,12,12,15.6,15.71,5,5,1538572026939
0,11,12,15.61,15.71,1,5,1538572027957
0,12,12,15.6,15.71,5,5,1538572029307
0,8,12,15.62,15.71,1,5,1538572029308
0,8,12,15.62,15.71,1,4,1538572029734
0,8,19,15.62,15.72,1,4,1538572029735
0,8,12,15.62,15.72,1,8,1538572029735
0,12,12,15.61,15.72,1,8,1538572033340
0,19,12,15.61,15.71,1,5,1538572033341
0,12,19,15.61,15.71,1,3,1538572033341
0,12,12,15.62,15.71,1,5,1538572034147
0,19,12,15.62,15.71,2,5,1538572034158
0,19,12,15.62,15.71,2,3,1538572034168
0,19,19,15.62,15.71,2,3,1538572034168
0,12,12,15.63,15.71,3,3,1538572034176
0,19,12,15.63,15.71,2,3,1538572034176
0,19,12,15.63,15.71,2,3,1538572035090
0,12,12,15.63,15.71,6,3,1538572035103
0,12,12,15.63,15.71,5,3,1538572035217
0,12,12,15.63,15.71,2,3,1538572035231
0,19,12,15.64,15.71,1,3,1538572035231
0,19,12,15.63,15.71,1,3,1538572035231
0,12,12,15.62,15.71,2,3,1538572036405
0,12,12,15.63,15.71,1,3,1538572036406
0,12,12,15.62,15.71,3,3,1538572037384
0,19,12,15.62,15.71,2,3,1538572037384
0,12,12,15.63,15.71,1,3,1538572037518
0,19,12,15.62,15.71,2,3,1538572037518
0,12,12,15.63,15.72,1,2,1538572038340
0,12,12,15.63,15.72,1,5,1538572038341
0,12,12,15.63,15.72,1,5,1538572038805
0,19,12,15.62,15.72,2,5,1538572038805
0,19,12,15.62,15.72,2,5,1538572038806
0,12,12,15.64,15.72,1,5,1538572038806
0,12,12,15.62,15.72,3,5,1538572041259
0,19,12,15.62,15.72,2,5,1538572041259
0,19,12,15.62,15.72,2,5,1538572041259
0,12,12,15.62,15.72,3,5,1538572041260
0,12,12,15.62,15.72,3,5,1538572041701
0,19,12,15.62,15.72,2,5,1538572041701
0,19,12,15.62,15.72,2,5,1538572041701
0,12,12,15.62,15.72,4,5,1538572041702
0,12,12,15.62,15.72,3,5,1538572041702
0,11,12,15.64,15.72,1,5,1538572041702
0,19,12,15.63,15.72,1,5,1538572044243
0,12,12,15.63,15.72,1,5,1538572044244
0,12,12,15.63,15.72,3,5,1538572044417
0,19,12,15.63,15.72,2,5,1538572044417
0,12,12,15.63,15.72,3,4,1538572044417
0,11,12,15.64,15.72,1,4,1538572044437
0,12,12,15.63,15.72,3,4,1538572044577
0,11,12,15.64,15.72,1,4,1538572044580
0,11,12,15.64,15.72,1,5,1538572048374
0,12,12,15.63,15.72,3,5,1538572048375
0,12,19,15.63,15.71,3,3,1538572048483
0,11,19,15.63,15.71,4,3,1538572049708
0,12,19,15.63,15.71,3,3,1538572049716
0,11,19,15.63,15.71,4,3,1538572049862
0,12,19,15.63,15.71,3,3,1538572050006
0,11,19,15.63,15.71,4,3,1538572050009
0,12,19,15.63,15.71,3,3,1538572050254
0,19,19,15.65,15.71,1,3,1538572050256
0,11,19,15.63,15.71,2,3,1538572050547
0,11,19,15.63,15.71,1,3,1538572050547
0,12,19,15.63,15.71,1,3,1538572052323
0,12,12,15.63,15.72,1,5,1538572055201
0,11,12,15.63,15.72,1,4,1538572055209
0,19,12,15.64,15.72,1,4,1538572055625
0,11,12,15.63,15.72,1,4,1538572055823
0,12,12,15.64,15.72,1,4,1538572055823
0,19,12,15.64,15.72,1,4,1538572055935
0,12,12,15.64,15.72,1,4,1538572056003
0,11,12,15.63,15.72,1,4,1538572056003
0,12,12,15.63,15.72,1,4,1538572056173
0,11,12,15.64,15.72,1,4,1538572056176
0,12,19,15.64,15.72,1,5,1538572058824
0,12,12,15.64,15.72,1,4,1538572058824
0,11,19,15.64,15.72,1,5,1538572076081
0,19,19,15.63,15.72,1,5,1538572076158
0,12,19,15.63,15.72,1,5,1538572080377
0,12,19,15.62,15.72,2,5,1538572080377
0,12,19,15.62,15.72,2,6,1538572080390
0,19,19,15.62,15.72,2,6,1538572080391
0,19,12,15.62,15.72,2,9,1538572080483
0,12,12,15.62,15.72,2,9,1538572080532
0,19,12,15.61,15.72,2,9,1538572080811
0,12,12,15.63,15.72,1,9,1538572080812
0,12,19,15.63,15.71,1,7,1538572081221
0,12,19,15.63,15.71,1,1,1538572081221
0,12,12,15.63,15.71,1,9,1538572081221
0,12,12,15.63,15.71,1,6,1538572081836
0,12,12,15.63,15.71,1,7,1538572081988
0,12,12,15.63,15.71,1,6,1538572084368
0,12,12,15.64,15.71,1,6,1538572085119
0,12,12,15.62,15.71,2,6,1538572085119
0,12,19,15.64,15.71,1,4,1538572085215
0,12,12,15.64,15.71,1,4,1538572085265
0,12,12,15.64,15.72,1,9,1538572086221
0,12,12,15.64,15.72,1,5,1538572086221
0,12,12,15.64,15.72,4,9,1538572087572
0,19,12,15.64,15.72,2,9,1538572087572
0,12,12,15.66,15.72,1,9,1538572087584
0,12,12,15.64,15.72,3,9,1538572087584
0,19,12,15.65,15.72,1,9,1538572088255
0,12,12,15.64,15.72,3,9,1538572088255
0,11,12,15.66,15.72,1,9,1538572088382
0,12,12,15.64,15.72,3,9,1538572089017
0,12,12,15.65,15.72,1,9,1538572089018
0,12,12,15.59,15.72,3,9,1538572092831
0,12,12,15.6,15.72,2,9,1538572092831
0,12,12,15.6,15.72,1,9,1538572092831
0,8,12,15.52,15.72,3,9,1538572092831
0,12,12,15.61,15.72,1,9,1538572092831
0,12,12,15.6,15.72,2,9,1538572092832
0,12,12,15.61,15.72,1,9,1538572092832
0,12,12,15.61,15.72,1,10,1538572092839
0,12,12,15.61,15.72,1,10,1538572092957
0,12,12,15.6,15.72,2,10,1538572092957
0,11,12,15.62,15.72,1,10,1538572092957
