c,bE,aE,bP,aP,bS,aS,t
0,11,11,61.79,69.9,1,4,1539849600005
0,11,11,64.9,69.9,3,4,1539849600005
0,11,11,64.84,69.9,1,4,1539849662992
0,11,11,64.84,71.4,1,1,1539849668763
0,11,12,64.84,66.87,1,9,1539850494827
0,11,11,64.84,71.4,1,1,1539852632896
0,11,11,66.87,71.4,1,1,1539852632899
0,11,11,64.84,71.4,1,1,1539852657306
0,11,12,64.84,67.87,1,9,1539852698821
0,11,12,64.84,67.87,1,18,1539852698990
0,11,12,64.84,67.87,1,9,1539852700347
0,11,0,64.84,,1,,1539855013304
0,11,12,64.84,66.87,1,9,1539855019847
0,11,12,61.79,66.87,1,9,1539855019849
0,12,12,64.84,66.87,1,9,1539855019853
0,12,12,64.84,,1,,1539856433784
0,11,0,61.79,,1,,1539858600162
0,11,11,61.79,64.79,1,1,1539858652283
0,11,11,61.79,63.79,1,1,1539858654554
0,11,11,61.79,64.75,1,1,1539858656890
0,11,11,61.79,63.75,1,1,1539858658965
0,11,11,61.79,63.7,1,1,1539858664301
0,11,11,61.79,62.7,1,1,1539858697479
0,11,11,61.79,63.7,1,1,1539858701593
0,11,11,61.79,62.5,1,1,1539858704989
0,11,11,61.79,63.7,1,1,1539858705928
0,11,11,61.79,62.8,1,10,1539859358621
0,11,11,61.79,63.7,1,1,1539859394186
0,11,11,,63.7,,1,1539859681618
0,12,12,,61.5,,2,1539859681623
0,12,12,,61.5,,1,1539859681630
0,0,11,,63.7,,1,1539859705213
0,12,12,,63,,5,1539859705214
0,11,12,50,63,16,5,1539859710450
0,11,11,50,63.7,16,1,1539859710454
0,11,11,50,63,16,5,1539859710456
0,11,11,50.01,63,3,5,1539859745326
0,12,11,58.12,63,5,5,1539859763374
0,11,11,60,63,2,5,1539859777729
0,11,11,60,63.7,2,1,1539859807333
0,11,11,60,61.85,2,1,1539859831619
0,11,11,60,63.7,2,1,1539859868377
0,11,11,60.01,63.7,1,1,1539859891228
0,11,11,60.05,63.7,1,1,1539859911211
0,12,11,60.67,63.7,5,1,1539859936109
0,12,12,60.67,62.18,5,10,1539859946408
0,12,11,60.67,63.7,5,1,1539860054903
0,12,11,60.67,62,5,1,1539860130498
0,12,11,60.67,63.7,5,1,1539860141792
