c,bE,aE,bP,aP,bS,aS,t
0,11,11,75.7,91.15,6,5,1539763200010
0,11,11,87,90,2,1,1539763200010
0,11,11,87,91.15,2,5,1539763200010
0,11,11,87,88.5,2,5,1539763200010
0,11,11,87,88.32,2,10,1539763200010
0,11,11,87,88.2,2,4,1539763661360
0,11,11,87.5,88.2,5,4,1539764118353
0,11,11,87.6,88.2,5,4,1539764132228
0,11,11,87.7,88.2,5,4,1539764133042
0,11,11,87.75,88.2,5,4,1539764191195
0,11,11,87.8,88.2,5,4,1539764192899
0,11,11,87.85,88.2,5,4,1539764193827
0,11,11,87.9,88.2,5,4,1539764194619
0,11,11,87.95,88.2,5,4,1539764195354
0,11,11,88,88.2,5,4,1539764196243
0,11,11,88.05,88.2,5,4,1539764197043
0,11,11,88.1,88.2,5,4,1539764197811
0,11,11,88.15,88.2,5,4,1539764198538
0,11,11,87,88.2,2,4,1539764199339
0,11,11,87.7,88.2,5,4,1539764375042
0,11,11,88.32,88.5,5,5,1539764542593
0,11,11,88.32,88.5,5,4,1539764552180
0,11,11,87.7,88.5,5,4,1539764556910
0,11,11,88,88.5,2,4,1539764563724
0,11,11,88.5,88.95,5,4,1539764582622
0,11,11,88,88.95,2,4,1539764583774
0,11,11,87.7,88.95,5,4,1539764631215
0,11,11,87,88.95,2,4,1539764687262
0,11,11,87,88.7,2,1,1539765532839
0,11,11,88,88.7,5,1,1539766420882
0,11,11,88,88.95,5,4,1539766512411
0,11,11,87.6,88.95,6,4,1539770748934
0,11,12,87.6,88.86,6,1,1539771966835
0,11,12,87.6,88.75,6,1,1539771966839
0,11,12,87.6,88.64,6,1,1539771966841
0,11,12,87.6,88.53,6,1,1539771966842
0,11,12,87.6,88.42,6,1,1539771966846
0,11,12,87.6,88.31,6,1,1539771966847
0,11,12,87.6,88.2,6,1,1539771966850
0,11,12,84.03,88.2,1,1,1539772076926
0,11,12,87.1,88.2,5,1,1539772083730
0,11,11,87.1,88.11,5,1,1539772149267
0,11,11,87.1,87.9,5,1,1539773103422
0,11,11,87.1,88.11,5,1,1539773136359
0,12,11,87.99,88.11,1,1,1539773217942
0,11,11,88.11,88.2,7,2,1539773226060
0,12,11,87.99,88.2,1,2,1539773228093
0,12,11,87.99,88.17,1,2,1539773243623
0,12,11,87.99,88.2,1,2,1539773284910
0,12,11,87.99,88.2,1,1,1539773296537
0,12,12,87.99,88.31,1,1,1539773296541
0,12,11,87.99,88.2,1,2,1539773328589
0,12,11,87.99,88.2,2,2,1539773343877
0,11,11,87.99,88.2,1,2,1539773349877
0,12,11,87.99,88.2,1,2,1539773349878
0,12,11,87.99,88.2,2,2,1539773349882
0,12,12,87.99,88.31,2,1,1539773376478
0,11,12,88.2,88.31,6,1,1539773376484
0,11,11,88.2,88.31,6,1,1539773384344
0,11,12,88.2,88.42,6,1,1539773384348
