c,bE,aE,bP,aP,bS,aS,t
0,12,11,11.76,17.5,1,4,1539779576975
0,12,11,13.6,17.5,1,4,1539781876749
0,12,11,13.92,17.5,1,4,1539781878605
0,12,11,13.92,17.5,2,4,1539782972546
0,12,12,15.53,16.26,2,1,1539783000352
0,12,12,15.53,16.26,2,1,1539783000352
0,12,12,15.53,16.99,2,1,1539783000365
0,12,11,15.53,17.08,2,1,1539783000548
0,12,11,15.53,17.49,2,1,1539783000549
0,12,11,15.53,17.49,3,1,1539783000914
0,12,8,15.53,17,3,5,1539783001039
0,12,8,15.53,17,1,5,1539783022071
0,12,8,16.24,17,1,5,1539783071758
0,12,19,16.24,16.99,1,1,1539783072617
0,12,19,16.21,16.99,1,1,1539783126917
0,12,12,16.21,16.99,1,1,1539783126918
0,12,19,16.3,16.99,1,1,1539783126920
0,12,12,16.3,16.98,1,1,1539783126930
0,12,19,16.3,16.97,1,1,1539783132327
0,19,19,16.24,16.97,1,1,1539783263761
0,12,12,16.05,16.97,1,1,1539783263761
0,12,12,16.05,16.96,1,1,1539783263773
0,19,12,16.03,16.96,1,1,1539783263777
0,12,12,16.01,16.96,1,2,1539783263777
0,19,12,16.03,16.96,1,2,1539783263777
0,12,12,16.01,16.95,1,1,1539783268020
0,12,12,16.01,16.95,1,2,1539783268041
0,12,12,16.01,16.95,1,1,1539783279467
0,11,12,16.18,16.95,1,1,1539783309999
0,19,12,16.13,16.95,1,1,1539783313053
0,19,12,16.13,16.94,1,1,1539783313065
0,12,12,16.15,16.94,1,1,1539783313066
0,12,12,16.15,16.93,1,1,1539783318058
0,11,12,16.18,16.93,1,1,1539783340113
0,12,12,16.15,16.93,1,1,1539783343193
0,12,12,16.15,16.92,1,1,1539783343204
0,12,19,16.15,16.91,1,1,1539783347085
0,12,11,16.15,16.91,1,2,1539783348970
0,11,11,16.18,16.91,1,2,1539783361893
0,12,11,16.15,16.91,1,2,1539783364973
0,12,12,16.15,16.9,1,1,1539783364984
0,12,19,16.15,16.89,1,1,1539783365864
0,12,11,16.15,16.89,1,2,1539783367970
0,11,11,16.18,16.89,1,2,1539783378173
0,12,11,16.15,16.89,1,2,1539783381253
0,12,12,16.15,16.88,1,1,1539783381265
0,12,19,16.15,16.87,1,1,1539783385784
0,12,11,16.15,16.87,1,2,1539783385969
0,11,11,16.18,16.87,1,2,1539783407213
0,12,11,16.15,16.87,1,2,1539783410293
0,12,12,16.15,16.86,1,1,1539783410305
0,12,19,16.15,16.85,1,1,1539783417822
0,12,11,16.15,16.85,1,2,1539783417970
0,11,11,16.18,16.85,1,2,1539783438233
0,12,11,16.15,16.85,1,2,1539783441313
0,12,12,16.15,16.84,1,1,1539783441325
0,12,12,16.15,16.84,1,2,1539783442969
0,12,19,16.15,16.83,1,1,1539783444706
0,12,12,16.15,16.83,1,2,1539783448969
0,12,12,16.3,16.83,1,2,1539783454237
0,12,12,16.3,16.83,2,2,1539783458248
0,12,12,16.3,16.83,3,2,1539783549143
0,12,12,16.3,16.83,3,3,1539783607420
0,12,12,16.3,16.83,2,3,1539783671058
0,12,12,16.3,16.83,3,3,1539783689585
0,12,12,16.3,16.83,3,4,1539783771484
0,19,12,16.31,16.83,1,4,1539783778831
0,19,12,16.31,16.83,2,4,1539783778831
0,12,12,16.32,16.82,1,1,1539783970603
0,19,12,16.31,16.82,2,1,1539783970603
0,12,12,16.32,16.82,2,1,1539783970604
0,12,19,16.32,16.82,3,1,1539783971893
0,12,12,16.32,16.82,3,1,1539783974761
0,12,19,16.32,16.81,3,1,1539783975311
0,12,12,16.32,16.8,3,1,1539783975312
