c,bE,aE,bP,aP,bS,aS,t
0,11,8,32.05,46,3,1,1539775791246
0,11,11,32.05,39,3,2,1539775801496
0,12,8,0.01,46,1,1,1539776413832
0,11,8,23.36,46,1,1,1539777269470
0,11,8,23,46,1,1,1539778780462
0,11,8,18.06,46,2,1,1539781734071
0,11,12,18.06,39.84,2,1,1539781876122
0,12,12,24.99,39.84,1,1,1539781876749
0,12,12,25.63,39.84,1,1,1539781878605
0,12,12,26.27,39.84,1,1,1539781878716
0,12,12,26.91,39.84,1,1,1539781878891
0,12,12,27.55,39.84,1,1,1539781879091
0,12,12,28.22,39.84,1,1,1539781880604
0,12,12,28.89,39.84,1,1,1539781880716
0,12,12,29.57,39.84,1,1,1539781882598
0,12,11,29.57,38.01,1,1,1539782880018
0,12,11,29.57,38.01,1,2,1539782880019
0,12,11,29.57,38.01,1,3,1539782882607
0,12,11,29.57,38.01,3,3,1539782971843
0,12,12,34.75,37.64,1,1,1539783000427
0,12,12,34.75,37.64,1,1,1539783000427
0,12,17,34.75,37.06,1,1,1539783000751
0,12,17,34.31,37.06,1,1,1539783000751
0,12,12,34.31,34.75,1,1,1539783000751
0,12,11,34.31,36.49,1,1,1539783000755
0,12,11,34.31,36.49,1,2,1539783000794
0,12,11,34.31,36.49,1,1,1539783001183
0,19,11,34.35,36.49,9,1,1539783002110
0,12,11,34.31,36.49,1,1,1539783002280
0,12,12,34.31,37.94,1,1,1539783002354
0,12,11,34.31,37.08,1,1,1539783002809
0,12,18,34.31,37.2,1,1,1539783003330
0,12,12,34.31,36.2,1,1,1539783003330
0,12,12,34.31,36.2,2,1,1539783014639
0,12,12,34.31,36.2,1,1,1539783014640
0,12,12,34.31,36.2,2,1,1539783014655
0,12,12,34.31,36.2,1,1,1539783014656
0,12,12,34.31,36.2,2,1,1539783014684
0,12,12,34.31,36.2,1,1,1539783014685
0,12,12,34.31,36.2,2,1,1539783014692
0,12,12,34.31,36.2,1,1,1539783014693
0,12,12,34.31,35.29,1,1,1539783024609
0,12,19,34.61,36.25,1,1,1539783024625
0,12,19,34.31,36.25,1,1,1539783024625
0,17,19,34.61,36.25,1,1,1539783024625
0,12,19,35.29,36.25,1,1,1539783024628
0,11,19,35.29,36.25,2,1,1539783024632
0,12,19,35.29,36.25,3,1,1539783024635
0,12,19,35.29,36.08,3,1,1539783024641
0,12,19,35.29,36.25,3,1,1539783024641
0,12,12,35.29,36.08,3,1,1539783024642
0,12,19,35.29,36.25,3,1,1539783024645
0,12,19,35.29,35.98,3,1,1539783024647
0,12,19,35.29,36.25,3,1,1539783024647
0,12,19,35.29,35.98,3,1,1539783024650
0,11,19,35.29,35.98,2,1,1539783024655
0,11,19,35.29,35.98,1,1,1539783024682
0,17,19,34.61,35.98,1,1,1539783024683
0,17,19,34.61,36.25,1,1,1539783024688
0,12,19,35.62,36.94,11,1,1539783024718
0,12,19,35.62,36.25,11,1,1539783024718
0,12,18,35.62,36.04,11,1,1539783024752
0,12,12,35.62,36.2,11,1,1539783024886
0,12,12,35.64,36.2,9,1,1539783025637
0,12,12,35.64,36.19,9,1,1539783028273
0,12,12,35.64,36.19,9,2,1539783028627
0,11,12,35.62,36.19,1,2,1539783029540
0,12,12,35.61,36.19,20,2,1539783029552
0,12,12,35.61,36.19,9,2,1539783040013
0,19,12,35.48,35.61,1,1,1539783040013
0,19,12,35.48,36.19,1,2,1539783040013
0,12,12,34.51,35.61,1,1,1539783040014
0,12,11,34.51,35.99,1,2,1539783040016
0,12,18,34.51,36.07,1,2,1539783040017
0,12,18,34.31,36.07,2,2,1539783040025
0,12,17,34.31,36.07,2,1,1539783040026
0,12,17,34.31,36.07,4,1,1539783040134
0,12,12,34.31,36.07,4,2,1539783040134
0,12,12,34.31,36.07,4,3,1539783040219
0,12,12,34.31,36.07,5,3,1539783056634
0,12,19,34.31,36.07,3,2,1539783069709
0,12,12,34.31,36.07,3,3,1539783069709
0,12,12,34.31,36.07,3,1,1539783069710
0,12,11,34.31,36.07,3,2,1539783069710
0,12,11,34.31,36.12,3,1,1539783114962
0,12,12,34.31,36.17,3,1,1539783171676
0,12,11,34.31,36.06,3,1,1539783179133
0,2,12,34.42,36.06,1,1,1539783188539
0,2,11,34.42,36.06,1,1,1539783188539
0,19,2,34.42,35.94,1,1,1539783188793
0,12,2,34.42,35.94,1,1,1539783188793
0,11,12,34.42,35.93,1,1,1539783188793
0,11,2,34.42,35.94,1,1,1539783188793
0,2,12,34.42,35.93,1,1,1539783188793
0,2,12,34.42,35.93,1,2,1539783188794
0,19,19,34.42,35.93,1,1,1539783188796
0,19,12,34.42,35.93,1,2,1539783188796
0,11,11,34.42,35.93,1,1,1539783188796
0,12,12,34.42,35.93,1,1,1539783188796
0,12,12,34.42,35.93,2,1,1539783262644
0,12,15,34.42,35.98,2,1,1539783300301
0,2,15,34.42,35.98,1,1,1539783306009
0,19,15,34.42,35.98,1,1,1539783311606
0,19,2,34.42,35.85,1,1,1539783311608
0,19,12,34.42,35.84,1,1,1539783311608
0,11,12,34.42,35.84,1,1,1539783311608
0,12,12,34.42,35.84,1,1,1539783311608
0,19,19,34.42,35.84,1,1,1539783311613
0,11,11,34.42,35.84,1,1,1539783311613
0,12,19,34.42,35.93,1,1,1539783311613
0,19,19,34.42,35.93,1,1,1539783311613
0,19,12,34.42,35.93,1,2,1539783319677
0,12,12,34.42,35.93,2,2,1539783344381
0,12,12,34.42,35.93,3,2,1539783395647
0,12,12,34.42,35.93,2,2,1539783455190
0,12,2,34.42,35.93,3,2,1539783455190
0,12,2,34.42,35.93,4,2,1539783461018
0,12,12,34.42,35.93,4,2,1539783514356
0,12,11,34.42,35.93,4,1,1539783519859
0,12,12,34.42,35.93,4,1,1539783519860
0,2,12,34.6,35.93,1,1,1539783519951
0,12,12,34.6,35.93,2,1,1539783519951
0,2,12,34.61,35.93,1,1,1539783519952
0,12,12,34.61,35.93,1,1,1539783520037
0,19,12,34.79,35.93,2,1,1539783520041
0,2,12,34.79,35.93,1,1,1539783520041
0,2,12,34.97,35.93,1,1,1539783520131
0,2,12,35.15,35.93,1,1,1539783520221
0,19,12,35.15,35.93,2,1,1539783520221
0,2,12,35.3,35.93,1,1,1539783520312
0,2,12,35.42,35.93,1,1,1539783520402
0,2,12,35.52,35.93,1,1,1539783520495
0,12,12,35.52,35.93,2,1,1539783520495
0,2,12,35.6,35.93,1,1,1539783520584
0,2,12,35.6,35.93,1,2,1539783520586
0,2,12,35.66,35.93,1,2,1539783520673
0,2,12,35.71,35.93,1,2,1539783520760
0,11,12,35.74,35.93,1,2,1539783520863
0,2,12,35.73,35.93,1,2,1539783520863
0,2,12,35.75,35.93,1,2,1539783521057
0,2,12,35.75,35.92,1,1,1539783521722
0,19,12,35.75,35.92,1,1,1539783521723
0,12,12,35.75,35.92,1,1,1539783521723
0,2,11,35.78,35.92,1,1,1539783526805
0,2,12,35.78,35.92,1,1,1539783526805
0,2,11,35.78,35.92,1,1,1539783526805
0,2,12,35.78,35.92,1,1,1539783526805
0,12,12,35.91,35.93,1,1,1539783526805
0,12,11,35.91,35.92,1,1,1539783526805
0,17,12,35.82,35.98,1,1,1539783526805
0,17,12,35.82,35.93,1,1,1539783526805
0,19,12,35.87,35.98,1,1,1539783526806
0,19,12,35.87,35.98,2,1,1539783526806
0,19,12,35.87,35.98,1,1,1539783526806
0,17,12,35.82,35.98,1,1,1539783526807
0,17,11,35.82,36.01,1,1,1539783526807
0,12,11,35.88,36.01,1,1,1539783526807
0,12,11,35.9,36.01,1,1,1539783526807
0,12,2,35.9,36.02,1,1,1539783526808
0,19,19,35.9,36.02,1,1,1539783526808
0,12,12,35.9,36.02,1,1,1539783526808
0,19,11,35.95,36.02,1,1,1539783526808
0,12,11,35.9,36.02,1,1,1539783526808
0,19,2,35.95,36.03,1,1,1539783526808
0,19,12,35.95,36.03,1,1,1539783526809
0,12,19,35.9,36.03,1,1,1539783526809
0,12,12,35.9,36.03,1,1,1539783526809
0,12,12,35.9,36.37,1,2,1539783526809
0,12,12,35.9,36.36,1,1,1539783526810
0,12,12,35.9,36.22,1,2,1539783526810
0,12,2,35.9,36.22,1,1,1539783526810
0,11,12,36.08,36.22,2,2,1539783526816
0,11,2,36.08,36.2,2,1,1539783526979
0,11,12,36.08,36.2,2,2,1539783526979
0,2,12,35.82,36.2,1,2,1539783527807
0,19,12,35.95,36.2,1,2,1539783527807
0,11,12,35.82,36.2,2,2,1539783527807
0,2,12,35.82,36.2,1,2,1539783527807
0,11,12,35.82,36.13,1,2,1539783527889
0,12,2,35.82,36.13,1,1,1539783527889
0,19,12,35.82,36.13,1,2,1539783527889
0,2,12,35.82,36.13,1,2,1539783527889
0,19,2,35.82,36.13,1,1,1539783527889
0,12,12,35.84,36.13,1,2,1539783527971
0,2,12,35.83,36.13,1,2,1539783527971
0,12,2,35.84,36.08,1,1,1539783528055
0,19,2,35.84,36.08,1,1,1539783528055
0,19,12,35.84,36.08,1,2,1539783528055
0,11,12,35.84,36.08,1,2,1539783528055
0,12,12,35.84,36.08,1,2,1539783528055
0,12,2,35.84,36.07,1,1,1539783528143
0,19,12,35.84,36.07,1,2,1539783528143
0,19,2,35.84,36.07,1,1,1539783528143
0,12,12,35.84,36.07,1,2,1539783528143
0,11,12,35.84,36.07,1,2,1539783528143
0,12,12,35.85,36.07,1,2,1539783528886
0,19,12,35.85,36.07,1,3,1539783549650
0,12,12,35.85,36.07,2,3,1539783549660
0,12,12,35.85,36.07,3,3,1539783551696
0,12,12,35.85,36.07,3,2,1539783573990
0,12,12,35.85,36.07,3,1,1539783627948
0,12,2,35.85,36.07,3,2,1539783628101
0,12,12,35.85,36.07,3,2,1539783628103
0,12,11,35.85,36.07,3,1,1539783628103
0,12,11,35.86,36.07,1,1,1539783647217
0,12,2,35.86,36.07,1,1,1539783648737
0,19,2,35.86,36.07,1,1,1539783671778
0,12,2,35.86,36.07,1,1,1539783678616
0,12,12,35.86,36.07,1,2,1539783732720
0,19,12,35.86,36.07,1,2,1539783732720
0,12,12,35.86,36.07,2,2,1539783817381
0,12,11,35.86,36.06,2,1,1539783927211
0,12,12,35.86,36.06,2,2,1539783928108
0,12,11,35.86,36.05,2,1,1539783928109
0,12,12,35.86,36.05,2,2,1539783928109
0,12,12,35.86,36.04,2,1,1539783934214
0,12,12,35.86,36.04,2,2,1539783934214
0,12,12,35.86,36.04,2,3,1539783934215
0,12,12,35.86,36.04,1,3,1539783954367
0,12,12,35.87,36.04,1,3,1539783954369
0,12,12,35.85,36.04,3,3,1539783986966
0,19,12,35.87,36.04,1,3,1539783986966
