c,bE,aE,bP,aP,bS,aS,t
0,19,19,8.86,9.29,3,3,1539779231768
0,12,19,9.1,9.29,2,3,1539783000389
0,12,19,9.1,9.28,2,1,1539783001408
0,12,19,9.1,9.29,2,3,1539783002001
0,8,19,9.2,9.29,5,3,1539783006609
0,8,19,9.2,9.28,5,1,1539783021025
0,8,19,9.2,9.29,5,3,1539783021051
0,8,18,9.2,9.28,5,1,1539783021054
0,8,19,9.2,9.29,5,3,1539783149120
0,8,8,9.2,9.33,5,1,1539783149127
0,8,3,9.2,9.28,5,1,1539783149135
0,8,8,9.2,9.33,5,1,1539783149135
0,8,10,9.2,9.28,5,1,1539783149155
0,8,19,9.2,9.31,5,1,1539783159732
0,8,8,9.2,9.33,5,1,1539783159732
0,8,15,9.2,9.28,5,1,1539783159735
0,8,8,9.2,9.33,5,1,1539783225237
0,8,7,9.2,9.28,5,1,1539783225239
0,8,19,9.2,9.31,5,1,1539783235239
0,8,8,9.2,9.33,5,1,1539783235239
0,8,12,9.2,9.28,5,1,1539783235240
0,8,19,9.2,9.32,5,1,1539783275990
0,8,8,9.2,9.33,5,1,1539783275990
0,8,18,9.2,9.28,5,1,1539783275992
0,8,18,9.2,9.28,4,1,1539783297428
0,8,12,9.2,9.27,4,1,1539783297439
0,8,12,9.2,9.27,4,2,1539783297454
0,8,12,9.2,9.27,1,2,1539783298313
0,19,12,9.17,9.26,1,1,1539783298313
0,19,12,9.17,9.27,1,2,1539783298313
0,12,8,9.1,9.2,2,1,1539783298313
0,12,19,9.1,9.17,2,2,1539783298313
0,12,12,9.1,9.26,2,1,1539783298313
0,12,19,9.1,9.17,2,1,1539783298313
0,12,19,9.1,9.17,2,1,1539783298315
0,12,19,9.1,9.17,3,1,1539783544206
0,12,18,9.1,9.17,3,1,1539783549148
0,12,19,9.1,9.17,3,1,1539783551224
0,19,19,9.11,9.17,1,1,1539783553007
0,8,19,9.11,9.17,2,1,1539783555258
0,12,19,9.12,9.21,1,1,1539783557513
0,8,19,9.11,9.21,2,1,1539783557513
0,19,19,9.17,9.21,1,1,1539783557513
0,19,8,9.17,9.22,1,1,1539783557514
0,12,8,9.2,9.22,2,1,1539783557514
0,12,8,9.2,9.22,1,1,1539783557514
0,12,8,9.2,9.22,1,1,1539783557514
0,12,12,9.2,9.23,1,1,1539783557514
0,8,12,9.22,9.23,2,1,1539783557514
0,8,12,9.22,9.23,1,1,1539783557514
0,12,19,9.23,9.26,1,2,1539783557515
0,8,19,9.22,9.26,2,2,1539783557515
0,12,19,9.23,9.26,1,1,1539783557515
0,12,19,9.25,9.26,1,1,1539783557517
0,12,19,9.25,9.26,2,1,1539783557518
0,12,19,9.25,9.27,2,2,1539783557524
0,12,11,9.25,9.27,2,1,1539783557525
0,12,19,9.25,9.34,2,1,1539783557525
0,12,19,9.25,9.34,1,1,1539783557526
0,12,11,9.25,9.34,1,1,1539783558053
0,12,11,9.25,9.34,2,1,1539783558063
0,12,8,9.25,9.33,2,1,1539783558121
0,12,19,9.25,9.3,2,1,1539783558131
0,12,19,9.25,9.3,3,1,1539783559224
0,12,19,9.25,9.3,1,1,1539783610462
0,12,19,9.25,9.3,2,1,1539783610462
0,19,12,9.23,9.25,1,1,1539783610462
0,19,19,9.23,9.3,1,1,1539783610462
0,12,12,9.2,9.25,3,1,1539783610462
0,19,12,9.22,9.25,1,1,1539783610462
0,12,19,9.2,9.23,3,1,1539783610463
0,12,19,9.2,9.24,3,1,1539783610463
0,11,19,9.25,9.23,1,1,1539783610463
0,12,19,9.2,9.23,3,1,1539783610463
0,12,8,9.2,9.26,3,1,1539783610467
0,12,8,9.2,9.26,4,1,1539783613007
0,12,8,9.2,9.26,5,1,1539783613007
0,12,8,9.2,9.26,4,1,1539783615469
0,19,8,9.21,9.26,1,1,1539783617164
0,19,19,9.21,9.26,1,1,1539783617164
0,12,8,9.21,9.26,2,1,1539783617375
0,12,19,9.21,9.26,2,1,1539783617375
0,19,19,9.21,9.26,2,1,1539783617375
0,12,19,9.21,9.26,2,1,1539783617375
0,11,19,9.21,9.26,1,1,1539783661503
0,8,19,9.21,9.26,2,1,1539783661503
0,11,8,9.21,9.26,1,1,1539783661503
0,11,2,9.21,9.26,1,1,1539783661503
0,11,19,9.21,9.26,1,1,1539783661503
0,11,19,9.21,9.25,1,1,1539783661503
0,11,8,9.21,9.22,1,1,1539783661503
0,11,19,9.21,9.22,1,1,1539783661503
0,11,19,9.21,9.22,1,1,1539783661503
0,12,19,9.2,9.22,3,1,1539783661503
0,12,19,9.2,9.22,2,1,1539783661503
0,12,8,9.2,9.21,2,1,1539783661503
0,12,19,9.2,9.21,2,1,1539783661503
0,12,19,9.2,9.23,2,1,1539783661507
0,12,15,9.2,9.23,2,1,1539783667631
0,12,19,9.2,9.23,2,1,1539783671012
0,12,12,9.2,9.23,2,4,1539783688367
0,12,12,9.2,9.23,6,4,1539783688383
0,12,19,9.2,9.23,6,1,1539783748331
0,12,12,9.2,9.23,6,4,1539783748483
0,12,8,9.2,9.24,6,1,1539783844196
0,12,8,9.23,9.24,1,1,1539783844196
0,12,12,9.2,9.23,6,3,1539783844196
0,12,12,9.23,9.24,2,3,1539783844196
0,12,12,9.23,9.24,1,3,1539783844196
0,12,12,9.23,9.24,1,2,1539783844196
0,12,12,9.21,9.23,1,2,1539783844196
0,19,12,9.22,9.23,1,2,1539783844196
0,12,12,9.21,9.24,1,2,1539783844196
0,19,12,9.21,9.23,2,2,1539783844196
0,12,12,9.23,9.24,1,3,1539783844196
0,8,19,9.22,9.25,2,2,1539783844196
0,19,8,9.22,9.24,1,1,1539783844196
0,19,19,9.22,9.25,1,2,1539783844196
0,8,8,9.22,9.25,2,2,1539783844196
0,8,12,9.22,9.23,2,1,1539783844196
0,19,19,9.22,9.24,1,2,1539783844196
0,12,12,9.22,9.23,4,1,1539783844197
0,8,12,9.22,9.23,2,1,1539783844197
0,8,8,9.22,9.25,2,2,1539783844252
0,12,8,9.23,9.25,1,2,1539783844252
0,19,8,9.23,9.25,2,2,1539783844253
0,19,8,9.23,9.25,2,1,1539783844267
0,19,19,9.23,9.26,2,2,1539783844267
0,19,19,9.23,9.26,2,1,1539783844267
0,19,19,9.23,9.26,1,1,1539783844267
0,12,19,9.22,9.26,2,1,1539783844267
0,12,19,9.23,9.26,4,1,1539783844279
0,8,19,9.24,9.26,2,1,1539783846858
0,12,19,9.23,9.26,5,1,1539783846858
0,19,19,9.24,9.26,2,1,1539783846945
0,8,19,9.24,9.26,1,1,1539783847001
0,8,12,9.24,9.27,1,4,1539783855173
0,8,12,9.24,9.27,1,3,1539783855575
0,19,19,9.24,9.28,1,1,1539783855575
0,8,8,9.24,9.27,1,1,1539783855575
0,8,8,9.24,9.28,1,1,1539783855575
0,8,19,9.24,9.28,1,1,1539783855575
0,19,19,9.24,9.29,1,1,1539783855575
0,19,19,9.25,9.28,1,1,1539783866008
0,12,19,9.25,9.28,3,1,1539783866492
0,19,19,9.26,9.28,1,1,1539783866493
0,19,19,9.26,9.28,3,1,1539783866493
0,8,19,9.26,9.28,2,1,1539783866493
0,19,19,9.26,9.3,3,2,1539783866493
0,19,19,9.26,9.29,3,1,1539783866493
0,19,19,9.26,9.3,3,1,1539783866494
0,19,19,9.27,9.3,1,1,1539783866566
0,19,19,9.27,9.3,2,1,1539783866567
0,12,19,9.28,9.3,3,1,1539783897338
0,12,15,9.28,9.3,4,1,1539783897338
0,12,15,9.28,9.3,3,1,1539783897338
0,12,15,9.28,9.3,4,1,1539783897338
0,19,15,9.29,9.3,1,1,1539783897338
0,12,15,9.28,9.3,4,1,1539783897339
0,19,15,9.29,9.3,1,1,1539783897339
0,8,11,9.28,9.31,2,1,1539783897339
0,8,15,9.28,9.3,2,1,1539783897339
0,19,19,9.28,9.3,3,1,1539783897339
0,8,19,9.28,9.3,2,1,1539783897339
0,19,15,9.28,9.3,4,1,1539783897351
0,19,15,9.28,9.3,5,1,1539783897352
0,19,15,9.28,9.3,4,1,1539783897871
0,19,11,9.28,9.31,4,1,1539783898625
0,19,12,9.28,9.3,4,1,1539783898996
0,19,11,9.28,9.31,4,1,1539783898996
0,19,11,9.29,9.31,2,1,1539783898996
0,12,15,9.3,9.31,1,1,1539783898996
0,12,11,9.3,9.31,1,1,1539783898996
0,12,15,9.3,9.3,1,1,1539783898996
0,12,19,9.3,9.32,1,1,1539783898996
0,8,19,9.3,9.32,2,1,1539783898997
0,12,19,9.3,9.32,1,1,1539783898997
0,19,19,9.3,9.32,3,1,1539783898997
0,8,19,9.3,9.32,2,1,1539783899002
0,19,19,9.3,9.32,1,1,1539783899007
0,8,12,9.29,9.31,1,1,1539783918226
0,19,12,9.3,9.31,1,1,1539783918226
0,19,12,9.28,9.3,5,1,1539783918226
0,8,12,9.29,9.3,1,1,1539783918226
0,19,12,9.29,9.3,1,1,1539783918226
0,12,8,9.28,9.29,3,1,1539783918226
0,19,12,9.28,9.3,4,1,1539783918226
0,12,12,9.28,9.3,3,1,1539783918226
0,12,8,9.28,9.29,4,1,1539783918227
0,12,19,9.28,9.3,4,1,1539783918228
0,12,15,9.28,9.3,4,1,1539783918230
0,8,15,9.28,9.3,3,1,1539783918231
0,19,15,9.28,9.3,3,1,1539783918231
0,8,15,9.28,9.3,2,1,1539783918231
0,12,15,9.28,9.3,2,1,1539783918231
0,12,15,9.28,9.3,5,1,1539783918239
0,12,15,9.28,9.3,5,1,1539783918327
0,12,15,9.28,9.3,4,1,1539783918327
0,12,8,9.28,9.3,5,1,1539783918332
0,12,19,9.29,9.31,1,1,1539783920413
0,12,19,9.28,9.31,5,1,1539783920413
0,12,19,9.29,9.31,3,1,1539783929284
0,12,19,9.29,9.31,4,1,1539783935848
0,12,15,9.29,9.31,4,1,1539783962691
0,12,19,9.29,9.32,4,2,1539783962702
0,8,19,9.29,9.32,2,2,1539783968077
0,12,12,9.29,9.3,1,1,1539783968077
0,8,12,9.29,9.3,2,1,1539783968077
0,12,8,9.28,9.29,2,1,1539783968077
0,12,12,9.28,9.3,2,1,1539783968077
0,12,19,9.29,9.32,3,2,1539783968077
0,11,12,9.28,9.29,1,2,1539783968077
0,12,12,9.28,9.29,2,2,1539783968077
0,12,12,9.28,9.29,1,2,1539783968078
0,19,12,9.27,9.29,2,3,1539783968081
0,12,12,9.28,9.29,1,3,1539783968081
0,19,12,9.27,9.29,2,4,1539783968081
0,19,12,9.27,9.29,2,3,1539783968081
0,8,12,9.27,9.29,2,2,1539783968081
0,19,12,9.27,9.29,2,2,1539783968081
0,8,19,9.27,9.29,1,3,1539783968081
0,8,19,9.27,9.29,2,3,1539783968081
0,19,19,9.26,9.29,2,3,1539783968081
0,19,19,9.26,9.28,2,1,1539783968082
0,19,19,9.26,9.28,4,1,1539783968084
0,19,19,9.26,9.28,3,1,1539783976669
0,12,19,9.26,9.28,3,1,1539784205708
0,12,19,9.26,9.28,4,1,1539784210784
0,12,19,9.26,9.28,5,1,1539784210784
0,12,19,9.27,9.28,2,1,1539784210784
0,19,19,9.27,9.28,4,1,1539784210784
0,12,19,9.27,9.28,2,1,1539784210784
0,12,19,9.27,9.28,3,1,1539784210785
0,12,19,9.27,9.28,1,1,1539784213067
0,12,19,9.27,9.28,2,1,1539784220975
0,12,12,9.27,9.29,2,5,1539784381271
0,12,12,9.27,9.29,2,4,1539784381336
0,12,12,9.27,9.29,1,4,1539784597497
0,12,12,9.27,9.29,1,3,1539784597506
0,15,19,9.27,9.3,1,2,1539784597506
0,12,8,9.29,9.3,1,1,1539784597506
0,12,19,9.29,9.3,1,2,1539784597506
0,12,19,9.29,9.31,1,1,1539784597506
0,12,8,9.29,9.31,1,1,1539784597506
0,12,8,9.29,9.31,1,1,1539784597506
0,12,19,9.29,9.31,1,1,1539784597506
0,19,19,9.3,9.32,1,2,1539784597506
0,12,19,9.29,9.31,1,1,1539784597506
0,19,19,9.3,9.32,3,2,1539784597507
0,19,19,9.3,9.32,2,2,1539784597507
0,19,19,9.3,9.32,3,1,1539784597508
0,19,15,9.3,9.32,3,1,1539784597509
0,19,15,9.31,9.32,1,1,1539784597509
0,19,15,9.31,9.32,2,1,1539784597509
0,19,15,9.31,9.32,4,1,1539784597509
0,19,15,9.31,9.32,3,1,1539784597509
0,19,19,9.31,9.33,4,4,1539784597509
0,19,19,9.31,9.32,4,1,1539784597511
0,19,19,9.31,9.32,3,1,1539784597511
0,19,19,9.31,9.33,3,3,1539784597536
0,19,19,9.31,9.33,2,3,1539784597539
0,19,19,9.31,9.33,1,3,1539784597539
0,19,19,9.31,9.33,1,2,1539784599420
0,19,19,9.31,9.33,2,2,1539784599420
0,19,12,9.31,9.34,2,2,1539784599421
0,19,12,9.32,9.34,2,2,1539784599421
0,19,12,9.32,9.34,1,2,1539784599421
0,19,12,9.32,9.34,3,2,1539784599422
0,19,19,9.32,9.34,3,2,1539784599450
0,19,12,9.32,9.34,3,1,1539784599450
0,19,19,9.32,9.34,3,1,1539784603743
0,12,19,9.32,9.34,5,1,1539784620092
0,12,12,9.32,9.35,5,3,1539784626341
0,12,19,9.32,9.35,5,1,1539784626341
0,12,12,9.32,9.35,5,2,1539784626341
0,12,19,9.32,9.36,5,1,1539784626341
0,12,8,9.32,9.36,5,1,1539784626341
0,12,12,9.32,9.37,6,2,1539784626341
0,12,12,9.32,9.37,5,2,1539784626341
0,12,19,9.32,9.35,6,1,1539784626341
0,12,19,9.32,9.35,7,1,1539784626341
0,19,19,9.33,9.35,3,1,1539784626341
0,19,19,9.33,9.35,2,1,1539784626341
0,12,12,9.33,9.35,3,1,1539784626463
0,19,19,9.33,9.38,3,1,1539784626463
0,12,19,9.34,9.38,3,1,1539784626464
0,12,19,9.34,9.37,3,1,1539784626464
0,12,12,9.34,9.39,3,3,1539784626464
0,19,19,9.35,9.37,1,1,1539784626464
0,8,19,9.35,9.37,2,1,1539784626464
0,19,12,9.36,9.39,1,3,1539784626466
0,8,12,9.35,9.39,2,3,1539784626466
0,19,12,9.36,9.39,1,1,1539784626466
0,19,12,9.36,9.39,1,2,1539784626466
0,19,19,9.36,9.38,1,1,1539784626466
0,19,19,9.36,9.4,1,2,1539784626466
0,19,19,9.36,9.4,2,2,1539784626466
0,12,19,9.36,9.4,1,2,1539784626466
0,19,19,9.36,9.4,2,1,1539784626466
0,19,8,9.36,9.4,2,1,1539784626466
0,12,19,9.36,9.39,2,1,1539784626466
0,12,11,9.36,9.41,2,1,1539784626466
0,19,19,9.36,9.39,3,1,1539784626467
0,12,19,9.37,9.39,1,1,1539784626467
0,12,19,9.37,9.41,1,1,1539784626467
0,12,12,9.37,9.41,1,1,1539784626467
0,12,19,9.37,9.41,3,1,1539784626467
0,12,19,9.37,9.41,2,1,1539784626467
0,19,19,9.38,9.49,1,1,1539784626467
0,19,19,9.38,9.41,1,1,1539784626467
0,19,19,9.38,9.49,3,1,1539784626468
0,19,19,9.38,9.49,2,1,1539784626468
0,19,12,9.38,9.5,2,3,1539784626468
0,19,12,9.38,9.5,3,3,1539784626468
0,12,12,9.39,9.5,2,3,1539784626474
0,12,19,9.39,9.53,2,1,1539784627509
0,12,12,9.39,9.55,2,1,1539784627510
0,12,12,9.39,9.57,2,1,1539784627533
0,19,12,9.4,9.57,1,1,1539784632214
0,12,12,9.4,9.57,2,1,1539784632214
