c,bE,aE,bP,aP,bS,aS,t
0,11,11,1.52,1.55,12,13,1538467200013
0,11,11,1.53,1.55,15,13,1538467200014
0,11,11,1.53,1.55,14,13,1538469263315
0,11,11,1.53,1.55,14,15,1538476586200
0,11,11,1.53,1.54,14,4,1538478000523
0,11,11,1.53,1.55,14,15,1538478002745
0,11,11,1.53,1.55,14,65,1538484300845
0,11,11,1.54,1.56,1,103,1538485871300
0,11,11,1.53,1.56,14,103,1538485871300
0,19,11,1.54,1.56,3,103,1538485871300
0,12,11,1.55,1.56,2,103,1538485871301
0,8,11,1.55,1.56,5,103,1538485871307
0,11,11,1.55,1.56,4,103,1538486147288
0,11,11,1.55,1.57,4,2,1538486147302
0,8,11,1.56,1.57,5,2,1538486147308
0,8,11,1.56,1.57,5,27,1538486165495
0,8,1,1.56,1.57,5,33,1538487000058
0,8,1,1.56,1.57,5,43,1538487000059
0,8,1,1.56,1.56,5,33,1538487000059
0,8,1,1.56,1.57,5,68,1538487000059
0,8,1,1.56,1.56,5,29,1538487000059
0,8,1,1.55,1.56,20,29,1538487000060
0,8,1,1.55,1.56,20,34,1538487000062
0,8,1,1.55,1.56,20,30,1538487000071
0,8,1,1.55,1.56,20,26,1538487000074
0,8,1,1.55,1.57,20,82,1538487000076
0,1,1,1.56,1.57,4,82,1538487000077
0,8,1,1.56,1.57,5,82,1538487000078
0,8,1,1.56,1.57,5,78,1538487000079
0,8,1,1.56,1.57,5,79,1538487000082
0,8,1,1.56,1.57,5,83,1538487000092
0,8,1,1.56,1.57,5,82,1538487000113
0,8,1,1.56,1.57,5,83,1538487000178
0,8,1,1.56,1.57,5,44,1538487000299
0,8,8,1.56,1.57,5,48,1538487000435
0,8,8,1.56,1.57,5,49,1538487000435
0,1,8,1.56,1.57,8,49,1538487000435
0,1,8,1.56,1.57,8,48,1538487001772
0,11,8,1.56,1.57,6,48,1538487003146
0,1,8,1.56,1.57,9,48,1538487003149
0,8,8,1.56,1.57,13,48,1538487003452
0,8,8,1.56,1.57,12,48,1538487003452
0,8,8,1.56,1.57,12,48,1538487005886
0,1,8,1.56,1.57,13,48,1538487013439
0,1,8,1.56,1.57,13,49,1538487013478
0,1,1,1.56,1.57,13,75,1538487013478
0,1,8,1.56,1.57,13,51,1538487013478
0,8,1,1.56,1.57,12,79,1538487024020
0,1,1,1.56,1.57,13,79,1538487024020
0,1,1,1.56,1.57,13,79,1538487027551
0,1,1,1.56,1.57,9,79,1538487044852
0,8,1,1.56,1.57,9,79,1538487044852
0,8,1,1.56,1.57,9,80,1538487050117
0,8,1,1.56,1.57,9,81,1538487050905
0,8,1,1.56,1.57,9,89,1538487051811
0,8,1,1.56,1.57,9,88,1538487052842
0,8,1,1.56,1.57,9,80,1538487053336
0,1,1,1.56,1.57,9,80,1538487054549
0,8,1,1.56,1.57,9,82,1538487057442
0,8,1,1.56,1.57,9,84,1538487057931
0,8,1,1.56,1.57,9,86,1538487058903
0,8,1,1.56,1.57,9,84,1538487059456
0,1,1,1.56,1.57,13,84,1538487059886
0,11,1,1.56,1.57,39,84,1538487060012
0,11,1,1.56,1.57,39,82,1538487060085
0,11,1,1.56,1.57,39,80,1538487060647
0,1,1,1.56,1.57,13,80,1538487061523
0,8,1,1.56,1.57,9,80,1538487063459
0,1,1,1.56,1.57,9,80,1538487063656
0,1,8,1.56,1.57,9,91,1538487063656
0,1,8,1.56,1.57,9,93,1538487063656
0,1,8,1.56,1.57,9,94,1538487063656
0,1,1,1.56,1.57,9,80,1538487063656
0,8,1,1.56,1.57,5,80,1538487063657
0,8,8,1.56,1.57,8,95,1538487063662
0,8,11,1.56,1.56,8,6,1538487063662
0,8,1,1.56,1.57,8,80,1538487063662
0,8,11,1.56,1.56,3,6,1538487063662
0,1,11,1.55,1.56,23,6,1538487063662
0,1,1,1.55,1.57,23,80,1538487063663
0,11,1,1.56,1.57,5,84,1538487063663
0,11,1,1.56,1.57,5,80,1538487063663
0,11,1,1.56,1.57,5,80,1538487063663
0,8,1,1.56,1.57,5,80,1538487063666
0,1,1,1.56,1.57,11,80,1538487063766
0,11,1,1.56,1.57,9,80,1538487064434
0,8,1,1.56,1.57,5,80,1538487065695
0,8,1,1.56,1.57,8,80,1538487065696
