c,bE,aE,bP,aP,bS,aS,t
0,10,8,19.87,20.9,9,2,1539862407400
0,11,8,20,20.9,5,2,1539865527238
0,11,2,20,22.14,5,1,1539867932905
0,11,7,20,22.14,5,1,1539867932905
0,11,19,20,22.14,5,1,1539867932905
0,11,2,20,23.47,5,1,1539867932905
0,11,11,20,22.14,5,1,1539867932905
0,11,19,20,23.47,5,1,1539867933074
0,11,17,20,23.47,5,1,1539867933074
0,11,7,20,23.47,5,1,1539867933074
0,11,8,20,23.47,5,1,1539867933074
0,11,11,20,23.47,5,1,1539867933074
0,11,11,20,23.9,5,1,1539867933075
0,11,11,20,23.9,8,1,1539868214023
0,11,7,20,23.4,8,20,1539869390702
0,11,12,20,23,8,1,1539869400009
0,11,12,20,23,8,1,1539869400705
0,11,7,20,23.4,8,20,1539869400708
0,11,8,20,22.5,8,1,1539869401292
0,11,12,20,21.77,8,2,1539869401293
0,12,17,20.46,21.77,1,2,1539869401298
0,12,2,20.46,21.77,1,2,1539869401298
0,12,18,20.46,21.77,1,2,1539869401298
0,12,7,20.46,21.77,1,2,1539869401298
0,12,11,20.46,21.77,1,2,1539869401298
0,12,12,20.46,21.77,1,4,1539869401302
0,12,12,20.46,21.71,1,1,1539869401302
0,12,2,20.46,21.71,1,2,1539869401302
0,12,12,20.46,21.71,1,1,1539869401303
0,12,17,20.46,21.71,1,2,1539869401303
0,12,18,20.46,21.71,1,3,1539869401303
0,12,7,20.46,21.71,1,3,1539869401306
0,12,18,20.46,21.71,1,2,1539869401306
0,12,18,21.64,21.71,6,2,1539869401306
0,12,15,21.64,21.71,5,1,1539869401306
0,12,18,21.64,21.71,5,2,1539869401306
0,12,12,21.64,21.77,5,4,1539869401306
0,12,12,21.64,21.71,5,1,1539869401312
0,12,18,21.64,21.71,5,1,1539869401314
0,12,8,21.64,21.71,5,1,1539869401314
0,12,7,21.64,21.71,5,1,1539869401314
0,12,15,21.64,21.71,5,1,1539869401314
0,12,12,21.64,21.77,5,4,1539869401314
0,12,12,21.64,21.77,5,4,1539869401315
0,8,12,21.64,21.77,1,4,1539869401319
0,8,12,21.64,21.74,1,1,1539869401319
0,8,12,21.64,21.71,1,1,1539869401319
0,8,12,21.64,21.69,1,2,1539869401324
0,12,12,21.64,21.69,2,2,1539869401327
0,12,11,21.64,21.64,2,1,1539869401329
0,12,11,21.21,21.64,2,1,1539869401335
0,11,11,21.21,21.64,1,1,1539869401335
0,12,11,20.79,21.64,2,1,1539869401342
0,12,11,20.79,21.64,1,1,1539869401342
0,11,11,20.79,21.64,1,1,1539869401343
0,11,11,20.55,21.64,1,1,1539869401347
0,11,12,20.55,21.5,1,3,1539869401347
0,11,12,20.55,21.5,1,5,1539869401361
0,12,12,20.56,21.5,2,5,1539869401369
