c,bE,aE,bP,aP,bS,aS,t
0,11,11,29.35,31.73,3,3,1537516800051
0,11,11,29.35,30.54,3,1,1537516800052
0,11,11,29.35,30.54,4,1,1537518029264
0,11,11,30,30.54,1,1,1537523137337
0,11,11,29.35,30.54,4,1,1537523212848
0,11,11,30.11,30.54,1,1,1537526729107
0,8,8,30.25,30.5,6,10,1537527600020
0,11,8,30.11,30.5,1,10,1537527600020
0,8,8,30.36,30.5,1,10,1537527616680
0,8,11,30.36,30.49,1,1,1537527616681
0,8,11,30.4,30.49,1,1,1537527844778
0,8,11,30.45,30.49,1,1,1537527954189
0,8,11,30.36,30.49,1,1,1537527961668
0,8,11,30.25,30.49,6,1,1537528132583
0,8,11,30.25,30.35,6,1,1537528132584
0,8,11,30.25,30.49,6,1,1537528147991
0,8,11,30.25,30.49,2,1,1537528147993
0,8,11,30.25,30.49,4,1,1537529519733
0,8,11,30.07,30.49,2,1,1537529737829
0,8,11,30.25,30.49,1,1,1537529737829
0,8,11,30.08,30.49,10,1,1537530061378
0,8,8,30.08,30.48,10,5,1537530144734
0,8,8,30.08,30.48,10,10,1537530170912
0,8,11,30.08,30.46,10,2,1537530186573
0,8,8,30.08,30.48,10,10,1537530622008
0,11,8,30.09,30.48,1,10,1537530828634
0,11,11,30.09,30.39,1,11,1537531175264
0,11,11,30.09,30.39,1,10,1537531200054
0,11,11,30.25,30.39,1,10,1537531251683
0,11,11,30.09,30.39,1,10,1537531266425
0,12,11,30.1,30.39,2,10,1537531326938
0,12,11,30.1,30.39,1,10,1537531517009
0,11,11,30.09,30.39,1,11,1537531766816
0,11,11,30.09,30.39,1,10,1537531766816
0,11,11,30.09,30.39,1,10,1537531766816
0,8,12,30.08,30.33,10,1,1537531767248
0,8,11,30.08,30.39,10,10,1537531767248
0,8,11,30.08,30.39,10,10,1537531767727
0,8,11,30.08,30.39,9,10,1537531768705
0,11,11,30.1,30.39,2,10,1537531853041
0,11,11,30.1,30.39,2,11,1537532290821
0,11,12,30.1,30.38,2,10,1537532297064
0,11,11,30.1,30.34,2,1,1537532316637
0,18,12,30.15,30.38,1,10,1537532621122
0,11,12,30.1,30.38,2,10,1537532621122
0,11,12,30.1,30.38,2,10,1537532683875
0,7,12,30.15,30.38,1,10,1537532683875
0,11,12,30.2,30.38,3,10,1537532697224
0,11,12,30.2,30.38,3,7,1537532769726
0,11,12,30.2,30.38,4,7,1537532785014
0,11,12,30.1,30.38,3,7,1537532837477
0,8,12,30.3,30.38,3,7,1537532838369
0,11,12,30.1,30.38,3,7,1537532839271
0,11,12,30.1,30.27,3,23,1537532839274
0,11,12,30.1,30.27,2,23,1537532839342
0,11,12,30.1,30.38,2,7,1537532846679
0,11,11,30.1,30.35,2,10,1537532948341
0,11,11,30.19,30.35,1,10,1537533002526
0,11,12,30.19,30.38,1,7,1537533032270
0,11,11,30.19,30.35,1,3,1537533032270
0,11,12,30.1,30.38,2,7,1537533040558
0,18,12,30.16,30.38,1,2,1537533203561
0,11,12,30.1,30.38,2,2,1537533203561
0,11,12,30.35,30.38,2,2,1537533231117
0,11,12,30.1,30.38,2,2,1537533231124
0,11,12,30.35,30.38,1,2,1537533489248
0,11,12,30.1,30.38,2,2,1537533489673
0,11,12,30.1,30.32,2,24,1537533489676
0,11,12,30.1,30.38,2,2,1537533498206
0,11,12,30.1,30.38,3,2,1537533554577
0,11,12,30.1,30.35,3,1,1537533656372
0,11,12,30.1,30.38,3,2,1537533657110
0,11,12,30.1,30.3,3,1,1537533657602
0,11,12,30.1,30.38,3,2,1537533658082
0,11,12,30.1,30.38,3,2,1537533658520
0,11,12,30.1,30.2,3,1,1537533658520
0,11,12,30.1,30.38,2,2,1537533658520
0,11,12,30.25,30.38,3,2,1537533727133
0,11,12,30.35,30.38,5,2,1537533744698
0,11,12,30.25,30.38,3,2,1537533744703
0,11,12,30.1,30.38,2,2,1537533755896
0,8,12,30.35,30.38,3,2,1537533756033
0,11,12,30.1,30.38,2,2,1537533772253
0,11,12,30.2,30.38,1,2,1537533809021
0,11,12,30.2,30.24,1,3,1537533822290
0,11,12,30.1,30.24,2,3,1537533881955
0,11,11,30.1,30.37,2,2,1537533917356
0,11,12,30.1,30.38,2,2,1537533938662
0,11,11,30.1,30.24,2,2,1537533938715
0,11,12,30.1,30.38,2,2,1537534113316
0,11,11,30.1,30.2,2,2,1537534113370
0,11,11,30.1,30.2,1,2,1537534133151
0,11,11,30.08,30.2,1,2,1537534141563
0,11,11,30.08,30.2,1,1,1537534153493
0,11,12,30.08,30.1,1,1,1537534159349
