c,bE,aE,bP,aP,bS,aS,t
0,12,11,132.3,133.35,3,2,1539820800008
0,11,11,128.06,138.2,5,9,1539849600018
0,11,11,128.06,136.7,5,1,1539849600021
0,11,11,130,136.7,2,1,1539849600022
0,11,11,130,136.7,2,2,1539855210807
0,11,11,130,136.7,2,1,1539859676473
0,11,11,130,136.69,2,2,1539859908215
0,11,11,130,136.7,2,1,1539859909219
0,11,8,130,136.5,2,1,1539860400089
0,8,11,130,135.18,2,2,1539860405282
0,11,11,130,135.18,12,2,1539860405282
0,11,11,130.15,135.18,1,2,1539860405283
0,11,11,131.36,135.18,1,2,1539860406216
0,11,11,133.2,135.18,1,2,1539860406332
0,11,11,133.2,135,1,4,1539860410765
0,11,11,131.36,135,1,4,1539860412063
0,11,12,131.36,133.2,1,3,1539860412064
0,11,11,131.36,135,1,4,1539860414168
0,11,11,131,135,1,4,1539860443571
0,11,11,131,131.36,1,8,1539860443594
0,11,11,131,131.36,1,6,1539860462199
0,11,11,130,131.36,15,6,1539860464703
0,11,11,130,135,15,4,1539860466124
0,11,11,131,135,1,4,1539860467517
0,11,11,131,133.2,1,2,1539860484025
0,11,11,131,135,1,4,1539860529153
0,11,11,130.5,135,2,4,1539860531573
0,11,11,131,135,1,4,1539860531612
0,12,11,133,135,1,4,1539860541614
0,12,11,133,133.2,1,2,1539860550244
0,11,11,131,133.2,1,2,1539860561073
0,11,12,131,133,1,4,1539860561074
0,11,11,131,133.2,1,2,1539860562859
0,11,11,131,133.2,1,3,1539860604453
0,11,11,131,135,1,4,1539860626869
0,12,11,131.18,135,1,4,1539860635248
0,11,11,132,135,4,4,1539860898060
0,11,11,132,134,4,1,1539860981532
0,11,11,133,134,1,1,1539861199417
0,11,11,132,134,4,1,1539861199421
0,11,18,132,133.8,4,1,1539861199421
0,11,2,132,133.8,4,1,1539861239904
0,11,7,132,133.8,4,1,1539861239904
0,11,11,132,134,4,1,1539861239904
0,11,11,132,134,5,1,1539861274432
0,11,11,132,134,4,1,1539861363844
0,11,11,132,133,4,2,1539861559125
0,11,11,132,134,4,1,1539861599725
0,11,11,132.01,134,5,1,1539861647062
0,11,11,132.02,134,1,1,1539861670296
0,11,11,132.02,133.9,1,4,1539862168976
0,11,11,132.02,132.5,1,1,1539862267753
0,11,11,132.01,132.5,5,1,1539862284903
0,11,12,132.01,132.01,5,4,1539862284904
0,11,11,132.01,132.5,1,1,1539862284904
0,11,11,132.01,132.5,5,1,1539862284904
0,11,11,132,132.5,4,1,1539862291699
0,12,11,131.18,132.5,1,1,1539862293634
