c,bE,aE,bP,aP,bS,aS,t
0,11,11,37.5,44.74,1,1,1539936000034
0,11,8,37.5,44.5,1,10,1539946800007
0,11,8,38.52,44.5,10,10,1539946808554
0,11,8,39,44.5,1,10,1539946809990
0,11,8,39.5,40.5,2,1,1539949669326
0,11,8,39,40.5,1,1,1539949906064
0,11,18,39,40.3,1,1,1539949906064
0,11,8,39,40.5,1,1,1539949942277
0,11,7,39,40.3,1,1,1539949942277
0,11,8,39.75,40.5,2,1,1539950187704
0,11,8,39,40.5,1,1,1539950347133
0,11,8,39.25,40.5,3,1,1539951063352
0,11,8,39.3,40.5,1,1,1539952178825
0,11,8,39.5,40.5,3,1,1539952219248
0,11,8,39.3,40.5,4,1,1539952444815
0,11,8,39.51,40.5,10,1,1539953041526
0,11,8,39.3,40.5,4,1,1539953069266
0,11,11,39.3,40.5,4,1,1539953069409
0,11,11,39.3,40.5,1,1,1539954543971
0,11,11,39.25,40.5,3,1,1539955500315
0,11,12,39.25,40.48,3,3,1539955800720
0,11,12,39.25,40.48,3,3,1539955800720
0,11,12,39.31,40.48,10,3,1539955800855
0,11,12,39.31,40.5,10,21,1539955801288
0,17,12,39.32,40.5,3,21,1539955811695
0,17,17,39.32,40.49,3,3,1539955811695
0,11,17,39.31,40.49,10,3,1539955811722
0,11,12,39.31,40.5,10,21,1539955811722
0,11,12,39.36,40.5,5,21,1539955812970
0,11,12,39.31,40.5,10,21,1539955821056
0,18,12,39.36,40.5,1,21,1539955821056
0,17,12,39.37,40.5,3,21,1539955821230
0,18,12,39.36,40.5,1,21,1539955821256
0,18,12,39.36,40.5,1,20,1539955824026
0,18,17,39.36,40.49,1,3,1539955824043
0,18,12,39.36,40.5,1,20,1539955824063
0,19,12,39.37,40.48,1,1,1539955825085
0,18,12,39.36,40.48,1,1,1539955825085
0,19,12,39.37,40.48,1,2,1539955825962
0,18,12,39.37,40.48,1,2,1539955825962
0,19,12,39.37,40.48,1,2,1539955840123
0,18,12,39.4,40.48,1,2,1539955840347
0,18,12,39.41,40.48,1,2,1539955840801
0,18,11,39.41,40.48,1,3,1539955857996
0,12,11,39.48,40.48,5,3,1539955858143
0,12,11,39.48,40,5,1,1539955859646
0,12,19,39.48,40,5,2,1539955860000
0,12,12,39.48,39.87,5,1,1539955864297
0,12,12,39.48,39.87,5,2,1539955864397
0,11,19,39.48,39.87,1,2,1539955870500
0,19,17,39.33,39.86,1,4,1539955875445
0,11,17,39.48,39.86,1,4,1539955875445
0,11,17,39.31,39.73,10,3,1539955875445
0,19,17,39.33,39.73,1,3,1539955875445
0,11,19,39.31,39.49,10,1,1539955875445
0,11,17,39.31,39.73,10,3,1539955875447
0,11,17,39.32,39.73,1,3,1539955875447
0,11,19,39.32,39.73,1,3,1539955875469
0,11,17,39.32,39.78,1,1,1539955875476
0,11,8,39.32,39.86,1,4,1539955875476
0,11,12,39.32,39.85,1,1,1539955875595
0,11,12,39.31,39.85,10,1,1539955875597
0,11,12,39.31,39.84,10,2,1539955876345
0,11,12,39.31,39.76,10,1,1539955876345
0,11,12,39.31,39.84,10,3,1539955876345
0,11,12,39.31,39.75,9,1,1539955876346
0,11,12,39.31,39.75,10,1,1539955876346
0,11,12,39.25,39.75,3,1,1539955876346
0,11,15,39.25,39.62,3,1,1539955876347
0,17,15,39.26,39.62,3,1,1539955876347
0,11,12,39.31,39.74,1,1,1539955876347
0,11,12,39.31,39.75,1,1,1539955876347
0,17,12,39.26,39.75,3,1,1539955876347
0,17,12,39.26,39.74,3,1,1539955876347
0,11,12,39.31,39.74,2,1,1539955876349
0,11,12,39.31,39.74,2,1,1539955876376
0,11,19,39.31,39.73,2,1,1539955876376
0,11,12,39.31,39.74,2,2,1539955876442
0,11,8,39.31,39.74,2,1,1539955876497
0,11,12,39.31,39.74,2,1,1539955876497
0,17,17,39.32,39.73,3,3,1539955877170
0,17,12,39.32,39.74,3,1,1539955877170
0,11,12,39.31,39.74,2,1,1539955877210
0,11,17,39.31,39.73,2,3,1539955877210
0,11,12,39.31,39.73,2,1,1539955880854
0,11,17,39.25,39.65,3,3,1539955880854
0,11,12,39.25,39.73,3,1,1539955880854
0,12,17,39.2,39.57,1,1,1539955880854
0,11,17,39.25,39.57,3,1,1539955880854
0,11,17,39.15,39.4,2,1,1539955880855
0,11,17,39.25,39.4,1,1,1539955880855
0,11,17,39.15,39.57,2,1,1539955880855
0,11,12,39.25,39.39,1,1,1539955880855
0,11,12,39.15,39.39,2,2,1539955880855
0,11,12,39.25,39.39,1,2,1539955880855
0,19,12,39.17,39.39,1,2,1539955880856
0,12,12,39.12,39.39,1,2,1539955880856
0,12,12,39.12,39.38,1,1,1539955880856
0,19,12,39.17,39.38,1,1,1539955880856
