c,bE,aE,bP,aP,bS,aS,t
0,11,11,53.75,56.95,10,7,1539950371499
0,12,11,0.01,56.95,1,7,1539950531218
0,12,8,0.01,55,1,9,1539952477715
0,11,8,26.82,55,1,9,1539953024526
0,11,8,26.82,55,2,9,1539953031086
0,12,8,37.96,55,1,9,1539954637104
0,12,8,38.93,55,1,9,1539954638994
0,12,8,39.9,55,1,9,1539954639162
0,12,8,40.87,55,1,9,1539954639365
0,12,8,41.84,55,1,9,1539954639553
0,12,8,42.84,55,1,9,1539954641748
0,12,8,43.85,55,1,9,1539954644351
0,11,8,47.97,55,1,9,1539955681213
0,11,8,47.97,55,2,9,1539955681359
0,11,8,47.97,55,3,9,1539955681817
0,11,8,47.97,55,4,9,1539955704838
0,11,8,54,55,10,9,1539955774701
0,12,8,53.17,55,1,9,1539955800034
0,11,8,53.54,55,1,9,1539955800037
0,12,8,53.17,55,1,9,1539955800094
0,11,8,52.11,55,1,9,1539955800153
0,12,8,51.84,55,4,9,1539955800160
0,12,8,53.8,55,1,9,1539955800610
0,11,8,53.8,55,1,9,1539955802287
0,12,8,53.8,55,1,9,1539955803020
0,12,10,53.8,54.46,1,4,1539955804625
0,12,10,53.8,54.46,1,5,1539955807289
0,12,10,53.8,54.46,1,6,1539955808387
0,12,10,53.8,54.46,1,7,1539955818367
0,12,10,53.8,54.46,1,6,1539955820499
0,12,10,53.8,54.46,1,7,1539955830883
0,12,10,53.8,54.46,2,7,1539955831594
0,12,10,53.8,54.46,2,6,1539955832072
0,12,10,53.8,54.46,2,7,1539955838650
0,12,10,53.8,54.46,2,6,1539955838859
0,12,10,53.8,54.46,2,7,1539955841932
0,12,10,53.8,54.46,2,6,1539955850181
0,12,10,53.8,54.46,2,7,1539955856595
0,12,10,53.8,54.46,2,3,1539955860201
0,12,10,53.8,54.46,2,2,1539955866923
0,12,10,53.8,54.46,2,1,1539955868289
0,12,11,53.8,54.45,2,1,1539955910818
0,19,11,53.84,54.45,1,1,1539955922595
0,12,11,53.89,54.45,1,1,1539955922595
0,12,11,53.84,54.45,1,1,1539955922595
0,12,11,53.89,54.45,1,1,1539955922595
0,12,11,53.89,53.99,1,1,1539955922595
0,19,11,53.99,54.45,1,1,1539955922595
0,12,11,53.89,54.45,1,1,1539955922595
0,17,11,53.84,54.45,1,1,1539955922625
0,12,11,53.8,54.45,2,1,1539955922812
0,12,11,53.8,54.27,2,1,1539955927000
0,12,11,53.8,54.03,2,1,1539955927022
0,12,11,53.8,54.27,2,1,1539955927023
0,12,12,53.8,54.03,2,1,1539955927023
0,12,15,53.8,54.45,2,1,1539955927023
0,12,8,53.8,53.81,1,1,1539955933929
0,12,8,53.8,53.81,2,1,1539955933929
0,19,8,53.75,53.81,3,1,1539955933929
0,12,8,53.8,53.81,1,1,1539955933929
0,12,8,53.8,53.81,1,1,1539955933929
0,12,8,53.8,53.8,1,1,1539955933929
0,19,8,53.75,53.8,3,1,1539955933929
0,19,8,53.75,53.8,3,1,1539955933929
0,12,8,53.8,53.8,1,1,1539955933929
0,19,12,53.75,53.81,3,1,1539955933929
0,12,12,53.8,53.81,1,1,1539955933929
0,19,12,53.75,53.81,3,1,1539955933929
0,12,12,53.8,53.81,1,1,1539955933929
0,18,11,53.77,53.95,1,2,1539955933929
0,18,12,53.77,53.81,1,1,1539955933929
0,12,11,53.8,53.95,1,2,1539955933929
0,12,12,53.8,53.81,1,1,1539955933929
0,18,11,53.77,53.95,1,2,1539955933929
0,18,12,53.77,53.81,1,1,1539955933929
0,18,11,53.77,53.95,1,2,1539955933929
0,12,11,53.8,53.95,1,2,1539955933929
0,19,11,53.75,53.95,3,2,1539955933929
0,19,8,53.75,53.81,3,1,1539955933929
0,12,11,53.75,53.95,2,2,1539955933930
0,12,8,53.8,53.91,1,1,1539955933930
0,12,19,53.75,53.91,2,1,1539955933930
0,12,8,53.75,53.91,2,1,1539955933930
0,12,12,53.75,53.89,2,1,1539955933930
0,12,8,53.75,53.91,2,1,1539955933930
0,12,12,53.8,53.89,1,1,1539955933930
0,12,19,53.75,53.91,2,1,1539955933930
0,12,19,53.8,53.91,1,1,1539955933930
0,12,19,53.75,53.85,2,1,1539955933930
0,12,19,53.8,53.85,1,1,1539955933930
0,12,19,53.75,53.85,2,2,1539955933930
0,12,19,53.75,53.85,2,1,1539955933930
0,12,12,53.75,53.84,2,1,1539955933930
0,12,19,53.8,53.85,1,3,1539955933930
0,12,19,53.75,53.85,2,3,1539955933930
0,12,12,53.8,53.84,1,1,1539955933930
