c,bE,aE,bP,aP,bS,aS,t
0,12,11,69,74.08,2,1,1539244807629
0,12,11,69,71.52,2,1,1539245578379
0,12,11,69,74.08,2,1,1539246266839
0,12,11,69,71.27,2,1,1539246268597
0,12,11,69,74.08,2,1,1539248786058
0,12,11,69,72.31,2,1,1539254485878
0,12,11,69,72.31,2,2,1539254583602
0,12,11,69,72.31,2,2,1539255327590
0,12,11,71.6,72.31,1,2,1539255327590
0,12,11,69,72.31,2,2,1539255600097
0,12,8,69,72,2,1,1539255600097
0,8,11,72.25,72.31,1,2,1539255600097
0,8,11,70.68,72.31,3,2,1539255600102
0,8,12,70.68,73,3,5,1539255605203
0,11,12,72,73,1,5,1539255607121
0,8,12,70.68,73,3,5,1539255608810
0,8,11,70.68,72,3,1,1539255616584
0,11,11,70.68,72,4,1,1539255616643
0,11,11,70.68,72,5,1,1539255618607
0,11,11,70.68,71.99,5,1,1539255623992
0,11,11,70.68,71.96,5,1,1539255629862
0,8,11,70.68,71.96,3,1,1539255643362
0,11,11,70.68,71.96,4,1,1539255643362
0,8,11,70.68,71.9,3,1,1539255643727
0,8,11,70.68,71.89,3,1,1539255660154
0,8,11,70.68,71.88,3,1,1539255672759
0,8,11,70.68,71.87,3,1,1539255679125
0,8,11,70.68,71.88,3,1,1539255679370
0,8,11,70.68,71.89,3,2,1539255716883
0,8,11,70.68,71.86,3,1,1539255728702
0,8,11,70.68,71.87,3,1,1539255741784
0,8,11,70.68,71.89,3,1,1539255864317
0,8,12,70.68,73,3,5,1539255906228
0,8,12,70.68,73,4,5,1539255915388
0,8,12,72,73,1,5,1539255916147
0,8,12,72,73,2,5,1539255919148
0,8,12,72,73,1,5,1539255921733
0,8,12,72,73,2,5,1539255921753
0,8,12,72,73,1,5,1539255921796
0,11,12,70.68,73,3,5,1539255921796
0,8,12,72.01,73,1,5,1539255921877
0,8,12,72.01,73,2,5,1539255921883
0,8,12,72.01,73,1,5,1539255924546
0,8,12,72.01,73,2,5,1539255924567
0,8,12,72.01,73,1,5,1539255924607
0,11,12,70.68,73,3,5,1539255924607
0,8,12,72.02,73,1,5,1539255924883
0,8,12,72.02,73,2,5,1539255924888
0,8,12,72.02,73,1,5,1539255925168
0,8,12,72.02,73,2,5,1539255925189
0,11,12,70.68,73,3,5,1539255925227
0,8,12,72.02,73,1,5,1539255925227
0,8,12,72.03,73,1,5,1539255925305
0,8,12,72.03,73,2,5,1539255925310
0,8,12,72.03,73,1,5,1539255926035
0,8,12,72.03,73,2,5,1539255926054
0,8,12,72.03,73,1,5,1539255926091
0,11,12,70.68,73,3,5,1539255926092
0,8,12,72.04,73,1,5,1539255926172
0,8,12,72.04,73,2,5,1539255926173
0,8,12,72.04,73,1,5,1539255926499
0,11,12,70.68,73,3,5,1539255926500
0,11,12,72,73,1,5,1539255950409
0,8,12,72,73,2,5,1539255961242
0,11,12,70.68,73,3,5,1539255995482
0,8,12,72,73,1,5,1539256021317
0,11,12,70.68,73,3,5,1539256075455
0,11,18,70.68,72,3,1,1539256075459
0,11,12,70.68,73,3,5,1539256079652
0,11,12,70.68,72,3,3,1539256162660
0,11,12,70.68,72,3,2,1539256167379
0,11,12,70.68,73,3,5,1539256168336
0,11,12,70.68,72,3,3,1539256184056
0,11,12,70.68,72,3,2,1539256201886
0,8,12,70.68,72,3,2,1539256218637
0,8,12,70.68,72,2,2,1539256231311
0,8,12,70.68,72,3,2,1539256262145
0,8,12,70.68,72,3,6,1539256281265
0,8,11,70.68,71.9,3,1,1539256285322
0,8,12,70.68,71.9,3,4,1539256332965
0,8,12,70.68,71.9,4,4,1539256333342
0,8,12,70.68,71.9,5,4,1539256335627
0,8,12,70.68,71.9,4,4,1539256343114
0,8,12,70.68,71.9,3,4,1539256343140
0,8,12,70.68,71.9,4,4,1539256344405
