c,bE,aE,bP,aP,bS,aS,t
0,8,11,155,168,1,6,1539946809524
0,8,8,155,167,1,4,1539946846866
0,8,11,155,168,1,6,1539952642893
0,8,12,155,165,1,4,1539952642895
0,8,12,155,164.99,1,1,1539955775244
0,8,12,155,165,1,4,1539955779244
0,8,12,155,164.99,1,1,1539955780193
0,8,12,155,165,1,4,1539955784193
0,8,12,155,164.99,1,1,1539955785239
0,8,12,155,165,1,4,1539955789239
0,8,12,155,164.99,1,1,1539955790067
0,8,12,155,165,1,4,1539955794067
0,8,12,155,164.99,1,1,1539955795248
0,8,12,155,165,1,4,1539955799248
0,8,12,155,165,1,5,1539955800396
0,8,12,155,165,1,5,1539955800396
0,12,12,155,165,2,5,1539955821711
0,12,12,155,165,2,4,1539955867347
0,8,12,155,165,1,4,1539955955624
0,8,11,155,156.75,1,1,1539956108971
0,8,12,155,159.38,1,1,1539956108972
0,11,12,156.75,159.38,1,1,1539956108973
0,12,12,155,159.38,1,1,1539956108973
0,12,12,155,159.38,1,1,1539956109068
0,8,11,155,162.57,1,1,1539956109972
0,8,19,155,159.94,1,1,1539956109972
0,8,12,155,165,1,4,1539956109994
0,12,12,155,165,1,4,1539956110043
0,12,11,155,160.15,1,1,1539956114177
0,8,11,155,160.15,1,1,1539956114178
0,12,11,155,160.15,1,1,1539956114186
0,8,11,155,160.15,1,1,1539956114314
0,8,19,155,160.76,1,1,1539956121354
0,8,11,155,163.35,1,1,1539956121600
0,8,11,155,158.68,1,1,1539956121601
0,8,12,155,158.73,1,2,1539956161003
0,8,11,155,157.97,1,1,1539956165454
0,12,11,155,157.97,1,1,1539956165456
0,8,11,155,157.97,1,1,1539956173823
0,12,8,155,157,1,1,1539956184767
0,8,8,155,157,1,1,1539956184767
0,12,8,156.87,157,1,1,1539956197887
0,12,19,156.87,157.62,1,1,1539956197887
0,8,11,157,157.97,1,1,1539956197887
0,12,11,156.87,157.97,1,1,1539956197887
0,8,11,157,160.14,1,1,1539956197888
0,8,11,157,158.02,1,1,1539956197888
0,12,11,155.3,160.14,1,1,1539956197890
0,12,11,155.3,161.13,1,1,1539956197892
0,12,19,155.3,163.28,1,1,1539956197893
0,8,19,155,163.28,1,1,1539956197922
0,11,19,155.94,163.28,1,1,1539956198154
0,11,11,155.94,163.28,1,1,1539956198491
0,11,12,155.94,165,1,4,1539956198492
0,12,12,155.93,165,2,4,1539956315765
0,12,12,155.93,165,1,4,1539956317800
0,11,12,156.9,165,1,4,1539956321454
0,12,12,156.9,165,2,4,1539956333655
0,12,12,156.9,160.48,2,1,1539956401463
0,12,12,156.9,160.48,3,1,1539956409223
0,12,12,156.9,160.48,4,1,1539956413476
0,11,12,156.9,160.48,4,1,1539956425401
0,12,12,158.01,160.48,1,1,1539956456537
0,12,12,158,160.48,1,1,1539956457248
0,12,12,158.01,160.48,1,1,1539956457250
0,12,12,158,160.48,1,1,1539956457251
0,12,12,158.01,160.48,1,1,1539956457253
0,12,12,158.01,160.48,2,1,1539956457533
0,12,12,158.01,160.48,3,1,1539956458477
0,12,11,158.01,160.15,3,1,1539956498154
0,12,11,158.02,160.15,1,1,1539956518501
0,12,11,158.02,160.15,2,1,1539956518501
0,12,12,158.02,160.48,2,1,1539956518504
0,12,12,158.03,160.48,1,1,1539956518505
0,12,12,158.03,160.48,2,1,1539956519476
0,12,12,158.03,160.48,3,1,1539956524858
0,12,12,158.03,160.48,4,1,1539956533230
0,12,12,158.03,160.48,3,1,1539956534901
0,12,12,159,160.48,1,1,1539956534901
0,12,12,158.03,160.48,2,1,1539956534902
