c,bE,aE,bP,aP,bS,aS,t
0,11,12,51.75,51.95,3,5,1539302400021
0,11,11,46.89,54,3,7,1539331200030
0,11,11,50.01,54,1,7,1539331200031
0,11,11,51,54,1,7,1539331200031
0,11,11,51,53.55,1,1,1539331200032
0,11,11,51.49,53.55,5,1,1539331459605
0,11,11,51.55,53.55,2,1,1539333301587
0,11,11,51.55,52.55,2,2,1539333583399
0,11,11,51.55,53.55,2,1,1539333592859
0,11,11,51.55,52.45,2,2,1539333596263
0,11,11,51.55,53.55,2,1,1539333599363
0,11,11,51.55,52.25,2,2,1539333601575
0,11,11,51.55,52.25,1,2,1539333610134
0,11,11,51.56,52.25,1,2,1539334171688
0,11,11,51.56,53.86,1,1,1539337753098
0,11,11,51.56,52.46,1,1,1539337763998
0,11,11,51.56,53.86,1,1,1539337766586
0,11,11,51.56,52.26,1,1,1539337775302
0,11,11,51.56,53.86,1,1,1539337786122
0,11,11,51.56,53.86,2,1,1539337975644
0,11,11,51.56,52.26,2,1,1539338247836
0,11,11,51.56,53.86,2,1,1539338250000
0,11,11,51.56,52.16,2,1,1539338255531
0,11,11,51.56,53.86,2,1,1539338636736
0,11,11,51.56,52.04,2,1,1539338637511
0,11,11,51.56,52.5,2,3,1539339917404
0,11,11,51.56,52.04,2,1,1539340042022
0,11,11,51.56,52.5,2,3,1539340858673
0,11,11,51.56,52.5,2,5,1539340885355
0,11,11,51.56,52.5,2,2,1539341443304
0,11,11,51.56,52.2,2,3,1539341448705
0,11,11,51.56,52,2,10,1539341554533
0,11,11,51.56,51.99,2,3,1539341586544
0,11,11,51.56,51.98,2,2,1539341602823
0,11,11,51.56,51.95,2,4,1539341699042
0,11,11,51.56,51.8,2,3,1539341945781
0,11,11,51.56,51.95,2,4,1539341957273
0,11,11,51.56,51.8,2,10,1539341975037
0,11,11,51.57,51.8,10,10,1539342003570
0,11,11,51.6,51.8,20,10,1539342037306
0,11,11,51.6,51.95,20,4,1539342058911
0,11,11,51.7,51.95,3,4,1539342089285
0,11,11,51.7,51.8,3,5,1539342127401
0,11,11,51.6,51.8,20,5,1539342186468
0,11,11,51.6,51.8,20,4,1539342224138
0,11,11,51.7,51.8,1,4,1539342261847
0,11,11,51.75,51.8,50,4,1539342287264
0,11,11,51.75,51.95,50,4,1539342292499
0,8,11,51.7,51.95,1,4,1539342309290
0,11,11,51.7,51.95,21,4,1539342381046
0,11,11,51.7,51.95,21,3,1539342385053
0,8,11,51.7,51.95,1,3,1539342404300
0,11,11,51.72,51.95,20,3,1539342404324
0,8,11,51.7,51.95,1,3,1539342456578
0,11,11,51.76,51.95,20,3,1539342456603
0,8,11,51.7,51.95,1,3,1539342485880
0,11,11,51.8,51.95,20,3,1539342485905
0,11,11,51.8,51.95,70,3,1539342525792
0,8,11,51.91,51.95,3,3,1539342535029
0,11,11,51.91,51.95,1,3,1539342535029
0,8,11,51.91,51.98,3,2,1539342535111
0,8,11,51.91,51.97,3,1,1539342546414
0,8,11,51.91,52.05,3,3,1539342637732
0,11,11,51.91,52.05,2,3,1539342641947
0,19,11,51.91,52.05,1,3,1539342645384
0,12,18,51.91,52.02,2,1,1539342766503
0,12,11,51.91,52.05,2,3,1539342766503
0,19,18,51.91,52.02,1,1,1539342766503
0,19,11,51.91,52.05,1,3,1539342816811
0,8,11,51.92,52.05,4,3,1539342821240
0,8,11,51.92,51.99,4,3,1539342927861
0,11,11,51.95,51.99,40,3,1539343077429
0,8,11,51.92,51.99,4,3,1539343114141
0,8,11,51.92,51.99,4,2,1539343219939
0,19,11,51.91,51.99,1,2,1539343273487
0,8,11,51.92,51.99,1,2,1539343417703
0,8,11,51.92,51.99,1,1,1539343455618
0,8,11,51.92,52.05,1,3,1539343542091
0,8,8,51.92,52.15,1,1,1539343696262
0,11,8,52.05,52.15,7,1,1539343696931
0,11,8,52.1,52.15,1,1,1539343778785
0,11,11,52.1,52.5,1,2,1539343778980
0,11,11,52.1,52.49,1,2,1539343854058
0,11,11,52.1,52.25,1,5,1539343870955
0,11,11,52.05,52.25,7,5,1539343901115
0,11,11,52.2,52.25,1,5,1539343901177
0,8,11,52.2,52.25,5,5,1539343937590
0,8,11,52.2,52.49,1,2,1539343958514
0,8,11,52.2,52.49,5,2,1539343958514
0,11,11,52.05,52.49,7,2,1539344058501
0,11,11,52,52.49,5,2,1539344061470
0,11,11,52.22,52.49,7,2,1539344061598
0,11,11,52.22,52.5,7,2,1539344062350
0,11,11,52.22,52.5,6,2,1539344064008
0,11,11,52.22,52.5,1,2,1539344067946
0,11,18,52.22,52.44,1,1,1539344067947
0,11,18,52.22,52.44,6,1,1539344071797
0,11,11,52.22,52.5,6,2,1539344071798
0,11,11,52.22,52.5,1,2,1539344080711
0,11,11,52,52.5,2,2,1539344085618
0,11,11,52,52.49,2,1,1539344137066
0,11,11,52,52.4,2,3,1539344143601
0,11,8,52,52.3,2,4,1539344226247
0,11,11,52,52.29,2,3,1539344255626
0,11,11,52,52.29,2,2,1539344452065
0,11,11,52.25,52.29,3,2,1539344508202
0,11,11,52.25,52.29,2,2,1539344598739
0,11,11,52,52.29,2,2,1539344604215
0,11,11,52,52.28,2,4,1539344643482
0,11,11,52,52.14,2,5,1539344700298
0,8,11,52.11,52.14,36,5,1539344755817
0,8,11,52.04,52.14,5,5,1539344773682
0,8,11,52.14,52.28,30,4,1539344773729
0,8,11,52.04,52.28,5,4,1539344773729
0,8,11,52.04,52.28,5,4,1539344812998
0,8,11,52.04,52.29,5,2,1539344813045
0,8,11,52.28,52.29,26,2,1539344813046
0,8,8,52.28,52.3,26,4,1539344815047
0,8,8,52.04,52.3,5,4,1539344825384
0,8,11,52.04,52.29,5,5,1539344981259
0,8,8,52.04,52.3,5,4,1539345032095
0,11,8,52.1,52.3,1,4,1539345096946
0,11,11,52.1,52.39,1,36,1539345153469
0,11,11,52.1,52.25,1,4,1539345168345
0,11,11,52.1,52.3,1,36,1539345304540
0,11,11,52.1,52.2,1,4,1539345311677
0,11,11,52.13,52.2,5,4,1539345430483
0,11,11,52.13,52.2,2,4,1539345459351
0,11,11,52.13,52.32,2,36,1539345483727
0,11,11,52.2,52.32,25,36,1539345484050
0,11,11,52.2,52.32,24,36,1539345499183
0,11,18,52.2,52.29,24,1,1539345499184
0,11,11,52.2,52.28,24,36,1539345527708
0,11,18,52.2,52.26,23,1,1539345565224
0,11,11,52.2,52.28,23,36,1539345565224
0,11,11,52.2,52.28,3,36,1539345591357
0,11,18,52.2,52.26,3,1,1539345591357
0,12,18,51.91,52.21,2,1,1539345600250
0,12,11,51.91,52.28,2,36,1539345600250
0,12,18,51.91,52.21,2,2,1539345600250
0,12,18,51.7,52.21,1,2,1539345600250
0,11,18,51.57,52.21,10,2,1539345600250
0,11,18,51.57,52.2,10,2,1539345600251
0,11,12,51.57,52.2,9,1,1539345600546
0,11,18,51.57,52.2,9,2,1539345600546
0,11,11,51.57,52.28,9,36,1539345600546
0,11,11,51.57,52.5,9,5,1539345602179
0,11,11,51.57,52.27,9,36,1539345602219
0,11,11,51.6,52.27,3,36,1539345612433
0,11,11,51.57,52.27,9,36,1539345615879
0,11,11,51.51,52.27,1,36,1539345616282
0,11,11,51.51,52.2,1,8,1539345618289
0,11,11,51.51,52.27,1,36,1539345619694
0,11,11,51.51,52.2,1,2,1539345620733
0,11,12,51.51,52.2,1,10,1539345624720
0,11,12,51.51,52.18,1,1,1539345627812
0,11,12,51.51,52.2,1,10,1539345639485
0,11,11,51.51,52.2,1,2,1539345643639
0,11,11,51.51,52,1,5,1539345658287
0,8,11,51.51,52,3,5,1539345660046
0,8,11,51.51,51.99,3,4,1539345672722
0,8,11,51.51,52,3,5,1539345677329
0,8,8,51.51,52.2,3,10,1539345678176
0,11,8,51.51,52.2,1,10,1539345679076
0,8,8,51.57,52.2,3,10,1539345679127
0,8,8,51.57,52.2,2,10,1539345687747
0,11,8,52,52.2,10,10,1539345696741
0,11,8,52,52.2,7,10,1539345705278
0,11,18,52,52.16,7,1,1539345705279
0,11,18,52,52.16,6,1,1539345706466
0,11,18,52,52.16,6,2,1539345706467
0,11,18,52,52.16,6,1,1539345706467
0,11,18,52,52.16,1,1,1539345707212
0,11,8,52,52.2,1,10,1539345707213
0,11,18,52,52.16,1,1,1539345707213
0,11,18,51.6,52.16,2,1,1539345707855
0,11,18,51.6,52.12,2,1,1539345707856
0,11,8,51.6,52.2,2,10,1539345708045
0,11,11,51.6,52,2,1,1539345708625
0,11,11,51.6,52,2,2,1539345718214
0,11,11,51.6,52,2,3,1539345718908
0,11,11,51.6,52,4,3,1539345737232
0,11,11,51.75,52,6,3,1539345740872
0,7,8,51.8,52.2,1,10,1539345754298
0,11,8,51.75,52.2,6,10,1539345754298
0,17,8,51.82,52.2,3,10,1539345754299
0,11,8,51.83,52.2,5,10,1539345771795
0,11,11,51.83,52.19,5,36,1539345776970
0,11,11,52,52.19,1,36,1539345779420
0,11,11,52,52.19,1,31,1539345781864
0,11,11,52,52.19,6,31,1539345785628
0,11,11,52,52.09,6,1,1539345785773
0,11,11,52.09,52.19,4,31,1539345812953
0,11,11,52.09,52.19,4,1,1539345831743
0,11,8,52.09,52.2,4,10,1539345831744
0,18,8,52.11,52.2,1,10,1539345831744
0,7,11,52.11,52.5,1,4,1539345833217
0,18,11,52.11,52.5,1,4,1539345833217
0,11,11,52.09,52.5,4,4,1539345833217
0,11,11,52.15,52.5,1,4,1539345835379
0,11,11,52.15,52.4,1,10,1539345836792
0,11,11,52.09,52.4,4,10,1539345837523
0,11,11,52.1,52.4,5,10,1539345837672
0,11,8,52.1,52.2,5,1,1539345837979
0,11,11,52.1,52.4,5,10,1539345839063
0,8,11,52.15,52.4,1,10,1539345841770
0,8,11,52.15,52.25,1,5,1539345851460
0,8,11,52.15,52.2,1,10,1539345852204
0,11,11,52.1,52.2,5,10,1539345858167
0,11,11,52.1,52.19,5,1,1539345864131
0,11,11,52.1,52.19,4,1,1539345866595
0,11,11,52.1,52.2,4,10,1539345867171
0,11,12,52.1,52.19,4,1,1539345867789
0,11,12,52.1,52.15,4,4,1539345870350
0,11,12,52.09,52.15,4,4,1539345870989
0,11,11,52.09,52.1,4,5,1539345870992
0,11,11,52.09,52.1,3,5,1539345872788
0,11,11,52,52.1,5,5,1539345874119
0,11,12,52,52.19,5,1,1539345880694
0,11,12,52,52.19,4,1,1539345881117
0,11,12,51.83,52.19,5,1,1539345881959
0,11,12,51.83,52.19,5,2,1539345887391
0,12,12,51.84,52.19,1,2,1539345890815
0,12,17,51.84,52.06,1,8,1539345891901
0,11,17,51.9,52.06,5,8,1539345892261
0,11,11,51.9,52,5,10,1539345898670
0,12,11,51.84,52,1,10,1539345903922
0,11,11,51.7,52,6,10,1539345917126
0,11,11,51.71,52,3,10,1539345921920
0,11,11,51.8,52,5,10,1539345923328
0,11,11,51.8,52,4,10,1539345924984
0,11,11,51.8,52,4,12,1539345944478
0,11,11,51.8,52,14,12,1539345970861
0,11,11,51.8,52,14,10,1539345984625
0,11,12,52,52,18,1,1539346029786
0,11,12,52,52,17,1,1539346029787
0,11,12,52,52,16,1,1539346029787
0,11,12,52,52,15,1,1539346029787
0,11,12,52,52,14,1,1539346029787
0,11,12,52,52,12,1,1539346029788
0,11,12,52,52,9,1,1539346029788
0,11,12,52,52,8,1,1539346029788
0,11,12,52,52,5,1,1539346029788
0,11,12,51.8,52,15,1,1539346029789
0,11,12,51.8,52,14,1,1539346029789
0,11,17,51.8,52.06,14,8,1539346029809
0,11,12,51.8,52,14,1,1539346029814
0,11,11,51.8,51.9,14,1,1539346046814
0,11,11,51.8,51.9,13,1,1539346050312
0,11,7,51.8,51.88,8,1,1539346055195
0,11,11,51.8,51.9,8,1,1539346055195
0,11,7,51.81,51.88,10,1,1539346090501
0,11,12,51.81,51.88,10,1,1539346090501
0,11,11,51.81,51.9,10,1,1539346090502
0,11,12,51.81,51.85,10,1,1539346097846
0,12,11,51.82,51.88,1,2,1539346114694
0,11,11,51.81,51.88,10,2,1539346114694
0,11,11,51.85,51.88,47,2,1539346114701
0,11,11,51.85,51.88,50,2,1539346116737
0,11,11,51.85,51.9,48,1,1539346117146
0,11,17,51.87,52.06,1,8,1539346119362
0,11,17,51.85,52.06,48,8,1539346119362
0,19,17,51.87,52.06,3,8,1539346119362
0,12,17,51.87,52.06,1,8,1539346119392
0,11,17,51.85,52.06,48,8,1539346119392
0,11,17,51.85,52.06,45,8,1539346136137
0,11,17,51.85,52.06,46,8,1539346141966
0,11,17,51.95,52.06,1,8,1539346164650
0,11,11,51.95,52.06,1,10,1539346177528
0,8,11,51.98,52.06,44,10,1539346191361
0,8,17,51.98,52.06,44,8,1539346196508
0,8,12,51.98,52.06,44,7,1539346196509
0,18,12,52,52.19,1,1,1539346198088
0,8,12,51.98,52.19,44,1,1539346198088
0,12,12,52,52.19,1,1,1539346198113
0,8,12,51.98,52.19,44,1,1539346198113
0,19,12,52.01,52.19,3,1,1539346198113
0,8,12,52.01,52.19,3,1,1539346198113
0,8,12,52.01,52.19,3,1,1539346198113
0,12,12,52.02,52.19,2,1,1539346198113
0,12,12,52.03,52.19,1,1,1539346198113
0,12,12,52.02,52.19,2,1,1539346198143
0,8,12,51.98,52.19,44,1,1539346198211
0,11,12,52,52.19,5,1,1539346200852
0,11,11,52,52.25,5,5,1539346200924
0,12,11,52.02,52.25,1,5,1539346205570
0,11,11,52,52.25,5,5,1539346205600
0,12,11,52.2,52.25,4,5,1539346211834
0,11,11,52,52.25,8,5,1539346215044
0,11,12,52,52.2,8,5,1539346215044
0,11,11,52,52.19,8,1,1539346220524
0,11,11,52,52.19,8,2,1539346220742
0,11,11,52,52.19,8,3,1539346229212
0,11,11,52,52.19,16,3,1539346236409
0,11,17,52,52.1,16,10,1539346243053
0,11,17,52,52.1,16,8,1539346254945
0,11,17,52,52.1,16,9,1539346254945
0,8,17,52.05,52.1,3,8,1539346273722
0,8,17,52.05,52.1,3,5,1539346281623
0,8,17,52.05,52.1,3,3,1539346283965
0,8,17,52.05,52.1,3,2,1539346284538
0,8,17,52.05,52.1,3,1,1539346284837
0,8,11,52.05,52.19,3,2,1539346285509
0,11,11,52.06,52.19,2,2,1539346293667
0,11,11,52.07,52.19,3,2,1539346309638
0,11,11,52.07,52.19,8,2,1539346321936
0,11,11,52.07,52.19,8,1,1539346335271
0,11,12,52.07,52.2,8,5,1539346336622
0,7,12,52.1,52.2,1,5,1539346336623
0,7,12,52.1,52.2,1,3,1539346336703
0,7,12,52.1,52.2,1,4,1539346336703
0,11,12,52.07,52.2,8,3,1539346336703
0,12,12,52.1,52.2,1,3,1539346336703
0,11,17,52.07,52.25,8,10,1539346342887
0,18,17,52.1,52.25,1,10,1539346342888
0,18,17,52.1,52.25,1,10,1539346342927
0,18,17,52.1,52.25,2,10,1539346342927
0,19,17,52.13,52.25,1,10,1539346342928
0,8,8,52.13,52.2,1,1,1539346343078
0,19,8,52.13,52.2,1,1,1539346343078
0,11,8,52.07,52.2,8,1,1539346343078
0,11,8,52.07,52.2,5,1,1539346343649
0,11,8,52.1,52.2,1,1,1539346345529
0,12,8,52.17,52.2,1,1,1539346354322
0,12,8,52.16,52.2,2,1,1539346354351
0,11,8,52.1,52.2,1,1,1539346354370
0,11,17,52.1,52.25,1,10,1539346354381
0,18,17,52.12,52.25,1,10,1539346354382
0,19,17,52.12,52.25,1,10,1539346354411
0,12,17,52.12,52.25,1,10,1539346354411
0,15,17,52.12,52.25,1,10,1539346354412
0,11,17,52.1,52.25,1,10,1539346355384
0,7,17,52.13,52.25,1,5,1539346376647
0,7,17,52.13,52.25,1,10,1539346376647
0,7,17,52.13,52.25,1,4,1539346377023
0,7,17,52.13,52.25,1,3,1539346377024
0,7,11,52.13,52.36,1,1,1539346377521
0,8,11,52.25,52.36,1,1,1539346377522
0,11,11,52.15,52.36,11,1,1539346403462
0,12,11,52.25,52.36,2,1,1539346408285
0,12,11,52.25,52.36,2,2,1539346413085
0,12,11,52.25,52.36,2,3,1539346413269
0,12,8,52.25,52.3,2,10,1539346415027
0,12,8,52.25,52.3,2,9,1539346415029
0,12,8,52.25,52.3,2,8,1539346416202
0,12,11,52.25,52.25,2,9,1539346416672
0,11,11,52.15,52.25,12,9,1539346416673
0,11,11,52.15,52.25,11,9,1539346421035
0,11,11,52.2,52.25,1,9,1539346421059
0,11,11,52.2,52.25,2,9,1539346426621
0,11,8,52.2,52.3,2,8,1539346434795
0,8,8,52.22,52.3,1,8,1539346434796
0,12,8,52.23,52.3,1,8,1539346434796
0,15,8,52.22,52.3,1,8,1539346434826
0,11,8,52.2,52.3,2,8,1539346434897
0,11,8,52.21,52.3,5,8,1539346489407
0,11,8,52.21,52.3,5,7,1539346498362
0,18,8,52.23,52.3,1,6,1539346503137
0,11,8,52.21,52.3,5,6,1539346503137
0,8,8,52.24,52.3,3,6,1539346503138
0,11,8,52.21,52.3,5,4,1539346506584
0,19,8,52.24,52.3,3,4,1539346506584
0,11,8,52.21,52.3,5,5,1539346508165
0,11,8,52.21,52.3,5,4,1539346508322
0,11,8,52.2,52.3,2,4,1539346536339
0,11,8,52.21,52.3,1,4,1539346545653
0,11,8,52.2,52.3,3,4,1539346553748
0,11,8,52.2,52.25,3,2,1539346553750
0,11,8,52.2,52.25,3,1,1539346567140
0,11,8,52.2,52.25,1,1,1539346571160
0,11,8,52.15,52.25,1,1,1539346571252
0,11,12,52.15,52.24,1,1,1539346571253
0,11,8,52.15,52.25,1,1,1539346571281
0,11,8,52.15,52.3,1,5,1539346573145
0,11,8,52.2,52.3,2,5,1539346577117
0,11,8,52.2,52.3,46,5,1539346600507
0,11,8,52.2,52.3,46,4,1539346613477
0,11,11,52.2,52.3,46,10,1539346613902
0,11,11,52.2,52.3,46,9,1539346640524
0,11,8,52.2,52.3,46,4,1539346666740
0,11,8,52.25,52.3,1,4,1539346666740
