c,bE,aE,bP,aP,bS,aS,t
0,12,11,31.76,33.5,3,3,1539734400007
0,11,11,22.89,43.95,1,1,1539763200021
0,11,11,23,43.95,2,1,1539768838286
0,8,8,31.75,34.75,1,1,1539774000014
0,8,11,31.75,33.5,1,3,1539774008256
0,8,8,31.75,34.75,1,1,1539774020844
0,18,8,32.1,34.75,1,1,1539774020845
0,11,8,33.1,34.75,1,1,1539774043753
0,8,8,32.01,34.75,2,1,1539774087724
0,11,8,33.5,34.75,3,1,1539774150025
0,11,8,33.75,34.75,3,1,1539774191051
0,11,11,33.75,34.5,3,1,1539774210881
0,11,11,33.75,34,3,1,1539774237646
0,11,11,33.75,34,2,1,1539774256239
0,11,8,33.75,34.75,1,1,1539774263938
0,8,8,34,34.75,5,1,1539774284964
0,8,8,34,36,5,10,1539774462575
0,8,11,34,35.95,5,5,1539774517846
0,11,11,34.75,35.95,18,5,1539774535702
0,11,11,34.75,35.95,18,3,1539774558589
0,11,11,34,35.95,2,3,1539774678226
0,11,11,34,35,2,1,1539774711099
0,11,8,34,34.5,2,2,1539774885156
0,11,11,34,35,2,1,1539774911531
0,11,11,33.75,35,6,1,1539774911576
0,11,11,33.75,34.99,6,1,1539774952552
0,11,11,33.75,34.75,6,2,1539775004051
0,11,18,33.75,34.6,6,1,1539775028761
0,11,7,33.75,34.48,6,1,1539775041572
0,11,11,33.75,34.7,6,6,1539775050804
0,11,11,33.76,34.7,2,6,1539775118414
0,11,11,34,34.7,1,6,1539775431843
0,11,11,33.76,34.7,2,6,1539775465910
0,11,11,33.76,34.5,2,1,1539775479973
0,11,11,33.76,34.7,2,6,1539775505811
0,11,8,33.76,34.5,2,1,1539775505852
0,11,8,34,34.5,1,1,1539775936572
0,8,8,34,34.5,20,1,1539776385906
0,8,11,34,34.5,20,2,1539776425726
0,11,11,34,34.5,1,2,1539776434045
0,11,11,34.25,34.5,20,2,1539776434092
0,11,11,34.25,34.5,19,2,1539776469686
0,11,11,34.3,34.5,1,2,1539776754005
0,11,11,34.3,34.7,1,6,1539776780140
0,8,11,34.5,34.7,1,6,1539776780143
0,11,11,34.3,34.7,1,6,1539776787480
0,11,11,34.3,34.7,1,4,1539776787481
0,11,11,34.3,34.9,1,1,1539776876770
0,11,11,34.7,34.9,14,1,1539776877363
0,11,11,34.7,35.5,14,10,1539776878778
0,11,11,34.3,35.5,1,10,1539776940886
0,11,11,34.9,35.5,14,10,1539776940932
0,18,8,35.02,36,1,10,1539776965578
0,11,8,34.9,36,14,10,1539776965578
0,11,8,35.5,36,16,10,1539776965580
0,11,8,35.5,36,15,10,1539776965583
0,11,8,35,36,15,10,1539776974683
0,11,8,35.1,36,14,10,1539777013091
0,11,11,35.1,36.1,14,1,1539777019443
0,11,11,35.5,36.1,1,1,1539777081117
0,11,11,36,36.1,14,1,1539777105294
0,11,8,36,36.5,14,10,1539777106944
0,11,8,35.5,36.5,1,10,1539777108386
0,11,8,36,36.5,13,10,1539777108386
0,11,11,35.5,36.4,1,1,1539777147520
0,11,11,35.5,36.3,1,3,1539777160225
0,11,11,35.5,36.4,1,1,1539777176010
0,11,11,36.01,36.4,1,1,1539777185787
0,11,11,36.01,36.4,1,2,1539777354351
0,11,11,35.5,36.4,1,2,1539777490102
0,11,18,35.5,36.32,1,1,1539777490103
0,11,18,35,36.32,15,1,1539777553002
0,11,7,35,36.32,15,1,1539777553002
0,11,11,35,36.4,15,2,1539777553002
0,11,11,35,36.39,15,5,1539777635524
0,11,11,35,36,15,2,1539777745384
0,11,11,35,36,15,4,1539777796847
0,11,11,34.7,36,15,4,1539778212136
0,11,11,34.7,35.5,15,2,1539778220030
0,11,11,34.3,35.5,1,2,1539778231790
0,12,11,34.25,35.5,1,2,1539778237563
0,11,11,34.28,35.5,1,2,1539778237569
0,12,11,34.25,35.5,1,2,1539778243744
0,11,11,34.08,35.5,1,2,1539778247384
0,19,11,34.29,35.5,1,2,1539778247393
0,19,11,34.29,36,1,4,1539778334790
0,11,11,34.3,36,10,4,1539778543616
0,11,11,34.38,36,1,4,1539778562028
0,11,11,34.3,36,10,4,1539778563422
0,11,11,34.48,36,1,4,1539778563429
