c,bE,aE,bP,aP,bS,aS,t
0,12,12,0.01,85.1,1,259,1539865139978
0,11,12,41.82,85.1,1,259,1539866987062
0,11,12,41.82,85.1,2,259,1539866996059
0,11,12,41.82,85.1,2,259,1539867237182
0,11,12,41.82,85.1,2,260,1539867416796
0,12,12,57.05,85.1,1,260,1539868257820
0,12,12,58.47,85.1,1,260,1539868258742
0,12,12,59.89,85.1,1,260,1539868260584
0,12,12,61.33,85.1,1,260,1539868262784
0,12,12,62.79,85.1,1,260,1539868265188
0,12,12,64.26,85.1,1,260,1539868268393
0,12,12,64.26,85.1,1,10,1539868720939
0,12,12,64.26,85.1,1,9,1539868761019
0,12,12,64.26,85.1,1,10,1539868761020
0,11,12,76.95,85.1,1,10,1539869280880
0,11,12,76.95,85.1,2,10,1539869281051
0,11,12,76.95,85.1,3,10,1539869299490
0,11,12,76.95,85.1,3,14,1539869400009
0,11,12,76.95,85.1,3,15,1539869400041
0,11,12,76.95,85.1,3,16,1539869400061
0,11,12,76.95,85.1,3,18,1539869400101
0,12,12,80.88,84.58,3,10,1539869400107
0,12,12,80.88,84.58,3,10,1539869400107
0,12,12,80.88,81,3,1,1539869400108
0,12,12,80.88,82.62,3,1,1539869400109
0,12,17,80.88,83.86,3,1,1539869400109
0,12,12,80.88,82.62,3,1,1539869400110
0,12,17,80.88,83.86,3,1,1539869400111
0,12,11,80.88,82.62,3,1,1539869400117
0,12,17,80.88,83.86,3,1,1539869400119
0,12,8,80.88,83.86,3,1,1539869400120
0,12,12,80.88,83.86,3,1,1539869400122
0,12,12,80.88,83.86,3,8,1539869400152
0,12,7,80.88,81,3,1,1539869400163
0,12,12,80.88,83.86,3,7,1539869400163
0,12,12,80.88,82.62,3,2,1539869400175
0,12,12,80.88,82.62,3,1,1539869400175
0,12,11,80.88,82.62,3,1,1539869400176
0,12,12,80.88,82.62,3,2,1539869400180
0,12,12,80.88,82.62,3,6,1539869400192
0,12,12,80.88,82.62,3,3,1539869400316
0,12,12,80.88,82.62,3,2,1539869400367
0,12,12,80.88,82.62,3,1,1539869400521
0,12,12,79.93,82.62,1,1,1539869400848
0,12,12,80.64,82.62,1,1,1539869408226
0,19,12,80.32,82.62,1,1,1539869460782
0,12,12,79.93,82.62,1,1,1539869460783
0,18,12,79.93,82.62,1,2,1539869463419
0,18,12,79.93,82.62,1,3,1539869467032
0,18,12,79.93,82.62,1,4,1539869468544
0,8,12,80.67,82.62,1,4,1539869526815
0,8,12,80.67,82.62,1,5,1539869543539
0,8,12,80.67,82.62,1,6,1539869546203
0,8,19,80.67,82.61,1,1,1539869591779
0,8,12,80.67,82.61,1,3,1539869591789
0,8,12,80.67,82.61,1,4,1539869591789
0,8,12,80.67,82.61,1,3,1539869591986
0,8,12,80.67,82.61,1,4,1539869593935
0,8,12,80.67,82.6,1,1,1539869594201
0,8,12,80.67,82.6,1,3,1539869594209
0,8,12,80.67,82.6,1,4,1539869596358
0,8,12,80.67,82.6,1,4,1539869596571
0,8,12,80.67,82.6,1,5,1539869596571
0,8,11,80.67,82.59,1,1,1539869596572
0,8,12,80.67,82.59,1,2,1539869596580
0,19,12,80.67,82.59,1,2,1539869597823
0,8,12,80.67,82.59,1,2,1539869599785
0,8,12,80.67,82.59,1,3,1539869604068
0,8,12,80.67,82.59,1,4,1539869607833
0,19,8,80.67,82.58,1,1,1539869607834
0,19,12,80.67,82.58,1,3,1539869607843
0,19,12,80.67,82.58,1,2,1539869608036
0,19,12,80.67,82.58,1,3,1539869608539
0,19,12,80.67,82.29,1,1,1539869608577
0,19,11,80.67,82.28,1,1,1539869608578
0,19,12,80.67,82.28,1,2,1539869608584
0,19,11,80.67,82.28,1,1,1539869608783
0,19,12,80.67,82.28,1,2,1539869609030
0,8,12,80.67,82.28,1,2,1539869609045
0,8,12,80.67,82.28,1,3,1539869610539
0,12,18,80.24,81.95,1,1,1539869613446
0,19,18,80.35,81.95,1,1,1539869613446
0,19,12,80.35,82.28,1,3,1539869613446
0,12,12,80.24,81.72,1,1,1539869613455
0,12,12,80.24,81.72,1,2,1539869613578
0,12,12,80.24,81.51,1,1,1539869614235
0,12,12,80.24,81.2,1,1,1539869614244
0,12,12,80.24,81.2,1,2,1539869616539
0,12,12,80.24,81.2,1,3,1539869617975
0,12,12,80.24,81.1,1,1,1539869619668
0,11,12,80.24,81.1,1,3,1539869619678
0,12,12,80.24,81.1,1,3,1539869620033
0,11,12,80.24,81.1,1,4,1539869620539
0,11,12,80.24,81,1,1,1539869626292
0,11,12,80.24,80.84,1,1,1539869626293
0,11,17,80.24,80.72,1,1,1539869626293
0,12,17,79.93,80.72,1,1,1539869626294
0,12,17,79.93,80.69,1,1,1539869626294
0,12,17,79.93,80.72,1,2,1539869626294
0,12,17,79.93,80.69,1,1,1539869626295
0,12,15,79.93,80.61,1,1,1539869626295
0,12,17,80.33,80.72,1,2,1539869626299
0,12,17,80.33,80.69,1,1,1539869626299
0,12,17,80.33,80.72,1,1,1539869626299
0,12,17,79.93,80.72,1,1,1539869626300
0,12,12,79.93,80.67,1,2,1539869626302
0,12,17,79.93,80.72,1,1,1539869626305
0,12,19,79.93,80.73,1,1,1539869626305
0,12,12,79.93,80.72,1,2,1539869626310
0,12,12,79.93,80.72,1,3,1539869626315
0,12,12,79.93,80.72,1,2,1539869626523
0,12,12,79.93,80.72,1,3,1539869626539
0,12,12,79.93,80.72,1,4,1539869626547
0,12,12,79.93,80.72,1,5,1539869627023
0,12,12,79.93,80.72,1,6,1539869627033
0,12,12,79.93,80.72,1,4,1539869631270
0,12,12,79.93,80.72,1,5,1539869631270
0,12,12,79.93,80.72,1,3,1539869631270
0,12,12,79.93,80.48,1,3,1539869631276
0,12,12,79.93,80.48,1,3,1539869631277
0,12,12,79.93,80.48,1,7,1539869631277
0,12,12,79.93,80.48,1,2,1539869631471
0,12,12,79.93,80.48,1,1,1539869631502
0,12,12,79.93,80.48,1,2,1539869632539
0,12,12,79.93,80.48,1,3,1539869632988
0,12,12,79.93,80.48,1,4,1539869632996
0,12,12,79.93,80.48,1,5,1539869642190
0,12,12,79.93,80.48,1,6,1539869642198
0,12,12,79.93,80.37,1,1,1539869644726
