c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,36.7,2,1539821042780
41,0,0,0,11,38.57,100,1539849600009
14,41,0,0,11,38.57,100,1539850667393
14,41,0,0,11,38.57,450,1539850667393
0,0,0,0,11,38.57,450,1539850673199
0,0,0,0,11,38.58,100,1539852526490
37,0,0,0,11,38.57,50,1539852526490
0,0,0,0,11,38.57,306,1539852526490
37,0,0,0,11,38.57,60,1539852683999
0,0,0,0,11,38.6,100,1539854082032
0,0,0,0,11,38.6,200,1539854082032
14,41,0,0,11,38.75,600,1539855055145
14,41,0,0,11,38.75,1900,1539855055145
0,0,0,0,11,38.85,400,1539855307751
0,0,0,0,11,38.79,100,1539855670143
0,0,0,0,11,38.79,400,1539856386885
37,0,0,0,11,38.79,28,1539856448996
37,0,0,0,11,38.79,50,1539856721870
0,0,0,0,11,38.78,200,1539857757910
0,0,0,0,11,38.79,434,1539857757910
37,0,0,0,11,38.79,50,1539857766777
0,0,0,0,11,38.77,600,1539859056877
0,0,0,0,11,38.79,516,1539859061830
0,0,0,0,11,38.79,300,1539859061830
0,0,0,0,11,38.79,1169,1539859061830
0,0,0,0,11,38.79,300,1539859072296
0,0,0,0,11,38.79,2200,1539859072296
0,0,0,0,11,38.79,300,1539859079981
0,0,0,0,11,38.79,700,1539859079981
0,0,0,0,11,38.79,300,1539859084039
0,0,0,0,11,38.79,700,1539859084039
0,0,0,0,11,38.79,300,1539859085293
0,0,0,0,11,38.79,989,1539859085294
0,0,0,0,11,38.79,300,1539859099284
0,0,0,0,11,38.79,900,1539859099284
0,0,0,0,11,38.79,200,1539859100635
0,0,0,0,11,38.89,300,1539859439665
0,0,0,0,11,38.9,200,1539859439665
14,41,0,0,8,38.7,100,1539860425100
0,0,0,0,8,38.7,300,1539860540863
14,41,0,0,8,38.7,200,1539860547227
14,41,0,0,8,38.7,100,1539860600797
0,0,0,0,8,38.8,125,1539860625619
37,0,0,0,8,38.8,25,1539860733238
0,0,0,0,8,38.65,250,1539861233508
14,41,0,0,18,38.81,100,1539861312796
14,41,0,0,12,38.66,100,1539861362920
0,0,0,0,11,38.7,100,1539861516840
14,37,41,0,8,38.65,25,1539861523873
14,37,41,0,8,38.65,75,1539861523873
14,41,0,0,12,38.6,100,1539861525491
14,41,0,0,12,38.6,100,1539861525958
0,0,0,0,11,38.6,100,1539861536101
37,0,0,0,11,38.6,60,1539861745575
0,0,0,0,11,38.6,100,1539861745831
37,0,0,0,8,38.65,50,1539861928068
0,0,0,0,11,38.6,500,1539861928069
0,0,0,0,11,38.6,340,1539861928069
0,0,0,0,11,38.52,100,1539861928071
37,0,0,0,11,38.52,10,1539861928072
14,37,41,0,11,38.51,25,1539862066739
14,37,41,0,11,38.5,25,1539862066739
37,0,0,0,11,38.52,90,1539862294601
14,37,41,0,11,38.52,10,1539862312026
14,37,41,0,11,38.5,55,1539862312026
14,37,41,0,11,38.5,45,1539862527444
14,41,0,0,11,38.5,200,1539862527444
14,41,0,0,11,38.49,100,1539862538333
14,41,0,0,11,38.49,100,1539862538667
14,41,0,0,11,38.49,500,1539862540308
14,37,41,0,11,38.45,50,1539862541734
14,41,0,0,11,38.45,700,1539862545851
14,41,0,0,11,38.45,250,1539862551931
14,41,0,0,11,38.4,110,1539862583219
0,0,0,0,11,38.4,390,1539862607761
