c1,c2,c3,c4,e,p,s,t
25,41,0,0,12,41.03,9634,1539955800666
25,16,0,0,12,41.03,9634,1539955800666
0,0,0,0,4,41,500,1539955800876
51,0,0,0,0,42.37,,1539955801142
51,0,0,0,0,42.49,,1539955801142
14,41,0,0,12,42.37,100,1539955801142
14,41,0,0,12,42.49,100,1539955801142
37,0,0,0,4,41.0025,75,1539955804335
0,0,0,0,4,41.0001,200,1539955805619
0,0,0,0,8,41,100,1539955806287
37,0,0,0,8,40.61,95,1539955806287
14,41,0,0,12,41.49,100,1539955806289
0,0,0,0,12,41.79,100,1539955806292
14,41,0,0,12,41.72,100,1539955806295
0,0,0,0,12,41.9,100,1539955806297
0,0,0,0,17,41.9,100,1539955806297
14,41,0,0,12,41.8,100,1539955806297
37,0,0,0,12,41.88,30,1539955806297
37,0,0,0,19,41.88,10,1539955806297
37,0,0,0,12,41.8,10,1539955806297
37,0,0,0,12,41.8,30,1539955806298
14,41,0,0,17,41.92,100,1539955806300
14,41,0,0,17,41.92,100,1539955806302
0,0,0,0,12,41.92,100,1539955806303
0,0,0,0,19,41.92,100,1539955806305
14,41,0,0,12,41.95,100,1539955806305
0,0,0,0,17,41.95,100,1539955806305
0,0,0,0,12,42.42,100,1539955806306
0,0,0,0,12,42.49,100,1539955806307
14,41,0,0,12,42.49,100,1539955806308
0,0,0,0,12,42.49,100,1539955806309
0,0,0,0,12,42.49,100,1539955806310
0,0,0,0,12,42.49,100,1539955806311
51,0,0,0,0,42.5,,1539955806312
0,0,0,0,12,42.5,100,1539955806312
0,0,0,0,12,42.5,100,1539955806313
0,0,0,0,12,42.5,100,1539955806314
0,0,0,0,12,42.5,100,1539955806315
51,0,0,0,0,42.55,,1539955806316
0,0,0,0,12,42.5,100,1539955806316
14,41,0,0,2,42.5,100,1539955806316
0,0,0,0,2,42.5,100,1539955806316
0,0,0,0,12,42.55,100,1539955806316
14,41,0,0,19,42.5,100,1539955806316
0,0,0,0,18,42.5,100,1539955806316
14,41,0,0,18,42.5,100,1539955806316
0,0,0,0,19,42.5,100,1539955806316
0,0,0,0,8,42.5,100,1539955806316
14,41,0,0,8,42.5,100,1539955806316
0,0,0,0,18,42.5,100,1539955806316
0,0,0,0,18,42.5,100,1539955806316
51,0,0,0,0,42.67,,1539955806317
14,41,0,0,12,42.67,100,1539955806317
14,41,0,0,12,42.67,100,1539955806318
14,41,0,0,12,42.67,100,1539955806319
0,0,0,0,4,42.5,100,1539955806319
14,41,0,0,12,42.67,100,1539955806319
0,0,0,0,4,42.5,100,1539955806320
14,41,0,0,12,42.67,100,1539955806320
14,41,0,0,12,42.67,100,1539955806321
51,0,0,0,0,42.72,,1539955806323
14,41,0,0,11,42.72,100,1539955806323
25,16,0,0,11,42.72,100,1539955806323
0,0,0,0,11,42.72,300,1539955806323
51,0,0,0,0,42.999,,1539955806326
0,0,0,0,4,42.999,100,1539955806326
0,0,0,0,4,42.999,100,1539955806328
0,0,0,0,4,42.999,100,1539955806330
0,0,0,0,4,42.999,100,1539955806331
0,0,0,0,4,42.999,100,1539955806334
0,0,0,0,4,42.999,100,1539955806336
0,0,0,0,4,42.999,100,1539955806337
0,0,0,0,4,42.999,100,1539955806339
0,0,0,0,4,42.999,100,1539955806341
0,0,0,0,4,42.999,100,1539955806343
51,0,0,0,0,43,,1539955806344
14,41,0,0,19,43,100,1539955806344
14,41,0,0,18,43,100,1539955806345
14,41,0,0,8,43,100,1539955806346
14,37,41,0,12,43,6,1539955806347
37,0,0,0,12,43.34,12,1539955806348
37,0,0,0,12,43.34,12,1539955806348
37,0,0,0,12,43.34,70,1539955806348
51,0,0,0,0,43.44,,1539955806349
0,0,0,0,12,43.44,100,1539955806349
37,0,0,0,12,43.45,12,1539955806349
37,0,0,0,12,43.6,12,1539955806349
37,0,0,0,12,43.63,76,1539955806349
51,0,0,0,0,43.63,,1539955806350
14,41,0,0,17,43.63,100,1539955806350
14,37,41,0,12,43.63,24,1539955806351
14,41,0,0,19,43.63,100,1539955806351
14,41,0,0,8,43.63,100,1539955806351
