c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,70.95,9,1539734641413
14,37,41,0,11,71.7,1,1539775448999
14,41,0,0,11,71.7,299,1539775621163
14,41,0,0,11,71.75,315,1539775896762
14,37,41,0,11,71.75,40,1539775900018
14,41,0,0,11,71.75,600,1539775911390
14,41,0,0,12,71.75,150,1539775935276
37,0,0,0,11,71.75,45,1539775942291
14,41,0,0,11,71.75,100,1539775960399
14,37,41,0,11,71.8,80,1539776007169
37,0,0,0,11,71.8,45,1539776012933
14,41,0,0,11,71.55,100,1539776014557
14,41,0,0,8,71.4,100,1539776018501
37,0,0,0,11,71.8,25,1539776552902
14,41,0,0,11,71.5,100,1539776704747
14,37,41,0,8,71.25,90,1539776705033
14,37,41,0,8,71.15,90,1539776705033
14,37,41,0,11,71.41,50,1539776705033
14,41,0,0,8,71.11,500,1539776705033
14,41,0,0,11,71.12,100,1539776705033
14,37,41,0,8,71,75,1539776705033
14,41,0,0,8,70.97,100,1539776705033
14,41,0,0,11,71.08,100,1539776705033
14,41,0,0,11,71,100,1539776705033
14,41,0,0,11,70.97,200,1539776705033
14,41,0,0,11,70.97,281,1539776705033
14,37,41,0,11,70.82,45,1539776705033
14,37,41,0,11,70.5,20,1539776759006
14,41,0,0,11,70.5,100,1539776759006
14,41,0,0,19,70.5,100,1539776759017
14,41,0,0,19,70.5,280,1539776759017
0,0,0,0,11,70.08,100,1539776759709
37,0,0,0,11,70.08,82,1539776759709
37,0,0,0,11,70,18,1539776759709
14,41,0,0,8,70.5,150,1539776768232
0,0,0,0,12,70.61,200,1539776956925
0,0,0,0,11,70.61,100,1539776956925
0,0,0,0,8,70.6,100,1539776956925
0,0,0,0,11,70.61,100,1539776956925
0,0,0,0,11,70.52,113,1539776956925
14,37,41,0,11,70.6,95,1539776995129
14,37,41,0,11,70.6,11,1539776998581
14,41,0,0,11,70.18,187,1539777048617
14,37,41,0,11,70.18,13,1539777048617
14,37,41,0,11,70.18,80,1539777048617
37,0,0,0,12,70.52,10,1539777048618
14,41,0,0,11,70.15,190,1539777048618
14,37,41,0,11,70.15,10,1539777048619
14,41,0,0,11,70,282,1539777048620
14,41,0,0,11,70,100,1539777048620
14,37,41,0,11,70,38,1539777048620
37,0,0,0,11,70,62,1539777054279
