c1,c2,c3,c4,e,p,s,t
14,37,41,0,12,172.66,20,1538045544761
14,37,41,0,11,172.3,35,1538045654617
14,37,41,0,12,172.66,35,1538045654617
14,41,0,0,12,172,500,1538045825988
37,0,0,0,11,171.7,5,1538046111097
37,0,0,0,11,173,30,1538046143961
14,37,41,0,11,173,75,1538046155582
0,0,0,0,11,173,300,1538046158530
37,0,0,0,11,173,95,1538046161409
14,37,41,0,12,173.03,15,1538046412786
14,37,41,0,11,172,25,1538046412787
14,37,41,0,12,172,60,1538046412787
14,41,0,0,12,172.1,100,1538046574906
14,41,0,0,11,172.1,100,1538047031424
0,0,0,0,12,173.8,100,1538047228821
14,37,41,0,12,173.8,21,1538047287234
37,0,0,0,12,173.8,4,1538047324248
37,0,0,0,11,174.2,10,1538047388725
37,0,0,0,12,175,5,1538047647459
14,37,41,0,12,175.16,10,1538047662175
37,0,0,0,11,175.26,10,1538047668075
37,0,0,0,11,175.15,50,1538047842970
14,37,41,0,12,175.16,20,1538047842971
14,37,41,0,12,175.11,3,1538047989263
14,41,0,0,12,175.91,100,1538048075064
37,0,0,0,11,175.3,20,1538048106045
0,0,0,0,11,175.17,100,1538048106045
0,0,0,0,11,175.15,100,1538048106045
14,41,0,0,12,175,280,1538048106046
14,37,41,0,12,175,90,1538048113969
14,41,0,0,8,174.17,100,1538048132795
14,41,0,0,11,174,155,1538048132796
14,41,0,0,11,174,132,1538048135809
14,37,41,0,8,173.93,1,1538048135810
14,37,41,0,8,173.93,40,1538048136823
14,37,41,0,8,173.93,59,1538048138288
14,37,41,0,8,173.9,41,1538048138288
37,0,0,0,8,173.9,10,1538048138773
37,0,0,0,8,173.9,49,1538048138774
14,37,41,0,12,173.8,15,1538048141776
14,37,41,0,12,177,4,1538048323088
14,37,41,0,12,177,3,1538048373189
0,0,0,0,8,173.41,200,1538048411638
0,0,0,0,8,173.21,115,1538048411638
0,0,0,0,8,173,100,1538048411638
14,41,0,0,11,172.99,100,1538048415961
0,0,0,0,7,173,100,1538048430053
37,0,0,0,12,171.25,55,1538048449634
37,0,0,0,11,171.7,95,1538048449634
0,0,0,0,11,171.63,400,1538048449634
0,0,0,0,11,171.52,100,1538048449634
0,0,0,0,11,171.25,205,1538048449634
37,0,0,0,11,171.25,30,1538048449661
14,37,41,0,12,171.25,1,1538048450951
14,37,41,0,12,171.25,1,1538048451951
37,0,0,0,11,171.25,29,1538048452488
0,0,0,0,11,171.2,371,1538048452488
14,41,0,0,11,171.2,129,1538048454959
14,41,0,0,8,171,100,1538048454960
14,41,0,0,11,170.65,100,1538048459708
14,41,0,0,12,170.33,200,1538048459709
14,41,0,0,12,170.33,300,1538048461240
0,0,0,0,8,171.3,100,1538048513705
14,37,41,0,11,171.5,15,1538048513706
14,41,0,0,19,170.35,100,1538048513707
14,37,41,0,7,170.35,35,1538048513707
37,0,0,0,12,171.5,1,1538048679317
0,0,0,0,11,171.28,100,1538048679317
37,0,0,0,11,171.2,29,1538048679317
0,0,0,0,11,171.2,100,1538048679317
0,0,0,0,9,171.16,100,1538048679328
14,41,0,0,7,171.16,100,1538048682431
14,41,0,0,11,171.1,100,1538048683519
14,41,0,0,11,171,100,1538048683895
14,41,0,0,11,171,100,1538048684118
14,41,0,0,11,171,100,1538048684126
14,41,0,0,11,171,100,1538048684254
0,0,0,0,11,171,100,1538048684435
37,0,0,0,11,170.5,51,1538048684435
14,41,0,0,11,170.5,100,1538048684707
0,0,0,0,11,170.55,100,1538048708496
37,0,0,0,11,170.53,98,1538048708496
37,0,0,0,12,172.1,20,1538048919401
37,0,0,0,12,172.1,20,1538049278594
14,37,41,0,12,171.5,2,1538049576953
0,0,0,0,4,172.9999,100,1538049601146
37,0,0,0,4,171.01,6,1538049602308
0,0,0,0,4,173,100,1538049602585
14,37,41,0,12,171.5,48,1538049607498
37,0,0,0,4,172.1,50,1538049686723
14,37,41,0,12,172.03,9,1538050033489
14,37,41,0,12,172.1,60,1538050033489
14,37,41,0,12,172.1,31,1538050033489
14,37,41,0,12,172.1,69,1538050127730
14,37,41,0,12,172.1,31,1538050127730
14,37,41,0,12,172.1,69,1538050131305
14,37,41,0,12,172.1,31,1538050131305
