c1,c2,c3,c4,e,p,s,t
14,37,41,0,8,215,75,1539862393416
37,0,0,0,11,215,2,1539862733541
37,0,0,0,11,218.11,21,1539862923362
37,0,0,0,11,218,35,1539862933253
37,0,0,0,4,229,5,1539864001489
37,0,0,0,11,222.22,2,1539864052871
37,0,0,0,4,220,50,1539864354158
0,0,0,0,11,220.31,100,1539864465900
37,0,0,0,11,222.22,28,1539864485380
37,0,0,0,11,223,15,1539864485380
14,37,41,0,11,225,7,1539864485380
14,37,41,0,8,223.74,7,1539864485380
14,37,41,0,11,225,25,1539864629092
14,37,41,0,8,223.89,25,1539864629093
37,0,0,0,11,225,25,1539864799259
37,0,0,0,8,220.01,50,1539865479360
37,0,0,0,11,215.11,50,1539865897745
37,0,0,0,11,215,50,1539865897745
37,0,0,0,8,218.77,10,1539866034494
37,0,0,0,8,214.06,50,1539866409981
37,0,0,0,8,214.06,15,1539866409981
37,0,0,0,11,214.06,10,1539866553049
14,37,41,0,11,214.06,40,1539866578258
14,37,41,0,11,214.06,50,1539866578258
14,37,41,0,11,214.06,10,1539866578258
14,37,41,0,11,214,10,1539866578258
37,0,0,0,8,212.06,50,1539866927890
37,0,0,0,8,212.06,50,1539866927890
37,0,0,0,8,211,50,1539866927890
14,37,41,0,11,212.06,50,1539866927890
14,37,41,0,11,212.06,50,1539866927890
37,0,0,0,8,211,50,1539866927890
14,37,41,0,11,211.51,20,1539866927890
14,37,41,0,8,211,20,1539866927890
14,37,41,0,8,211,50,1539866927890
14,37,41,0,8,211,30,1539866927890
14,37,41,0,8,211,20,1539866927890
14,37,41,0,8,210.94,50,1539867081615
14,37,41,0,8,210.94,50,1539867081615
14,41,0,0,8,211,100,1539867081615
14,37,41,0,8,211,80,1539867081615
0,0,0,0,12,210,120,1539867081616
0,0,0,0,12,210,100,1539867081617
14,37,41,0,12,210,50,1539867083373
14,37,41,0,12,210,10,1539867089087
14,37,41,0,12,210,5,1539867090741
37,0,0,0,12,209.98,5,1539867101148
0,0,0,0,12,210,295,1539867101148
0,0,0,0,12,210,100,1539867101149
0,0,0,0,12,210,100,1539867101150
37,0,0,0,11,207.06,10,1539867729553
37,0,0,0,4,208.2979,9,1539867830723
37,0,0,0,8,208.84,50,1539867836018
37,0,0,0,8,208.84,50,1539867836018
0,0,0,0,8,209,200,1539867836018
37,0,0,0,8,208.74,10,1539867863791
37,0,0,0,11,207.61,50,1539867900342
37,0,0,0,11,207.61,50,1539867900342
37,0,0,0,8,208.64,50,1539867917467
37,0,0,0,8,208.64,50,1539867917467
0,0,0,0,8,208.69,100,1539867917467
37,0,0,0,8,208.74,14,1539867917467
0,0,0,0,8,208.75,200,1539867917467
0,0,0,0,8,208.94,100,1539867917467
0,0,0,0,8,209,186,1539867917467
37,0,0,0,11,207.6,10,1539867947414
14,37,41,0,11,207.94,50,1539868087751
14,37,41,0,11,207.97,50,1539868087751
14,37,41,0,11,208,50,1539868087751
14,37,41,0,8,208.44,50,1539868092545
14,37,41,0,8,208.49,50,1539868092545
14,37,41,0,12,208.49,50,1539868092546
14,41,0,0,12,208.5,100,1539868092546
14,41,0,0,12,208.5,100,1539868092546
14,37,41,0,8,208.48,50,1539868097139
14,41,0,0,8,208.5,100,1539868097139
14,37,41,0,8,208.5,14,1539868097139
14,37,41,0,12,208.48,50,1539868097140
14,41,0,0,12,208.49,100,1539868097140
14,41,0,0,12,208.5,100,1539868097140
14,41,0,0,12,208.5,150,1539868097140
14,41,0,0,12,208.5,100,1539868097141
14,41,0,0,12,208.5,186,1539868097141
14,37,41,0,12,207.99,15,1539868100893
14,37,41,0,12,207.99,40,1539868100893
37,0,0,0,11,207.61,10,1539868107171
37,0,0,0,11,207.61,40,1539868109694
37,0,0,0,11,207.61,10,1539868109694
37,0,0,0,11,207.55,25,1539868109694
37,0,0,0,4,207.8725,1,1539868426638
0,0,0,0,4,208.4999,100,1539868514961
14,37,41,0,11,206.94,50,1539868525752
14,41,0,0,11,207,125,1539868525752
37,0,0,0,11,207,65,1539868527311
0,0,0,0,11,207,100,1539868528063
37,0,0,0,11,207,10,1539868529346
14,37,41,0,12,208.12,50,1539868697753
14,37,41,0,12,208.18,50,1539868697753
14,37,41,0,12,208.18,50,1539868699504
14,37,41,0,12,208.45,10,1539868702486
14,37,41,0,12,208.45,40,1539868704305
14,37,41,0,12,208.45,10,1539868704305
14,37,41,0,12,208.5,13,1539868704305
14,37,41,0,12,208.57,20,1539868760945
14,41,0,0,11,209.55,100,1539869113911
14,41,0,0,12,209.14,100,1539869113911
14,41,0,0,11,209.55,100,1539869113911
14,41,0,0,12,209.55,100,1539869113912
