c1,c2,c3,c4,e,p,s,t
0,0,0,0,4,17.65,110,1539780765768
37,0,0,0,12,17.65,15,1539781022093
37,0,0,0,4,17.41,1,1539781141272
0,0,0,0,4,17.41,100,1539782287979
14,41,0,0,11,17.41,100,1539782822862
14,37,41,0,8,17.45,2,1539782882325
0,0,0,0,12,17.35,100,1539782970148
0,0,0,0,12,17.35,100,1539782970148
14,37,41,0,8,17.39,10,1539782970148
14,41,0,0,11,17.41,300,1539782970149
0,0,0,0,11,17.41,100,1539782970149
0,0,0,0,11,17.41,200,1539782970149
0,0,0,0,11,17.41,200,1539782970149
0,0,0,0,11,17.4,100,1539782970149
0,0,0,0,19,17.32,200,1539782970150
51,0,0,0,0,17.23,,1539783000395
25,41,0,0,12,17.23,11914,1539783000395
25,16,0,0,12,17.23,11914,1539783000395
14,37,41,0,11,17.3,4,1539783001239
25,16,0,0,11,17.3,4,1539783001239
51,0,0,0,0,17.36,,1539783003776
0,0,0,0,4,17.36,100,1539783003776
0,0,0,0,4,17.31,1000,1539783003960
51,0,0,0,0,17.41,,1539783003996
14,41,0,0,12,17.41,100,1539783003996
14,41,0,0,12,17.41,100,1539783003996
37,0,0,0,4,17.31,1,1539783005986
0,0,0,0,12,17.39,100,1539783006792
0,0,0,0,12,17.4,100,1539783006792
0,0,0,0,12,17.41,100,1539783006795
0,0,0,0,12,17.41,100,1539783006795
51,0,0,0,0,17.49,,1539783010338
0,0,0,0,12,17.49,282,1539783010338
0,0,0,0,12,17.49,100,1539783010338
14,41,0,0,2,17.49,100,1539783010338
0,0,0,0,2,17.49,100,1539783010338
14,41,0,0,12,17.49,100,1539783010338
14,41,0,0,12,17.49,100,1539783010338
14,41,0,0,2,17.49,100,1539783010338
14,41,0,0,12,17.49,100,1539783010338
14,41,0,0,2,17.49,100,1539783010338
14,41,0,0,2,17.49,100,1539783010338
14,41,0,0,12,17.49,100,1539783010338
14,41,0,0,12,17.49,100,1539783010338
14,41,0,0,2,17.49,100,1539783010338
14,41,0,0,12,17.49,100,1539783010338
14,41,0,0,2,17.49,100,1539783010338
14,41,0,0,2,17.49,100,1539783010338
14,41,0,0,19,17.49,100,1539783010338
14,41,0,0,18,17.49,100,1539783010338
51,0,0,0,0,17.53,,1539783010339
51,0,0,0,0,17.59,,1539783010339
51,0,0,0,0,17.6,,1539783010339
0,0,0,0,19,17.53,100,1539783010339
0,0,0,0,12,17.59,100,1539783010339
0,0,0,0,3,17.49,100,1539783010339
14,41,0,0,11,17.49,100,1539783010339
14,41,0,0,11,17.49,100,1539783010339
0,0,0,0,11,17.49,100,1539783010339
0,0,0,0,11,17.49,100,1539783010339
