c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,190.48,20,1539763200011
37,0,0,0,12,190.82,5,1539763379258
14,41,0,0,12,190.8,200,1539763963148
14,41,0,0,12,190.8,100,1539763963221
14,41,0,0,12,190.8,100,1539763963295
14,41,0,0,12,190.8,100,1539763963748
14,41,0,0,12,190.7,200,1539763994190
14,41,0,0,12,190.74,200,1539764015280
14,41,0,0,12,190.74,100,1539764016527
14,41,0,0,12,190.64,100,1539764023018
0,0,0,0,12,190.64,100,1539764023150
14,41,0,0,12,190.32,200,1539764424152
37,0,0,0,11,190.41,30,1539764495817
14,41,0,0,12,190.6,100,1539764597043
0,0,0,0,12,190.6,200,1539764597047
37,0,0,0,11,190.02,4,1539764850686
14,41,0,0,12,189.59,100,1539765113776
14,41,0,0,12,189.59,190,1539765115824
14,41,0,0,11,189.6,118,1539765115825
14,41,0,0,12,189.61,192,1539765115825
14,41,0,0,11,189.58,500,1539765167129
14,41,0,0,12,189.6,400,1539765167129
14,41,0,0,12,189.24,200,1539765292806
14,41,0,0,12,189.01,100,1539765507066
0,0,0,0,12,189.01,331,1539765507094
14,37,41,0,11,188.97,69,1539765538269
14,41,0,0,12,188.6,100,1539765823975
14,41,0,0,12,188.15,247,1539765953367
14,41,0,0,11,188.16,500,1539765953368
14,41,0,0,12,188.16,253,1539765953368
14,41,0,0,12,188.15,200,1539765963343
14,41,0,0,12,188.15,175,1539765963343
14,41,0,0,11,188.16,425,1539765963343
37,0,0,0,12,188.32,5,1539766084294
0,0,0,0,12,188.25,394,1539766358669
14,41,0,0,12,188.25,106,1539766358669
14,37,41,0,12,188.34,5,1539766416430
14,37,41,0,12,188.26,1,1539766470553
14,37,41,0,12,188.23,1,1539766476022
0,0,0,0,12,188.01,322,1539766494950
14,41,0,0,12,188.01,178,1539766494950
14,41,0,0,12,188.01,322,1539766494950
14,41,0,0,12,188.01,100,1539766494997
14,41,0,0,12,188.01,100,1539766495296
14,41,0,0,12,188.01,100,1539766495587
14,41,0,0,12,188.01,200,1539766495660
14,41,0,0,12,188.01,178,1539766495733
14,41,0,0,11,187.81,100,1539766523780
14,41,0,0,12,187.28,500,1539766686410
14,37,41,0,12,187.15,16,1539766703492
14,37,41,0,12,187.63,8,1539767097901
14,41,0,0,12,187.51,230,1539767316526
14,41,0,0,11,187.53,100,1539767455553
37,0,0,0,11,186.78,47,1539768082506
14,37,41,0,12,186.65,2,1539768540754
14,41,0,0,12,186.37,500,1539769003325
14,41,0,0,12,186.19,200,1539769061487
14,41,0,0,11,186.24,500,1539769061488
14,41,0,0,11,186.25,300,1539769061529
14,41,0,0,12,186.24,200,1539769072090
14,41,0,0,11,185.75,500,1539769174106
14,41,0,0,12,185.76,200,1539769174106
14,41,0,0,12,185.76,300,1539769174106
14,41,0,0,12,185.72,200,1539769210748
14,41,0,0,12,185.72,200,1539769210809
14,41,0,0,12,185.72,100,1539769210882
14,41,0,0,11,185.65,500,1539769215637
14,41,0,0,12,185.52,256,1539769266677
14,41,0,0,11,185.53,500,1539769266677
14,41,0,0,11,185.55,100,1539769266719
0,0,0,0,11,185.55,100,1539769266737
14,41,0,0,11,185.55,100,1539769266738
0,0,0,0,11,185.55,100,1539769266745
14,41,0,0,11,185.55,100,1539769266745
0,0,0,0,11,185.55,744,1539769266765
14,37,41,0,12,185.89,5,1539769470076
14,41,0,0,12,185.51,200,1539769581726
14,41,0,0,12,185.51,300,1539769581726
14,37,41,0,12,185.5,5,1539769590430
14,41,0,0,12,185.42,495,1539769590430
0,0,0,0,11,185.77,100,1539769634757
0,0,0,0,11,185.77,100,1539769639244
14,41,0,0,11,185.85,100,1539769644054
0,0,0,0,11,185.94,100,1539769757214
14,41,0,0,11,186.24,100,1539769897928
14,41,0,0,12,185.8,500,1539770268639
14,41,0,0,12,186.18,200,1539770473329
14,41,0,0,12,186.15,200,1539770473469
0,0,0,0,11,186.95,100,1539770498447
14,37,41,0,12,187.2,20,1539770502384
14,41,0,0,11,187.27,500,1539770525253
14,41,0,0,11,187.08,100,1539770535519
37,0,0,0,12,187.01,4,1539770639364
37,0,0,0,11,187.21,5,1539770822404
0,0,0,0,11,188.06,100,1539771126801
14,41,0,0,12,187.78,100,1539771147709
14,41,0,0,12,187.79,500,1539771353681
14,41,0,0,12,187.53,100,1539771402860
14,41,0,0,12,187.3,200,1539771465489
14,41,0,0,12,186.98,200,1539771557155
14,41,0,0,11,186.98,300,1539771557155
