c1,c2,c3,c4,e,p,s,t
0,0,0,0,12,29.2,150,1537965000219
0,0,0,0,11,28.5,100,1537965502109
37,0,0,0,11,28.5,10,1537965507053
14,37,41,0,12,28.1,50,1537965525029
14,41,0,0,12,28,100,1537965525029
0,0,0,0,8,27.75,100,1537965667086
37,0,0,0,8,27.75,50,1537965669968
37,0,0,0,8,27.75,38,1537965669968
0,0,0,0,4,27.5,100,1537965706386
0,0,0,0,11,27.5,100,1537965707456
0,0,0,0,11,27.5,100,1537965709083
14,37,41,0,12,27.3,40,1537965762169
37,0,0,0,12,27.5,25,1537965874463
14,37,41,0,12,27.5,50,1537965878177
14,37,41,0,12,27.5,25,1537965880670
14,41,0,0,11,27.7,135,1537966072341
37,0,0,0,8,27.3,75,1537966076791
0,0,0,0,8,27.25,125,1537966076791
0,0,0,0,8,27.25,200,1537966078965
14,37,41,0,8,27.3,5,1537966322470
14,37,41,0,8,27.3,95,1537966443019
14,37,41,0,8,27.25,5,1537966443019
14,41,0,0,8,27.25,100,1537966451398
37,0,0,0,8,27.25,53,1537966680928
37,0,0,0,8,27.5,3,1537966918757
37,0,0,0,8,27.5,2,1537967059445
37,0,0,0,11,27.45,2,1537967195965
0,0,0,0,4,27.5,100,1537967196761
14,41,0,0,11,27.4,100,1537968018913
14,37,41,0,11,27.45,58,1537968018913
14,41,0,0,11,27.5,400,1537968018913
0,0,0,0,11,27.7,300,1537968022973
37,0,0,0,11,27.7,60,1537968026738
37,0,0,0,11,27.7,5,1537968224724
37,0,0,0,11,27.7,48,1537968224724
37,0,0,0,11,27.7,27,1537968281425
0,0,0,0,11,27.6,200,1537968582762
37,0,0,0,19,28.05,10,1537968656808
37,0,0,0,19,28.1,10,1537968659398
51,0,0,0,0,28.3,,1537968662947
51,0,0,0,0,28.35,,1537968662947
0,0,0,0,11,28.3,100,1537968662947
25,16,0,0,11,28.3,100,1537968662947
0,0,0,0,11,28.3,100,1537968662947
0,0,0,0,11,28.35,100,1537968662947
37,0,0,0,19,28.325,10,1537968662947
51,0,0,0,0,27.8,,1537968662949
