c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,102.84,3,1539907446405
37,0,0,0,8,103.98,10,1539949330606
37,0,0,0,8,103.5,91,1539949330606
37,0,0,0,8,103.5,2,1539949353140
37,0,0,0,11,104.75,50,1539949706976
14,37,41,0,11,104.8,40,1539949706976
14,37,41,0,11,104.8,10,1539949706977
14,37,41,0,12,104.75,40,1539949706977
14,41,0,0,12,104.03,100,1539950337526
14,37,41,0,12,104,2,1539950337526
37,0,0,0,4,104.9,15,1539950406963
37,0,0,0,4,104.4,35,1539950407416
14,37,41,0,12,104.5,1,1539950813331
14,37,41,0,12,104.5,1,1539950813397
14,37,41,0,8,104.75,1,1539950813475
0,0,0,0,4,104.8999,1000,1539950901369
37,0,0,0,8,104.75,8,1539951235964
0,0,0,0,8,104.25,100,1539951325117
37,0,0,0,4,104.9,25,1539951421362
37,0,0,0,8,104.25,48,1539951945895
14,41,0,0,11,104.17,100,1539951954649
37,0,0,0,8,104.17,54,1539951955266
37,0,0,0,8,104.17,1,1539951955266
14,41,0,0,8,104.16,200,1539952004757
14,41,0,0,12,104.15,100,1539952018240
14,37,41,0,8,104.1,15,1539952391483
14,37,41,0,12,104.1,1,1539952391483
0,0,0,0,12,103.97,100,1539952700192
0,0,0,0,12,103.99,100,1539952700193
0,0,0,0,8,103.97,100,1539952700193
37,0,0,0,4,104,90,1539952743044
0,0,0,0,12,103.91,100,1539952744972
0,0,0,0,12,103.91,100,1539952744972
0,0,0,0,12,103.91,100,1539952744972
0,0,0,0,12,103.91,100,1539952744972
0,0,0,0,12,103.91,100,1539952744972
37,0,0,0,4,104.15,10,1539952752739
14,41,0,0,12,104.01,100,1539952851116
14,41,0,0,12,104,100,1539952851116
0,0,0,0,19,103.88,100,1539952855872
14,41,0,0,11,103.76,100,1539952857491
14,41,0,0,11,103.76,100,1539952857491
14,41,0,0,11,103.75,100,1539952857491
14,41,0,0,11,103.75,100,1539952858257
14,41,0,0,11,103.75,100,1539952858577
14,41,0,0,19,103.76,100,1539952863208
14,41,0,0,12,103.76,100,1539952863208
14,41,0,0,19,103.75,100,1539952882960
14,41,0,0,12,103.71,100,1539952886817
14,41,0,0,8,103.71,100,1539953120628
14,41,0,0,8,103.71,100,1539953122547
14,37,41,0,8,103.71,5,1539953122547
0,0,0,0,12,103.71,100,1539953257087
14,41,0,0,8,103.71,100,1539953257087
14,37,41,0,8,103.71,2,1539953257087
37,0,0,0,4,103.75,10,1539953395912
14,41,0,0,12,103.77,100,1539953406408
14,37,41,0,12,103.76,3,1539953406408
14,41,0,0,12,103.77,100,1539953406409
14,41,0,0,12,103.77,100,1539953412314
14,37,41,0,12,103.76,97,1539953418128
14,37,41,0,12,103.75,3,1539953418128
0,0,0,0,8,103.77,100,1539953420660
14,37,41,0,8,103.77,2,1539953420661
0,0,0,0,4,103.7501,100,1539953488669
14,37,41,0,12,103.85,50,1539953585839
14,41,0,0,11,103.9,100,1539953659927
14,37,41,0,12,103.85,10,1539953660068
14,41,0,0,12,103.85,100,1539953693915
14,41,0,0,12,103.85,100,1539953698779
0,0,0,0,19,104,100,1539953701444
0,0,0,0,19,104,200,1539953701444
14,41,0,0,12,103.85,100,1539953702643
14,41,0,0,12,103.85,100,1539953703906
14,37,41,0,12,103.85,40,1539953705051
0,0,0,0,19,104,100,1539953706764
0,0,0,0,19,104,140,1539953706764
14,41,0,0,19,104,100,1539953710116
14,37,41,0,19,104,3,1539953710116
14,41,0,0,19,104,100,1539953710117
14,41,0,0,19,104,100,1539953713086
37,0,0,0,4,104.5,80,1539953900398
37,0,0,0,4,104,10,1539953948496
14,37,41,0,8,104.2,1,1539954017687
14,41,0,0,12,104.14,100,1539954017687
14,41,0,0,12,104.14,100,1539954017687
14,37,41,0,12,104.15,1,1539954017687
37,0,0,0,12,104.25,4,1539954131646
37,0,0,0,12,104.25,5,1539954410178
0,0,0,0,4,104.05,250,1539954435655
0,0,0,0,4,104.05,200,1539954452055
37,0,0,0,12,104.25,5,1539954478548
0,0,0,0,4,104.2,150,1539954565754
0,0,0,0,12,104.31,100,1539954704732
37,0,0,0,12,104.33,15,1539954729014
37,0,0,0,8,104.32,10,1539954749155
37,0,0,0,12,104.32,1,1539954770348
37,0,0,0,19,104.32,25,1539954780557
37,0,0,0,11,104.2,50,1539954805199
37,0,0,0,11,104.29,10,1539954978562
37,0,0,0,11,104.29,90,1539954978562
0,0,0,0,4,104.2,800,1539955014671
14,41,0,0,19,104.03,100,1539955032060
14,41,0,0,19,104.02,100,1539955041287
0,0,0,0,8,104.18,100,1539955041650
37,0,0,0,4,104.2,93,1539955074813
37,0,0,0,4,104.19,7,1539955074813
37,0,0,0,12,104.03,2,1539955104559
37,0,0,0,4,104,90,1539955152256
37,0,0,0,4,104.2,1,1539955208354
37,0,0,0,8,104.17,10,1539955342221
37,0,0,0,4,104.2,20,1539955404877
0,0,0,0,4,104.1,100,1539955453700
14,41,0,0,19,104,100,1539955454355
14,41,0,0,19,104,100,1539955454355
14,41,0,0,19,104,100,1539955454355
0,0,0,0,12,104.01,100,1539955454358
0,0,0,0,12,104.03,100,1539955454358
14,41,0,0,19,104,100,1539955459299
14,41,0,0,19,104.01,100,1539955460541
14,41,0,0,19,104,100,1539955460541
14,41,0,0,19,104.01,100,1539955466980
37,0,0,0,12,104.18,20,1539955477357
37,0,0,0,4,104.2,1,1539955530454
14,41,0,0,12,104.15,100,1539955579531
14,41,0,0,12,104.15,100,1539955579531
14,37,41,0,12,104.15,9,1539955579532
0,0,0,0,8,104.01,100,1539955595124
0,0,0,0,8,104.01,110,1539955595124
37,0,0,0,12,104.15,91,1539955595125
14,41,0,0,19,104,100,1539955623747
0,0,0,0,11,104,100,1539955623757
0,0,0,0,19,104,100,1539955630003
0,0,0,0,19,104,100,1539955630003
14,41,0,0,19,104,100,1539955648716
14,41,0,0,19,104,100,1539955652438
14,41,0,0,19,104,100,1539955652827
14,37,41,0,19,104,1,1539955653574
14,41,0,0,19,104,100,1539955655194
14,37,41,0,19,104,10,1539955655560
14,41,0,0,19,104,100,1539955658475
37,0,0,0,8,104.01,91,1539955680004
0,0,0,0,19,104,100,1539955680004
0,0,0,0,19,104,100,1539955680005
0,0,0,0,19,104,100,1539955680005
37,0,0,0,19,104,98,1539955680006
37,0,0,0,19,104,1,1539955680006
37,0,0,0,19,104,1,1539955680007
0,0,0,0,19,104,100,1539955680008
0,0,0,0,19,104,400,1539955680008
0,0,0,0,19,104,100,1539955681000
0,0,0,0,19,104,100,1539955681001
0,0,0,0,19,104,100,1539955681001
37,0,0,0,19,104,98,1539955681002
37,0,0,0,19,104,1,1539955681002
37,0,0,0,19,104,1,1539955681003
14,41,0,0,19,104,100,1539955682988
14,41,0,0,19,104,100,1539955683021
14,41,0,0,19,104,100,1539955683152
0,0,0,0,19,104,100,1539955684171
37,0,0,0,19,104,9,1539955685003
0,0,0,0,19,104,100,1539955685013
0,0,0,0,19,104,934,1539955685013
14,37,41,0,11,103.8,1,1539955686390
14,37,41,0,11,103.55,99,1539955686391
37,0,0,0,8,103.85,1,1539955686391
37,0,0,0,11,103.64,1,1539955700283
37,0,0,0,11,103.54,1,1539955710003
37,0,0,0,11,103.25,10,1539955710004
37,0,0,0,11,103.11,90,1539955710004
37,0,0,0,11,103.11,10,1539955710030
37,0,0,0,11,103.1,3,1539955710030
37,0,0,0,11,103.05,87,1539955710030
37,0,0,0,11,103.05,63,1539955727342
14,41,0,0,8,103.02,337,1539955727343
0,0,0,0,8,103.02,100,1539955730003
14,37,41,0,11,103,30,1539955733646
14,37,41,0,11,103,8,1539955733646
14,41,0,0,8,103.02,562,1539955733647
37,0,0,0,8,103,1,1539955739435
37,0,0,0,8,103,99,1539955739435
0,0,0,0,11,103.1,100,1539955745002
37,0,0,0,11,103,72,1539955747138
37,0,0,0,11,102.98,28,1539955747138
14,41,0,0,11,102.98,371,1539955747955
14,41,0,0,8,103.11,101,1539955747955
14,37,41,0,8,103.11,28,1539955747956
14,41,0,0,8,103.16,100,1539955755249
14,41,0,0,8,103.16,100,1539955755436
37,0,0,0,8,103.16,10,1539955762676
0,0,0,0,12,103.92,100,1539955800005
37,0,0,0,11,104.04,19,1539955800073
25,16,0,0,11,104.04,19,1539955800073
37,0,0,0,11,104.04,30,1539955800073
37,0,0,0,11,104.05,51,1539955800073
37,0,0,0,11,104.05,49,1539955800073
14,37,41,0,12,104.2,4,1539955800082
37,0,0,0,12,104.34,50,1539955800805
25,16,0,0,12,104.34,50,1539955800805
37,0,0,0,12,104.34,50,1539955801865
51,0,0,0,0,104.06,,1539955804993
0,0,0,0,11,104.06,100,1539955804993
0,0,0,0,11,104.06,100,1539955804993
14,37,41,0,12,104.41,21,1539955805004
14,37,41,0,12,104.45,79,1539955805004
51,0,0,0,0,104.41,,1539955805005
14,37,41,0,11,104.5,1,1539955805005
14,37,41,0,8,104.44,13,1539955805005
14,37,41,0,12,104.45,71,1539955805005
0,0,0,0,12,104.41,100,1539955805005
51,0,0,0,0,104.49,,1539955809022
0,0,0,0,11,104.49,100,1539955809022
51,0,0,0,0,104.5,,1539955809023
0,0,0,0,11,104.41,100,1539955809023
0,0,0,0,11,104.41,100,1539955809023
14,37,41,0,11,104.41,89,1539955809023
0,0,0,0,8,104.5,100,1539955809023
0,0,0,0,8,104.41,239,1539955809023
0,0,0,0,8,104.41,100,1539955809023
0,0,0,0,12,104.5,100,1539955809057
14,41,0,0,12,104.47,100,1539955811659
14,37,41,0,12,104.49,19,1539955811659
14,37,41,0,12,104.5,81,1539955811659
14,37,41,0,12,104.5,19,1539955811659
14,37,41,0,12,104.48,81,1539955811659
14,41,0,0,11,104.43,100,1539955820162
0,0,0,0,12,104.4,100,1539955820162
37,0,0,0,4,104.06,1,1539955820347
14,37,41,0,19,104.5,13,1539955821569
37,0,0,0,12,104.57,16,1539955821569
37,0,0,0,18,104.53,4,1539955821571
14,37,41,0,18,104.53,20,1539955821578
14,37,41,0,12,104.57,4,1539955821579
14,37,41,0,12,104.58,76,1539955821579
51,0,0,0,0,104.52,,1539955824840
0,0,0,0,12,104.52,100,1539955824840
37,0,0,0,12,104.51,87,1539955824840
0,0,0,0,12,104.51,100,1539955824841
0,0,0,0,12,104.51,100,1539955824841
0,0,0,0,12,104.5,100,1539955824841
0,0,0,0,11,104.44,100,1539955830335
0,0,0,0,8,104.28,1398,1539955830337
37,0,0,0,12,104.27,14,1539955830338
37,0,0,0,19,104.29,13,1539955830370
0,0,0,0,19,104.5,200,1539955831404
37,0,0,0,8,104.5,1,1539955831405
37,0,0,0,8,104.5,99,1539955831405
51,0,0,0,0,104.54,,1539955832238
14,41,0,0,12,104.54,100,1539955832238
51,0,0,0,0,104.58,,1539955832299
37,0,0,0,12,104.57,12,1539955832299
0,0,0,0,12,104.58,124,1539955832299
37,0,0,0,12,104.58,64,1539955832299
37,0,0,0,12,104.58,36,1539955832299
51,0,0,0,0,104.805,,1539955832829
0,0,0,0,4,104.805,100,1539955832829
51,0,0,0,0,104.82,,1539955833260
0,0,0,0,4,104.82,100,1539955833260
25,0,0,0,10,104.52,251262,1539955835228
37,0,0,0,10,104.6,59,1539955835228
37,0,0,0,10,104.5,7,1539955835228
0,0,0,0,10,104.45,493,1539955835229
37,0,0,0,12,104.51,7,1539955835230
0,0,0,0,19,104.76,100,1539955835230
37,0,0,0,19,104.77,60,1539955835230
0,0,0,0,10,104.59,100,1539955835231
14,37,41,0,10,104.59,71,1539955835231
14,37,41,0,8,104.75,29,1539955835231
37,0,0,0,10,104.59,29,1539955835231
14,41,0,0,10,104.59,100,1539955835232
14,41,0,0,11,104.69,150,1539955835233
0,0,0,0,11,104.69,300,1539955835233
0,0,0,0,10,104.7,100,1539955835233
14,41,0,0,12,104.69,399,1539955835233
37,0,0,0,10,104.8,3,1539955835233
37,0,0,0,12,104.69,51,1539955835233
37,0,0,0,12,104.78,10,1539955835235
37,0,0,0,12,104.69,10,1539955835235
37,0,0,0,8,104.75,11,1539955835235
0,0,0,0,4,104.6725,100,1539955835235
37,0,0,0,12,104.69,61,1539955835237
0,0,0,0,4,104.575,100,1539955835237
0,0,0,0,4,104.78,100,1539955835240
0,0,0,0,10,104.64,100,1539955835252
37,0,0,0,12,104.67,11,1539955835252
37,0,0,0,10,104.68,71,1539955835255
14,41,0,0,10,104.68,200,1539955835256
37,0,0,0,12,104.67,71,1539955835257
37,0,0,0,12,104.67,29,1539955835257
14,37,41,0,17,104.67,78,1539955835257
0,0,0,0,4,104.675,100,1539955835261
0,0,0,0,4,104.675,100,1539955835262
20,41,0,0,4,104.52,300,1539955835267
0,0,0,0,4,104.665,100,1539955835277
20,41,0,0,4,104.52,200,1539955835306
10,41,0,0,4,104.52,795,1539955835337
14,41,0,0,12,104.69,100,1539955835364
10,37,41,0,4,104.52,1,1539955835412
0,0,0,0,11,104.68,100,1539955835442
0,0,0,0,12,104.69,229,1539955835443
0,0,0,0,12,104.7,100,1539955835443
37,0,0,0,12,104.71,10,1539955835496
14,41,0,0,19,104.73,100,1539955835621
20,41,0,0,4,104.73,100,1539955835668
14,41,0,0,19,104.73,100,1539955835698
14,41,0,0,11,104.75,181,1539955835728
37,0,0,0,12,104.75,19,1539955835728
37,0,0,0,12,104.75,81,1539955835728
14,37,41,0,12,104.75,19,1539955835728
14,41,0,0,10,104.78,100,1539955835729
37,0,0,0,11,104.75,1,1539955835741
37,0,0,0,11,104.75,35,1539955835742
37,0,0,0,19,104.73,10,1539955835742
14,41,0,0,12,104.74,100,1539955835742
37,0,0,0,18,104.73,4,1539955835742
37,0,0,0,19,104.73,10,1539955835742
