c1,c2,c3,c4,e,p,s,t
37,0,0,0,4,155,3,1538569969702
0,0,0,0,4,156,100,1538569969702
14,41,0,0,11,156.5,100,1538570047710
0,0,0,0,11,156.5,100,1538570048881
37,0,0,0,11,156.5,50,1538570057282
37,0,0,0,11,156.5,50,1538570060118
37,0,0,0,11,156.5,2,1538570103836
37,0,0,0,4,156.5,50,1538570898896
37,0,0,0,4,156.5,50,1538571084952
14,37,41,0,12,156.5,50,1538571163734
37,0,0,0,4,156.15,50,1538571886616
14,37,41,0,11,155,15,1538572047042
14,41,0,0,11,153.36,150,1538572112333
14,37,41,0,11,153,40,1538572112333
14,37,41,0,11,153,10,1538572112333
0,0,0,0,11,153,100,1538572114638
0,0,0,0,11,153,100,1538572116791
0,0,0,0,4,153,100,1538572140146
37,0,0,0,11,153,97,1538572140372
14,37,41,0,11,147.2,50,1538572184068
0,0,0,0,11,148.06,100,1538572229408
37,0,0,0,11,148.11,50,1538572263270
37,0,0,0,11,147.51,52,1538572265446
37,0,0,0,11,147.5,48,1538572265446
37,0,0,0,11,147.5,49,1538572266423
37,0,0,0,11,147,50,1538572266423
37,0,0,0,11,145.9,50,1538572288017
14,37,41,0,12,145.95,50,1538572290057
37,0,0,0,8,145,15,1538572316488
14,37,41,0,12,146,50,1538572325899
37,0,0,0,11,146,75,1538572349806
37,0,0,0,12,146,35,1538572351059
37,0,0,0,11,146,50,1538572392993
37,0,0,0,11,146,3,1538572392993
14,37,41,0,8,145.94,10,1538572405030
37,0,0,0,11,144.11,6,1538572410143
0,0,0,0,4,146,100,1538572438151
37,0,0,0,11,146,2,1538572452566
37,0,0,0,11,146,8,1538572460742
0,0,0,0,8,146,168,1538572463903
37,0,0,0,8,146,29,1538572471855
37,0,0,0,12,147,75,1538572472835
37,0,0,0,11,147,29,1538572478765
37,0,0,0,4,148,3,1538572492606
14,37,41,0,12,149.5,50,1538572564673
37,0,0,0,12,149.39,7,1538572631416
37,0,0,0,8,149,3,1538572731510
37,0,0,0,4,149.5,80,1538572734308
37,0,0,0,8,149,30,1538572793927
37,0,0,0,11,147,71,1538573285465
37,0,0,0,11,147,1,1538573285465
14,37,41,0,11,146.2,60,1538573285830
14,37,41,0,11,146.1,40,1538573285830
37,0,0,0,11,146.1,60,1538573289225
14,37,41,0,12,146,10,1538573292873
14,41,0,0,8,145,100,1538573293891
37,0,0,0,11,145,30,1538573295027
0,0,0,0,11,144.9,200,1538573295032
37,0,0,0,11,144.2,50,1538573297147
37,0,0,0,11,144,50,1538573297147
0,0,0,0,11,144.9,210,1538573297256
0,0,0,0,7,144,100,1538573298960
14,41,0,0,11,144,100,1538573298960
14,37,41,0,12,144,20,1538573298960
14,37,41,0,11,143.5,50,1538573299922
14,37,41,0,11,143.5,50,1538573300345
14,37,41,0,12,143.55,50,1538573300346
0,0,0,0,11,143.45,450,1538573325023
14,41,0,0,11,143.45,275,1538573326249
37,0,0,0,11,143.45,50,1538573330581
37,0,0,0,11,143.45,25,1538573331321
14,41,0,0,12,145,160,1538573347349
14,41,0,0,12,145,140,1538573347437
37,0,0,0,11,147.1,20,1538573363971
0,0,0,0,12,144.09,100,1538573400005
51,0,0,0,0,147.1,,1538573400860
25,41,0,0,12,147.1,100,1538573400860
25,16,0,0,12,147.1,100,1538573400860
51,0,0,0,0,144.06,,1538573405700
0,0,0,0,11,144.06,100,1538573405700
25,16,0,0,11,144.06,100,1538573405700
0,0,0,0,12,144.06,100,1538573405700
37,0,0,0,11,144,20,1538573424665
51,0,0,0,0,143.2,,1538573424666
37,0,0,0,11,144,20,1538573424666
37,0,0,0,11,143.52,25,1538573424666
37,0,0,0,11,143.36,35,1538573424666
14,41,0,0,11,143.2,100,1538573424666
0,0,0,0,12,143.22,100,1538573424666
14,41,0,0,12,143.22,100,1538573424666
14,41,0,0,11,144.47,100,1538573424955
37,0,0,0,11,143.23,3,1538573425661
37,0,0,0,12,143.23,3,1538573425794
37,0,0,0,12,143.23,97,1538573425795
37,0,0,0,11,143.23,3,1538573425795
51,0,0,0,0,142.99,,1538573425796
14,41,0,0,11,142.99,100,1538573425796
14,41,0,0,12,143.23,100,1538573425796
0,0,0,0,2,144.66,100,1538573426038
0,0,0,0,4,145.1599,100,1538573426040
0,0,0,0,18,145.02,100,1538573426058
0,0,0,0,2,145.04,100,1538573426059
0,0,0,0,4,145.1599,100,1538573426060
0,0,0,0,4,145.1599,100,1538573426060
37,0,0,0,8,144.97,30,1538573426204
37,0,0,0,4,145.149,30,1538573426206
37,0,0,0,4,145.1599,30,1538573426209
0,0,0,0,11,145.14,100,1538573427446
14,41,0,0,11,145.15,400,1538573427813
14,41,0,0,11,145.16,100,1538573427813
0,0,0,0,11,143,100,1538573429194
51,0,0,0,0,142.61,,1538573437849
51,0,0,0,0,142.5,,1538573437849
0,0,0,0,11,142.61,100,1538573437849
0,0,0,0,8,142.5,100,1538573437849
0,0,0,0,11,142.89,100,1538573440411
0,0,0,0,11,142.89,100,1538573440411
0,0,0,0,11,143.6,100,1538573456423
37,0,0,0,11,143.8,25,1538573456423
37,0,0,0,11,143.99,30,1538573456423
37,0,0,0,11,143.99,45,1538573456423
37,0,0,0,19,144,15,1538573456423
37,0,0,0,19,144,15,1538573459682
0,0,0,0,11,143.95,100,1538573462825
0,0,0,0,11,143.96,100,1538573462825
37,0,0,0,19,144,15,1538573462953
0,0,0,0,11,142.86,100,1538573469472
14,41,0,0,12,144.28,100,1538573504242
0,0,0,0,8,143.04,100,1538573520001
0,0,0,0,8,143,150,1538573520001
0,0,0,0,11,142.87,100,1538573526160
37,0,0,0,8,142.6,9,1538573526161
14,37,41,0,8,142.58,25,1538573526161
0,0,0,0,12,142.5,200,1538573526161
0,0,0,0,12,142.5,100,1538573526630
