c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,727,50,1537268312719
14,37,41,0,11,726.89,50,1537268400171
14,37,41,0,11,726.89,10,1537268400171
37,0,0,0,8,725.55,20,1537268428907
37,0,0,0,11,727,1,1537268454265
37,0,0,0,11,717.62,50,1537268604963
37,0,0,0,8,726,25,1537268617268
37,0,0,0,11,717.62,20,1537268625714
37,0,0,0,8,714.88,10,1537268790836
37,0,0,0,8,702.31,40,1537268790836
0,0,0,0,8,700,114,1537268790836
37,0,0,0,11,703,37,1537268846576
37,0,0,0,11,700,8,1537268846576
14,37,41,0,8,700,7,1537268855509
37,0,0,0,19,709.77,50,1537268855968
37,0,0,0,8,711,50,1537269080734
14,37,41,0,8,709.5,12,1537269110830
37,0,0,0,8,702.15,50,1537269588408
37,0,0,0,8,700.01,38,1537269588408
37,0,0,0,11,703.39,1,1537269775757
14,37,41,0,11,707,10,1537269956468
37,0,0,0,8,701.21,5,1537270189411
37,0,0,0,11,707,5,1537270199844
37,0,0,0,11,716,5,1537270520751
14,37,41,0,11,708,25,1537270717203
14,37,41,0,11,707,31,1537270821671
14,41,0,0,11,706,100,1537270821672
14,41,0,0,11,706,400,1537270821672
14,41,0,0,11,705,100,1537270821673
14,37,41,0,8,705,30,1537270821673
0,0,0,0,19,703.58,100,1537270821674
0,0,0,0,19,703.16,100,1537270821674
0,0,0,0,19,703,100,1537270821674
37,0,0,0,19,702.32,39,1537270821674
37,0,0,0,11,703.39,19,1537270853109
37,0,0,0,19,702.32,61,1537270860761
0,0,0,0,19,701.06,100,1537270860761
0,0,0,0,19,700,100,1537270860761
37,0,0,0,12,704,39,1537270860765
14,37,41,0,12,704,20,1537270865606
14,37,41,0,12,704,10,1537270884885
14,37,41,0,11,702.3,49,1537271063820
14,41,0,0,11,702,451,1537271063822
14,37,41,0,11,704,10,1537271089676
14,37,41,0,11,702,49,1537271089680
14,37,41,0,11,702,6,1537271089680
14,37,41,0,8,701.21,2,1537271089684
14,37,41,0,11,701,10,1537271089687
14,37,41,0,8,700,23,1537271089690
14,37,41,0,11,705,2,1537271181885
14,37,41,0,11,705,50,1537271205469
14,37,41,0,12,705,10,1537271299683
37,0,0,0,11,702,7,1537271381044
37,0,0,0,11,702,25,1537271497846
14,37,41,0,11,702,33,1537271500736
14,37,41,0,11,705,48,1537271500736
14,37,41,0,11,705,2,1537271500736
14,37,41,0,11,705,50,1537271500736
14,41,0,0,11,705,179,1537271500737
37,0,0,0,11,704,25,1537271557071
0,0,0,0,11,705,100,1537271608965
14,37,41,0,11,704,2,1537271809296
14,41,0,0,11,705,100,1537271845856
14,37,41,0,8,705,17,1537271845856
14,41,0,0,12,705,312,1537271845857
14,37,41,0,11,705,71,1537271845857
37,0,0,0,12,704.97,90,1537272000156
37,0,0,0,4,704,31,1537272001399
37,0,0,0,4,700.05,5,1537272004526
37,0,0,0,4,700,15,1537272004532
37,0,0,0,4,700,14,1537272004541
37,0,0,0,4,707,4,1537272004568
37,0,0,0,4,705,20,1537272004613
0,0,0,0,4,705,120,1537272004615
37,0,0,0,4,708.27,30,1537272008580
37,0,0,0,4,701,40,1537272008584
37,0,0,0,4,700,45,1537272008585
37,0,0,0,4,703,13,1537272008589
37,0,0,0,4,705,45,1537272008591
37,0,0,0,4,700,5,1537272008596
37,0,0,0,4,705,4,1537272008612
37,0,0,0,4,705,80,1537272010283
37,0,0,0,4,705,10,1537272019943
37,0,0,0,11,705,20,1537272023577
37,0,0,0,4,704.5,15,1537272098708
37,0,0,0,4,705,20,1537272159687
37,0,0,0,4,718,50,1537272159983
0,0,0,0,4,705,150,1537272218088
14,37,41,0,11,704,1,1537272273219
14,37,41,0,11,703,2,1537272273219
14,37,41,0,11,703,10,1537272273219
14,37,41,0,12,701.31,10,1537272273221
14,37,41,0,12,701.3,77,1537272273221
0,0,0,0,12,705,300,1537272490198
37,0,0,0,11,704.5,40,1537272505078
37,0,0,0,4,704.5,5,1537272568791
14,37,41,0,11,703,50,1537272769539
14,37,41,0,11,703,25,1537272769540
14,37,41,0,11,703,25,1537272769540
37,0,0,0,4,705,10,1537272782956
37,0,0,0,12,704.92,2,1537272839132
37,0,0,0,12,704.9,50,1537272996108
37,0,0,0,12,704.9,50,1537272996108
37,0,0,0,4,704.99,14,1537273015227
37,0,0,0,11,703.44,10,1537273080991
37,0,0,0,11,703.52,3,1537273080991
37,0,0,0,11,703.97,10,1537273118360
37,0,0,0,11,703.99,15,1537273118360
14,37,41,0,12,703.01,50,1537273130581
14,37,41,0,12,703.01,50,1537273130581
14,37,41,0,12,703.01,10,1537273130581
14,37,41,0,12,703,6,1537273130581
14,37,41,0,12,703.01,50,1537273159702
14,37,41,0,12,703.01,50,1537273159702
37,0,0,0,11,702.5,4,1537273160191
37,0,0,0,11,702.5,20,1537273160191
37,0,0,0,12,702.01,10,1537273160194
37,0,0,0,11,702.06,10,1537273160199
37,0,0,0,11,702,16,1537273160199
37,0,0,0,11,702.02,10,1537273167388
37,0,0,0,11,702,84,1537273167388
37,0,0,0,11,702,6,1537273167388
37,0,0,0,11,701.02,50,1537273178549
14,37,41,0,11,701,5,1537273178549
37,0,0,0,11,700.06,10,1537273210335
37,0,0,0,11,700.06,50,1537273210335
37,0,0,0,11,700,10,1537273210335
37,0,0,0,11,700,10,1537273210335
37,0,0,0,11,700,15,1537273210335
37,0,0,0,11,699.57,53,1537273210335
0,0,0,0,11,699.57,147,1537273211741
37,0,0,0,11,698.54,10,1537273215454
37,0,0,0,11,698,50,1537273215454
37,0,0,0,8,697.53,1,1537273242436
37,0,0,0,4,690,25,1537273251511
37,0,0,0,4,690,75,1537273251511
14,37,41,0,8,696,1,1537273376701
37,0,0,0,11,700,15,1537273406074
37,0,0,0,11,700,5,1537273406074
37,0,0,0,11,699.98,5,1537273465614
37,0,0,0,18,696,12,1537273468062
37,0,0,0,4,699,50,1537273544576
14,41,0,0,11,697.34,100,1537273573187
0,0,0,0,11,697.34,100,1537273584752
37,0,0,0,11,697.29,50,1537273589700
37,0,0,0,11,697.84,13,1537273598574
37,0,0,0,11,697,30,1537273604967
37,0,0,0,11,697,30,1537273612346
37,0,0,0,11,697.36,10,1537273655959
0,0,0,0,11,697.79,100,1537273655959
37,0,0,0,11,697.84,87,1537273655959
37,0,0,0,11,697.84,13,1537273655959
0,0,0,0,11,697.84,187,1537273655959
37,0,0,0,11,698,10,1537273655959
14,37,41,0,11,698,24,1537273659953
37,0,0,0,11,698,69,1537273660641
37,0,0,0,4,698,75,1537273669968
37,0,0,0,8,698.99,10,1537273675482
37,0,0,0,8,699,57,1537273675482
37,0,0,0,8,699,10,1537273675482
37,0,0,0,11,700,25,1537273681402
14,37,41,0,11,700,1,1537273686006
32,0,0,0,4,727,100,1537273687632
32,37,0,0,4,727,1,1537273731185
32,37,0,0,4,727,1,1537273738929
