c1,c2,c3,c4,e,p,s,t
37,0,0,0,4,14.58,1,1539868988660
25,0,0,0,10,14.29,18926,1539869409163
37,0,0,0,4,14.38,5,1539869410833
51,0,0,0,0,14.3134,,1539869417821
0,0,0,0,4,14.3134,200,1539869417821
37,0,0,0,4,14.38,2,1539869419892
37,0,0,0,4,14.3799,3,1539869431134
0,0,0,0,4,14.29,100,1539869450353
0,0,0,0,4,14.29,200,1539869450354
37,0,0,0,4,14.38,1,1539869454088
51,0,0,0,0,14.315,,1539869459853
0,0,0,0,15,14.315,100,1539869459853
37,0,0,0,4,14.3426,93,1539869462185
14,37,41,0,19,14.37,66,1539869462917
51,0,0,0,0,14.34,,1539869463320
0,0,0,0,11,14.34,100,1539869463320
25,16,0,0,11,14.34,100,1539869463320
0,0,0,0,11,14.34,100,1539869463320
0,0,0,0,11,14.34,100,1539869463320
14,41,0,0,11,14.34,100,1539869463321
51,0,0,0,0,14.355,,1539869463356
0,0,0,0,4,14.355,100,1539869463356
0,0,0,0,4,14.355,100,1539869467990
0,0,0,0,4,14.35,200,1539869475352
0,0,0,0,4,14.35,100,1539869475352
0,0,0,0,19,14.34,247,1539869475352
51,0,0,0,0,14.36,,1539869475353
14,41,0,0,11,14.34,100,1539869475353
0,0,0,0,11,14.34,100,1539869475353
0,0,0,0,11,14.34,100,1539869475353
0,0,0,0,11,14.34,100,1539869475353
0,0,0,0,11,14.34,100,1539869475353
0,0,0,0,12,14.34,247,1539869475353
25,16,0,0,12,14.34,247,1539869475353
14,37,41,0,7,14.36,10,1539869475353
14,41,0,0,19,14.34,100,1539869475353
37,0,0,0,19,14.34,10,1539869475353
14,41,0,0,12,14.34,100,1539869475353
14,41,0,0,19,14.36,100,1539869475353
14,41,0,0,12,14.35,100,1539869475353
0,0,0,0,12,14.34,100,1539869475353
14,41,0,0,19,14.35,100,1539869475353
14,37,41,0,18,14.35,15,1539869475353
14,41,0,0,19,14.35,100,1539869475353
14,37,41,0,8,14.35,15,1539869475353
14,41,0,0,12,14.35,100,1539869475353
14,41,0,0,12,14.36,100,1539869475353
14,37,41,0,2,14.35,15,1539869475353
0,0,0,0,12,14.34,100,1539869475353
37,0,0,0,12,14.34,15,1539869475353
0,0,0,0,15,14.34,100,1539869475354
14,41,0,0,19,14.35,100,1539869475354
14,41,0,0,12,14.35,126,1539869475354
14,41,0,0,8,14.35,100,1539869475354
14,41,0,0,19,14.35,151,1539869475354
14,41,0,0,12,14.35,600,1539869475354
14,41,0,0,12,14.35,495,1539869475354
0,0,0,0,19,14.35,100,1539869475354
0,0,0,0,19,14.35,100,1539869475354
0,0,0,0,4,14.345,100,1539869475355
14,41,0,0,12,14.35,100,1539869475355
14,37,41,0,12,14.35,79,1539869475355
0,0,0,0,15,14.35,100,1539869475355
0,0,0,0,18,14.34,100,1539869475356
0,0,0,0,4,14.35,100,1539869475356
0,0,0,0,4,14.35,100,1539869475356
0,0,0,0,4,14.35,100,1539869475357
0,0,0,0,4,14.355,100,1539869475359
0,0,0,0,4,14.355,100,1539869475359
0,0,0,0,4,14.35,100,1539869475360
0,0,0,0,4,14.35,900,1539869475361
0,0,0,0,4,14.35,300,1539869475361
0,0,0,0,12,14.36,100,1539869475370
51,0,0,0,0,14.37,,1539869475380
0,0,0,0,10,14.37,100,1539869475380
0,0,0,0,11,14.37,100,1539869475380
0,0,0,0,12,14.37,100,1539869475380
0,0,0,0,15,14.37,100,1539869475380
51,0,0,0,0,14.38,,1539869475382
51,0,0,0,0,14.4,,1539869475382
14,41,0,0,10,14.38,100,1539869475382
14,41,0,0,11,14.38,100,1539869475382
14,41,0,0,11,14.38,100,1539869475382
14,41,0,0,19,14.38,100,1539869475382
14,41,0,0,19,14.38,100,1539869475382
14,41,0,0,12,14.38,100,1539869475382
14,41,0,0,11,14.4,100,1539869475382
0,0,0,0,4,14.35,100,1539869475382
0,0,0,0,4,14.38,100,1539869475382
14,41,0,0,19,14.4,100,1539869475382
51,0,0,0,0,14.42,,1539869475383
14,37,41,0,10,14.41,50,1539869475383
14,37,41,0,10,14.41,50,1539869475383
14,41,0,0,19,14.42,100,1539869475383
51,0,0,0,0,14.43,,1539869475384
14,41,0,0,19,14.42,100,1539869475384
0,0,0,0,4,14.37,100,1539869475384
14,41,0,0,12,14.43,100,1539869475384
14,41,0,0,8,14.43,100,1539869475384
0,0,0,0,12,14.43,100,1539869475384
0,0,0,0,12,14.42,200,1539869475384
0,0,0,0,4,14.42,100,1539869475384
0,0,0,0,12,14.42,100,1539869475384
51,0,0,0,0,14.47,,1539869475385
14,41,0,0,8,14.43,100,1539869475385
14,41,0,0,12,14.42,100,1539869475385
0,0,0,0,12,14.47,200,1539869475385
0,0,0,0,4,14.3425,100,1539869475472
14,41,0,0,10,14.45,100,1539869475592
14,41,0,0,10,14.45,100,1539869475710
14,41,0,0,10,14.45,100,1539869475720
14,41,0,0,10,14.45,200,1539869475910
14,41,0,0,11,14.45,100,1539869475910
14,41,0,0,19,14.45,100,1539869475910
14,41,0,0,12,14.45,100,1539869475910
0,0,0,0,3,14.45,100,1539869476977
37,0,0,0,3,14.45,74,1539869476977
37,0,0,0,4,14.42,15,1539869477457
37,0,0,0,4,14.45,40,1539869477951
37,0,0,0,4,14.4599,3,1539869482109
14,41,0,0,19,14.46,100,1539869484010
14,41,0,0,12,14.46,291,1539869484010
14,41,0,0,12,14.46,294,1539869484010
14,41,0,0,12,14.47,115,1539869484010
0,0,0,0,15,14.46,200,1539869484010
0,0,0,0,19,14.46,100,1539869484011
0,0,0,0,12,14.46,100,1539869484011
0,0,0,0,12,14.46,100,1539869484011
0,0,0,0,4,14.46,100,1539869484012
10,37,41,0,4,14.4614,3,1539869484160
37,0,0,0,4,14.5199,14,1539869485864
51,0,0,0,0,14.475,,1539869498352
0,0,0,0,4,14.475,100,1539869498352
0,0,0,0,4,14.465,100,1539869499238
37,0,0,0,4,14.49,2,1539869504303
0,0,0,0,4,14.4525,100,1539869507542
37,0,0,0,4,14.47,2,1539869518447
0,0,0,0,4,14.45,100,1539869520171
0,0,0,0,4,14.45,300,1539869526306
0,0,0,0,4,14.45,200,1539869526306
0,0,0,0,4,14.45,200,1539869526308
0,0,0,0,4,14.45,300,1539869526320
0,0,0,0,4,14.45,200,1539869526321
0,0,0,0,4,14.45,900,1539869528304
0,0,0,0,4,14.43,100,1539869528315
0,0,0,0,4,14.47,100,1539869529218
0,0,0,0,4,14.47,100,1539869529220
14,41,0,0,11,14.43,100,1539869535635
14,41,0,0,8,14.43,100,1539869535635
14,41,0,0,19,14.43,100,1539869535635
0,0,0,0,10,14.43,100,1539869535635
14,41,0,0,17,14.43,100,1539869535635
14,37,41,0,12,14.43,20,1539869535635
0,0,0,0,4,14.445,100,1539869535636
0,0,0,0,19,14.43,100,1539869535637
0,0,0,0,4,14.43,200,1539869535643
0,0,0,0,10,14.42,100,1539869537218
14,41,0,0,11,14.42,100,1539869537218
14,41,0,0,8,14.42,100,1539869537219
14,41,0,0,11,14.41,100,1539869537219
0,0,0,0,4,14.43,100,1539869537220
0,0,0,0,4,14.41,100,1539869537432
0,0,0,0,4,14.395,100,1539869547071
14,41,0,0,12,14.43,100,1539869547215
37,0,0,0,4,14.4212,3,1539869550938
0,0,0,0,4,14.4092,514,1539869570860
0,0,0,0,4,14.36,100,1539869576504
0,0,0,0,11,14.45,100,1539869578539
14,41,0,0,10,14.44,100,1539869578539
37,0,0,0,19,14.45,9,1539869578539
14,41,0,0,11,14.45,100,1539869578539
14,37,41,0,10,14.45,96,1539869578539
0,0,0,0,12,14.45,100,1539869578539
14,37,41,0,19,14.45,91,1539869578539
14,41,0,0,2,14.45,100,1539869578539
14,37,41,0,19,14.45,94,1539869578539
14,37,41,0,19,14.45,6,1539869578539
14,41,0,0,8,14.45,100,1539869578539
0,0,0,0,11,14.46,100,1539869578539
0,0,0,0,11,14.46,400,1539869578539
14,41,0,0,10,14.46,500,1539869578540
37,0,0,0,12,14.46,29,1539869578540
0,0,0,0,19,14.46,500,1539869578540
0,0,0,0,12,14.46,471,1539869578540
0,0,0,0,4,14.45,100,1539869578543
0,0,0,0,4,14.45,100,1539869578653
10,37,41,0,4,14.4376,72,1539869578790
51,0,0,0,0,14.5,,1539869579216
14,41,0,0,11,14.5,100,1539869579216
14,41,0,0,12,14.5,200,1539869579216
14,41,0,0,3,14.5,100,1539869579217
0,0,0,0,4,14.5,100,1539869579220
51,0,0,0,0,14.52,,1539869579878
0,0,0,0,4,14.52,100,1539869579878
14,41,0,0,11,14.47,100,1539869585922
14,41,0,0,10,14.48,100,1539869585922
14,41,0,0,8,14.47,100,1539869585922
14,41,0,0,7,14.47,100,1539869585922
14,41,0,0,18,14.47,100,1539869585922
14,41,0,0,19,14.46,100,1539869585922
14,41,0,0,2,14.46,100,1539869585922
14,41,0,0,12,14.46,100,1539869585922
0,0,0,0,4,14.47,100,1539869585927
0,0,0,0,4,14.465,100,1539869586136
0,0,0,0,4,14.48,100,1539869586215
0,0,0,0,4,14.48,300,1539869588089
0,0,0,0,8,14.46,100,1539869588957
0,0,0,0,8,14.45,100,1539869588957
14,41,0,0,11,14.46,100,1539869588957
14,41,0,0,11,14.45,100,1539869588957
14,41,0,0,11,14.45,100,1539869588957
14,41,0,0,18,14.45,100,1539869588957
0,0,0,0,11,14.45,100,1539869588957
14,41,0,0,19,14.45,100,1539869588957
0,0,0,0,10,14.45,100,1539869588957
14,41,0,0,10,14.45,200,1539869588957
14,41,0,0,19,14.45,100,1539869588957
14,41,0,0,10,14.45,100,1539869588957
14,41,0,0,19,14.45,100,1539869588957
0,0,0,0,8,14.45,100,1539869588957
14,41,0,0,11,14.45,100,1539869588957
14,41,0,0,8,14.45,100,1539869588957
14,41,0,0,2,14.45,100,1539869588957
14,41,0,0,8,14.45,100,1539869588957
14,41,0,0,10,14.45,200,1539869588957
0,0,0,0,19,14.45,100,1539869588957
14,41,0,0,12,14.45,100,1539869588957
14,41,0,0,10,14.45,100,1539869588957
0,0,0,0,4,14.465,100,1539869589115
0,0,0,0,4,14.45,100,1539869589215
0,0,0,0,4,14.48,100,1539869589218
0,0,0,0,4,14.48,100,1539869589219
0,0,0,0,4,14.45,400,1539869589224
0,0,0,0,4,14.475,500,1539869589846
0,0,0,0,15,14.45,100,1539869589931
0,0,0,0,4,14.4425,400,1539869620241
0,0,0,0,10,14.47,100,1539869622022
0,0,0,0,4,14.425,700,1539869634258
0,0,0,0,4,14.42,100,1539869634264
0,0,0,0,4,14.46,100,1539869635217
0,0,0,0,11,14.46,100,1539869635217
14,41,0,0,11,14.46,100,1539869635218
14,41,0,0,12,14.46,100,1539869635218
0,0,0,0,2,14.46,100,1539869635218
0,0,0,0,18,14.46,100,1539869635218
0,0,0,0,12,14.46,246,1539869635218
0,0,0,0,8,14.46,100,1539869635218
0,0,0,0,19,14.46,100,1539869635218
14,41,0,0,8,14.46,100,1539869635218
14,41,0,0,8,14.46,100,1539869635218
14,41,0,0,12,14.46,100,1539869635218
14,41,0,0,8,14.46,100,1539869635218
0,0,0,0,4,14.46,100,1539869635218
0,0,0,0,15,14.46,243,1539869635218
0,0,0,0,4,14.46,100,1539869635222
0,0,0,0,11,14.47,381,1539869644395
0,0,0,0,11,14.47,119,1539869644395
0,0,0,0,19,14.47,381,1539869644395
0,0,0,0,10,14.47,381,1539869644395
37,0,0,0,17,14.47,76,1539869644395
37,0,0,0,8,14.47,12,1539869644395
0,0,0,0,10,14.47,119,1539869644395
0,0,0,0,19,14.47,119,1539869644395
37,0,0,0,8,14.47,4,1539869644395
37,0,0,0,8,14.47,12,1539869644395
14,41,0,0,12,14.45,100,1539869644395
0,0,0,0,19,14.47,100,1539869644395
14,41,0,0,19,14.46,100,1539869644395
37,0,0,0,8,14.47,68,1539869644395
0,0,0,0,19,14.46,100,1539869644395
37,0,0,0,8,14.47,32,1539869644395
14,41,0,0,11,14.47,100,1539869644395
0,0,0,0,12,14.47,500,1539869644395
0,0,0,0,12,14.47,347,1539869644395
14,37,41,0,17,14.47,24,1539869644395
14,41,0,0,12,14.47,100,1539869644395
0,0,0,0,15,14.47,100,1539869644396
0,0,0,0,15,14.47,100,1539869644396
0,0,0,0,4,14.46,100,1539869644396
0,0,0,0,4,14.46,100,1539869644397
0,0,0,0,4,14.46,100,1539869644397
0,0,0,0,4,14.47,100,1539869644397
0,0,0,0,4,14.46,100,1539869644398
0,0,0,0,4,14.46,300,1539869644398
0,0,0,0,4,14.46,100,1539869644398
0,0,0,0,4,14.5,500,1539869645217
14,41,0,0,12,14.47,100,1539869649704
14,41,0,0,12,14.47,100,1539869649704
14,41,0,0,12,14.47,200,1539869649704
14,41,0,0,12,14.47,100,1539869649704
14,37,41,0,19,14.46,43,1539869649705
0,0,0,0,4,14.47,300,1539869649814
0,0,0,0,11,14.48,100,1539869649847
14,41,0,0,19,14.48,100,1539869657662
14,41,0,0,19,14.49,346,1539869657662
14,37,41,0,19,14.49,54,1539869657662
0,0,0,0,4,14.48,200,1539869669009
0,0,0,0,4,14.48,100,1539869674010
0,0,0,0,4,14.48,100,1539869676170
0,0,0,0,4,14.48,100,1539869676172
0,0,0,0,4,14.5,100,1539869676217
14,41,0,0,10,14.5,100,1539869676218
0,0,0,0,12,14.5,300,1539869676218
0,0,0,0,12,14.5,306,1539869676218
0,0,0,0,12,14.5,100,1539869676218
0,0,0,0,12,14.52,100,1539869676253
0,0,0,0,12,14.52,100,1539869676253
0,0,0,0,12,14.52,300,1539869676253
37,0,0,0,12,14.52,40,1539869676253
14,41,0,0,12,14.52,100,1539869676267
14,37,41,0,19,14.525,51,1539869676267
14,41,0,0,12,14.51,100,1539869676267
14,37,41,0,19,14.525,49,1539869676267
14,37,41,0,19,14.525,49,1539869676267
0,0,0,0,12,14.52,100,1539869676267
14,37,41,0,19,14.525,51,1539869676267
14,37,41,0,19,14.51,49,1539869676267
14,37,41,0,19,14.51,49,1539869676267
14,41,0,0,12,14.51,100,1539869676267
51,0,0,0,0,14.53,,1539869676677
0,0,0,0,4,14.53,100,1539869676677
0,0,0,0,4,14.52,100,1539869676677
0,0,0,0,4,14.52,100,1539869676680
0,0,0,0,4,14.53,100,1539869676681
0,0,0,0,4,14.53,300,1539869677218
14,41,0,0,3,14.53,100,1539869681416
14,41,0,0,18,14.53,100,1539869681416
14,41,0,0,19,14.53,100,1539869681416
14,41,0,0,10,14.53,100,1539869681417
37,0,0,0,11,14.54,61,1539869681417
51,0,0,0,0,14.54,,1539869688573
37,0,0,0,19,14.54,65,1539869688573
37,0,0,0,19,14.54,35,1539869688573
0,0,0,0,12,14.54,300,1539869688573
0,0,0,0,12,14.54,345,1539869688573
37,0,0,0,4,14.532,16,1539869688862
51,0,0,0,0,14.57,,1539869689073
14,41,0,0,19,14.57,200,1539869689073
0,0,0,0,4,14.55,200,1539869699019
0,0,0,0,4,14.55,100,1539869700071
37,0,0,0,2,14.57,3,1539869702734
0,0,0,0,4,14.55,100,1539869703462
0,0,0,0,4,14.57,100,1539869703891
0,0,0,0,4,14.57,200,1539869703891
0,0,0,0,4,14.57,300,1539869703891
0,0,0,0,4,14.57,231,1539869703892
0,0,0,0,4,14.57,100,1539869703893
0,0,0,0,4,14.57,200,1539869703893
37,0,0,0,4,14.57,27,1539869703896
0,0,0,0,4,14.57,100,1539869703896
0,0,0,0,4,14.57,200,1539869704675
0,0,0,0,4,14.57,200,1539869704677
0,0,0,0,4,14.57,100,1539869704678
0,0,0,0,4,14.57,100,1539869704782
0,0,0,0,4,14.57,100,1539869704810
0,0,0,0,4,14.57,100,1539869705215
0,0,0,0,4,14.57,100,1539869705216
14,41,0,0,12,14.57,200,1539869705219
0,0,0,0,4,14.57,100,1539869705220
0,0,0,0,4,14.57,231,1539869705255
0,0,0,0,4,14.57,100,1539869705307
0,0,0,0,4,14.57,100,1539869705359
14,41,0,0,12,14.55,100,1539869707261
14,41,0,0,12,14.57,200,1539869707261
14,41,0,0,12,14.57,344,1539869707261
14,41,0,0,12,14.57,307,1539869707261
14,41,0,0,12,14.57,209,1539869707261
37,0,0,0,15,14.57,40,1539869707261
37,0,0,0,15,14.57,99,1539869707264
0,0,0,0,4,14.57,100,1539869708658
51,0,0,0,0,14.58,,1539869709701
14,41,0,0,11,14.57,100,1539869709701
14,41,0,0,10,14.57,100,1539869709701
14,37,41,0,12,14.57,82,1539869709701
14,37,41,0,8,14.57,82,1539869709701
0,0,0,0,19,14.57,100,1539869709701
14,37,41,0,12,14.57,18,1539869709701
14,41,0,0,2,14.57,100,1539869709701
14,37,41,0,12,14.57,20,1539869709701
0,0,0,0,12,14.58,100,1539869709701
0,0,0,0,12,14.58,100,1539869709701
0,0,0,0,19,14.58,100,1539869709701
14,41,0,0,12,14.57,100,1539869709702
0,0,0,0,4,14.57,100,1539869709702
0,0,0,0,4,14.57,100,1539869709702
0,0,0,0,4,14.57,100,1539869709703
0,0,0,0,4,14.57,100,1539869709703
0,0,0,0,4,14.57,100,1539869709703
14,41,0,0,12,14.57,100,1539869709703
14,41,0,0,12,14.57,100,1539869709703
37,0,0,0,4,14.5785,93,1539869709712
0,0,0,0,4,14.57,100,1539869709781
0,0,0,0,12,14.57,100,1539869709783
0,0,0,0,12,14.57,100,1539869709783
14,41,0,0,12,14.57,100,1539869709784
14,41,0,0,12,14.57,100,1539869709784
0,0,0,0,4,14.57,100,1539869709786
0,0,0,0,4,14.57,100,1539869709787
0,0,0,0,4,14.57,100,1539869709788
0,0,0,0,4,14.57,100,1539869709822
0,0,0,0,4,14.569,200,1539869709833
14,41,0,0,12,14.57,100,1539869709852
14,41,0,0,12,14.57,100,1539869709853
14,41,0,0,12,14.57,100,1539869709853
14,37,41,0,12,14.57,37,1539869709853
14,37,41,0,12,14.57,43,1539869709853
0,0,0,0,4,14.57,100,1539869709855
14,41,0,0,12,14.57,257,1539869709866
14,41,0,0,12,14.58,100,1539869709867
14,37,41,0,12,14.58,43,1539869709867
0,0,0,0,12,14.58,257,1539869709867
14,37,41,0,12,14.58,51,1539869709867
0,0,0,0,4,14.565,100,1539869709900
0,0,0,0,4,14.57,200,1539869709901
14,41,0,0,11,14.58,100,1539869709902
14,41,0,0,12,14.58,100,1539869709902
0,0,0,0,12,14.58,100,1539869709902
0,0,0,0,4,14.57,500,1539869709921
0,0,0,0,4,14.565,200,1539869709968
51,0,0,0,0,14.59,,1539869710012
0,0,0,0,11,14.58,100,1539869710012
0,0,0,0,11,14.59,200,1539869710012
0,0,0,0,15,14.56,100,1539869710031
0,0,0,0,15,14.56,100,1539869710031
0,0,0,0,4,14.565,600,1539869710031
0,0,0,0,4,14.57,600,1539869710031
0,0,0,0,4,14.57,500,1539869710032
0,0,0,0,4,14.565,500,1539869710032
0,0,0,0,4,14.56,300,1539869710032
0,0,0,0,4,14.57,500,1539869710033
0,0,0,0,4,14.56,400,1539869710035
0,0,0,0,4,14.565,600,1539869710035
0,0,0,0,4,14.56,100,1539869710036
0,0,0,0,4,14.56,100,1539869710037
0,0,0,0,4,14.56,600,1539869710039
0,0,0,0,4,14.565,2100,1539869710039
0,0,0,0,4,14.56,100,1539869710043
0,0,0,0,4,14.565,300,1539869710069
0,0,0,0,4,14.56,100,1539869710108
0,0,0,0,4,14.57,100,1539869710120
0,0,0,0,4,14.56,100,1539869710146
0,0,0,0,4,14.57,100,1539869710175
0,0,0,0,4,14.58,100,1539869710176
0,0,0,0,4,14.57,100,1539869710178
0,0,0,0,4,14.58,100,1539869710178
0,0,0,0,4,14.57,100,1539869710181
0,0,0,0,4,14.58,100,1539869710182
0,0,0,0,4,14.57,100,1539869710184
0,0,0,0,4,14.58,100,1539869710185
0,0,0,0,4,14.56,100,1539869710191
0,0,0,0,4,14.59,1000,1539869710214
14,41,0,0,3,14.59,100,1539869710214
0,0,0,0,3,14.59,100,1539869710214
14,41,0,0,11,14.58,100,1539869710214
0,0,0,0,11,14.58,100,1539869710215
14,41,0,0,10,14.59,100,1539869710215
0,0,0,0,19,14.59,100,1539869710215
14,41,0,0,12,14.59,200,1539869710215
14,41,0,0,7,14.59,100,1539869710215
14,41,0,0,18,14.59,100,1539869710215
14,41,0,0,8,14.58,100,1539869710215
0,0,0,0,10,14.59,100,1539869710215
14,41,0,0,2,14.59,100,1539869710215
0,0,0,0,18,14.59,100,1539869710215
14,41,0,0,19,14.59,100,1539869710215
0,0,0,0,12,14.59,100,1539869710215
0,0,0,0,2,14.59,100,1539869710215
0,0,0,0,17,14.59,100,1539869710215
0,0,0,0,4,14.59,100,1539869710215
14,41,0,0,12,14.59,100,1539869710215
0,0,0,0,4,14.59,100,1539869710216
0,0,0,0,4,14.59,100,1539869710216
0,0,0,0,4,14.59,100,1539869710217
0,0,0,0,4,14.565,600,1539869710315
0,0,0,0,4,14.55,100,1539869710325
0,0,0,0,4,14.565,1700,1539869710326
51,0,0,0,0,14.6,,1539869711215
0,0,0,0,4,14.6,300,1539869711215
0,0,0,0,4,14.6,200,1539869711220
37,0,0,0,4,14.6,40,1539869711958
37,0,0,0,10,14.6,3,1539869718806
14,41,0,0,12,14.6,100,1539869718806
14,37,41,0,12,14.6,97,1539869718807
0,0,0,0,4,14.57,100,1539869728331
0,0,0,0,4,14.57,100,1539869731674
0,0,0,0,19,14.57,100,1539869731675
0,0,0,0,12,14.57,100,1539869731675
14,41,0,0,19,14.6,100,1539869735536
14,37,41,0,12,14.6,3,1539869735536
14,41,0,0,19,14.6,253,1539869735536
14,41,0,0,12,14.6,344,1539869735536
14,41,0,0,11,14.6,100,1539869735536
51,0,0,0,0,14.61,,1539869735538
0,0,0,0,19,14.61,354,1539869735538
51,0,0,0,0,14.62,,1539869735539
14,41,0,0,8,14.62,100,1539869735539
51,0,0,0,0,14.63,,1539869735543
0,0,0,0,19,14.63,100,1539869735543
0,0,0,0,8,14.62,100,1539869735640
51,0,0,0,0,14.64,,1539869738126
14,41,0,0,12,14.64,200,1539869738126
14,37,41,0,10,14.61,1,1539869742268
14,37,41,0,10,14.61,1,1539869742463
14,37,41,0,10,14.61,4,1539869743464
14,37,41,0,10,14.61,4,1539869744465
14,37,41,0,10,14.63,1,1539869744869
14,37,41,0,10,14.61,1,1539869744879
14,37,41,0,10,14.61,1,1539869745337
14,37,41,0,10,14.61,4,1539869746465
14,41,0,0,10,14.61,100,1539869747143
14,37,41,0,8,14.61,2,1539869747145
14,37,41,0,8,14.61,3,1539869748321
14,37,41,0,11,14.61,2,1539869749337
14,37,41,0,11,14.61,1,1539869749524
14,37,41,0,10,14.6,14,1539869760062
37,0,0,0,2,14.66,86,1539869760165
0,0,0,0,4,14.63,300,1539869762807
0,0,0,0,4,14.63,100,1539869769035
0,0,0,0,4,14.63,100,1539869778036
14,41,0,0,12,14.63,100,1539869778732
0,0,0,0,4,14.63,500,1539869782108
0,0,0,0,4,14.63,1000,1539869782301
0,0,0,0,4,14.63,1000,1539869784107
51,0,0,0,0,14.66,,1539869784216
14,41,0,0,12,14.66,200,1539869784216
14,41,0,0,12,14.66,300,1539869784216
14,41,0,0,11,14.62,100,1539869784833
14,41,0,0,10,14.62,100,1539869784833
14,41,0,0,8,14.62,100,1539869784833
14,41,0,0,18,14.61,100,1539869784833
14,41,0,0,19,14.62,100,1539869784833
14,41,0,0,2,14.62,100,1539869784833
14,41,0,0,12,14.62,100,1539869784833
0,0,0,0,4,14.63,2100,1539869785001
0,0,0,0,4,14.63,900,1539869785005
0,0,0,0,4,14.63,100,1539869786130
0,0,0,0,11,14.6,100,1539869796199
14,41,0,0,10,14.6,610,1539869796199
14,41,0,0,10,14.6,100,1539869796199
14,41,0,0,11,14.6,100,1539869796199
14,41,0,0,11,14.6,100,1539869796199
0,0,0,0,11,14.6,100,1539869796199
14,41,0,0,8,14.6,100,1539869796200
14,41,0,0,19,14.6,100,1539869796200
14,41,0,0,18,14.6,100,1539869796200
14,41,0,0,19,14.6,100,1539869796200
14,41,0,0,8,14.6,100,1539869796200
14,41,0,0,19,14.6,100,1539869796200
0,0,0,0,10,14.6,100,1539869796200
0,0,0,0,8,14.6,100,1539869796200
0,0,0,0,19,14.61,100,1539869796200
0,0,0,0,11,14.6,100,1539869796200
0,0,0,0,11,14.6,100,1539869796200
0,0,0,0,12,14.6,100,1539869796200
0,0,0,0,12,14.6,142,1539869796200
14,41,0,0,12,14.6,158,1539869796200
14,41,0,0,12,14.6,100,1539869796200
14,41,0,0,12,14.6,100,1539869796200
14,41,0,0,12,14.6,242,1539869796200
14,41,0,0,10,14.6,100,1539869796200
14,37,41,0,12,14.6,58,1539869796200
14,41,0,0,18,14.6,100,1539869796200
14,41,0,0,18,14.6,100,1539869796200
14,41,0,0,19,14.6,100,1539869796200
14,41,0,0,19,14.6,100,1539869796200
0,0,0,0,19,14.61,100,1539869796200
0,0,0,0,11,14.6,100,1539869796200
14,41,0,0,12,14.6,100,1539869796200
14,41,0,0,12,14.6,100,1539869796200
14,41,0,0,18,14.61,100,1539869796200
