c1,c2,c3,c4,e,p,s,t
25,0,0,0,10,37.8,2190,1539869400106
37,0,0,0,4,37.8,5,1539869401350
37,0,0,0,4,37.6963,10,1539869406975
0,0,0,0,3,37.5,100,1539869415035
37,0,0,0,10,37.5,26,1539869415036
0,0,0,0,18,37.77,100,1539869551591
0,0,0,0,18,37.79,100,1539869551595
37,0,0,0,18,37.82,5,1539869551597
37,0,0,0,4,37.59,20,1539869597104
51,0,0,0,0,37.25,,1539869656549
0,0,0,0,4,37.25,100,1539869656549
0,0,0,0,4,37.5,100,1539869664011
51,0,0,0,0,37.15,,1539869666918
14,41,0,0,3,37.15,100,1539869666918
14,41,0,0,11,37.15,100,1539869666918
25,16,0,0,11,37.15,100,1539869666918
0,0,0,0,3,37.15,100,1539869666918
14,37,41,0,18,37.15,4,1539869666919
14,41,0,0,8,37.15,100,1539869666919
0,0,0,0,18,37.15,100,1539869666919
14,41,0,0,8,37.15,100,1539869666919
51,0,0,0,0,37.11,,1539869666920
14,41,0,0,12,37.11,100,1539869666920
14,41,0,0,12,37.11,100,1539869666920
25,16,0,0,12,37.11,100,1539869666920
51,0,0,0,0,37.1,,1539869666922
37,0,0,0,19,37.23,9,1539869666922
14,41,0,0,4,37.1,100,1539869666922
14,37,41,0,12,37.11,96,1539869666923
0,0,0,0,4,37.1,100,1539869666930
0,0,0,0,4,37.16,100,1539869667033
0,0,0,0,4,37.17,100,1539869667044
0,0,0,0,4,37.165,100,1539869667069
0,0,0,0,4,37.1,100,1539869667081
0,0,0,0,4,37.15,100,1539869667106
0,0,0,0,4,37.15,100,1539869667110
0,0,0,0,4,37.165,100,1539869667116
10,37,41,0,4,37.1997,2,1539869667116
14,37,41,0,12,37.11,9,1539869667117
14,37,41,0,12,37.1,91,1539869667117
14,37,41,0,12,37.1,9,1539869667118
37,0,0,0,19,37.17,10,1539869667119
14,37,41,0,12,37.1,10,1539869667121
10,37,41,0,4,37.3468,84,1539869667225
51,0,0,0,0,36.97,,1539869668012
0,0,0,0,3,36.97,100,1539869668012
0,0,0,0,18,36.97,100,1539869668012
0,0,0,0,10,36.97,100,1539869668012
0,0,0,0,4,36.97,100,1539869668013
37,0,0,0,4,36.97,12,1539869668017
37,0,0,0,10,36.971,91,1539869668125
37,0,0,0,8,37.2,5,1539869701020
0,0,0,0,12,37.085,100,1539869703632
0,0,0,0,4,37.19,100,1539869712863
37,0,0,0,4,37.18,20,1539869717131
37,0,0,0,10,36.99,6,1539869722234
0,0,0,0,4,37.19,100,1539869728759
0,0,0,0,3,37.19,100,1539869777441
37,0,0,0,11,37.19,34,1539869777441
37,0,0,0,11,37.19,66,1539869777441
0,0,0,0,3,37.19,100,1539869777441
0,0,0,0,8,37.19,100,1539869777441
37,0,0,0,12,37.19,90,1539869777442
0,0,0,0,19,37.2,100,1539869777442
37,0,0,0,11,37.2,1,1539869777442
0,0,0,0,12,37.19,100,1539869777442
0,0,0,0,12,37.19,100,1539869777442
0,0,0,0,12,37.185,100,1539869777442
0,0,0,0,12,37.19,100,1539869777442
0,0,0,0,8,37.19,100,1539869777442
14,41,0,0,12,37.2,100,1539869777442
0,0,0,0,19,37.19,100,1539869777442
0,0,0,0,4,37.19,100,1539869777442
37,0,0,0,12,37.21,30,1539869777442
37,0,0,0,12,37.21,70,1539869777443
37,0,0,0,12,37.2,30,1539869777443
37,0,0,0,12,37.2,70,1539869777443
14,37,41,0,12,37.18,30,1539869777443
0,0,0,0,12,37.19,100,1539869777444
0,0,0,0,12,37.2,100,1539869777446
37,0,0,0,19,37.19,30,1539869777447
14,37,41,0,19,37.22,14,1539869777447
0,0,0,0,4,37.11,100,1539869777449
14,37,41,0,19,37.19,14,1539869777476
0,0,0,0,4,37.22,100,1539869780815
0,0,0,0,4,37.02,100,1539869800227
0,0,0,0,15,37.03,100,1539869800251
0,0,0,0,4,37.015,100,1539869800271
0,0,0,0,4,37.01,100,1539869800291
0,0,0,0,10,37.01,312,1539869800301
0,0,0,0,11,37.01,100,1539869800302
0,0,0,0,11,37.01,100,1539869800302
0,0,0,0,19,37.01,100,1539869800302
0,0,0,0,10,37.01,100,1539869800302
0,0,0,0,10,37.01,188,1539869800309
0,0,0,0,19,37.01,100,1539869800309
0,0,0,0,19,37.01,100,1539869800318
0,0,0,0,19,37,100,1539869800318
0,0,0,0,19,37,100,1539869800318
0,0,0,0,19,37,100,1539869800318
14,41,0,0,19,36.995,100,1539869800319
0,0,0,0,19,37,100,1539869800319
14,41,0,0,12,37,100,1539869800320
0,0,0,0,10,36.97,400,1539869800324
0,0,0,0,4,36.97,100,1539869800324
0,0,0,0,4,36.99,100,1539869800328
37,0,0,0,4,37.22,35,1539869816222
37,0,0,0,4,37.2252,2,1539869886555
0,0,0,0,4,37.15,2000,1539869956401
0,0,0,0,4,37.0817,325,1539870053524
10,2,41,0,4,37.1026,100,1539870060201
0,0,0,0,4,36.985,100,1539870108782
0,0,0,0,12,37.105,100,1539870108860
37,0,0,0,12,37.21,65,1539870110826
37,0,0,0,12,37.24,35,1539870110826
10,2,41,0,4,37.1035,100,1539870121578
0,0,0,0,4,36.985,100,1539870144011
14,37,41,0,10,37.21,86,1539870165772
0,0,0,0,4,37.1,100,1539870201115
0,0,0,0,3,37.24,100,1539870210086
0,0,0,0,4,37.035,100,1539870225094
14,41,0,0,10,37.08,100,1539870239982
0,0,0,0,10,37.08,100,1539870239982
0,0,0,0,10,37.08,100,1539870239982
14,37,41,0,10,37.08,78,1539870239983
0,0,0,0,10,37.08,100,1539870239983
37,0,0,0,10,37.08,22,1539870239983
0,0,0,0,10,37.08,100,1539870239983
37,0,0,0,10,37.08,78,1539870239983
37,0,0,0,10,37.08,53,1539870239983
37,0,0,0,10,37.08,5,1539870239983
37,0,0,0,10,37.08,22,1539870239983
0,0,0,0,10,37.08,100,1539870239983
14,41,0,0,10,37.08,100,1539870239983
0,0,0,0,10,37.08,100,1539870239983
0,0,0,0,4,37.09,2100,1539870239983
14,41,0,0,10,37.08,100,1539870239984
0,0,0,0,10,37.08,100,1539870239984
14,37,41,0,10,37.08,25,1539870239985
0,0,0,0,10,37.08,1617,1539870239986
0,0,0,0,4,37.08,700,1539870239986
0,0,0,0,4,37.035,100,1539870239995
0,0,0,0,4,37.21,200,1539870240017
14,41,0,0,12,37.02,100,1539870240040
14,41,0,0,12,36.99,200,1539870240040
0,0,0,0,4,37.08,100,1539870240194
10,2,41,0,4,37.0848,100,1539870241068
0,0,0,0,4,37.045,100,1539870250792
14,37,41,0,3,37,72,1539870262341
0,0,0,0,4,37.04,100,1539870262799
0,0,0,0,11,37,100,1539870262799
0,0,0,0,10,37,104,1539870262800
0,0,0,0,11,37,100,1539870262800
0,0,0,0,19,37,100,1539870262800
0,0,0,0,11,37,100,1539870262800
0,0,0,0,10,37,100,1539870262800
0,0,0,0,19,37,100,1539870262800
37,0,0,0,19,37.08,10,1539870262801
37,0,0,0,19,37.08,90,1539870262801
37,0,0,0,4,37,68,1539870262801
14,41,0,0,10,37.08,100,1539870262804
0,0,0,0,4,37.13,100,1539870262805
0,0,0,0,15,37.075,500,1539870264827
0,0,0,0,12,37.09,100,1539870274225
14,41,0,0,8,37.09,100,1539870274586
0,0,0,0,4,37.09,100,1539870274587
0,0,0,0,11,37.09,100,1539870274592
37,0,0,0,11,37.09,10,1539870274592
0,0,0,0,11,37.09,100,1539870274592
0,0,0,0,10,37.09,100,1539870274592
0,0,0,0,11,37.09,100,1539870274592
0,0,0,0,10,37.09,100,1539870274592
37,0,0,0,11,37.09,10,1539870274592
0,0,0,0,10,37.09,100,1539870274592
14,41,0,0,11,37.09,100,1539870274592
14,37,41,0,11,37.09,10,1539870274592
14,37,41,0,10,37.09,90,1539870274592
37,0,0,0,10,37.09,10,1539870274592
14,41,0,0,11,37.09,100,1539870274685
37,0,0,0,11,37.09,14,1539870274686
37,0,0,0,11,37.09,86,1539870274686
37,0,0,0,11,37.09,14,1539870274686
37,0,0,0,11,37.09,72,1539870274686
0,0,0,0,11,37.11,100,1539870274810
0,0,0,0,11,37.11,200,1539870274810
0,0,0,0,11,37.11,200,1539870274810
37,0,0,0,11,37.1,10,1539870274810
37,0,0,0,19,37.1,10,1539870274810
37,0,0,0,8,37.1,10,1539870274810
0,0,0,0,12,37.1,100,1539870274811
37,0,0,0,12,37.1,30,1539870274811
14,37,41,0,11,37.09,14,1539870274826
14,37,41,0,11,37.09,86,1539870274826
0,0,0,0,12,37.09,100,1539870274885
14,41,0,0,11,37.09,100,1539870274885
14,41,0,0,12,37.09,100,1539870274885
0,0,0,0,11,37.1,100,1539870274978
37,0,0,0,11,37.1,30,1539870274979
37,0,0,0,11,37.1,30,1539870274979
0,0,0,0,11,37.11,100,1539870275093
14,41,0,0,10,37.13,110,1539870278258
0,0,0,0,10,37.09,100,1539870280247
37,0,0,0,19,37.09,5,1539870280248
0,0,0,0,18,37.09,100,1539870280248
0,0,0,0,11,37.09,100,1539870280248
0,0,0,0,11,37.09,100,1539870280248
0,0,0,0,11,37.09,100,1539870280249
0,0,0,0,11,37.09,800,1539870280249
0,0,0,0,11,37.09,100,1539870280249
0,0,0,0,11,37.09,100,1539870280249
0,0,0,0,10,37.09,100,1539870280250
0,0,0,0,12,37.09,100,1539870280250
0,0,0,0,15,37.08,100,1539870280250
0,0,0,0,11,37.09,100,1539870280267
37,0,0,0,11,37.09,94,1539870280269
37,0,0,0,11,37.09,6,1539870280269
37,0,0,0,11,37.09,94,1539870280269
14,41,0,0,12,37.08,100,1539870280269
37,0,0,0,12,37.09,30,1539870280271
37,0,0,0,12,37.09,30,1539870280271
37,0,0,0,12,37.09,70,1539870280271
37,0,0,0,12,37.09,30,1539870280271
0,0,0,0,12,37.09,100,1539870280271
0,0,0,0,12,37.09,100,1539870280271
0,0,0,0,12,37.09,100,1539870280271
0,0,0,0,12,37.09,100,1539870280272
14,41,0,0,12,37.09,100,1539870280358
14,41,0,0,12,37.09,100,1539870280358
0,0,0,0,4,37.09,100,1539870281099
14,41,0,0,10,37.09,100,1539870281230
14,41,0,0,12,37.1,100,1539870282511
0,0,0,0,12,37.1,100,1539870282512
0,0,0,0,12,37.1,100,1539870282512
0,0,0,0,4,37.1,100,1539870282512
0,0,0,0,10,37.11,100,1539870283080
0,0,0,0,4,37.11,100,1539870283242
0,0,0,0,8,37.12,100,1539870285237
0,0,0,0,4,37.095,200,1539870286801
0,0,0,0,11,37.12,100,1539870286812
0,0,0,0,11,37.12,100,1539870286933
0,0,0,0,4,37.12,375,1539870288204
14,41,0,0,8,37.12,100,1539870288205
14,41,0,0,4,37.12,100,1539870288206
14,41,0,0,4,37.13,275,1539870288206
37,0,0,0,4,37.13,25,1539870288225
0,0,0,0,11,37.13,100,1539870288324
0,0,0,0,11,37.13,100,1539870288324
37,0,0,0,10,37.13,18,1539870288325
14,37,41,0,10,37.13,72,1539870288325
14,37,41,0,19,37.13,10,1539870288325
14,37,41,0,19,37.13,90,1539870288325
14,37,41,0,10,37.14,18,1539870288325
14,37,41,0,10,37.14,82,1539870288326
14,41,0,0,8,37.15,100,1539870288326
0,0,0,0,4,37.15,100,1539870288335
0,0,0,0,11,37.16,200,1539870288464
0,0,0,0,4,37.15,200,1539870288997
0,0,0,0,4,37.15,127,1539870294523
14,37,41,0,10,37.16,43,1539870294536
0,0,0,0,4,37.14,100,1539870294772
0,0,0,0,4,37.14,100,1539870294844
0,0,0,0,11,37.16,100,1539870295262
0,0,0,0,4,37.12,100,1539870298003
14,41,0,0,12,37.12,100,1539870298689
10,37,41,0,4,37.1437,13,1539870298720
14,41,0,0,3,37.17,100,1539870302951
0,0,0,0,4,37.12,100,1539870302953
0,0,0,0,4,37.1,300,1539870308000
0,0,0,0,11,37.09,100,1539870308001
14,41,0,0,11,37.09,100,1539870308001
0,0,0,0,11,37.09,100,1539870308001
0,0,0,0,11,37.09,100,1539870308001
0,0,0,0,12,37.09,100,1539870308001
0,0,0,0,11,37.09,100,1539870308001
0,0,0,0,10,37.09,100,1539870308001
14,41,0,0,10,37.09,100,1539870308001
0,0,0,0,12,37.09,100,1539870308002
14,41,0,0,11,37.09,100,1539870308002
14,41,0,0,10,37.09,100,1539870308002
37,0,0,0,12,37.09,7,1539870308002
37,0,0,0,12,37.09,93,1539870308002
37,0,0,0,12,37.09,7,1539870308002
14,41,0,0,12,37.09,100,1539870308002
0,0,0,0,4,37.095,100,1539870308005
0,0,0,0,11,37.09,100,1539870308111
0,0,0,0,11,37.09,100,1539870308111
0,0,0,0,4,37.095,100,1539870308116
0,0,0,0,4,37.1,100,1539870308343
0,0,0,0,4,37.095,100,1539870310939
0,0,0,0,4,37.0905,500,1539870314420
0,0,0,0,4,37.1,500,1539870314487
0,0,0,0,10,37.12,100,1539870322887
0,0,0,0,4,37.12,100,1539870323045
0,0,0,0,4,37.105,100,1539870325447
0,0,0,0,4,37.105,100,1539870325448
0,0,0,0,4,37.105,100,1539870325550
14,41,0,0,11,37.12,100,1539870326027
0,0,0,0,11,37.1,100,1539870326028
37,0,0,0,11,37.1,10,1539870326028
0,0,0,0,10,37.12,100,1539870326028
14,41,0,0,12,37.12,100,1539870326028
14,41,0,0,10,37.12,100,1539870326028
0,0,0,0,12,37.12,100,1539870326028
37,0,0,0,19,37.1,10,1539870326028
37,0,0,0,12,37.11,30,1539870326028
37,0,0,0,12,37.11,70,1539870326028
0,0,0,0,12,37.11,100,1539870326028
0,0,0,0,4,37.12,100,1539870326028
0,0,0,0,4,37.12,100,1539870326069
0,0,0,0,4,37.1175,100,1539870326142
0,0,0,0,10,37.11,200,1539870327105
0,0,0,0,4,37.1,100,1539870327537
