c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,48.85,50,1539861941796
37,0,0,0,11,48.85,50,1539862034189
37,0,0,0,11,48.85,1,1539862044945
37,0,0,0,11,48.5,30,1539863177993
14,41,0,0,8,47.6,100,1539863681603
14,37,41,0,8,47.6,90,1539863685219
14,37,41,0,8,47.6,2,1539863685219
14,37,41,0,11,47.6,8,1539863685220
37,0,0,0,11,47.6,92,1539863687772
37,0,0,0,11,47.22,30,1539863747383
37,0,0,0,8,47,90,1539863747387
14,41,0,0,8,47,100,1539863750186
37,0,0,0,8,47,5,1539863753218
14,37,41,0,12,47.34,60,1539863965560
37,0,0,0,4,48.5,70,1539864001692
37,0,0,0,4,48.5,30,1539864001695
37,0,0,0,4,48.5,50,1539864001830
37,0,0,0,4,48.5,50,1539864008256
14,41,0,0,8,48,100,1539864021217
14,41,0,0,8,47.75,100,1539864022788
14,37,41,0,12,47.78,30,1539864124630
37,0,0,0,4,48.49,5,1539864227697
37,0,0,0,11,48,50,1539864488230
37,0,0,0,4,48,96,1539864717347
14,41,0,0,11,48.05,170,1539864747620
37,0,0,0,4,48,70,1539864923133
14,37,41,0,11,48.01,50,1539865022051
14,37,41,0,11,48,50,1539865022051
14,41,0,0,11,48,105,1539865085567
14,41,0,0,8,48.2,100,1539865093116
14,37,41,0,12,48.2,33,1539865093117
37,0,0,0,4,48.05,50,1539865131031
37,0,0,0,11,48.1,30,1539865689817
37,0,0,0,4,48.2,50,1539865747247
37,0,0,0,4,48.2,50,1539865807536
0,0,0,0,4,48.06,150,1539865984172
37,0,0,0,8,48.06,30,1539866346310
32,37,0,0,4,49,30,1539866560981
14,41,0,0,12,48.19,100,1539866590951
0,0,0,0,4,48.2,100,1539866854341
0,0,0,0,4,48.2,400,1539866912630
0,0,0,0,4,48.2,400,1539866938990
14,41,0,0,11,48.06,100,1539867027612
14,41,0,0,11,48.01,100,1539867027612
14,37,41,0,8,48.05,30,1539867027612
14,37,41,0,8,48.05,70,1539867027612
14,41,0,0,8,48.01,100,1539867027612
14,37,41,0,8,48.04,30,1539867027613
14,37,41,0,8,48.04,70,1539867027613
14,41,0,0,11,48.08,100,1539867303856
14,41,0,0,11,48.08,100,1539867304928
14,41,0,0,11,48.05,100,1539867308301
14,41,0,0,11,48.05,100,1539867309287
37,0,0,0,4,48.15,1,1539867360934
37,0,0,0,12,48.15,2,1539867554596
37,0,0,0,4,48.39,2,1539867612453
37,0,0,0,4,48.39,5,1539867612454
37,0,0,0,12,48.15,3,1539867718929
14,37,41,0,11,48.15,30,1539867890835
14,41,0,0,11,48.05,170,1539867890835
37,0,0,0,8,48.12,1,1539867890836
37,0,0,0,4,48.39,10,1539867954960
37,0,0,0,4,48.19,1,1539868784515
37,0,0,0,11,48.07,1,1539868930218
0,0,0,0,11,48.05,200,1539868930218
14,41,0,0,11,48.01,100,1539869134703
14,37,41,0,12,48.02,67,1539869134705
14,41,0,0,12,48,133,1539869134705
14,37,41,0,12,48,67,1539869134706
14,37,41,0,12,48,1,1539869134706
14,37,41,0,12,48,20,1539869134716
37,0,0,0,8,48,1,1539869151392
14,37,41,0,12,47.77,99,1539869151393
14,37,41,0,12,47.98,15,1539869172032
14,37,41,0,12,47.98,85,1539869172032
14,41,0,0,12,47.77,101,1539869187144
14,37,41,0,12,47.7,1,1539869187156
14,41,0,0,8,47.5,190,1539869188972
0,0,0,0,4,47.5,500,1539869192853
14,37,41,0,19,47.48,45,1539869195612
14,41,0,0,12,47.48,100,1539869195612
14,37,41,0,8,47.48,55,1539869195612
14,37,41,0,12,47.48,15,1539869195613
14,37,41,0,12,47.48,15,1539869195613
14,37,41,0,11,47.48,45,1539869195614
14,37,41,0,11,47.48,55,1539869195614
14,37,41,0,11,47.48,45,1539869195614
0,0,0,0,4,47.5,1125,1539869196474
0,0,0,0,4,47.4899,500,1539869243573
37,0,0,0,8,47.47,1,1539869258121
37,0,0,0,4,47.4764,1,1539869337245
37,0,0,0,12,47.79,25,1539869400008
51,0,0,0,0,47.56,,1539869400615
25,41,0,0,12,47.56,147,1539869400615
25,16,0,0,12,47.56,147,1539869400615
14,37,41,0,12,47.81,3,1539869408850
14,37,41,0,12,48,3,1539869409460
14,37,41,0,12,48,2,1539869409835
14,37,41,0,12,48,2,1539869410018
14,37,41,0,12,48,9,1539869410380
51,0,0,0,0,47.95,,1539869411856
25,0,0,0,10,47.95,46181,1539869411856
37,0,0,0,10,47.9,51,1539869411857
37,0,0,0,10,47.9,84,1539869411857
37,0,0,0,10,47.77,15,1539869411857
37,0,0,0,10,47.75,89,1539869411857
14,41,0,0,11,47.81,100,1539869411857
25,16,0,0,11,47.81,100,1539869411857
14,41,0,0,8,47.81,100,1539869411857
51,0,0,0,0,48,,1539869411858
14,41,0,0,12,47.81,100,1539869411858
14,37,41,0,10,48,21,1539869411858
0,0,0,0,10,48,100,1539869411858
0,0,0,0,10,48,1200,1539869411858
14,37,41,0,12,48,79,1539869411858
14,41,0,0,10,48,100,1539869411858
14,41,0,0,12,48,100,1539869411858
0,0,0,0,4,48,250,1539869411862
37,0,0,0,19,47.83,5,1539869411862
37,0,0,0,18,47.83,55,1539869411863
0,0,0,0,18,47.82,100,1539869411863
0,0,0,0,7,47.82,100,1539869411863
0,0,0,0,2,47.83,100,1539869411863
0,0,0,0,3,47.78,100,1539869411864
0,0,0,0,2,47.8,100,1539869411864
37,0,0,0,19,47.78,60,1539869411864
14,41,0,0,11,47.78,100,1539869411864
0,0,0,0,12,47.78,100,1539869411864
0,0,0,0,12,47.78,100,1539869411864
0,0,0,0,17,47.78,100,1539869411864
0,0,0,0,12,47.78,100,1539869411865
37,0,0,0,4,47.81,40,1539869411865
0,0,0,0,12,47.78,100,1539869411865
0,0,0,0,10,47.75,300,1539869411865
0,0,0,0,10,47.75,451,1539869411865
37,0,0,0,4,47.81,60,1539869411866
0,0,0,0,4,47.79,100,1539869411866
37,0,0,0,12,47.72,80,1539869411867
0,0,0,0,4,47.78,200,1539869411867
37,0,0,0,4,47.88,5,1539869411867
37,0,0,0,4,47.98,5,1539869411867
37,0,0,0,12,47.72,20,1539869411868
37,0,0,0,4,47.781,40,1539869411868
37,0,0,0,4,47.9899,5,1539869411869
37,0,0,0,4,47.6252,81,1539869411871
37,0,0,0,4,47.6686,21,1539869411872
0,0,0,0,4,47.6842,300,1539869411876
0,0,0,0,4,47.611,1280,1539869411878
37,0,0,0,4,47.73,80,1539869411880
0,0,0,0,4,47.7537,200,1539869411882
14,41,0,0,10,47.75,100,1539869411886
14,41,0,0,10,47.73,100,1539869411891
0,0,0,0,4,47.73,100,1539869411892
37,0,0,0,10,47.7,11,1539869411908
37,0,0,0,10,47.69,3,1539869411910
37,0,0,0,10,47.61,61,1539869411922
37,0,0,0,18,47.81,2,1539869411931
37,0,0,0,4,47.9899,2,1539869411934
0,0,0,0,4,47.6932,100,1539869411961
0,0,0,0,4,47.75,175,1539869411981
37,0,0,0,2,47.79,4,1539869411999
37,0,0,0,4,47.8399,4,1539869412001
0,0,0,0,4,47.6583,137,1539869412025
0,0,0,0,4,47.7501,1000,1539869412026
10,37,41,0,4,47.95,1,1539869412048
51,0,0,0,0,47.54,,1539869412070
51,0,0,0,0,47.5,,1539869412070
14,37,41,0,10,47.61,39,1539869412070
14,37,41,0,10,47.55,55,1539869412070
14,41,0,0,10,47.54,200,1539869412070
14,41,0,0,10,47.5,206,1539869412070
0,0,0,0,3,47.5,100,1539869412070
37,0,0,0,11,47.78,66,1539869412070
0,0,0,0,11,47.5,100,1539869412070
0,0,0,0,10,47.5,100,1539869412070
14,41,0,0,12,47.61,100,1539869412070
0,0,0,0,10,47.5,151,1539869412070
0,0,0,0,19,47.61,100,1539869412070
0,0,0,0,2,47.61,100,1539869412070
0,0,0,0,17,47.5,100,1539869412070
0,0,0,0,18,47.61,100,1539869412070
0,0,0,0,8,47.61,100,1539869412070
14,41,0,0,12,47.56,100,1539869412070
0,0,0,0,7,47.61,100,1539869412070
14,41,0,0,12,47.55,100,1539869412070
14,41,0,0,12,47.54,100,1539869412070
14,41,0,0,12,47.54,100,1539869412070
14,41,0,0,12,47.5,140,1539869412070
14,37,41,0,12,47.5,18,1539869412070
0,0,0,0,12,47.5,100,1539869412070
14,41,0,0,12,47.51,260,1539869412070
0,0,0,0,4,47.52,100,1539869412071
0,0,0,0,4,47.52,100,1539869412071
0,0,0,0,4,47.5,100,1539869412071
0,0,0,0,4,47.5,100,1539869412072
0,0,0,0,4,47.69,100,1539869412074
0,0,0,0,4,47.69,100,1539869412074
51,0,0,0,0,47.48,,1539869412075
0,0,0,0,4,47.48,100,1539869412075
0,0,0,0,4,47.625,500,1539869412075
0,0,0,0,4,47.48,500,1539869412076
0,0,0,0,4,47.5,110,1539869412076
14,37,41,0,19,47.56,16,1539869412082
0,0,0,0,4,47.48,958,1539869412089
37,0,0,0,18,47.63,16,1539869412125
10,37,41,0,4,47.9,1,1539869412129
0,0,0,0,4,47.52,100,1539869412132
37,0,0,0,19,47.54,2,1539869412302
51,0,0,0,0,47.47,,1539869412329
0,0,0,0,10,47.47,221,1539869412329
0,0,0,0,18,47.47,300,1539869412329
0,0,0,0,2,47.47,179,1539869412330
37,0,0,0,10,47.4,61,1539869412331
51,0,0,0,0,47.38,,1539869412333
0,0,0,0,10,47.38,100,1539869412333
0,0,0,0,18,47.38,100,1539869412333
51,0,0,0,0,47.25,,1539869412338
0,0,0,0,4,47.25,359,1539869412338
0,0,0,0,4,47.251,274,1539869412340
0,0,0,0,4,47.25,500,1539869412343
0,0,0,0,4,47.25,500,1539869412344
0,0,0,0,4,47.25,110,1539869412344
0,0,0,0,4,47.3,154,1539869412345
