c1,c2,c3,c4,e,p,s,t
37,0,0,0,10,49.47,10,1539783000211
37,0,0,0,10,48.41,5,1539783000211
51,0,0,0,0,48.91,,1539783006649
0,0,0,0,4,48.91,200,1539783006649
51,0,0,0,0,49.6605,,1539783021876
0,0,0,0,4,49.6605,300,1539783021876
37,0,0,0,10,48.92,51,1539783218506
37,0,0,0,10,48.71,4,1539783218506
37,0,0,0,12,49.67,50,1539783273914
25,16,0,0,12,49.67,50,1539783273914
37,0,0,0,10,50.01,11,1539783352688
37,0,0,0,4,50.47,1,1539783390005
51,0,0,0,0,48.6848,,1539783414940
0,0,0,0,4,48.6848,500,1539783414940
37,0,0,0,15,48.69,20,1539783414970
37,0,0,0,4,48.7607,25,1539783433510
37,0,0,0,4,49.96,51,1539783510759
0,0,0,0,4,48.867,200,1539783527643
37,0,0,0,4,49.1126,13,1539783653021
37,0,0,0,4,49.08,20,1539783705766
37,0,0,0,4,48.84,1,1539783705787
37,0,0,0,4,49.65,1,1539783756309
0,0,0,0,10,49.66,100,1539783868767
14,41,0,0,18,49.32,100,1539784425799
51,0,0,0,0,50.05,,1539784522145
0,0,0,0,4,50.05,131,1539784522145
37,0,0,0,15,50.05,11,1539784522862
37,0,0,0,4,50.46,23,1539784558626
37,0,0,0,15,50,9,1539784563043
14,37,41,0,10,50.25,13,1539784617618
37,0,0,0,4,49.89,1,1539784864822
51,0,0,0,0,50.1925,,1539785030717
0,0,0,0,4,50.1925,500,1539785030717
14,37,41,0,10,49.46,23,1539785033732
14,37,41,0,10,49.42,73,1539785033732
14,37,41,0,2,49.46,4,1539785033732
14,37,41,0,10,49.41,45,1539785033733
14,37,41,0,10,49.38,50,1539785033733
14,37,41,0,10,49.33,1,1539785033733
14,37,41,0,2,49.32,4,1539785033733
14,37,41,0,12,49.79,5,1539785093325
0,0,0,0,4,50.1465,150,1539785109122
37,0,0,0,12,49.79,50,1539785125277
14,37,41,0,10,49.79,53,1539785229633
