c1,c2,c3,c4,e,p,s,t
25,16,0,0,12,13.91,5793,1539869400146
37,0,0,0,12,13.86,54,1539869401199
0,0,0,0,12,14.19,246,1539869405984
0,0,0,0,12,14.14,100,1539869406661
0,0,0,0,12,14.14,100,1539869406661
0,0,0,0,12,14.14,100,1539869406661
0,0,0,0,11,14.14,100,1539869406661
25,16,0,0,11,14.14,100,1539869406661
0,0,0,0,4,14.1373,596,1539869408006
14,41,0,0,12,14.11,100,1539869436833
0,0,0,0,12,14.11,100,1539869436833
0,0,0,0,12,14.06,100,1539869436833
14,41,0,0,12,14.11,200,1539869436833
14,37,41,0,12,14.11,18,1539869436833
0,0,0,0,12,14.07,100,1539869436833
14,37,41,0,12,14.1,8,1539869436834
0,0,0,0,12,14.07,100,1539869436834
14,37,41,0,12,14.1,82,1539869436834
0,0,0,0,19,14.07,100,1539869436834
37,0,0,0,8,14.08,10,1539869436834
14,37,41,0,12,14.08,90,1539869436834
37,0,0,0,12,14.08,10,1539869436834
0,0,0,0,12,14.09,100,1539869436834
37,0,0,0,12,14.09,10,1539869436834
37,0,0,0,19,14.08,10,1539869436834
37,0,0,0,19,14.08,10,1539869436834
14,37,41,0,19,14.08,10,1539869436834
0,0,0,0,19,14.09,100,1539869436834
0,0,0,0,4,14.06,100,1539869436834
0,0,0,0,12,14.08,100,1539869436834
0,0,0,0,4,14.09,115,1539869466086
51,0,0,0,0,14.245,,1539869521853
0,0,0,0,4,14.245,100,1539869521853
14,37,41,0,2,14.36,20,1539869521984
14,37,41,0,12,14.38,30,1539869521984
14,37,41,0,12,14.4,50,1539869521984
37,0,0,0,4,14.3999,2,1539869548669
51,0,0,0,0,14.32,,1539869564574
0,0,0,0,12,14.32,100,1539869564574
0,0,0,0,12,14.27,100,1539869564576
14,41,0,0,19,14.27,100,1539869564576
14,41,0,0,11,14.27,100,1539869564576
0,0,0,0,11,14.27,100,1539869564577
0,0,0,0,12,14.26,140,1539869564582
37,0,0,0,12,14.26,60,1539869564582
37,0,0,0,12,14.26,40,1539869564582
0,0,0,0,8,14.26,100,1539869564582
0,0,0,0,4,14.295,100,1539869564584
0,0,0,0,4,14.27,100,1539869564605
0,0,0,0,4,14.22,180,1539869570201
0,0,0,0,4,14.245,146,1539869570204
0,0,0,0,12,14.18,100,1539869571735
0,0,0,0,8,14.18,100,1539869571735
0,0,0,0,18,14.18,100,1539869571735
0,0,0,0,4,14.17,100,1539869571746
0,0,0,0,4,14.17,1040,1539869571748
0,0,0,0,4,14.17,360,1539869579539
37,0,0,0,4,14.1834,7,1539869582443
0,0,0,0,4,14.18,100,1539869590247
0,0,0,0,4,14.18,100,1539869590250
0,0,0,0,4,14.18,200,1539869590354
