c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,68.38,20,1539302644257
37,0,0,0,11,69.2,8,1539341602900
14,37,41,0,12,69.31,92,1539341602900
14,41,0,0,12,69.31,100,1539341625117
14,37,41,0,12,69.31,70,1539341628899
14,41,0,0,12,69.36,100,1539341848130
14,41,0,0,12,69.36,100,1539341848887
14,37,41,0,12,69.36,38,1539341849965
14,37,41,0,12,69.32,62,1539341849965
14,37,41,0,12,69.32,38,1539341850567
14,37,41,0,12,69.2,50,1539341872468
14,41,0,0,11,69.2,100,1539342000077
14,41,0,0,11,69.25,200,1539342000077
37,0,0,0,8,69,59,1539342000077
0,0,0,0,8,69.45,300,1539342000078
37,0,0,0,8,70,41,1539342000078
14,37,41,0,8,69.5,62,1539342000078
37,0,0,0,8,69.5,38,1539342000078
0,0,0,0,12,69.5,100,1539342000079
14,37,41,0,11,69.5,20,1539342002933
14,37,41,0,11,69.5,80,1539342002933
37,0,0,0,11,69.5,20,1539342003168
37,0,0,0,11,69.35,30,1539342064831
37,0,0,0,11,69.35,20,1539342064831
0,0,0,0,11,69.35,340,1539342096746
14,41,0,0,8,69.35,460,1539342096747
14,37,41,0,8,69.35,50,1539342122650
14,41,0,0,11,69.44,100,1539342220320
0,0,0,0,11,69.44,500,1539342466760
0,0,0,0,11,69.5,200,1539342483166
14,41,0,0,11,69.5,1000,1539342535584
14,41,0,0,11,69.7,100,1539342537882
14,41,0,0,11,69.55,1929,1539342638644
14,41,0,0,11,69.55,100,1539342669909
14,41,0,0,8,69.55,100,1539342669909
14,41,0,0,19,69.55,100,1539342669909
14,41,0,0,12,69.55,100,1539342669909
14,41,0,0,12,69.55,200,1539342669909
14,41,0,0,11,69.5,3800,1539342710194
37,0,0,0,11,69.4,76,1539342798673
0,0,0,0,11,69.4,100,1539342798673
0,0,0,0,11,69.4,124,1539342798673
0,0,0,0,11,69.4,100,1539342802340
0,0,0,0,11,69.4,100,1539342802340
14,41,0,0,8,69.45,100,1539343007356
0,0,0,0,11,69.45,100,1539343049399
14,41,0,0,8,69.45,200,1539343261525
0,0,0,0,11,69.45,300,1539343321928
14,41,0,0,11,69.45,100,1539343575207
37,0,0,0,12,69.45,50,1539343914231
0,0,0,0,11,69.4,100,1539343981261
0,0,0,0,11,69.4,100,1539343981261
0,0,0,0,11,69.4,100,1539343990692
14,41,0,0,12,69.4,100,1539343990693
14,41,0,0,19,69.4,100,1539344059762
14,41,0,0,8,69.4,100,1539344059762
14,41,0,0,8,69.4,500,1539344059762
14,41,0,0,19,69.4,300,1539344059762
14,41,0,0,8,69.4,176,1539344059762
14,41,0,0,12,69.4,100,1539344059762
14,41,0,0,12,69.4,400,1539344059762
0,0,0,0,11,69.38,100,1539344064362
14,41,0,0,11,69.38,5900,1539344067527
37,0,0,0,12,69.38,70,1539344117285
37,0,0,0,12,69.38,30,1539344138706
37,0,0,0,12,69.38,70,1539344138706
14,41,0,0,11,69.38,100,1539344246183
14,37,41,0,12,69.38,30,1539344246184
14,37,41,0,12,69.38,70,1539344246184
37,0,0,0,11,69.36,50,1539344316112
37,0,0,0,11,69.38,70,1539344321819
37,0,0,0,11,69.38,30,1539344322616
14,37,41,0,12,69.38,30,1539344322617
14,37,41,0,12,69.38,40,1539344322617
37,0,0,0,11,69.36,50,1539344336799
14,37,41,0,8,69.35,50,1539344339292
14,41,0,0,8,69.38,195,1539344363660
14,41,0,0,19,69.38,100,1539344363660
14,37,41,0,11,69.38,60,1539344363660
14,41,0,0,11,69.38,200,1539344363661
14,41,0,0,8,69.45,400,1539344545507
14,41,0,0,12,69.45,350,1539344545507
37,0,0,0,11,69.5,50,1539344728936
37,0,0,0,11,69.53,55,1539344902592
0,0,0,0,11,69.67,128,1539344902592
37,0,0,0,12,69.64,80,1539344902599
0,0,0,0,11,69.7,237,1539344902791
14,41,0,0,11,69.6,100,1539345199061
14,37,41,0,8,69.65,15,1539345238534
0,0,0,0,11,69.6,100,1539345240996
14,37,41,0,8,69.6,25,1539345298159
37,0,0,0,11,69.6,5,1539345331091
37,0,0,0,11,69.6,70,1539345331091
37,0,0,0,11,69.6,30,1539345397973
0,0,0,0,11,69.5,370,1539345468448
0,0,0,0,8,69.5,100,1539345468449
0,0,0,0,11,69.5,100,1539345492919
0,0,0,0,11,69.5,100,1539345505187
0,0,0,0,8,69.5,100,1539345577845
0,0,0,0,11,69.7,178,1539345584051
14,41,0,0,12,69.7,200,1539345584052
0,0,0,0,11,69.74,500,1539345589690
0,0,0,0,11,69.75,1000,1539345589690
14,41,0,0,12,69.84,100,1539345592115
0,0,0,0,8,69.5,500,1539345597813
0,0,0,0,4,69.4399,300,1539345600481
37,0,0,0,4,69.4399,25,1539345600504
0,0,0,0,4,69.8999,500,1539345600638
0,0,0,0,4,69.4499,100,1539345600751
0,0,0,0,4,69.45,100,1539345600751
0,0,0,0,4,69.4499,250,1539345600765
0,0,0,0,4,69.45,250,1539345600765
0,0,0,0,4,69.4825,100,1539345600796
37,0,0,0,4,69.4499,11,1539345600812
0,0,0,0,4,69.4999,150,1539345600897
0,0,0,0,4,69.4999,1000,1539345600936
37,0,0,0,4,69.4999,60,1539345600965
0,0,0,0,8,69.51,500,1539345600966
0,0,0,0,8,69.5,100,1539345600966
0,0,0,0,8,69.5,900,1539345600966
0,0,0,0,4,69.4499,100,1539345601069
0,0,0,0,4,69.4499,500,1539345601132
0,0,0,0,4,69.4399,100,1539345601238
0,0,0,0,4,69.3799,100,1539345601305
0,0,0,0,4,69.3799,1000,1539345601320
0,0,0,0,4,69.5299,100,1539345601819
0,0,0,0,11,69.55,100,1539345602159
37,0,0,0,4,70,44,1539345606459
37,0,0,0,4,70,56,1539345606460
0,0,0,0,4,69.5,200,1539345606464
37,0,0,0,4,69.675,22,1539345606466
0,0,0,0,4,69.675,250,1539345606466
0,0,0,0,4,69.5,200,1539345606491
0,0,0,0,4,69.4,124,1539345606524
0,0,0,0,4,69.9,500,1539345606542
0,0,0,0,4,69.65,100,1539345606542
0,0,0,0,4,69.4,200,1539345606543
0,0,0,0,4,69.45,200,1539345606574
0,0,0,0,4,69.38,1000,1539345606576
0,0,0,0,4,69.45,700,1539345606578
0,0,0,0,4,69.5,100,1539345606580
0,0,0,0,4,69.86,100,1539345606584
0,0,0,0,4,69.5,200,1539345606587
0,0,0,0,4,69.5,300,1539345606589
0,0,0,0,4,69.45,300,1539345606594
0,0,0,0,4,69.38,500,1539345606597
0,0,0,0,4,69.38,500,1539345606597
0,0,0,0,4,69.4,200,1539345606598
0,0,0,0,4,69.67,100,1539345606599
37,0,0,0,4,69.6,95,1539345606602
0,0,0,0,4,69.55,100,1539345606603
0,0,0,0,4,69.6,300,1539345606610
0,0,0,0,4,69.38,150,1539345606617
0,0,0,0,4,69.65,489,1539345606620
0,0,0,0,4,69.4499,500,1539345606699
0,0,0,0,4,69.44,1000,1539345606709
0,0,0,0,4,69.45,400,1539345606709
0,0,0,0,4,69.4499,500,1539345606711
0,0,0,0,4,69.45,1100,1539345606723
0,0,0,0,4,69.35,120,1539345606723
0,0,0,0,4,69.5,100,1539345606759
0,0,0,0,4,69.6,1500,1539345606761
37,0,0,0,4,69.55,70,1539345606761
0,0,0,0,4,69.4001,100,1539345606762
37,0,0,0,4,69.45,50,1539345606767
0,0,0,0,4,69.5,500,1539345606767
0,0,0,0,4,69.6499,1011,1539345606775
37,0,0,0,4,69.45,50,1539345606786
37,0,0,0,4,69.7,30,1539345606787
0,0,0,0,4,69.5,350,1539345606790
37,0,0,0,4,69.4,20,1539345606797
37,0,0,0,4,69.55,50,1539345606797
0,0,0,0,4,69.38,400,1539345606802
37,0,0,0,4,69.7,55,1539345606872
0,0,0,0,19,69.75,100,1539345607282
37,0,0,0,19,69.78,82,1539345607282
0,0,0,0,19,69.79,100,1539345607282
14,41,0,0,11,69.76,100,1539345607282
14,41,0,0,11,69.77,100,1539345607282
14,41,0,0,11,69.78,100,1539345607282
14,41,0,0,11,69.79,100,1539345607282
14,41,0,0,7,69.76,100,1539345607282
14,41,0,0,7,69.79,100,1539345607282
14,41,0,0,19,69.79,100,1539345607295
14,37,41,0,19,69.79,92,1539345607295
0,0,0,0,4,69.45,300,1539345609253
0,0,0,0,4,69.45,125,1539345609254
14,37,41,0,11,69.5,80,1539345609382
14,41,0,0,8,69.55,100,1539345609382
14,41,0,0,8,69.5,600,1539345609382
14,41,0,0,8,69.5,220,1539345609382
14,41,0,0,11,69.77,100,1539345614196
14,41,0,0,11,69.79,500,1539345617139
14,41,0,0,12,69.83,200,1539345620500
14,37,41,0,12,69.82,50,1539345620861
14,41,0,0,12,69.82,950,1539345620995
14,37,41,0,12,69.82,50,1539345620995
37,0,0,0,19,69.8,50,1539345621437
0,0,0,0,19,69.79,100,1539345621437
0,0,0,0,19,69.79,350,1539345621437
14,41,0,0,19,69.79,100,1539345622350
14,41,0,0,19,69.79,900,1539345622350
0,0,0,0,4,69.83,500,1539345624255
0,0,0,0,4,69.7899,100,1539345625715
0,0,0,0,4,69.78,200,1539345630922
37,0,0,0,4,69.78,50,1539345634045
0,0,0,0,4,69.6,700,1539345650200
14,41,0,0,11,69.73,300,1539345651555
14,41,0,0,12,69.75,100,1539345658451
0,0,0,0,4,69.78,100,1539345660100
14,41,0,0,11,69.78,100,1539345668883
14,41,0,0,7,69.79,100,1539345668886
14,41,0,0,12,69.79,100,1539345668886
14,41,0,0,11,69.8,700,1539345668888
0,0,0,0,11,69.8,300,1539345668889
0,0,0,0,11,69.8,100,1539345671188
14,41,0,0,12,69.8,100,1539345685092
14,41,0,0,12,69.8,100,1539345685093
14,41,0,0,12,69.8,100,1539345686436
14,41,0,0,11,69.79,1000,1539345686637
14,37,41,0,11,69.79,40,1539345686637
14,41,0,0,11,69.75,500,1539345687854
14,41,0,0,11,69.75,500,1539345687928
14,41,0,0,12,69.75,100,1539345688212
14,41,0,0,12,69.75,100,1539345688212
14,41,0,0,12,69.75,200,1539345688212
14,41,0,0,12,69.77,100,1539345688323
14,37,41,0,8,69.79,30,1539345688324
14,41,0,0,12,69.79,460,1539345688324
14,37,41,0,11,69.8,50,1539345688324
14,41,0,0,12,69.8,100,1539345688325
14,41,0,0,12,69.8,286,1539345688325
14,41,0,0,12,69.8,100,1539345688326
14,37,41,0,12,69.8,50,1539345688326
14,41,0,0,12,69.78,100,1539345688912
14,41,0,0,11,69.73,400,1539345689075
14,41,0,0,8,69.75,100,1539345689075
0,0,0,0,11,69.73,1000,1539345689908
0,0,0,0,11,69.73,100,1539345689908
14,41,0,0,12,69.51,100,1539345690086
14,41,0,0,8,69.52,200,1539345690089
14,41,0,0,8,69.5,200,1539345690089
37,0,0,0,4,69.68,5,1539345690165
