c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,36.05,150,1538047684541
14,41,0,0,11,35.79,200,1538047684542
14,41,0,0,11,35.76,100,1538047684542
14,41,0,0,11,35.24,400,1538047684542
14,41,0,0,11,35.06,300,1538047684542
14,41,0,0,11,35,100,1538047684542
14,41,0,0,11,34.89,200,1538047684542
14,37,41,0,11,34.78,50,1538047684542
14,37,41,0,11,34.65,75,1538047684542
14,41,0,0,8,35.79,200,1538047684542
14,37,41,0,8,35.5,75,1538047684542
14,41,0,0,8,35.5,670,1538047684542
14,41,0,0,8,35.5,388,1538047684542
14,41,0,0,8,35.13,200,1538047684542
14,37,41,0,8,35,50,1538047684542
14,37,41,0,8,34.77,50,1538047684542
14,37,41,0,11,34.37,30,1538047807940
14,41,0,0,11,34.28,100,1538047807940
37,0,0,0,12,34.28,70,1538047822653
37,0,0,0,8,34.51,70,1538047822844
14,41,0,0,8,34.51,230,1538047833326
14,37,41,0,8,34.28,15,1538047833326
14,37,41,0,11,34.19,50,1538047834410
14,37,41,0,11,33.82,50,1538047834410
14,41,0,0,8,33.88,100,1538047935437
14,37,41,0,11,33.83,12,1538047937316
14,41,0,0,8,33.88,188,1538047937316
14,37,41,0,11,33.83,88,1538047937378
14,37,41,0,11,33.82,12,1538047937378
14,37,41,0,11,33.82,83,1538047938651
14,41,0,0,11,33.82,117,1538047938651
0,0,0,0,11,33.82,133,1538047939322
0,0,0,0,8,33.78,100,1538047942014
0,0,0,0,11,33.5,200,1538047944551
0,0,0,0,8,34,150,1538047985120
0,0,0,0,11,34,200,1538048074827
14,41,0,0,11,34.06,100,1538048099021
14,41,0,0,11,34.03,400,1538048099021
14,41,0,0,11,34.02,500,1538048099021
14,41,0,0,11,34,200,1538048099021
14,41,0,0,11,34,249,1538048099021
14,41,0,0,11,33.75,100,1538048099024
0,0,0,0,11,33.75,200,1538048147781
0,0,0,0,11,33.75,200,1538048147781
14,37,41,0,11,33.75,94,1538048155062
14,37,41,0,12,33.52,9,1538048155063
14,41,0,0,11,33.5,300,1538048155063
14,41,0,0,11,33.5,997,1538048155063
14,37,41,0,11,33.5,3,1538048155065
14,37,41,0,12,33.51,9,1538048155065
0,0,0,0,12,33.51,191,1538048155067
0,0,0,0,11,33.49,100,1538048176828
0,0,0,0,11,33.69,100,1538048176828
0,0,0,0,11,33.69,200,1538048176828
0,0,0,0,11,33.7,100,1538048176828
0,0,0,0,11,33.75,416,1538048176828
14,37,41,0,11,33.75,30,1538048176830
14,37,41,0,11,33.75,70,1538048176830
14,37,41,0,12,33.39,30,1538048176831
14,37,41,0,12,33.49,70,1538048176831
14,37,41,0,11,33.75,30,1538048176831
37,0,0,0,11,33.75,70,1538048176833
37,0,0,0,11,33.75,30,1538048176833
0,0,0,0,11,33.75,233,1538048176833
0,0,0,0,11,33.75,100,1538048176834
0,0,0,0,11,33.75,500,1538048176834
37,0,0,0,11,33.5,21,1538048186208
37,0,0,0,11,33.47,30,1538048249162
14,41,0,0,12,33.5,100,1538048256435
14,41,0,0,12,33.5,100,1538048256435
14,41,0,0,8,33.5,533,1538048257615
14,41,0,0,8,33.5,130,1538048258569
0,0,0,0,8,33.5,100,1538048258958
0,0,0,0,8,33.5,200,1538048259064
0,0,0,0,8,33.5,200,1538048259223
0,0,0,0,8,33.5,500,1538048259343
14,41,0,0,8,33.5,941,1538048259560
14,41,0,0,11,34,100,1538048260062
0,0,0,0,11,33.7,100,1538048445393
14,41,0,0,11,33.66,100,1538048445842
14,41,0,0,11,33.65,100,1538048445846
14,41,0,0,12,33.5,1000,1538048449457
0,0,0,0,12,33.5,300,1538048449467
14,41,0,0,12,33.5,500,1538048449470
0,0,0,0,11,33.3,200,1538048499739
0,0,0,0,11,33.2,200,1538048499939
14,41,0,0,8,33.03,300,1538048501156
14,41,0,0,11,33.15,100,1538048583303
14,37,41,0,12,33.16,25,1538048583303
14,37,41,0,12,33.15,75,1538048605831
14,37,41,0,11,33.15,25,1538048616686
14,41,0,0,12,33.1,100,1538048617401
14,37,41,0,11,33.03,25,1538048618072
14,41,0,0,11,33,100,1538048618072
14,41,0,0,11,33,100,1538048618072
14,37,41,0,11,33,1,1538048618072
0,0,0,0,8,32.97,100,1538048666158
14,41,0,0,11,32.99,300,1538048666159
14,41,0,0,11,32.8,100,1538048722737
0,0,0,0,11,32.8,100,1538048723340
0,0,0,0,11,32.8,300,1538048723340
0,0,0,0,11,32.8,100,1538048723535
0,0,0,0,11,32.8,274,1538048723535
0,0,0,0,11,32.81,100,1538048730491
0,0,0,0,11,32.9,300,1538048731686
14,41,0,0,12,32.94,100,1538048765106
14,41,0,0,11,32.98,100,1538048765656
14,41,0,0,11,32.9,379,1538048765658
14,41,0,0,11,32.9,100,1538048765660
0,0,0,0,11,32.99,900,1538048766186
0,0,0,0,11,32.99,1075,1538048766186
14,37,41,0,12,33.5,84,1538048766624
14,41,0,0,12,33.45,100,1538048864103
14,41,0,0,12,33.45,100,1538048864103
14,41,0,0,8,33.45,400,1538048889439
14,41,0,0,12,33.46,100,1538048889439
0,0,0,0,8,33.47,100,1538048922372
0,0,0,0,8,33.5,400,1538048922372
37,0,0,0,8,33.5,75,1538048923252
14,41,0,0,8,33.5,100,1538048923477
14,37,41,0,12,33.5,16,1538048923525
14,37,41,0,12,33.5,84,1538048923526
14,37,41,0,12,33.5,16,1538048923654
14,37,41,0,12,33.5,84,1538048923654
14,37,41,0,12,33.5,16,1538048923654
14,37,41,0,12,33.5,84,1538048923654
14,41,0,0,8,33.5,100,1538048923654
14,37,41,0,12,33.5,15,1538048925830
0,0,0,0,8,33.5,100,1538048926457
14,41,0,0,8,33.5,100,1538048926719
0,0,0,0,8,33.5,100,1538048927337
37,0,0,0,8,33.5,25,1538048927929
14,37,41,0,12,33.5,85,1538048929300
0,0,0,0,12,33.56,100,1538048932224
14,37,41,0,18,33.4,85,1538048991254
14,41,0,0,18,33.4,100,1538048991328
0,0,0,0,18,33.4,100,1538048992383
0,0,0,0,18,33.4,100,1538048992383
0,0,0,0,18,33.4,100,1538048996455
37,0,0,0,18,33.4,25,1538048996455
0,0,0,0,11,33.4,100,1538049017695
37,0,0,0,11,33.5,10,1538049036727
14,37,41,0,11,33.5,90,1538049037860
14,37,41,0,11,33.5,10,1538049037860
14,41,0,0,11,33.45,100,1538049043446
14,41,0,0,11,33.45,1800,1538049043446
14,37,41,0,11,33.5,6,1538049044557
14,37,41,0,11,33.5,94,1538049053502
14,37,41,0,11,33.5,6,1538049053502
14,41,0,0,11,33.5,100,1538049053502
14,41,0,0,11,33.49,100,1538049106840
14,41,0,0,11,33.5,100,1538049106840
14,41,0,0,12,33.5,100,1538049106841
14,41,0,0,8,33.49,100,1538049122631
14,41,0,0,8,33.49,120,1538049139865
14,41,0,0,11,33.49,130,1538049161676
14,41,0,0,11,33.5,100,1538049163464
14,41,0,0,11,33.5,4484,1538049163464
0,0,0,0,12,33.5,100,1538049163467
0,0,0,0,12,33.5,186,1538049163467
0,0,0,0,12,33.49,100,1538049185308
37,0,0,0,12,33.5,26,1538049185308
0,0,0,0,11,33.49,100,1538049208929
14,41,0,0,11,33.45,100,1538049209270
14,41,0,0,11,33.45,400,1538049209270
14,41,0,0,11,33.45,100,1538049209273
14,41,0,0,11,33.45,2400,1538049209273
37,0,0,0,8,33.49,7,1538049235560
14,37,41,0,12,33.5,74,1538049241420
14,37,41,0,12,33.5,26,1538049241420
14,37,41,0,12,33.5,74,1538049242770
14,37,41,0,12,33.5,26,1538049242770
14,37,41,0,12,33.5,74,1538049243650
14,37,41,0,12,33.5,14,1538049243650
14,37,41,0,12,33.63,12,1538049243650
14,41,0,0,12,33.5,100,1538049243972
14,41,0,0,12,33.5,100,1538049243972
14,41,0,0,12,33.5,100,1538049243972
14,41,0,0,12,33.5,100,1538049247882
14,41,0,0,12,33.5,100,1538049247882
14,41,0,0,12,33.5,100,1538049247882
0,0,0,0,12,33.5,100,1538049247885
14,41,0,0,8,33.49,138,1538049257699
14,41,0,0,12,33.5,100,1538049273005
14,41,0,0,12,33.5,300,1538049273005
14,37,41,0,12,33.63,88,1538049274471
37,0,0,0,12,33.87,8,1538049300641
37,0,0,0,11,33.8,10,1538049398081
14,37,41,0,12,33.88,2,1538049443156
0,0,0,0,12,33.9,100,1538049534757
37,0,0,0,11,33.8,90,1538049534757
14,41,0,0,11,33.9,100,1538049535433
14,41,0,0,11,33.9,800,1538049535433
0,0,0,0,11,33.65,100,1538049535435
0,0,0,0,11,33.73,100,1538049547820
14,41,0,0,11,33.73,200,1538049548950
14,41,0,0,11,33.73,100,1538049548950
0,0,0,0,11,33.62,100,1538049548953
14,41,0,0,11,33.61,300,1538049562543
0,0,0,0,11,33.61,100,1538049562545
14,41,0,0,11,33.61,600,1538049564415
0,0,0,0,11,33.6,200,1538049564417
0,0,0,0,11,33.6,100,1538049565109
14,41,0,0,11,33.6,200,1538049565205
0,0,0,0,11,33.6,500,1538049565205
0,0,0,0,11,33.52,100,1538049567286
0,0,0,0,11,33.52,200,1538049567286
0,0,0,0,11,33.75,100,1538049582090
0,0,0,0,11,33.75,100,1538049582241
0,0,0,0,11,33.75,100,1538049582243
0,0,0,0,11,33.75,100,1538049583412
0,0,0,0,4,33.6,100,1538049602305
37,0,0,0,4,34.5,50,1538049602305
0,0,0,0,4,33.5,100,1538049602308
0,0,0,0,11,33.76,100,1538049602310
0,0,0,0,4,33.62,100,1538049602321
0,0,0,0,4,34,100,1538049607053
0,0,0,0,4,33.25,3000,1538049607054
0,0,0,0,4,33.5,300,1538049607054
0,0,0,0,4,33.49,300,1538049607055
0,0,0,0,4,33.5,200,1538049607055
0,0,0,0,11,33.75,100,1538049607057
0,0,0,0,11,33.75,100,1538049607135
37,0,0,0,4,33.84,25,1538049609933
14,37,41,0,12,33.81,1,1538049618132
0,0,0,0,4,33.81,310,1538049646270
0,0,0,0,11,33.76,100,1538049646273
0,0,0,0,4,33.8099,100,1538049650746
