c1,c2,c3,c4,e,p,s,t
0,0,0,0,12,40.27,500,1539869399766
25,41,0,0,12,40.15,6399,1539869400157
25,16,0,0,12,40.15,6399,1539869400157
37,0,0,0,4,39.075,1,1539869401423
51,0,0,0,0,40,,1539869463630
0,0,0,0,12,40,100,1539869463630
14,37,41,0,11,40,61,1539869463631
25,16,0,0,11,40,61,1539869463631
37,0,0,0,11,40,39,1539869463631
0,0,0,0,4,40,200,1539869463632
51,0,0,0,0,39.96,,1539869463633
0,0,0,0,4,39.96,100,1539869463633
0,0,0,0,4,40,100,1539869463633
51,0,0,0,0,39.955,,1539869463634
0,0,0,0,4,40,100,1539869463634
0,0,0,0,4,39.99,100,1539869463634
0,0,0,0,4,39.955,100,1539869463634
0,0,0,0,4,39.99,100,1539869463635
51,0,0,0,0,39.92,,1539869463636
0,0,0,0,4,39.92,100,1539869463636
0,0,0,0,4,39.955,100,1539869463638
0,0,0,0,4,39.955,100,1539869463688
0,0,0,0,4,39.975,100,1539869465650
0,0,0,0,4,39.98,100,1539869465651
0,0,0,0,4,40,300,1539869465653
14,37,41,0,12,39.95,1,1539869470731
14,37,41,0,12,39.99,11,1539869470731
37,0,0,0,19,39.99,10,1539869470731
37,0,0,0,19,39.99,1,1539869470731
0,0,0,0,11,39.98,100,1539869470731
0,0,0,0,11,39.99,100,1539869470731
37,0,0,0,11,39.99,1,1539869470731
14,37,41,0,19,39.99,66,1539869470732
14,37,41,0,19,39.99,33,1539869470732
0,0,0,0,11,40,100,1539869470732
0,0,0,0,12,40.04,100,1539869482429
37,0,0,0,11,40.15,25,1539869482436
51,0,0,0,0,39.7478,,1539869507938
0,0,0,0,4,39.7478,250,1539869507938
0,0,0,0,15,40.05,100,1539869530717
0,0,0,0,4,39.763,400,1539869541826
14,41,0,0,12,40.05,100,1539869598908
14,37,41,0,8,40.05,95,1539869598909
51,0,0,0,0,39.6747,,1539869628406
0,0,0,0,4,39.6747,300,1539869628406
37,0,0,0,4,40.05,62,1539869632183
0,0,0,0,4,40.09,100,1539869690472
37,0,0,0,8,40.09,5,1539869701017
37,0,0,0,4,39.7001,11,1539869702475
37,0,0,0,10,39.78,8,1539869722533
0,0,0,0,4,40.09,100,1539869756689
14,37,41,0,12,40.05,52,1539869795960
0,0,0,0,12,40.06,100,1539869798025
0,0,0,0,12,40.07,100,1539869812880
0,0,0,0,15,40.07,100,1539869812881
37,0,0,0,15,40.07,24,1539869812881
0,0,0,0,4,40.0048,515,1539869835576
0,0,0,0,12,39.97,100,1539869846161
0,0,0,0,4,40.12,100,1539869880243
0,0,0,0,2,40.12,100,1539869880327
0,0,0,0,4,40.0025,100,1539869901144
0,0,0,0,19,39.98,100,1539869912266
0,0,0,0,4,40.12,100,1539869951599
37,0,0,0,19,40.07,29,1539869963183
0,0,0,0,11,40.09,100,1539869963183
0,0,0,0,11,40.12,100,1539869963183
37,0,0,0,4,40.045,10,1539869965549
37,0,0,0,4,40.0183,5,1539869988285
0,0,0,0,12,40.09,100,1539870010179
14,41,0,0,2,40.09,100,1539870010179
14,41,0,0,12,40.09,100,1539870010179
0,0,0,0,19,40.09,100,1539870010179
14,41,0,0,19,40.09,100,1539870010180
14,41,0,0,11,40.09,100,1539870010180
14,41,0,0,10,40.09,100,1539870010180
0,0,0,0,11,40.09,100,1539870010180
0,0,0,0,12,40.09,100,1539870010210
0,0,0,0,15,40.09,100,1539870010355
0,0,0,0,4,40.09,100,1539870010724
0,0,0,0,4,40.045,100,1539870010828
0,0,0,0,11,40.09,100,1539870010990
0,0,0,0,12,40.07,100,1539870039631
0,0,0,0,8,40.07,100,1539870039631
0,0,0,0,4,40.02,135,1539870072231
14,37,41,0,12,40.1,99,1539870085063
14,37,41,0,19,40.07,1,1539870085063
37,0,0,0,12,40.1,16,1539870085063
14,41,0,0,12,40.07,100,1539870105600
14,37,41,0,12,40.06,34,1539870105600
0,0,0,0,12,40.12,100,1539870105601
0,0,0,0,4,40.0847,500,1539870118929
0,0,0,0,8,40.14,100,1539870118944
0,0,0,0,19,40.14,100,1539870118944
0,0,0,0,19,40.14,100,1539870118944
0,0,0,0,7,40.15,100,1539870118945
14,37,41,0,19,40.15,90,1539870118945
0,0,0,0,12,40.15,200,1539870118945
0,0,0,0,11,40.15,175,1539870118945
0,0,0,0,11,40.15,100,1539870118945
0,0,0,0,10,40.15,100,1539870118945
0,0,0,0,19,40.15,110,1539870118945
0,0,0,0,8,40.15,200,1539870118945
0,0,0,0,4,40.15,2078,1539870118949
14,37,41,0,12,40.16,55,1539870118955
14,37,41,0,8,40.13,25,1539870118955
14,37,41,0,19,40.16,20,1539870118955
51,0,0,0,0,40.19,,1539870119317
0,0,0,0,2,40.19,100,1539870119317
37,0,0,0,4,40.09,10,1539870119736
0,0,0,0,4,40.11,100,1539870120141
0,0,0,0,4,40.05,100,1539870123543
0,0,0,0,4,40.05,100,1539870123543
14,41,0,0,2,40.05,100,1539870133056
0,0,0,0,19,40.15,100,1539870133056
0,0,0,0,4,40.03,100,1539870134737
0,0,0,0,11,40.15,100,1539870135541
14,41,0,0,19,40.17,100,1539870148370
0,0,0,0,4,40.035,100,1539870185811
0,0,0,0,19,40.17,100,1539870188799
37,0,0,0,12,40.17,5,1539870203501
0,0,0,0,18,40.17,100,1539870203611
0,0,0,0,11,40.18,100,1539870218848
0,0,0,0,11,40.19,100,1539870218849
51,0,0,0,0,40.2,,1539870218912
51,0,0,0,0,40.25,,1539870218912
0,0,0,0,12,40.2,100,1539870218912
0,0,0,0,12,40.2,100,1539870218912
37,0,0,0,19,40.22,26,1539870218912
0,0,0,0,7,40.25,100,1539870218912
0,0,0,0,11,40.25,100,1539870218913
0,0,0,0,2,40.25,100,1539870218913
