c1,c2,c3,c4,e,p,s,t
14,37,41,0,11,150.85,25,1537271067390
14,37,41,0,12,151,25,1537271067390
37,0,0,0,12,151.5,20,1537271559785
37,0,0,0,12,151.5,10,1537271610636
14,41,0,0,8,152,195,1537271908488
37,0,0,0,4,151.5,78,1537272001206
0,0,0,0,4,152,200,1537272001369
0,0,0,0,4,154.1875,200,1537272001536
0,0,0,0,4,151.5,500,1537272002339
0,0,0,0,4,151.9999,100,1537272005338
14,41,0,0,12,151.5,100,1537272009955
14,41,0,0,12,151.5,100,1537272009955
14,41,0,0,8,150.05,100,1537272009955
14,37,41,0,8,150,74,1537272009955
14,37,41,0,8,149.08,10,1537272009955
14,37,41,0,8,149,50,1537272009955
14,37,41,0,8,148.1,50,1537272009955
14,37,41,0,12,151.5,50,1537272009956
14,37,41,0,8,148,50,1537272009956
14,37,41,0,8,147.11,10,1537272009956
14,41,0,0,11,151.5,100,1537272009957
14,41,0,0,11,147,100,1537272009957
14,37,41,0,11,147,6,1537272009957
14,37,41,0,11,147,24,1537272009958
14,41,0,0,12,146.71,100,1537272009960
14,41,0,0,12,146.71,740,1537272009960
14,37,41,0,8,146.5,50,1537272009960
14,37,41,0,11,146.5,25,1537272009960
14,37,41,0,11,146,15,1537272009960
14,37,41,0,11,145.9,46,1537272009960
14,41,0,0,12,146.71,100,1537272009962
14,37,41,0,12,146.71,50,1537272009962
14,37,41,0,12,146.71,10,1537272009963
14,37,41,0,11,145,2,1537272035964
14,37,41,0,11,145,98,1537272035964
14,37,41,0,11,145,2,1537272035967
14,37,41,0,11,145,20,1537272035967
14,37,41,0,11,144.76,14,1537272035967
14,37,41,0,11,143.5,30,1537272068409
14,37,41,0,11,143,10,1537272068409
14,41,0,0,11,142.95,100,1537272068409
37,0,0,0,12,142,50,1537272106653
37,0,0,0,4,140.2,35,1537272123405
37,0,0,0,4,138.4,50,1537272123408
37,0,0,0,11,140,20,1537272123788
37,0,0,0,11,138.4,50,1537272146930
37,0,0,0,4,138.4,11,1537272149477
0,0,0,0,11,138,100,1537272153849
0,0,0,0,12,139,150,1537272164549
37,0,0,0,11,138.4,34,1537272164550
0,0,0,0,11,138.98,200,1537272164550
37,0,0,0,8,141,75,1537272169566
37,0,0,0,12,141,50,1537272179634
14,41,0,0,11,141,250,1537272208315
0,0,0,0,12,141,125,1537272214392
14,41,0,0,12,140.95,300,1537272227118
14,41,0,0,12,140.95,175,1537272227118
14,41,0,0,12,141,125,1537272227118
14,37,41,0,12,141,25,1537272227119
14,41,0,0,12,140.95,200,1537272242068
14,41,0,0,12,140.95,200,1537272242068
14,41,0,0,12,140.95,100,1537272242068
0,0,0,0,12,140.95,100,1537272242076
0,0,0,0,12,141,100,1537272242076
0,0,0,0,11,140.95,100,1537272242077
14,41,0,0,12,141.99,100,1537272256518
14,41,0,0,11,141.99,400,1537272256518
37,0,0,0,4,137,9,1537272288927
37,0,0,0,12,140.34,50,1537272339196
37,0,0,0,12,142,40,1537272346720
0,0,0,0,4,141.4999,100,1537272397908
14,41,0,0,11,138,100,1537272420159
14,41,0,0,8,140.34,100,1537272420185
14,37,41,0,12,140.34,64,1537272420185
14,41,0,0,11,140.05,100,1537272476965
0,0,0,0,11,140.05,100,1537272487788
14,37,41,0,11,141.49,50,1537272521267
14,41,0,0,8,140.5,100,1537272529431
14,41,0,0,8,140.55,100,1537272540444
0,0,0,0,7,140.34,200,1537272543667
0,0,0,0,19,140.34,300,1537272546526
0,0,0,0,19,140.05,100,1537272546526
0,0,0,0,19,140.05,1100,1537272546526
0,0,0,0,18,141,100,1537272546527
37,0,0,0,18,141,75,1537272551259
14,41,0,0,11,140.1,100,1537272560244
14,41,0,0,11,140.06,100,1537272560244
0,0,0,0,4,140.5001,100,1537272572731
14,37,41,0,12,140.52,75,1537272572914
14,37,41,0,12,140.5,25,1537272572914
14,37,41,0,12,140.5,75,1537272579535
14,41,0,0,19,140.05,100,1537272592421
0,0,0,0,4,140.0501,500,1537272595821
0,0,0,0,11,140.94,100,1537272608527
14,37,41,0,8,140.89,25,1537272628563
14,41,0,0,8,140.95,100,1537272628563
14,37,41,0,8,141,75,1537272628563
14,41,0,0,12,140.54,100,1537272635050
14,41,0,0,8,141,100,1537272636021
14,41,0,0,8,141,100,1537272640317
37,0,0,0,12,140.99,75,1537272653609
14,37,41,0,12,140.99,50,1537272654465
14,37,41,0,8,141,50,1537272654938
0,0,0,0,8,141,175,1537272655489
14,41,0,0,11,140.54,100,1537272655667
37,0,0,0,12,140.8,10,1537272655670
0,0,0,0,12,140.55,100,1537272655670
14,41,0,0,11,140.51,100,1537272655675
14,41,0,0,12,140.5,100,1537272655678
37,0,0,0,8,141,25,1537272655678
14,41,0,0,12,140.5,100,1537272655681
14,37,41,0,12,140.5,90,1537272655681
14,41,0,0,17,140.81,100,1537272655991
14,37,41,0,12,140.99,75,1537272660537
14,37,41,0,12,141.1,25,1537272660537
14,37,41,0,12,141.14,55,1537272671923
14,37,41,0,11,141.22,50,1537272672760
14,37,41,0,12,141.03,45,1537272685736
14,37,41,0,12,141,5,1537272685736
37,0,0,0,11,141.28,25,1537272697033
0,0,0,0,11,141.29,100,1537272709215
37,0,0,0,12,141.28,25,1537272709215
14,41,0,0,8,141.3,500,1537272709221
37,0,0,0,12,141.29,55,1537272709223
0,0,0,0,12,141.5,100,1537272709223
14,37,41,0,12,141.88,50,1537272709909
14,37,41,0,12,141.88,50,1537272710076
14,37,41,0,12,141.54,50,1537272712693
14,37,41,0,12,141.54,45,1537272714849
14,37,41,0,12,141.53,30,1537272729001
14,37,41,0,12,141.85,20,1537272729001
37,0,0,0,12,141.84,25,1537272737567
37,0,0,0,12,141.84,55,1537272737567
0,0,0,0,12,141.88,100,1537272737567
37,0,0,0,12,142,10,1537272737571
0,0,0,0,12,142,100,1537272737571
0,0,0,0,12,142,800,1537272737571
0,0,0,0,4,142.99,500,1537272783871
37,0,0,0,2,143.12,50,1537273038137
37,0,0,0,4,143,25,1537273076794
14,37,41,0,12,143,15,1537273140923
14,37,41,0,11,143,75,1537273140923
14,37,41,0,11,142.24,10,1537273140924
