c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,65.15,15,1539260084724
14,41,0,0,11,65.1,1000,1539260250065
0,0,0,0,11,65.1,465,1539260250065
25,41,0,0,12,65.38,4357,1539264600610
25,16,0,0,12,65.38,4357,1539264600610
14,41,0,0,12,65.38,230,1539264601945
14,41,0,0,12,65.38,126,1539264601945
14,37,41,0,12,65.09,10,1539264601945
10,32,41,0,4,65.38,281,1539264606381
10,32,37,41,4,65.38,14,1539264606543
10,32,37,41,4,65.38,2,1539264607372
51,0,0,0,0,65.17,,1539264607822
0,0,0,0,2,65.17,100,1539264607822
51,0,0,0,0,65.1,,1539264607825
0,0,0,0,4,65.1,100,1539264607825
51,0,0,0,0,65.09,,1539264610141
37,0,0,0,12,65.1,40,1539264610141
37,0,0,0,12,65.1,60,1539264610141
14,41,0,0,2,65.1,100,1539264610141
0,0,0,0,2,65.1,100,1539264610141
0,0,0,0,17,65.1,100,1539264610141
14,41,0,0,12,65.1,100,1539264610141
0,0,0,0,12,65.1,617,1539264610141
0,0,0,0,18,65.1,100,1539264610141
14,41,0,0,18,65.1,100,1539264610141
0,0,0,0,19,65.1,100,1539264610141
14,41,0,0,19,65.1,100,1539264610141
0,0,0,0,8,65.1,100,1539264610141
14,41,0,0,8,65.1,100,1539264610141
14,41,0,0,12,65.09,100,1539264610141
0,0,0,0,8,65.09,100,1539264610141
0,0,0,0,12,65.09,517,1539264610141
14,41,0,0,11,65.1,100,1539264610141
25,16,0,0,11,65.1,100,1539264610141
0,0,0,0,4,65.1,100,1539264610141
0,0,0,0,11,65.1,100,1539264610141
14,41,0,0,10,65.1,100,1539264610141
0,0,0,0,4,65.1,100,1539264610142
51,0,0,0,0,65,,1539264618303
0,0,0,0,4,65,100,1539264618303
51,0,0,0,0,64.9,,1539264618304
0,0,0,0,19,65,100,1539264618304
14,37,41,0,12,64.99,2,1539264618304
0,0,0,0,11,65.01,100,1539264618304
0,0,0,0,11,65,900,1539264618304
14,41,0,0,12,64.9,100,1539264618304
14,37,41,0,12,64.9,40,1539264618304
0,0,0,0,11,65,100,1539264618304
0,0,0,0,11,65,100,1539264618304
14,37,41,0,10,64.71,22,1539264631536
51,0,0,0,0,64.652,,1539264643793
0,0,0,0,4,64.652,100,1539264643793
0,0,0,0,12,64.865,100,1539264668236
37,0,0,0,12,64.865,45,1539264675872
14,37,41,0,19,64.66,14,1539264675872
37,0,0,0,12,64.65,13,1539264676565
0,0,0,0,8,64.66,100,1539264676566
14,41,0,0,8,64.66,100,1539264676566
14,37,41,0,17,64.26,1,1539264676566
51,0,0,0,0,64.28,,1539264676568
37,0,0,0,11,64.37,4,1539264676568
37,0,0,0,11,64.37,96,1539264676568
0,0,0,0,11,64.28,100,1539264676568
0,0,0,0,11,64.28,100,1539264676568
37,0,0,0,11,64.26,20,1539264676568
37,0,0,0,12,64.37,70,1539264676571
37,0,0,0,12,64.29,30,1539264676571
37,0,0,0,4,64.26,10,1539264676572
37,0,0,0,4,64.35,5,1539264676573
37,0,0,0,4,64.26,6,1539264676594
37,0,0,0,4,64.37,15,1539264676759
14,37,41,0,17,64.41,69,1539264676932
14,37,41,0,17,64.41,31,1539264676932
0,0,0,0,12,64.47,100,1539264678325
0,0,0,0,12,64.5,100,1539264678325
0,0,0,0,4,64.32,100,1539264678989
14,37,41,0,18,64.5,45,1539264678989
51,0,0,0,0,64.275,,1539264679046
0,0,0,0,4,64.275,100,1539264679046
0,0,0,0,12,64.49,100,1539264692275
37,0,0,0,4,64.2672,1,1539264693699
0,0,0,0,4,64.48,100,1539264694310
0,0,0,0,4,64.5,100,1539264694310
37,0,0,0,12,64.28,3,1539264698220
51,0,0,0,0,64.27,,1539264699684
0,0,0,0,4,64.27,100,1539264699684
51,0,0,0,0,64.265,,1539264699689
0,0,0,0,4,64.265,100,1539264699689
51,0,0,0,0,64.26,,1539264700509
14,41,0,0,12,64.26,200,1539264700509
14,37,41,0,12,64.26,90,1539264700509
14,41,0,0,8,64.26,200,1539264700509
14,41,0,0,11,64.26,100,1539264700510
14,41,0,0,3,64.26,100,1539264700510
51,0,0,0,0,64.21,,1539264700515
0,0,0,0,12,64.21,100,1539264700515
14,41,0,0,12,64.26,100,1539264700522
37,0,0,0,12,64.24,80,1539264700522
37,0,0,0,12,64.26,20,1539264700522
37,0,0,0,2,64.17,10,1539264700558
