c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,66.98,7,1538006645642
14,41,0,0,12,67.07,100,1538037513256
14,41,0,0,12,67.15,500,1538037560236
14,41,0,0,12,67.12,200,1538037848200
14,41,0,0,12,67.12,100,1538038281810
14,41,0,0,12,67.18,100,1538038441215
0,0,0,0,11,67.25,200,1538038590435
0,0,0,0,11,67.25,100,1538038590618
14,41,0,0,12,67.3,141,1538041171544
0,0,0,0,11,67.31,100,1538042607165
37,0,0,0,11,67.31,41,1538042607165
14,37,41,0,12,67.31,59,1538042607165
37,0,0,0,11,67.3,72,1538042621159
14,37,41,0,11,67.3,28,1538042697808
14,41,0,0,11,67.3,100,1538043174125
14,37,41,0,11,67.3,50,1538043174134
37,0,0,0,12,67.54,50,1538043174441
14,37,41,0,11,67.3,50,1538043195075
14,37,41,0,8,67.6,50,1538046134796
14,41,0,0,8,67.6,100,1538046142805
14,37,41,0,8,67.6,50,1538046142831
14,37,41,0,12,67.57,50,1538046233602
14,41,0,0,11,67.65,172,1538046778577
14,41,0,0,12,67.62,500,1538046806471
14,37,41,0,12,67.53,50,1538047481174
14,41,0,0,12,67.52,500,1538047481707
14,37,41,0,12,67.4,50,1538047724536
0,0,0,0,4,67.62,500,1538049602267
0,0,0,0,4,67.6,875,1538049602267
0,0,0,0,4,67.6399,350,1538049602273
0,0,0,0,4,67.61,1000,1538049602280
0,0,0,0,4,67.32,300,1538049602364
14,41,0,0,12,67.32,190,1538049602885
0,0,0,0,4,67.6,150,1538049736469
0,0,0,0,4,67.55,1000,1538049799144
14,41,0,0,12,67.32,500,1538050045430
37,0,0,0,4,67.32,50,1538050182094
0,0,0,0,4,67.4799,100,1538050298400
0,0,0,0,4,67.48,150,1538050481054
0,0,0,0,4,67.48,1000,1538050524083
37,0,0,0,4,67.32,20,1538050558724
0,0,0,0,4,67.4,250,1538051284385
37,0,0,0,4,67.37,15,1538051549000
37,0,0,0,4,67.37,25,1538051553202
0,0,0,0,4,67.2501,100,1538051932976
14,41,0,0,12,67.21,100,1538052307760
37,0,0,0,4,67.25,60,1538052377078
14,41,0,0,12,67.28,100,1538052691887
0,0,0,0,4,67.3,300,1538052744446
14,41,0,0,12,67.35,100,1538052884373
14,41,0,0,11,67.35,100,1538052905380
14,41,0,0,11,67.35,217,1538052906651
14,37,41,0,11,67.35,83,1538052906652
37,0,0,0,4,67.3,1,1538053144223
37,0,0,0,8,67.3,2,1538053152558
0,0,0,0,4,67.35,113,1538053152562
14,41,0,0,11,67.25,643,1538053336215
0,0,0,0,11,67.25,200,1538053359226
14,41,0,0,11,67.25,100,1538053359271
14,41,0,0,11,67.25,100,1538053359313
14,41,0,0,11,67.25,100,1538053359316
14,41,0,0,11,67.25,100,1538053359317
14,41,0,0,11,67.25,100,1538053359322
14,41,0,0,11,67.25,100,1538053359327
14,41,0,0,11,67.25,100,1538053359397
14,41,0,0,11,67.25,100,1538053359420
14,41,0,0,11,67.25,100,1538053359506
0,0,0,0,11,67.25,100,1538053362344
37,0,0,0,4,67.25,4,1538053452855
0,0,0,0,4,67.25,350,1538053488727
14,37,41,0,11,67.25,2,1538053505232
0,0,0,0,11,67.25,100,1538053545275
0,0,0,0,4,67.25,500,1538053558590
0,0,0,0,4,67.25,150,1538053679232
37,0,0,0,4,67.25,3,1538053689264
0,0,0,0,4,67.21,6805,1538053956203
37,0,0,0,4,67.35,1,1538054098962
14,41,0,0,17,67.21,100,1538054100024
14,41,0,0,11,67.15,100,1538054104912
14,41,0,0,11,67.13,100,1538054104912
14,41,0,0,11,67.12,100,1538054104912
14,41,0,0,11,67.11,100,1538054104912
14,41,0,0,11,67.1,100,1538054104912
14,41,0,0,11,67.05,100,1538054104912
14,41,0,0,11,67.05,100,1538054104912
14,41,0,0,11,66.97,100,1538054104912
14,41,0,0,11,66.89,100,1538054104912
14,37,41,0,12,67.2,2,1538054104912
14,37,41,0,17,67.21,21,1538054104912
14,41,0,0,12,67.15,100,1538054104912
0,0,0,0,12,66.95,100,1538054104919
0,0,0,0,12,66.6,100,1538054104919
0,0,0,0,12,66.57,100,1538054104919
0,0,0,0,11,67.02,100,1538054104975
0,0,0,0,12,67.1,100,1538054109741
14,41,0,0,11,67,100,1538054116206
14,41,0,0,17,66.95,121,1538054116621
14,41,0,0,11,66.92,100,1538054116741
14,41,0,0,11,66.84,100,1538054116741
14,41,0,0,12,66.94,100,1538054116741
14,41,0,0,12,66.89,100,1538054116741
14,41,0,0,12,66.86,100,1538054116742
14,41,0,0,12,66.83,100,1538054116742
14,41,0,0,12,66.8,100,1538054116742
14,41,0,0,12,66.89,100,1538054116749
14,41,0,0,11,66.8,100,1538054116749
14,41,0,0,12,66.84,100,1538054116750
14,41,0,0,12,66.88,100,1538054116751
0,0,0,0,12,66.89,100,1538054116752
14,41,0,0,12,66.9,100,1538054116755
14,41,0,0,12,66.89,100,1538054117141
14,41,0,0,12,66.89,100,1538054117141
14,41,0,0,12,66.81,100,1538054117191
14,41,0,0,11,66.79,100,1538054117191
14,41,0,0,11,66.81,100,1538054117363
14,41,0,0,12,66.77,100,1538054117364
14,41,0,0,17,66.75,122,1538054117365
14,41,0,0,12,66.74,100,1538054117365
14,41,0,0,11,66.72,100,1538054117366
14,41,0,0,12,66.71,100,1538054117367
14,41,0,0,12,66.77,100,1538054117369
14,41,0,0,7,66.69,100,1538054117369
14,37,41,0,7,66.69,23,1538054117381
14,41,0,0,7,66.69,100,1538054117381
14,37,41,0,7,66.69,77,1538054117381
14,37,41,0,7,66.69,78,1538054117385
14,41,0,0,12,66.81,100,1538054117492
14,41,0,0,17,66.83,100,1538054117499
14,41,0,0,12,66.82,100,1538054118021
14,41,0,0,11,66.61,100,1538054118022
14,41,0,0,12,66.58,100,1538054118025
14,41,0,0,12,66.55,100,1538054118026
14,41,0,0,12,66.52,100,1538054118027
14,41,0,0,12,66.49,100,1538054118029
14,41,0,0,11,66.45,100,1538054118030
14,41,0,0,11,66.37,100,1538054118032
14,37,41,0,11,66.25,16,1538054118033
14,41,0,0,17,66.01,300,1538054118035
14,41,0,0,12,66.39,100,1538054118036
14,41,0,0,12,66.39,100,1538054118036
14,41,0,0,12,66,250,1538054118036
14,41,0,0,12,66.34,100,1538054118038
14,41,0,0,12,66.04,100,1538054118038
14,41,0,0,12,66.01,100,1538054118039
0,0,0,0,11,66,100,1538054118066
14,41,0,0,11,66,100,1538054118067
14,41,0,0,11,66,100,1538054118070
0,0,0,0,11,66,100,1538054118080
0,0,0,0,11,66,100,1538054118080
0,0,0,0,11,66,100,1538054118081
0,0,0,0,11,66,100,1538054118086
14,37,41,0,11,66,30,1538054118088
14,37,41,0,11,66,70,1538054118090
14,37,41,0,11,66,30,1538054118095
14,37,41,0,11,66,70,1538054118095
0,0,0,0,11,66,100,1538054118098
0,0,0,0,11,66,100,1538054118100
14,41,0,0,11,66,100,1538054118101
0,0,0,0,11,66,100,1538054118102
14,41,0,0,11,66,100,1538054118103
0,0,0,0,11,66,100,1538054118103
37,0,0,0,11,66,10,1538054118105
37,0,0,0,11,66,90,1538054118105
37,0,0,0,11,66,10,1538054118105
14,37,41,0,12,66.1,30,1538054118105
14,37,41,0,11,66,70,1538054118106
37,0,0,0,11,66,30,1538054118107
37,0,0,0,11,66,70,1538054118107
14,37,41,0,11,66,30,1538054118109
14,37,41,0,12,66.07,70,1538054118109
14,37,41,0,11,66,70,1538054118115
14,37,41,0,11,66,30,1538054118115
37,0,0,0,11,66,40,1538054118116
37,0,0,0,11,66,60,1538054118123
37,0,0,0,11,66,40,1538054118123
0,0,0,0,11,66,100,1538054118124
14,41,0,0,11,66,100,1538054118127
0,0,0,0,11,66,100,1538054118127
14,41,0,0,11,66,100,1538054118156
0,0,0,0,11,66,100,1538054118158
14,41,0,0,11,66,100,1538054118159
0,0,0,0,11,66,100,1538054118160
14,41,0,0,11,66,100,1538054118162
0,0,0,0,11,66,100,1538054118163
0,0,0,0,11,66,100,1538054118199
37,0,0,0,11,66,84,1538054118202
14,37,41,0,11,66.03,16,1538054118203
14,37,41,0,12,66,10,1538054118203
14,37,41,0,12,66,6,1538054118203
14,37,41,0,12,66,4,1538054118205
14,37,41,0,12,66,12,1538054118205
14,37,41,0,12,66,8,1538054118206
14,37,41,0,12,66.03,76,1538054118299
14,41,0,0,12,65.9,100,1538054118786
14,41,0,0,12,65.79,100,1538054119038
14,41,0,0,11,65.35,100,1538054119460
14,41,0,0,11,65.27,100,1538054119460
0,0,0,0,12,65.81,100,1538054119461
14,41,0,0,12,65.78,100,1538054119461
0,0,0,0,11,65.45,100,1538054119463
0,0,0,0,11,65.43,100,1538054119468
14,41,0,0,11,65.2,100,1538054119469
14,41,0,0,12,65.82,100,1538054119469
0,0,0,0,11,65.2,100,1538054119469
0,0,0,0,11,65.35,100,1538054119472
0,0,0,0,11,65.2,100,1538054119480
0,0,0,0,11,65.2,100,1538054119481
37,0,0,0,12,65.57,76,1538054119615
14,37,41,0,12,65.57,24,1538054120530
14,37,41,0,12,65.57,76,1538054120537
14,41,0,0,17,65.59,100,1538054120616
14,41,0,0,17,65.59,100,1538054120627
14,37,41,0,11,65.57,24,1538054120702
14,37,41,0,8,65.47,76,1538054120702
0,0,0,0,11,65.47,100,1538054120823
0,0,0,0,11,65.39,100,1538054120823
14,37,41,0,11,65.33,24,1538054120823
37,0,0,0,8,65.47,24,1538054120823
14,37,41,0,11,65.31,24,1538054120823
14,37,41,0,11,65.33,24,1538054120823
0,0,0,0,11,65.33,100,1538054120826
0,0,0,0,11,65.33,100,1538054120829
0,0,0,0,11,65.33,100,1538054120836
0,0,0,0,11,65.33,100,1538054120839
37,0,0,0,11,65.33,30,1538054120840
37,0,0,0,11,65.33,70,1538054120842
0,0,0,0,11,65.33,100,1538054120844
14,41,0,0,11,65.33,100,1538054120853
0,0,0,0,11,65.33,100,1538054120858
0,0,0,0,11,65.33,100,1538054120860
0,0,0,0,11,65.33,100,1538054120863
14,41,0,0,11,65.33,100,1538054120873
0,0,0,0,11,65.33,100,1538054120879
0,0,0,0,11,65.33,100,1538054120881
37,0,0,0,11,65.33,30,1538054120897
37,0,0,0,11,65.33,31,1538054120898
37,0,0,0,11,65.33,10,1538054120899
37,0,0,0,11,65.33,29,1538054120900
37,0,0,0,11,65.33,21,1538054120902
37,0,0,0,11,65.33,30,1538054120904
37,0,0,0,11,65.33,49,1538054120905
0,0,0,0,11,65.33,100,1538054120916
0,0,0,0,11,65.33,100,1538054120919
0,0,0,0,11,65,100,1538054121190
0,0,0,0,11,65,153,1538054121190
0,0,0,0,11,65,500,1538054121190
0,0,0,0,11,64.94,100,1538054121190
37,0,0,0,11,64.86,76,1538054121190
14,37,41,0,11,65.17,77,1538054121190
14,37,41,0,7,65.2,77,1538054121190
14,37,41,0,12,65.13,77,1538054121191
37,0,0,0,11,64.86,71,1538054121193
14,37,41,0,11,64.94,6,1538054121251
14,41,0,0,11,64.72,100,1538054121251
14,37,41,0,12,64.94,77,1538054121252
14,41,0,0,11,64.64,100,1538054121252
37,0,0,0,8,65,2,1538054121253
14,37,41,0,11,64.76,2,1538054121253
14,41,0,0,11,64.75,100,1538054121261
14,41,0,0,11,64.67,100,1538054121263
14,41,0,0,11,64.57,100,1538054121275
14,41,0,0,11,64.57,100,1538054121289
14,41,0,0,11,64.63,100,1538054121297
14,41,0,0,8,64.63,100,1538054121298
14,41,0,0,11,64.58,100,1538054121300
14,41,0,0,11,64.58,100,1538054121311
14,41,0,0,11,64.58,100,1538054121321
14,37,41,0,11,64.56,50,1538054121332
14,41,0,0,11,64.64,100,1538054121334
14,37,41,0,11,64.56,50,1538054121345
14,37,41,0,11,64.43,50,1538054121492
14,37,41,0,12,64.25,50,1538054121493
14,37,41,0,17,64.8,38,1538054121814
14,37,41,0,12,64.77,62,1538054121814
14,37,41,0,12,64.77,38,1538054121815
14,37,41,0,17,64.76,62,1538054121816
14,41,0,0,12,64.79,100,1538054122404
0,0,0,0,12,64.63,100,1538054122573
14,37,41,0,12,64.99,77,1538054123349
14,41,0,0,11,65.33,100,1538054125256
14,41,0,0,11,65.33,100,1538054125299
14,41,0,0,11,65.33,100,1538054125313
14,41,0,0,11,65.33,100,1538054125341
0,0,0,0,11,65.33,100,1538054125344
14,37,41,0,11,65.33,52,1538054125430
14,37,41,0,12,65.5,5,1538054125430
14,37,41,0,12,65.41,52,1538054125430
14,37,41,0,12,65.5,52,1538054125431
14,37,41,0,7,65.6,52,1538054125443
37,0,0,0,12,65.57,48,1538054125857
37,0,0,0,12,65.49,25,1538054130096
37,0,0,0,8,65.48,10,1538054130101
14,37,41,0,7,65.6,48,1538054131030
14,37,41,0,12,65.6,52,1538054131046
37,0,0,0,12,65.5,25,1538054131370
14,41,0,0,11,65.37,317,1538054131937
14,37,41,0,8,65.48,90,1538054131937
14,37,41,0,12,65.5,27,1538054131937
14,37,41,0,12,65.48,73,1538054131937
14,37,41,0,12,65.48,27,1538054131937
14,41,0,0,12,65.43,100,1538054131937
14,41,0,0,11,65.36,100,1538054131943
14,41,0,0,12,65.34,100,1538054131949
14,37,41,0,12,65.34,27,1538054131949
14,41,0,0,11,65.37,100,1538054131956
14,37,41,0,11,65.37,10,1538054131967
14,37,41,0,11,65.37,90,1538054131968
14,37,41,0,11,65.37,10,1538054131973
14,37,41,0,11,65.37,90,1538054131973
14,37,41,0,11,65.37,10,1538054131979
14,37,41,0,11,65.37,90,1538054131980
14,37,41,0,11,65.37,10,1538054131985
14,41,0,0,12,65.37,127,1538054132009
14,37,41,0,12,65.37,27,1538054132010
14,37,41,0,12,65.37,73,1538054132010
14,37,41,0,11,65.37,46,1538054132010
14,41,0,0,17,65.52,100,1538054132397
14,41,0,0,7,65.29,100,1538054132895
14,41,0,0,12,65.52,100,1538054132895
14,37,41,0,12,65.37,44,1538054132895
14,41,0,0,12,65.36,100,1538054132895
14,41,0,0,12,65.26,100,1538054132895
14,37,41,0,12,65.19,56,1538054132897
14,41,0,0,12,65.47,100,1538054132925
14,41,0,0,17,65.47,100,1538054132925
14,41,0,0,17,65.49,100,1538054133167
14,41,0,0,12,65.43,100,1538054135009
14,37,41,0,12,65.52,27,1538054141408
14,41,0,0,12,65.56,100,1538054142252
14,41,0,0,12,65.55,100,1538054142252
14,41,0,0,12,65.77,100,1538054143832
14,41,0,0,11,65.76,100,1538054143832
14,41,0,0,11,65.76,100,1538054143833
14,41,0,0,11,65.78,100,1538054143833
14,37,41,0,12,65.79,48,1538054143833
14,41,0,0,12,65.81,100,1538054143833
14,41,0,0,12,65.82,100,1538054143833
37,0,0,0,17,65.78,23,1538054143833
14,41,0,0,11,65.78,100,1538054143841
14,37,41,0,12,65.88,76,1538054144115
14,37,41,0,12,65.88,24,1538054144465
14,41,0,0,11,65.91,100,1538054144466
14,41,0,0,12,65.91,100,1538054144466
14,41,0,0,12,65.94,100,1538054144467
0,0,0,0,17,65.9,100,1538054144467
14,37,41,0,17,65.93,22,1538054144468
14,41,0,0,12,65.97,100,1538054144468
14,41,0,0,11,65.99,100,1538054144469
14,37,41,0,17,65.99,54,1538054144470
0,0,0,0,11,65.91,100,1538054144510
14,37,41,0,12,66,30,1538054144709
0,0,0,0,11,65.97,100,1538054144938
14,37,41,0,12,66.01,70,1538054144938
14,37,41,0,12,65.95,30,1538054144938
0,0,0,0,4,65.72,500,1538054145135
37,0,0,0,4,66.28,20,1538054148292
0,0,0,0,11,66.02,100,1538054151628
14,41,0,0,17,66.01,100,1538054151731
14,37,41,0,17,66.01,30,1538054154462
14,41,0,0,12,66.02,100,1538054154462
14,37,41,0,12,66.01,70,1538054154462
14,37,41,0,12,66.01,7,1538054154863
14,37,41,0,12,66.01,93,1538054154863
0,0,0,0,11,66.02,100,1538054155262
0,0,0,0,11,66.01,100,1538054155360
14,37,41,0,19,66.01,7,1538054155364
14,41,0,0,11,66,648,1538054155800
14,41,0,0,11,66,100,1538054155801
0,0,0,0,11,66,100,1538054155900
0,0,0,0,11,66,702,1538054155900
14,41,0,0,17,65.73,100,1538054156126
14,41,0,0,2,65.75,100,1538054156126
14,37,41,0,12,65.79,70,1538054157435
14,37,41,0,12,65.74,82,1538054157436
14,37,41,0,17,65.8,48,1538054157436
14,37,41,0,17,65.96,30,1538054157593
14,37,41,0,12,65.85,30,1538054165237
37,0,0,0,11,65.93,70,1538054165480
14,37,41,0,11,65.93,30,1538054165574
14,41,0,0,11,65.73,100,1538054165574
14,41,0,0,12,65.73,100,1538054165575
14,41,0,0,12,65.72,100,1538054165575
14,41,0,0,12,65.7,100,1538054165575
14,37,41,0,12,65.69,48,1538054165575
14,37,41,0,12,65.65,18,1538054165575
14,37,41,0,12,65.87,30,1538054165575
14,37,41,0,12,65.65,4,1538054165577
14,41,0,0,11,65.79,100,1538054169437
14,37,41,0,19,65.62,26,1538054171345
14,37,41,0,12,65.65,26,1538054171345
14,41,0,0,12,65.57,100,1538054173591
0,0,0,0,8,65.51,124,1538054176197
0,0,0,0,4,65.52,500,1538054176306
37,0,0,0,4,65.45,10,1538054177177
14,37,41,0,11,65.45,30,1538054177688
14,41,0,0,11,65.45,100,1538054177691
14,37,41,0,11,65.45,10,1538054177691
14,37,41,0,11,65.45,60,1538054177692
14,37,41,0,11,65.36,76,1538054177692
14,37,41,0,11,65.36,24,1538054177696
0,0,0,0,12,65.39,100,1538054177697
0,0,0,0,12,65.29,100,1538054177705
0,0,0,0,11,65.2,100,1538054177713
14,37,41,0,11,65.2,40,1538054177718
14,37,41,0,17,65.19,90,1538054177720
14,41,0,0,12,65.19,100,1538054177728
37,0,0,0,17,65.19,10,1538054177729
14,37,41,0,17,65.17,99,1538054177734
14,37,41,0,12,65.18,90,1538054177735
14,37,41,0,11,65.18,11,1538054177735
14,37,41,0,12,65.07,60,1538054177776
14,37,41,0,12,65.08,40,1538054178234
14,37,41,0,12,65.02,60,1538054178234
14,37,41,0,19,65.02,40,1538054180642
0,0,0,0,19,65.02,100,1538054180642
14,41,0,0,19,65.02,100,1538054180647
14,41,0,0,19,65.02,100,1538054180652
14,41,0,0,19,65.02,100,1538054180657
14,41,0,0,19,65.02,100,1538054180663
0,0,0,0,11,65,100,1538054180770
0,0,0,0,11,65,100,1538054180794
14,41,0,0,19,65.02,100,1538054183130
14,41,0,0,19,65.02,211,1538054183130
14,41,0,0,12,65.03,110,1538054183131
14,41,0,0,19,65.02,100,1538054183131
0,0,0,0,19,65.02,100,1538054183135
0,0,0,0,12,65.02,100,1538054183144
0,0,0,0,17,65.02,100,1538054183144
0,0,0,0,11,65.01,100,1538054183760
37,0,0,0,17,64.99,10,1538054183761
0,0,0,0,12,65.01,100,1538054183761
0,0,0,0,12,64.98,100,1538054183761
0,0,0,0,12,64.93,100,1538054183772
0,0,0,0,12,64.9,100,1538054183776
0,0,0,0,11,64.88,100,1538054183780
0,0,0,0,12,64.79,100,1538054183789
14,41,0,0,7,64.77,100,1538054183796
14,41,0,0,7,64.77,100,1538054183804
14,41,0,0,7,64.77,100,1538054183808
14,41,0,0,7,64.77,100,1538054183813
14,41,0,0,7,64.77,100,1538054183821
14,41,0,0,7,64.77,100,1538054183826
14,41,0,0,7,64.77,100,1538054183831
14,41,0,0,7,64.77,100,1538054184221
14,41,0,0,7,64.77,100,1538054184224
14,41,0,0,7,64.77,100,1538054184230
14,41,0,0,7,64.77,100,1538054184237
14,41,0,0,7,64.77,100,1538054184238
14,37,41,0,17,64.7,99,1538054185627
14,37,41,0,12,64.69,1,1538054185628
37,0,0,0,11,64.76,50,1538054185859
14,37,41,0,7,64.77,50,1538054185860
14,41,0,0,7,64.77,100,1538054185876
14,37,41,0,7,64.77,50,1538054185876
14,41,0,0,7,64.77,100,1538054185891
14,37,41,0,7,64.77,49,1538054185908
14,41,0,0,7,64.77,100,1538054186141
14,41,0,0,12,64.75,100,1538054191626
14,41,0,0,12,64.75,100,1538054191627
14,41,0,0,12,64.76,100,1538054191627
14,41,0,0,7,64.76,100,1538054191627
14,41,0,0,7,64.76,100,1538054191627
14,41,0,0,17,64.87,248,1538054191637
14,37,41,0,11,64.84,89,1538054191637
14,41,0,0,11,64.88,100,1538054191637
14,37,41,0,12,64.88,76,1538054191638
14,37,41,0,7,64.77,76,1538054191643
14,41,0,0,7,64.77,100,1538054191643
37,0,0,0,7,64.77,10,1538054191643
14,41,0,0,12,64.91,100,1538054191643
0,0,0,0,7,64.77,100,1538054191643
0,0,0,0,7,64.77,100,1538054191643
14,41,0,0,7,64.77,100,1538054191648
14,41,0,0,7,64.77,100,1538054193367
14,41,0,0,7,64.77,400,1538054193367
0,0,0,0,11,64.7,100,1538054195926
14,41,0,0,12,64.69,100,1538054198011
14,41,0,0,12,64.69,100,1538054198114
14,37,41,0,12,64.69,93,1538054198131
14,37,41,0,12,64.69,7,1538054198131
14,37,41,0,12,64.69,3,1538054198177
14,37,41,0,12,64.69,97,1538054198177
37,0,0,0,12,64.69,3,1538054198204
37,0,0,0,12,64.69,47,1538054198204
14,41,0,0,11,64.69,100,1538054198208
37,0,0,0,12,64.69,53,1538054198211
14,41,0,0,7,64.77,100,1538054198841
14,41,0,0,7,64.77,100,1538054198846
14,37,41,0,7,64.77,21,1538054198853
14,41,0,0,7,64.77,100,1538054198857
14,41,0,0,7,64.77,100,1538054198862
14,37,41,0,7,64.77,10,1538054198873
14,37,41,0,7,64.77,90,1538054198874
14,41,0,0,7,64.77,100,1538054198879
0,0,0,0,7,64.77,100,1538054198923
0,0,0,0,7,64.77,100,1538054199030
14,41,0,0,7,64.77,100,1538054199104
14,41,0,0,7,64.77,100,1538054199142
0,0,0,0,7,64.77,100,1538054199155
37,0,0,0,7,64.77,56,1538054199260
14,41,0,0,7,64.77,100,1538054199319
0,0,0,0,7,64.77,100,1538054199387
0,0,0,0,7,64.77,100,1538054199387
14,37,41,0,7,64.77,3,1538054199539
14,37,41,0,7,64.77,97,1538054199544
0,0,0,0,7,64.77,100,1538054199834
14,37,41,0,7,64.77,20,1538054199981
14,41,0,0,7,64.77,100,1538054201122
14,41,0,0,7,64.77,200,1538054201122
0,0,0,0,7,64.77,100,1538054201122
37,0,0,0,7,64.77,10,1538054201122
14,41,0,0,12,65,100,1538054201122
37,0,0,0,7,64.77,7,1538054201122
14,41,0,0,12,65,100,1538054201122
14,41,0,0,7,64.77,100,1538054201122
14,41,0,0,12,64.84,100,1538054201122
14,41,0,0,7,64.77,100,1538054201125
14,41,0,0,7,64.77,100,1538054201134
0,0,0,0,7,64.77,100,1538054201454
0,0,0,0,7,64.77,100,1538054202026
0,0,0,0,7,64.77,100,1538054202206
14,41,0,0,7,64.77,100,1538054203111
0,0,0,0,7,64.77,100,1538054203842
37,0,0,0,12,64.6,31,1538054204066
14,41,0,0,7,64.77,100,1538054205322
0,0,0,0,4,64.6,620,1538054206485
14,41,0,0,7,64.76,100,1538054207930
14,41,0,0,7,64.77,100,1538054207945
0,0,0,0,11,64.6,200,1538054208729
14,41,0,0,11,64.6,800,1538054208743
14,41,0,0,11,64.58,100,1538054208744
14,41,0,0,17,64.54,328,1538054208745
14,37,41,0,12,64.6,19,1538054208746
14,41,0,0,12,64.53,100,1538054208746
14,41,0,0,11,64.51,100,1538054208746
14,41,0,0,12,64.51,100,1538054208746
14,41,0,0,11,64.5,200,1538054208747
14,41,0,0,12,64.51,100,1538054208754
0,0,0,0,12,64.5,100,1538054208756
14,41,0,0,19,64.5,100,1538054208760
14,41,0,0,19,64.5,100,1538054208763
14,41,0,0,12,64.5,100,1538054208767
14,41,0,0,19,64.5,100,1538054208769
14,41,0,0,19,64.5,100,1538054208772
14,41,0,0,19,64.5,100,1538054208775
14,41,0,0,19,64.5,100,1538054208782
14,41,0,0,19,64.5,100,1538054208789
14,41,0,0,19,64.5,100,1538054208793
14,41,0,0,19,64.5,100,1538054208798
14,41,0,0,19,64.5,100,1538054208803
14,41,0,0,19,64.5,100,1538054208807
14,41,0,0,19,64.5,100,1538054208813
14,41,0,0,19,64.5,100,1538054208814
0,0,0,0,19,64.5,100,1538054208817
14,41,0,0,19,64.5,100,1538054208820
14,41,0,0,19,64.5,100,1538054208822
14,41,0,0,19,64.5,100,1538054208825
14,41,0,0,19,64.5,100,1538054208828
14,41,0,0,19,64.5,100,1538054208829
14,41,0,0,19,64.5,100,1538054208830
14,41,0,0,19,64.5,100,1538054208844
14,41,0,0,19,64.5,100,1538054208860
