c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,102,50,1539948973396
37,0,0,0,4,102,5,1539951577689
14,37,41,0,12,100,1,1539954188997
14,37,41,0,11,102,38,1539955152927
14,37,41,0,11,102,12,1539955152927
14,37,41,0,11,102,50,1539955152927
14,41,0,0,11,102,100,1539955152928
14,41,0,0,11,102,100,1539955193169
14,41,0,0,11,102,100,1539955193169
14,41,0,0,11,102,100,1539955193170
14,41,0,0,11,102,100,1539955229237
14,41,0,0,11,102,100,1539955229238
14,37,41,0,11,102,20,1539955229384
37,0,0,0,11,102,80,1539955265704
37,0,0,0,11,102,20,1539955265704
14,41,0,0,11,102,100,1539955375067
14,41,0,0,11,102,100,1539955436091
14,41,0,0,11,102,100,1539955443496
14,41,0,0,11,102,100,1539955444902
14,41,0,0,11,102,100,1539955445193
0,0,0,0,11,102,100,1539955538049
37,0,0,0,11,101.89,50,1539955572958
0,0,0,0,11,102,100,1539955782105
0,0,0,0,11,101.99,100,1539955783530
14,41,0,0,11,102,100,1539955786797
37,0,0,0,11,102.38,15,1539955935840
25,16,0,0,11,102.38,15,1539955935840
51,0,0,0,0,102.01,,1539955947210
37,0,0,0,11,102.12,25,1539955947210
0,0,0,0,11,102.01,100,1539955947210
14,37,41,0,11,102,71,1539955947210
51,0,0,0,0,102,,1539955947211
14,37,41,0,11,102,25,1539955947211
14,37,41,0,18,102.12,25,1539955947211
14,37,41,0,19,102.12,25,1539955947211
14,37,41,0,12,102.12,25,1539955947211
14,37,41,0,12,102.11,71,1539955947211
25,16,0,0,12,102.12,25,1539955947211
0,0,0,0,11,102,832,1539955947211
14,41,0,0,12,102,100,1539955947211
14,41,0,0,12,102,100,1539955947211
0,0,0,0,11,102,7794,1539955947211
37,0,0,0,11,101.9,60,1539955947211
14,37,41,0,12,102.1,49,1539955949338
14,41,0,0,11,102.01,100,1539955959289
14,41,0,0,11,102.01,100,1539955959289
0,0,0,0,12,102,100,1539955959289
0,0,0,0,12,102,100,1539955959289
0,0,0,0,12,102,100,1539955959289
0,0,0,0,12,102,100,1539955959289
0,0,0,0,12,102,100,1539955959289
14,41,0,0,12,102,100,1539955959289
0,0,0,0,12,102,100,1539955959490
51,0,0,0,0,101.46,,1539955963727
0,0,0,0,11,101.46,100,1539955963727
0,0,0,0,12,101.48,100,1539955963727
0,0,0,0,12,101.46,100,1539955963727
0,0,0,0,19,101.89,100,1539955974040
0,0,0,0,11,101.9,100,1539955974040
0,0,0,0,19,101.89,300,1539955974040
0,0,0,0,11,101.9,100,1539955974040
0,0,0,0,11,101.9,100,1539955974603
37,0,0,0,12,102,52,1539955976009
37,0,0,0,19,102.13,66,1539955980338
51,0,0,0,0,102.18,,1539955983069
0,0,0,0,19,102.18,500,1539955983069
37,0,0,0,11,102.19,63,1539955983070
51,0,0,0,0,102.19,,1539955983430
14,41,0,0,12,102.19,100,1539955983430
51,0,0,0,0,102.5,,1539955989945
25,0,0,0,10,102.5,35348,1539955989945
0,0,0,0,11,102.2,100,1539955989945
0,0,0,0,10,102.05,160,1539955989945
0,0,0,0,10,102.01,100,1539955989945
14,41,0,0,11,102.12,100,1539955989945
0,0,0,0,11,102.5,100,1539955989946
14,41,0,0,8,102.1,100,1539955989946
14,41,0,0,7,102.1,100,1539955989946
14,37,41,0,11,102.5,73,1539955989946
14,41,0,0,2,102.1,100,1539955989946
14,41,0,0,12,102.1,100,1539955989946
14,37,41,0,11,102.5,27,1539955989946
14,37,41,0,11,102.5,46,1539955989946
14,37,41,0,11,102.5,54,1539955989946
37,0,0,0,11,102.5,46,1539955989946
37,0,0,0,11,102.5,54,1539955989946
0,0,0,0,11,102.5,100,1539955989946
51,0,0,0,0,102.76,,1539955989948
0,0,0,0,19,102.76,100,1539955989948
37,0,0,0,19,102.78,60,1539955989948
0,0,0,0,2,102.15,100,1539955989949
0,0,0,0,19,102.76,100,1539955989949
37,0,0,0,19,102.78,40,1539955989949
0,0,0,0,18,102.23,100,1539955989950
0,0,0,0,7,102.23,100,1539955989950
0,0,0,0,10,102.13,100,1539955989951
