c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,35.03,99,1539948853363
14,37,41,0,12,36.6,1,1539953908981
14,41,0,0,12,36.05,200,1539955603380
37,0,0,0,4,36.1,3,1539955725257
14,37,41,0,12,35.42,3,1539955800797
25,16,0,0,12,35.42,3,1539955800797
37,0,0,0,19,36.09,3,1539955812939
37,0,0,0,19,36.09,1,1539955832584
37,0,0,0,19,35.66,67,1539955856711
51,0,0,0,0,35.66,,1539955859480
0,0,0,0,11,35.66,400,1539955859480
25,16,0,0,11,35.66,400,1539955859480
37,0,0,0,19,35.65,67,1539955859481
51,0,0,0,0,35.97,,1539955860002
37,0,0,0,3,35.95,50,1539955860002
14,41,0,0,19,35.97,200,1539955860002
0,0,0,0,12,35.93,100,1539955860002
0,0,0,0,12,35.93,100,1539955860002
0,0,0,0,18,35.93,100,1539955860002
0,0,0,0,12,35.93,100,1539955860002
0,0,0,0,19,35.97,100,1539955860002
0,0,0,0,12,35.97,200,1539955860002
0,0,0,0,4,35.95,100,1539955860003
0,0,0,0,4,35.95,100,1539955860003
37,0,0,0,11,35.87,50,1539955862306
0,0,0,0,11,35.86,150,1539955862306
37,0,0,0,19,35.85,67,1539955862307
14,41,0,0,11,35.86,181,1539955864706
0,0,0,0,11,35.85,100,1539955868941
0,0,0,0,11,35.85,100,1539955868967
0,0,0,0,11,35.8,100,1539955881995
14,37,41,0,11,35.8,50,1539955891530
14,37,41,0,11,35.72,50,1539955891530
14,41,0,0,11,35.72,100,1539955892807
14,37,41,0,12,35.8,15,1539955892807
0,0,0,0,11,35.72,100,1539955907941
14,41,0,0,11,35.72,100,1539955910807
14,37,41,0,11,35.72,19,1539955910807
14,37,41,0,11,35.65,26,1539955912387
14,37,41,0,12,35.78,74,1539955912387
14,41,0,0,11,35.9,100,1539955912387
14,41,0,0,11,35.91,100,1539955912387
41,0,0,0,11,35.94,100,1539955912387
14,41,0,0,11,35.95,100,1539955912387
14,41,0,0,11,35.95,200,1539955912387
14,37,41,0,11,35.95,96,1539955912387
14,41,0,0,19,35.89,100,1539955912388
0,0,0,0,12,35.78,100,1539955912388
14,41,0,0,12,35.89,100,1539955912388
14,41,0,0,17,35.94,100,1539955912388
0,0,0,0,18,35.94,100,1539955912390
0,0,0,0,12,35.94,100,1539955912390
14,41,0,0,12,35.94,100,1539955912391
0,0,0,0,11,35.95,100,1539955912391
0,0,0,0,11,35.95,200,1539955912391
0,0,0,0,11,35.95,400,1539955912391
0,0,0,0,11,35.95,400,1539955912391
0,0,0,0,11,35.95,100,1539955912391
0,0,0,0,18,35.95,100,1539955912391
0,0,0,0,11,35.95,100,1539955912391
0,0,0,0,12,35.95,100,1539955912391
0,0,0,0,12,35.95,200,1539955912391
0,0,0,0,19,35.95,400,1539955912392
0,0,0,0,7,35.95,100,1539955912392
0,0,0,0,19,35.94,300,1539955912392
0,0,0,0,12,35.94,100,1539955912392
0,0,0,0,19,35.94,100,1539955912392
0,0,0,0,7,35.94,100,1539955912392
0,0,0,0,8,35.945,100,1539955912392
37,0,0,0,18,35.95,32,1539955912392
37,0,0,0,18,35.95,68,1539955912393
37,0,0,0,12,35.94,32,1539955912393
0,0,0,0,19,35.94,200,1539955912393
0,0,0,0,7,35.94,100,1539955912393
0,0,0,0,12,35.95,200,1539955912395
0,0,0,0,12,35.95,100,1539955912395
14,41,0,0,12,35.95,100,1539955912396
14,41,0,0,12,35.96,196,1539955912400
37,0,0,0,12,35.96,4,1539955912400
0,0,0,0,11,35.96,100,1539955915001
51,0,0,0,0,35.99,,1539955915002
51,0,0,0,0,36.08,,1539955915002
41,0,0,0,11,35.97,800,1539955915002
0,0,0,0,12,35.96,150,1539955915002
