c1,c2,c3,c4,e,p,s,t
37,0,0,0,8,1.96,10,1538657958618
37,0,0,0,4,1.95,2,1538658372205
14,41,0,0,12,1.96,1000,1538658420648
37,0,0,0,4,1.95,2,1538658478861
14,41,0,0,12,1.96,1000,1538658480025
14,41,0,0,12,1.96,500,1538658540015
14,37,41,0,8,1.95,1,1538658546783
14,37,41,0,12,1.95,3,1538658546783
37,0,0,0,11,1.94,1,1538658585808
37,0,0,0,4,1.9599,20,1538658633411
37,0,0,0,11,1.95,3,1538658695030
14,41,0,0,11,1.96,400,1538658904959
14,41,0,0,8,1.96,100,1538658904960
14,41,0,0,19,1.96,300,1538658904960
14,41,0,0,12,1.96,100,1538658904960
37,0,0,0,18,1.96,4,1538659005411
37,0,0,0,4,1.9401,30,1538659064711
37,0,0,0,18,1.96,10,1538659079107
37,0,0,0,18,1.96,20,1538659390707
37,0,0,0,4,1.9501,1,1538659547810
0,0,0,0,11,1.96,900,1538659620002
0,0,0,0,18,1.96,166,1538659620003
0,0,0,0,12,1.96,634,1538659620003
37,0,0,0,4,1.94,30,1538659638110
14,37,41,0,12,1.95,49,1538659680131
0,0,0,0,12,1.98,100,1538659790004
51,0,0,0,0,1.98,,1538659800202
25,0,0,0,10,1.98,34697,1538659800202
37,0,0,0,10,1.96,20,1538659800687
10,41,0,0,4,1.98,4465,1538659803320
0,0,0,0,4,1.98,100,1538659803337
0,0,0,0,4,1.98,500,1538659803337
0,0,0,0,4,1.98,200,1538659803337
10,37,41,0,4,1.98,30,1538659804894
51,0,0,0,0,1.97,,1538659817573
0,0,0,0,2,1.97,100,1538659817573
14,41,0,0,2,1.97,100,1538659817573
0,0,0,0,10,1.97,1400,1538659817573
14,41,0,0,2,1.97,100,1538659817574
14,41,0,0,2,1.97,100,1538659832939
0,0,0,0,18,1.97,100,1538659832939
14,41,0,0,2,1.97,100,1538659832939
14,41,0,0,2,1.97,100,1538659843173
0,0,0,0,2,1.97,100,1538659843173
14,41,0,0,19,1.97,1600,1538659853593
14,41,0,0,11,1.97,100,1538659853593
25,16,0,0,11,1.97,100,1538659853593
14,41,0,0,10,1.97,470,1538659853593
14,41,0,0,10,1.97,330,1538659853593
0,0,0,0,18,1.97,900,1538659853593
0,0,0,0,18,1.97,100,1538659853593
0,0,0,0,2,1.97,1000,1538659853593
14,41,0,0,19,1.97,100,1538659853593
14,41,0,0,19,1.97,900,1538659853593
0,0,0,0,2,1.97,600,1538659853593
14,41,0,0,19,1.97,1000,1538659853593
14,41,0,0,19,1.97,1000,1538659853594
0,0,0,0,18,1.97,200,1538659853597
0,0,0,0,2,1.97,400,1538659853597
0,0,0,0,4,1.97,500,1538659853598
0,0,0,0,10,1.97,600,1538659853600
0,0,0,0,11,1.97,200,1538659860337
0,0,0,0,11,1.97,200,1538659860337
0,0,0,0,11,1.97,200,1538659860338
0,0,0,0,8,1.97,900,1538659869515
37,0,0,0,4,1.9603,5,1538659906750
51,0,0,0,0,1.965,,1538659919947
0,0,0,0,12,1.965,100,1538659919947
25,16,0,0,12,1.965,100,1538659919947
0,0,0,0,12,1.965,100,1538659920950
0,0,0,0,12,1.965,200,1538659921950
14,37,41,0,18,1.96,48,1538659933232
51,0,0,0,0,1.96,,1538659933241
0,0,0,0,4,1.96,100,1538659933241
14,41,0,0,18,1.96,100,1538659953708
0,0,0,0,12,1.96,900,1538659953881
