c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,11.8,100,1539948136927
14,41,0,0,12,11.8,300,1539948136927
14,41,0,0,11,11.8,243,1539948144093
37,0,0,0,11,11.8,16,1539948144093
14,41,0,0,11,11.81,1000,1539948505212
0,0,0,0,11,11.81,1000,1539948505212
0,0,0,0,11,11.8,1100,1539948561288
14,41,0,0,11,11.76,400,1539948988117
14,41,0,0,11,11.76,500,1539949511371
14,41,0,0,8,11.61,462,1539949764544
14,41,0,0,18,11.73,100,1539949784217
14,41,0,0,11,11.76,400,1539949784219
0,0,0,0,4,11.74,1000,1539950400980
0,0,0,0,4,11.9099,3000,1539950401321
0,0,0,0,4,11.9,10000,1539950401370
0,0,0,0,4,11.7,3000,1539950401727
0,0,0,0,4,11.7299,500,1539950402057
0,0,0,0,4,11.73,500,1539950402057
37,0,0,0,4,11.7599,87,1539950403707
0,0,0,0,11,11.74,200,1539950405935
37,0,0,0,4,11.54,5,1539950405943
0,0,0,0,4,11.8,150,1539950405973
0,0,0,0,4,11.8,500,1539950406014
0,0,0,0,4,11.76,100,1539950406019
0,0,0,0,11,11.74,200,1539950406053
0,0,0,0,4,11.8,200,1539950406060
0,0,0,0,4,11.76,120,1539950406072
0,0,0,0,4,11.76,150,1539950406092
0,0,0,0,4,11.76,430,1539950406102
37,0,0,0,4,11.8,91,1539950406118
0,0,0,0,4,11.5701,1350,1539950406127
0,0,0,0,4,11.79,100,1539950406130
0,0,0,0,11,11.74,200,1539950406166
0,0,0,0,4,11.8,1000,1539950407131
0,0,0,0,11,11.76,400,1539950418651
0,0,0,0,11,11.8,409,1539950426583
0,0,0,0,11,11.89,200,1539950433290
0,0,0,0,11,11.89,100,1539950435794
0,0,0,0,11,11.9,500,1539950436415
0,0,0,0,11,11.89,200,1539950438756
0,0,0,0,11,11.9,500,1539950442166
0,0,0,0,11,11.9,1000,1539950442166
14,41,0,0,12,11.89,100,1539950443051
0,0,0,0,8,11.9,275,1539950446696
14,41,0,0,8,11.9,300,1539950448614
14,41,0,0,8,11.9,425,1539950459835
0,0,0,0,11,11.94,2000,1539950461589
0,0,0,0,11,11.94,500,1539950461951
0,0,0,0,11,11.94,1000,1539950462829
14,41,0,0,11,11.94,300,1539950471179
0,0,0,0,11,11.95,500,1539950473537
0,0,0,0,11,11.95,500,1539950473538
0,0,0,0,11,11.9,300,1539950478790
14,41,0,0,11,12,500,1539950479712
14,37,41,0,11,12,50,1539950479712
14,41,0,0,11,12,1000,1539950479712
14,41,0,0,11,12,100,1539950479712
14,41,0,0,11,12,400,1539950479712
14,41,0,0,12,11.98,100,1539950479713
14,41,0,0,12,11.98,400,1539950479713
14,41,0,0,8,12,161,1539950479713
0,0,0,0,12,12.03,1000,1539950481921
0,0,0,0,11,12.05,100,1539950483274
0,0,0,0,4,12.0499,1000,1539950485919
14,37,41,0,11,11.98,1,1539950487188
14,41,0,0,11,12,100,1539950491006
14,41,0,0,11,11.98,875,1539950491006
14,37,41,0,8,11.98,25,1539950491006
0,0,0,0,11,12.05,100,1539950497021
0,0,0,0,11,12.05,500,1539950497021
0,0,0,0,11,12.05,100,1539950497021
0,0,0,0,11,12.05,225,1539950497021
14,37,41,0,11,12.05,75,1539950505495
14,41,0,0,11,12.05,125,1539950505495
14,37,41,0,12,12.06,50,1539950505684
14,41,0,0,11,12.05,100,1539950505960
0,0,0,0,11,12.05,775,1539950505960
14,37,41,0,12,12.06,50,1539950508015
14,37,41,0,12,12.06,50,1539950508015
