c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,83.52,2,1539648242775
0,0,0,0,11,86.45,100,1539696575182
14,41,0,0,11,86.45,200,1539696575182
14,41,0,0,11,86.45,200,1539696575183
51,0,0,0,0,84,,1539696600323
0,0,0,0,11,84.01,400,1539696600323
25,16,0,0,11,84.01,400,1539696600323
37,0,0,0,11,84,10,1539696600323
0,0,0,0,11,84,100,1539696600323
51,0,0,0,0,83.59,,1539696600400
51,0,0,0,0,83.58,,1539696600400
0,0,0,0,11,83.59,400,1539696600400
0,0,0,0,11,83.59,100,1539696600400
37,0,0,0,11,83.58,1,1539696600400
0,0,0,0,11,83.58,100,1539696600400
14,41,0,0,19,83.67,100,1539696600421
0,0,0,0,11,83.67,100,1539696600423
0,0,0,0,19,83.67,100,1539696600423
0,0,0,0,19,83.67,100,1539696600423
14,41,0,0,19,83.67,100,1539696600423
14,41,0,0,19,83.67,100,1539696600424
14,41,0,0,19,83.67,100,1539696600424
14,41,0,0,19,83.67,100,1539696600425
14,41,0,0,19,83.67,100,1539696600425
14,41,0,0,19,83.67,100,1539696600425
14,41,0,0,19,83.67,100,1539696600426
14,41,0,0,19,83.67,100,1539696600426
14,41,0,0,19,83.67,100,1539696600430
14,37,41,0,19,83.67,84,1539696600430
14,41,0,0,19,83.67,100,1539696600432
14,41,0,0,19,83.67,100,1539696600432
14,41,0,0,19,83.67,100,1539696600432
14,41,0,0,19,83.67,100,1539696600438
14,41,0,0,19,83.67,200,1539696600438
14,41,0,0,19,83.67,100,1539696600483
14,41,0,0,19,83.67,100,1539696600483
0,0,0,0,19,83.67,100,1539696600485
0,0,0,0,19,83.67,100,1539696600491
0,0,0,0,19,83.67,500,1539696600491
37,0,0,0,19,83.67,25,1539696602027
51,0,0,0,0,85,,1539696608966
25,0,0,0,10,85,23957,1539696608966
14,37,41,0,10,85.55,1,1539696608995
10,37,41,0,4,85,1,1539696613203
37,0,0,0,4,84.01,1,1539696614452
37,0,0,0,4,84.9081,20,1539696614962
0,0,0,0,4,84.9081,120,1539696614991
37,0,0,0,4,84.9081,40,1539696615022
51,0,0,0,0,85.125,,1539696624121
0,0,0,0,4,85.125,100,1539696624121
37,0,0,0,4,85.125,10,1539696624135
37,0,0,0,4,85.125,5,1539696624136
0,0,0,0,4,85,100,1539696626030
0,0,0,0,4,85,100,1539696627783
0,0,0,0,12,85,100,1539696627786
25,16,0,0,12,85,100,1539696627786
0,0,0,0,4,85,100,1539696628957
37,0,0,0,10,84.75,21,1539696634198
37,0,0,0,10,84.75,43,1539696634199
37,0,0,0,10,84.75,59,1539696634199
37,0,0,0,10,84.75,59,1539696634200
37,0,0,0,12,84.75,64,1539696634201
37,0,0,0,12,84.75,36,1539696634201
37,0,0,0,12,84.75,2,1539696634202
37,0,0,0,12,85,61,1539696634401
37,0,0,0,12,85,17,1539696634467
0,0,0,0,10,85,100,1539696634535
37,0,0,0,10,85.19,65,1539696634535
37,0,0,0,12,84.75,61,1539696636688
37,0,0,0,19,84.8,20,1539696638468
37,0,0,0,19,84.8,1,1539696638470
37,0,0,0,19,84.8,39,1539696638470
37,0,0,0,19,84.8,60,1539696638513
0,0,0,0,19,84.8,100,1539696638514
37,0,0,0,19,84.8,63,1539696638514
37,0,0,0,19,84.8,37,1539696638514
37,0,0,0,19,84.8,59,1539696638514
37,0,0,0,19,84.8,50,1539696638515
0,0,0,0,4,85.005,300,1539696639042
51,0,0,0,0,85.25,,1539696640051
0,0,0,0,4,85.25,100,1539696640051
37,0,0,0,12,84.82,22,1539696645159
37,0,0,0,12,84.83,44,1539696645845
37,0,0,0,12,84.8,59,1539696645846
37,0,0,0,12,84.8,16,1539696645847
0,0,0,0,11,84.85,200,1539696651061
0,0,0,0,11,84.81,100,1539696651061
0,0,0,0,11,84.81,100,1539696651062
0,0,0,0,19,84.85,200,1539696651062
0,0,0,0,19,84.81,100,1539696651062
0,0,0,0,10,84.85,300,1539696651062
0,0,0,0,19,84.81,100,1539696651062
0,0,0,0,10,84.81,1999,1539696651062
0,0,0,0,18,84.85,100,1539696651062
0,0,0,0,12,84.85,200,1539696651062
0,0,0,0,7,84.85,100,1539696651062
0,0,0,0,19,84.81,100,1539696651062
0,0,0,0,12,84.81,100,1539696651062
0,0,0,0,2,84.85,100,1539696651062
0,0,0,0,8,84.85,100,1539696651062
0,0,0,0,12,84.81,100,1539696651062
37,0,0,0,12,84.81,17,1539696651062
0,0,0,0,12,84.81,200,1539696651062
14,41,0,0,12,84.81,100,1539696651062
14,41,0,0,11,84.81,177,1539696651062
14,41,0,0,11,84.81,100,1539696651062
37,0,0,0,11,84.81,23,1539696651062
37,0,0,0,19,84.8,71,1539696651062
14,41,0,0,2,84.8,100,1539696651063
14,41,0,0,2,84.8,100,1539696651063
14,41,0,0,2,84.8,100,1539696651063
0,0,0,0,4,84.81,100,1539696651064
37,0,0,0,10,84.77,14,1539696651064
14,37,41,0,10,84.82,5,1539696651065
14,37,41,0,10,84.76,29,1539696651066
0,0,0,0,4,85.15,100,1539696651073
0,0,0,0,4,84.95,100,1539696651081
0,0,0,0,4,84.955,100,1539696651100
0,0,0,0,4,84.955,100,1539696651155
0,0,0,0,4,84.835,100,1539696651173
14,37,41,0,12,85.03,59,1539696651297
14,41,0,0,12,85.03,100,1539696651297
14,37,41,0,19,85.04,41,1539696651298
14,41,0,0,19,85.15,100,1539696651300
14,41,0,0,10,85.14,100,1539696651300
14,41,0,0,10,85.15,100,1539696651300
0,0,0,0,10,85.15,100,1539696651300
37,0,0,0,19,85.15,34,1539696651300
37,0,0,0,19,85.15,66,1539696651300
14,41,0,0,12,85.25,116,1539696651300
14,37,41,0,12,85.25,21,1539696651300
14,37,41,0,12,85.25,13,1539696651300
14,41,0,0,10,85.25,100,1539696651300
14,37,41,0,12,85.25,9,1539696651300
14,37,41,0,2,85.25,9,1539696651300
14,41,0,0,12,85.25,100,1539696651300
14,41,0,0,19,85.06,100,1539696651301
14,41,0,0,11,85.25,100,1539696651301
37,0,0,0,11,85.25,91,1539696651301
14,37,41,0,11,85.25,91,1539696651301
14,37,41,0,12,85.25,41,1539696651301
14,37,41,0,11,85.25,9,1539696651301
37,0,0,0,11,85.25,9,1539696651301
14,37,41,0,12,85.28,10,1539696651302
