c1,c2,c3,c4,e,p,s,t
37,0,0,0,10,38,80,1539869461020
51,0,0,0,0,37.995,,1539869471342
0,0,0,0,12,37.995,100,1539869471342
25,16,0,0,12,37.995,100,1539869471342
51,0,0,0,0,37.8,,1539869503681
37,0,0,0,15,37.8,30,1539869503681
0,0,0,0,15,37.8,170,1539869503681
0,0,0,0,4,38.14,100,1539869520023
0,0,0,0,2,37.86,100,1539869526076
14,41,0,0,11,37.8,100,1539869552678
25,16,0,0,11,37.8,100,1539869552678
14,37,41,0,10,37.81,2,1539869552678
14,37,41,0,10,37.8,98,1539869552678
14,41,0,0,11,37.8,100,1539869552678
14,41,0,0,10,37.8,100,1539869552678
14,41,0,0,19,37.8,100,1539869552678
0,0,0,0,4,37.8,100,1539869552773
51,0,0,0,0,37.75,,1539869552774
0,0,0,0,11,37.75,100,1539869552774
0,0,0,0,11,37.75,100,1539869552774
51,0,0,0,0,37.625,,1539869554785
0,0,0,0,4,37.625,100,1539869554785
37,0,0,0,10,38.03,82,1539869555634
0,0,0,0,15,38.12,100,1539869555634
0,0,0,0,10,37.9,100,1539869569857
0,0,0,0,10,37.85,100,1539869569858
0,0,0,0,4,37.895,100,1539869569869
0,0,0,0,4,37.85,100,1539869569968
37,0,0,0,15,38.12,30,1539869594853
37,0,0,0,4,37.6,65,1539869597114
14,41,0,0,10,37.9,100,1539869636828
14,41,0,0,10,37.89,100,1539869636829
0,0,0,0,10,37.89,100,1539869636829
14,37,41,0,10,37.89,10,1539869636829
14,37,41,0,10,37.89,55,1539869636829
14,37,41,0,10,37.89,35,1539869636829
0,0,0,0,10,37.89,100,1539869636829
37,0,0,0,10,37.89,70,1539869636829
37,0,0,0,10,37.89,30,1539869636829
14,41,0,0,10,37.9,100,1539869636830
14,37,41,0,10,37.91,65,1539869636830
37,0,0,0,10,37.91,35,1539869636830
0,0,0,0,4,37.89,100,1539869636839
0,0,0,0,4,37.89,100,1539869636938
0,0,0,0,15,37.905,100,1539869662017
37,0,0,0,4,37.64,10,1539869765617
0,0,0,0,10,37.765,100,1539869778441
14,41,0,0,18,37.64,100,1539869778442
0,0,0,0,11,37.63,100,1539869778444
0,0,0,0,12,37.63,100,1539869778444
14,41,0,0,18,37.63,100,1539869778943
51,0,0,0,0,37.6,,1539869792081
14,41,0,0,11,37.6,100,1539869792081
14,41,0,0,10,37.6,100,1539869792081
51,0,0,0,0,37.58,,1539869792085
0,0,0,0,4,37.58,100,1539869792085
0,0,0,0,10,37.58,100,1539869792086
51,0,0,0,0,37.43,,1539869792091
14,41,0,0,11,37.43,250,1539869792091
14,41,0,0,11,37.43,295,1539869792093
14,41,0,0,11,37.43,366,1539869792093
14,41,0,0,18,37.43,100,1539869792094
14,41,0,0,12,37.43,100,1539869792094
37,0,0,0,10,37.4,1,1539869801292
51,0,0,0,0,37.4,,1539869879140
14,41,0,0,10,37.4,100,1539869879140
37,0,0,0,4,37.3627,5,1539869988437
51,0,0,0,0,37.25,,1539869995551
0,0,0,0,4,37.25,100,1539869995551
0,0,0,0,4,37.27,100,1539870197837
14,37,41,0,3,37.25,2,1539870197906
0,0,0,0,11,37.25,100,1539870197908
0,0,0,0,10,37.25,100,1539870197908
14,41,0,0,10,37.25,100,1539870197909
14,37,41,0,3,37.25,65,1539870197912
0,0,0,0,4,37.29,100,1539870197912
51,0,0,0,0,37.23,,1539870210457
0,0,0,0,15,37.23,100,1539870210457
51,0,0,0,0,37.2,,1539870245802
14,41,0,0,10,37.2,100,1539870245802
0,0,0,0,4,37.235,100,1539870300045
0,0,0,0,4,37.235,100,1539870300388
0,0,0,0,10,37.225,100,1539870325800
37,0,0,0,10,37.31,10,1539870328007
0,0,0,0,10,37.225,100,1539870350783
37,0,0,0,12,37.17,62,1539870350801
37,0,0,0,12,37.17,38,1539870367872
37,0,0,0,12,37.17,37,1539870367872
14,41,0,0,10,37.32,200,1539870421688
14,41,0,0,11,37.32,100,1539870421688
14,41,0,0,11,37.32,100,1539870421688
14,41,0,0,8,37.32,100,1539870421689
14,41,0,0,11,37.32,100,1539870421689
37,0,0,0,2,37.53,10,1539870502403
14,37,41,0,12,37.53,97,1539870502680
14,37,41,0,12,37.58,1,1539870503737
14,37,41,0,10,37.32,13,1539870542026
0,0,0,0,4,37.58,100,1539870627963
37,0,0,0,12,37.58,10,1539870676889
0,0,0,0,4,37.365,100,1539870726500
0,0,0,0,4,37.445,100,1539870728844
37,0,0,0,4,37.365,20,1539870764317
37,0,0,0,4,37.27,24,1539870770942
37,0,0,0,4,37.365,10,1539870941280
0,0,0,0,4,37.365,100,1539870953465
37,0,0,0,4,37.365,60,1539870998283
37,0,0,0,4,37.3698,60,1539870998284
0,0,0,0,4,37.3698,200,1539870998293
0,0,0,0,4,37.365,200,1539870998297
0,0,0,0,4,37.58,100,1539871005419
37,0,0,0,4,37.2797,12,1539871122080
0,0,0,0,4,37.56,100,1539871130038
37,0,0,0,4,37.4436,4,1539871142513
37,0,0,0,10,37.56,10,1539871181035
14,37,41,0,10,37.29,19,1539871193043
14,37,41,0,10,37.55,82,1539871195916
37,0,0,0,4,37.363,30,1539871387279
0,0,0,0,4,37.54,100,1539871414023
37,0,0,0,4,37.1601,9,1539871585810
0,0,0,0,4,37.52,100,1539871603089
0,0,0,0,4,37.52,100,1539871603090
0,0,0,0,4,37.35,200,1539871603202
37,0,0,0,4,37.19,43,1539871603524
0,0,0,0,4,37.5,100,1539871604041
0,0,0,0,4,37.48,100,1539871763356
14,37,41,0,3,37.16,13,1539871787486
0,0,0,0,10,37.35,200,1539871814571
37,0,0,0,12,37.32,40,1539871814572
14,41,0,0,10,37.41,287,1539871832868
37,0,0,0,10,37.41,2,1539871860009
37,0,0,0,10,37.42,12,1539871860009
14,41,0,0,8,37.42,100,1539871864177
14,41,0,0,11,37.42,100,1539871864177
14,41,0,0,11,37.42,100,1539871864177
37,0,0,0,10,37.48,14,1539871864178
37,0,0,0,10,37.48,86,1539871864178
0,0,0,0,4,37.42,100,1539871864185
0,0,0,0,4,37.665,100,1539871865036
0,0,0,0,4,37.675,100,1539871865036
0,0,0,0,4,37.68,100,1539871865038
0,0,0,0,4,37.68,100,1539871865039
0,0,0,0,15,37.44,100,1539871866038
37,0,0,0,12,37.48,52,1539871870436
0,0,0,0,4,37.62,100,1539871930434
0,0,0,0,4,37.62,100,1539871930434
0,0,0,0,12,37.63,100,1539871989399
14,37,41,0,11,37.62,52,1539871989399
14,37,41,0,11,37.62,48,1539871989399
14,37,41,0,12,37.64,97,1539871989417
0,0,0,0,4,37.53,100,1539872093766
14,37,41,0,10,37.64,12,1539872157641
0,0,0,0,4,37.5671,121,1539872459317
0,0,0,0,4,37.64,100,1539872517787
0,0,0,0,4,37.53,100,1539872589403
14,41,0,0,11,37.64,100,1539872713117
