c1,c2,c3,c4,e,p,s,t
14,41,0,0,12,204.48,100,1539955775079
37,0,0,0,11,204,30,1539955790858
0,0,0,0,12,203.8,100,1539955795618
51,0,0,0,0,203,,1539955800683
25,41,0,0,12,203,100,1539955800683
25,16,0,0,12,203,100,1539955800683
51,0,0,0,0,204.44,,1539955803672
0,0,0,0,19,204.44,100,1539955803672
14,37,41,0,12,204.16,20,1539955809376
14,37,41,0,19,204.59,50,1539955814702
14,37,41,0,19,204.22,50,1539955815002
37,0,0,0,11,203.5,50,1539955815029
25,16,0,0,11,203.5,50,1539955815029
37,0,0,0,12,203.66,20,1539955815029
37,0,0,0,2,203.5,50,1539955815029
37,0,0,0,12,203.5,50,1539955815029
37,0,0,0,19,203.5,50,1539955815029
37,0,0,0,12,203.5,50,1539955815029
0,0,0,0,11,203.4,100,1539955815029
0,0,0,0,12,203.31,100,1539955815029
0,0,0,0,19,204.01,100,1539955819897
37,0,0,0,11,203.71,50,1539955820753
0,0,0,0,11,203.41,100,1539955820753
37,0,0,0,8,203.78,50,1539955820753
0,0,0,0,19,203.41,100,1539955820753
37,0,0,0,8,203.41,50,1539955820753
37,0,0,0,18,203.83,50,1539955820753
37,0,0,0,18,203.41,50,1539955820754
0,0,0,0,7,203.41,100,1539955820754
37,0,0,0,12,203.83,88,1539955830001
37,0,0,0,12,203.82,88,1539955835001
0,0,0,0,19,203.23,100,1539955835082
0,0,0,0,19,203.22,100,1539955835082
37,0,0,0,11,203.78,88,1539955835700
37,0,0,0,12,203.75,88,1539955835700
0,0,0,0,19,203.21,100,1539955835962
0,0,0,0,4,203.48,100,1539955839189
37,0,0,0,11,203.13,50,1539955843055
37,0,0,0,8,203.12,50,1539955843056
37,0,0,0,19,203.12,50,1539955843056
37,0,0,0,7,203.12,50,1539955843056
37,0,0,0,18,203.12,50,1539955843056
37,0,0,0,12,203.07,50,1539955843056
37,0,0,0,2,203.17,50,1539955843056
37,0,0,0,11,203.44,88,1539955845001
37,0,0,0,12,203.38,88,1539955845001
37,0,0,0,19,203.45,88,1539955845001
37,0,0,0,11,203.4,88,1539955850001
37,0,0,0,12,203.33,88,1539955850001
37,0,0,0,19,203.4,88,1539955850001
37,0,0,0,11,203.42,88,1539955850700
37,0,0,0,12,203.38,88,1539955850700
37,0,0,0,19,203.42,88,1539955850700
0,0,0,0,19,203.54,100,1539955854067
37,0,0,0,11,203.47,50,1539955854094
37,0,0,0,7,203.41,50,1539955854591
37,0,0,0,11,203.44,88,1539955855001
37,0,0,0,12,203.45,88,1539955855001
37,0,0,0,19,203.44,88,1539955855001
37,0,0,0,11,203.44,12,1539955860001
37,0,0,0,12,203.44,88,1539955860001
14,37,41,0,3,203.36,50,1539955860001
14,37,41,0,3,203.39,50,1539955860001
14,41,0,0,18,203.44,100,1539955860002
14,37,41,0,12,203.44,12,1539955860002
0,0,0,0,4,203.375,100,1539955860003
0,0,0,0,19,203.45,100,1539955860003
37,0,0,0,11,203.47,50,1539955860009
37,0,0,0,19,203.47,50,1539955860010
14,41,0,0,11,203.5,100,1539955860010
14,41,0,0,11,203.53,100,1539955860010
0,0,0,0,18,203.83,100,1539955868816
0,0,0,0,19,204.07,100,1539955868816
25,0,0,0,10,203.57,8590,1539955895983
0,0,0,0,11,203.57,100,1539955895984
14,41,0,0,11,203.56,100,1539955895998
14,41,0,0,11,203.55,100,1539955896080
37,0,0,0,4,202.99,50,1539955896102
14,41,0,0,11,203.55,100,1539955896195
14,41,0,0,18,203.55,100,1539955896195
0,0,0,0,4,203.53,100,1539955896195
14,41,0,0,12,203.57,100,1539955896196
37,0,0,0,15,203.015,50,1539955896196
37,0,0,0,11,203.55,50,1539955897783
0,0,0,0,4,203.61,100,1539955897788
0,0,0,0,4,203.61,100,1539955897791
14,41,0,0,11,203.61,100,1539955898244
14,41,0,0,10,203.61,100,1539955898244
14,37,41,0,19,203.61,87,1539955898245
14,41,0,0,18,203.65,100,1539955898279
0,0,0,0,19,203.82,100,1539955911864
14,41,0,0,10,203.82,100,1539955911864
0,0,0,0,11,203.9,100,1539955911864
0,0,0,0,19,203.9,100,1539955911865
14,37,41,0,19,203.9,50,1539955911865
14,37,41,0,19,203.9,50,1539955911865
14,41,0,0,7,203.9,100,1539955911865
14,41,0,0,8,203.9,100,1539955911865
0,0,0,0,19,203.9,100,1539955911865
37,0,0,0,7,203.9,50,1539955911865
37,0,0,0,19,203.9,50,1539955911865
37,0,0,0,7,203.9,50,1539955911865
37,0,0,0,8,203.9,50,1539955911865
0,0,0,0,12,203.9,100,1539955911865
0,0,0,0,4,203.8,100,1539955920013
37,0,0,0,12,203.59,30,1539955920014
37,0,0,0,12,203.6,50,1539955920014
37,0,0,0,12,203.8,20,1539955920014
14,37,41,0,10,203.44,6,1539955925079
37,0,0,0,18,203.67,50,1539955925823
0,0,0,0,12,203.485,100,1539955925968
14,37,41,0,19,203.18,12,1539955929917
14,41,0,0,12,203.26,100,1539955929917
14,37,41,0,12,203.22,80,1539955929917
14,41,0,0,12,203.19,100,1539955929917
14,37,41,0,12,203.18,8,1539955929917
0,0,0,0,4,203.18,100,1539955929920
0,0,0,0,4,203.555,100,1539955930083
0,0,0,0,19,203.9,100,1539955939032
0,0,0,0,11,203.9,100,1539955939032
37,0,0,0,4,203.9,10,1539955939037
0,0,0,0,4,203.9,100,1539955939141
0,0,0,0,11,203.9,100,1539955939142
0,0,0,0,19,203.9,100,1539955939142
14,41,0,0,19,203.9,100,1539955939146
0,0,0,0,11,203.9,100,1539955939146
14,41,0,0,19,203.9,100,1539955939457
14,37,41,0,11,203.9,50,1539955939457
14,37,41,0,11,203.9,37,1539955939457
14,37,41,0,11,203.9,13,1539955939457
14,41,0,0,19,203.9,100,1539955939768
14,37,41,0,11,203.9,37,1539955939769
14,37,41,0,11,203.9,13,1539955939769
14,37,41,0,11,203.9,7,1539955939769
0,0,0,0,11,203.88,100,1539955941189
0,0,0,0,17,203.89,100,1539955941190
14,41,0,0,19,203.89,100,1539955941676
14,37,41,0,11,203.9,28,1539955942260
37,0,0,0,11,203.9,15,1539955942260
14,37,41,0,19,203.9,43,1539955942260
37,0,0,0,19,203.9,57,1539955942260
0,0,0,0,4,204.07,100,1539955942261
0,0,0,0,4,203.9,100,1539955942261
0,0,0,0,4,203.9,100,1539955942262
0,0,0,0,4,203.9,300,1539955942263
0,0,0,0,4,204.07,100,1539955942264
0,0,0,0,4,203.9,100,1539955942271
14,41,0,0,12,204.105,200,1539955942275
14,41,0,0,12,204.105,100,1539955942275
0,0,0,0,4,203.985,100,1539955942374
0,0,0,0,4,203.985,100,1539955942506
14,37,41,0,10,203.78,26,1539955942898
14,37,41,0,10,203.73,74,1539955942898
14,37,41,0,12,203.78,80,1539955942899
14,37,41,0,19,203.78,1,1539955942899
14,37,41,0,12,203.73,20,1539955942899
0,0,0,0,12,203.78,100,1539955942899
37,0,0,0,8,203.78,88,1539955942899
37,0,0,0,19,203.73,47,1539955942899
0,0,0,0,8,203.78,100,1539955942899
37,0,0,0,12,203.75,10,1539955942899
37,0,0,0,19,203.73,53,1539955942899
14,37,41,0,10,203.73,26,1539955942899
37,0,0,0,12,203.78,10,1539955942899
37,0,0,0,12,203.73,80,1539955942899
0,0,0,0,12,203.73,100,1539955942899
0,0,0,0,12,203.73,100,1539955942899
14,41,0,0,19,203.4,100,1539955945511
0,0,0,0,15,203.4,100,1539955945511
14,41,0,0,12,203.4,100,1539955945511
14,41,0,0,12,203.4,100,1539955945511
0,0,0,0,4,203.4,100,1539955945564
10,37,41,0,4,203.7711,52,1539955948797
14,41,0,0,18,203.14,100,1539955957862
0,0,0,0,12,203.14,100,1539955957862
0,0,0,0,12,203.14,100,1539955957862
0,0,0,0,4,203.14,100,1539955957975
0,0,0,0,4,203.14,100,1539955957979
14,37,41,0,10,203,2,1539955964775
51,0,0,0,0,202.95,,1539955964777
14,37,41,0,11,202.95,50,1539955964777
14,41,0,0,12,202.95,100,1539955964777
14,37,41,0,10,202.9,6,1539955964777
51,0,0,0,0,202.53,,1539955964780
51,0,0,0,0,202.49,,1539955964780
14,41,0,0,10,202.53,100,1539955964780
14,41,0,0,19,202.49,100,1539955964780
51,0,0,0,0,201.9,,1539955964781
51,0,0,0,0,201.88,,1539955964781
51,0,0,0,0,201.83,,1539955964781
37,0,0,0,11,201.93,20,1539955964781
37,0,0,0,11,201.93,80,1539955964781
14,41,0,0,18,202.49,100,1539955964781
0,0,0,0,11,201.9,100,1539955964781
0,0,0,0,11,201.88,100,1539955964781
14,41,0,0,12,201.97,100,1539955964781
14,41,0,0,12,201.95,100,1539955964781
14,41,0,0,12,201.83,100,1539955964781
14,41,0,0,11,202.28,100,1539955964782
14,41,0,0,11,202.29,107,1539955964782
14,37,41,0,11,202.29,93,1539955964782
14,37,41,0,10,201.67,40,1539955964782
37,0,0,0,12,201.87,6,1539955964783
37,0,0,0,12,201.73,6,1539955964783
37,0,0,0,10,201.69,12,1539955964783
37,0,0,0,10,201.69,12,1539955964783
37,0,0,0,12,201.67,2,1539955964783
51,0,0,0,0,201.7,,1539955964789
14,41,0,0,10,201.7,100,1539955964789
14,41,0,0,12,201.81,100,1539955964790
51,0,0,0,0,201.68,,1539955964816
14,41,0,0,10,201.68,100,1539955964816
10,37,41,0,4,202.9579,11,1539955965040
0,0,0,0,4,202.41,100,1539955965543
0,0,0,0,4,202.4525,100,1539955965544
37,0,0,0,4,201.8,24,1539955975038
37,0,0,0,4,202.4,8,1539956005270
37,0,0,0,4,202.7799,17,1539956005273
37,0,0,0,12,202.19,1,1539956005292
0,0,0,0,4,202.27,100,1539956007634
0,0,0,0,4,201.76,100,1539956013988
14,41,0,0,3,201.86,100,1539956068717
14,41,0,0,3,201.85,145,1539956068717
0,0,0,0,11,201.85,100,1539956068717
0,0,0,0,11,201.85,100,1539956068717
14,41,0,0,18,201.85,100,1539956068717
37,0,0,0,10,201.85,13,1539956068717
14,41,0,0,12,201.85,100,1539956068717
14,37,41,0,19,201.85,4,1539956068717
14,37,41,0,19,201.85,11,1539956068717
0,0,0,0,12,201.85,100,1539956068717
51,0,0,0,0,201.66,,1539956068719
14,41,0,0,19,201.8,100,1539956068719
14,41,0,0,19,201.8,100,1539956068719
0,0,0,0,10,201.66,100,1539956068719
14,41,0,0,3,201.85,138,1539956068720
0,0,0,0,12,201.85,109,1539956068722
51,0,0,0,0,201.65,,1539956068724
14,41,0,0,10,201.65,100,1539956068724
37,0,0,0,4,201.65,4,1539956068726
10,37,41,0,4,201.8665,82,1539956068822
0,0,0,0,15,202.05,100,1539956068841
0,0,0,0,15,202.07,100,1539956069875
51,0,0,0,0,201.51,,1539956078359
0,0,0,0,4,201.51,200,1539956078359
0,0,0,0,4,202.37,400,1539956082139
0,0,0,0,4,202.37,400,1539956082144
0,0,0,0,4,202.37,400,1539956082149
0,0,0,0,4,201.95,400,1539956082154
0,0,0,0,4,202.37,400,1539956082158
0,0,0,0,4,201.95,400,1539956082160
0,0,0,0,10,202.3,100,1539956082161
0,0,0,0,18,202.37,100,1539956082161
0,0,0,0,19,201.97,100,1539956082174
0,0,0,0,10,202.4,100,1539956082174
0,0,0,0,19,202.41,100,1539956082174
0,0,0,0,12,201.97,100,1539956082174
0,0,0,0,4,202.41,200,1539956082175
0,0,0,0,15,201.965,100,1539956082175
0,0,0,0,12,202.39,100,1539956082176
37,0,0,0,12,201.96,10,1539956082176
37,0,0,0,12,202.39,10,1539956082178
0,0,0,0,15,201.975,100,1539956082178
37,0,0,0,4,202.38,90,1539956082181
0,0,0,0,10,202.38,100,1539956082183
0,0,0,0,15,202.38,100,1539956082184
0,0,0,0,15,201.96,100,1539956082185
0,0,0,0,15,202.38,200,1539956082185
0,0,0,0,10,202.38,100,1539956082187
0,0,0,0,4,202.38,200,1539956082189
0,0,0,0,15,201.965,100,1539956082189
0,0,0,0,10,202.38,100,1539956082190
0,0,0,0,15,201.965,100,1539956082191
0,0,0,0,12,201.965,100,1539956082192
0,0,0,0,15,201.96,100,1539956082193
0,0,0,0,4,202.38,100,1539956082196
0,0,0,0,10,202.38,200,1539956082198
37,0,0,0,12,202.38,1,1539956082200
37,0,0,0,12,202.39,99,1539956082200
37,0,0,0,12,202.39,1,1539956082201
0,0,0,0,19,202.41,100,1539956082206
0,0,0,0,4,202.42,299,1539956082216
14,37,41,0,18,201.91,16,1539956082280
0,0,0,0,4,201.905,100,1539956082389
0,0,0,0,19,202.41,100,1539956083509
