c1,c2,c3,c4,e,p,s,t
37,0,0,0,8,65.5,80,1537355292743
0,0,0,0,8,65.3,100,1537355292743
37,0,0,0,8,63.75,35,1537357090371
14,37,41,0,11,63.55,65,1537357090372
14,37,41,0,11,63.55,25,1537357762032
0,0,0,0,4,64.5,430,1537358401215
0,0,0,0,4,64.9999,3600,1537358401638
0,0,0,0,4,65,180,1537358403746
37,0,0,0,4,65,80,1537358404173
0,0,0,0,4,65.5,100,1537358404174
37,0,0,0,4,65,18,1537358404222
0,0,0,0,4,65,200,1537358404300
0,0,0,0,4,65.15,100,1537358520544
0,0,0,0,4,65.1499,335,1537358571009
37,0,0,0,4,65,50,1537358772665
0,0,0,0,4,65,200,1537358968942
37,0,0,0,4,65.1,13,1537358999150
37,0,0,0,4,65,10,1537358999150
37,0,0,0,4,65,77,1537359003821
37,0,0,0,11,64.98,50,1537360229376
37,0,0,0,4,64.9,2,1537361000981
0,0,0,0,4,64.89,100,1537361141451
37,0,0,0,4,63.8,1,1537361940329
37,0,0,0,4,64.2,3,1537362071446
14,37,41,0,12,64.3,47,1537362360198
14,37,41,0,12,64.14,2,1537362360198
14,37,41,0,12,63.6,25,1537362360198
14,37,41,0,12,63.06,50,1537362360198
14,37,41,0,12,62.31,60,1537362360198
14,41,0,0,8,62.05,1000,1537362360198
14,41,0,0,8,62,200,1537362360198
14,37,41,0,19,63.86,2,1537362360198
14,37,41,0,11,63.55,50,1537362360198
14,37,41,0,11,63.05,50,1537362360198
14,41,0,0,11,62.4,200,1537362360198
14,37,41,0,11,62,16,1537362360198
14,37,41,0,11,61.85,5,1537362360198
14,37,41,0,8,62,2,1537362360199
14,37,41,0,12,60.98,2,1537362405882
14,37,41,0,12,60.99,98,1537362405882
14,41,0,0,8,60.5,100,1537362406276
14,41,0,0,12,60.99,100,1537362406770
14,41,0,0,8,60,200,1537362407261
14,37,41,0,12,59.99,60,1537362407265
14,37,41,0,8,60,36,1537362412253
14,37,41,0,8,59.5,10,1537362412253
14,37,41,0,11,59.51,60,1537362412254
14,37,41,0,11,59.1,94,1537362412254
37,0,0,0,4,60,12,1537362511700
14,37,41,0,12,59.85,5,1537362524270
14,37,41,0,11,60,5,1537362524270
37,0,0,0,4,60,5,1537362539197
14,41,0,0,11,60,195,1537362548361
14,41,0,0,11,60,300,1537362548361
37,0,0,0,8,60.1,10,1537362569277
37,0,0,0,4,60,10,1537362587292
37,0,0,0,4,60.0001,18,1537362607699
37,0,0,0,11,60.1,5,1537362612879
14,41,0,0,11,60.11,200,1537362621452
14,41,0,0,11,60,500,1537362621452
14,41,0,0,12,60.01,100,1537362621455
14,41,0,0,12,60.01,100,1537362621455
14,41,0,0,12,60,100,1537362626500
0,0,0,0,11,60,100,1537362648108
14,41,0,0,11,60,100,1537362656294
37,0,0,0,11,60,20,1537362657088
37,0,0,0,8,60,5,1537362658336
0,0,0,0,4,60,117,1537362663690
14,41,0,0,11,60.03,100,1537362664003
14,41,0,0,11,60,407,1537362664003
0,0,0,0,11,60,456,1537362664003
14,41,0,0,11,60,100,1537362683472
14,37,41,0,11,59.97,20,1537362732447
14,37,41,0,11,59.99,80,1537362732447
37,0,0,0,8,59.85,13,1537362745429
37,0,0,0,11,59.99,20,1537362745431
37,0,0,0,11,60,2,1537362745431
37,0,0,0,4,60,48,1537362761984
0,0,0,0,4,60,100,1537362765819
37,0,0,0,4,60,2,1537362770807
0,0,0,0,4,59,200,1537362795598
37,0,0,0,4,58.5,6,1537362825373
37,0,0,0,4,57,44,1537362825375
37,0,0,0,12,59,6,1537362843765
0,0,0,0,4,57.12,100,1537362844449
0,0,0,0,8,58,100,1537362859767
37,0,0,0,4,58.0106,94,1537362867583
37,0,0,0,4,59,9,1537362876289
37,0,0,0,4,59,69,1537362886607
37,0,0,0,4,58.1,10,1537362911298
37,0,0,0,4,58,90,1537362916254
37,0,0,0,4,59,15,1537362955978
37,0,0,0,4,58.12,75,1537362978799
14,41,0,0,12,58.21,100,1537362978802
14,41,0,0,12,58.21,100,1537362978802
14,41,0,0,8,58,338,1537362978802
37,0,0,0,4,59,1,1537362984008
14,37,41,0,12,58.15,5,1537363006781
14,37,41,0,12,58.12,35,1537363006781
14,37,41,0,12,58.12,60,1537363006781
37,0,0,0,4,58.82,20,1537363007149
14,37,41,0,12,58.12,5,1537363007716
14,41,0,0,12,58.11,100,1537363007716
0,0,0,0,8,58,200,1537363009072
14,41,0,0,8,58,500,1537363009251
37,0,0,0,8,58,62,1537363010897
37,0,0,0,4,57.83,70,1537363019658
14,41,0,0,12,57.61,100,1537363028652
14,41,0,0,12,57.61,100,1537363030006
14,41,0,0,12,57.26,100,1537363030030
37,0,0,0,4,58,30,1537363037977
14,41,0,0,12,57.3,100,1537363047830
14,37,41,0,12,57.28,62,1537363047830
14,41,0,0,12,57.27,605,1537363047830
14,41,0,0,12,57.22,100,1537363047830
14,37,41,0,8,57.25,65,1537363047830
14,37,41,0,11,57.1,10,1537363047831
14,37,41,0,11,57.1,58,1537363047831
37,0,0,0,11,57.22,15,1537363052439
14,37,41,0,12,57.22,20,1537363053729
14,37,41,0,8,57.94,85,1537363066213
14,37,41,0,12,57.22,50,1537363068006
14,41,0,0,11,57.1,142,1537363083166
14,37,41,0,11,57.02,50,1537363083166
14,37,41,0,11,57,56,1537363083166
14,41,0,0,11,57,752,1537363083166
0,0,0,0,11,57,248,1537363083166
14,37,41,0,8,57,5,1537363083168
14,41,0,0,11,57,100,1537363083169
14,37,41,0,11,56.8,31,1537363083169
14,41,0,0,11,56.57,200,1537363083201
37,0,0,0,4,56.22,99,1537363135873
14,37,41,0,11,56.22,1,1537363136673
14,37,41,0,11,56.1,10,1537363136673
14,37,41,0,11,56,24,1537363136673
0,0,0,0,11,56,176,1537363137075
0,0,0,0,11,56,324,1537363137075
0,0,0,0,8,56,100,1537363138624
37,0,0,0,11,56,76,1537363141667
14,37,41,0,8,55.1,10,1537363150074
14,37,41,0,8,55,75,1537363150074
14,37,41,0,11,55.05,15,1537363150074
0,0,0,0,4,55,1515,1537363155095
0,0,0,0,4,55.5,165,1537363158297
0,0,0,0,4,55,120,1537363158628
0,0,0,0,4,55.0001,500,1537363158727
37,0,0,0,11,55.5,25,1537363164134
14,37,41,0,11,55.5,45,1537363166963
