c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,38.39,100,1539768616918
0,0,0,0,11,38.39,200,1539774122036
37,0,0,0,11,38.39,40,1539775529401
37,0,0,0,8,38.33,9,1539776024337
37,0,0,0,11,38.01,10,1539777445977
37,0,0,0,11,38.01,25,1539777445977
0,0,0,0,11,37.11,100,1539777548651
37,0,0,0,4,38.49,40,1539777601692
0,0,0,0,4,38.49,1000,1539777601747
0,0,0,0,4,38.3,500,1539777601848
14,41,0,0,12,38,100,1539778167890
14,41,0,0,11,37.59,100,1539778948759
14,41,0,0,11,37.99,100,1539778948759
0,0,0,0,12,37.59,100,1539778948759
37,0,0,0,12,37.63,32,1539778948759
37,0,0,0,12,37.63,1,1539778948759
14,41,0,0,12,37.52,100,1539778966663
14,41,0,0,12,37.5,200,1539778966663
14,37,41,0,11,37.22,6,1539778980011
14,41,0,0,12,37.5,200,1539779300842
14,37,41,0,8,37.22,2,1539779340010
14,41,0,0,12,37.49,100,1539779637356
14,41,0,0,8,37.26,100,1539779639838
14,37,41,0,8,37.23,44,1539779639838
14,41,0,0,8,37.23,100,1539779639838
14,41,0,0,8,37.22,288,1539779639838
14,37,41,0,8,37.22,6,1539779640010
0,0,0,0,8,37.22,100,1539779640011
0,0,0,0,8,37.22,300,1539779648084
14,41,0,0,8,37.22,100,1539779650502
14,37,41,0,8,37.23,5,1539779700011
37,0,0,0,8,37.22,5,1539779707989
14,41,0,0,8,37.22,108,1539779711126
14,41,0,0,11,37.15,300,1539779713637
14,37,41,0,8,37.23,91,1539779714813
14,37,41,0,12,37.11,84,1539779714813
14,41,0,0,11,37.23,100,1539779714814
14,37,41,0,11,37.15,25,1539779714814
14,41,0,0,11,37.15,200,1539779714814
14,37,41,0,12,37.15,60,1539779731602
14,37,41,0,8,37.22,60,1539779731603
0,0,0,0,4,37.1501,2500,1539779745521
14,37,41,0,8,37.23,31,1539779760010
14,37,41,0,11,37.21,4,1539779760010
0,0,0,0,4,37.15,650,1539780196881
14,37,41,0,8,37.22,6,1539780240010
14,41,0,0,12,37.38,100,1539780832424
14,37,41,0,8,37.22,1,1539780840011
14,41,0,0,12,37.34,100,1539780861506
14,37,41,0,8,37.24,1,1539780900011
0,0,0,0,11,37.34,100,1539780900651
37,0,0,0,11,37.37,1,1539780900651
37,0,0,0,11,37.37,32,1539780900651
0,0,0,0,11,37.38,100,1539780900651
14,41,0,0,12,37.4,300,1539780900651
0,0,0,0,11,37.4,100,1539780900655
14,37,41,0,12,37.48,95,1539780902321
14,37,41,0,12,37.48,5,1539780903160
14,37,41,0,11,37.51,7,1539780960012
0,0,0,0,11,37.53,100,1539781144336
37,0,0,0,4,38,2,1539781146431
37,0,0,0,11,37.53,56,1539781149494
37,0,0,0,11,37.51,44,1539781149494
37,0,0,0,8,37.5,2,1539781157385
14,37,41,0,11,37.56,2,1539781200012
14,37,41,0,11,37.56,2,1539781201049
0,0,0,0,4,38,100,1539781274683
14,37,41,0,12,37.63,1,1539781425072
0,0,0,0,4,37.5,100,1539781518433
0,0,0,0,4,37.5,2600,1539781521857
14,37,41,0,11,37.6,27,1539781560012
14,37,41,0,11,37.6,8,1539781561092
37,0,0,0,4,37.5,3,1539781771690
37,0,0,0,11,38,10,1539781853252
14,37,41,0,11,37.62,7,1539782286585
14,37,41,0,11,37.62,26,1539782338306
14,37,41,0,11,37.62,62,1539782453635
2,0,0,0,4,37.54,1201,1539782534704
14,41,0,0,12,37.62,271,1539782880159
14,41,0,0,12,37.56,100,1539782880159
14,41,0,0,12,37.55,200,1539782880159
14,41,0,0,12,37.5,100,1539782880159
14,41,0,0,8,37.56,100,1539782880159
0,0,0,0,12,37.43,100,1539782880159
14,41,0,0,11,37.61,200,1539782880159
14,41,0,0,11,37.61,100,1539782880159
14,41,0,0,11,37.56,100,1539782880159
14,37,41,0,11,37.5,7,1539782880159
14,37,41,0,11,37.5,1,1539782880159
0,0,0,0,11,37.42,100,1539782880160
0,0,0,0,12,37.43,100,1539782880160
14,41,0,0,11,37.4,100,1539782880160
14,41,0,0,11,37.4,100,1539782880160
0,0,0,0,12,37.43,100,1539782880160
0,0,0,0,11,37.46,100,1539782880161
0,0,0,0,11,37.4,100,1539782880161
0,0,0,0,11,37.4,100,1539782880162
0,0,0,0,11,37.4,100,1539782880162
14,37,41,0,11,37.4,21,1539782940012
14,37,41,0,11,37.4,79,1539782945666
14,37,41,0,11,37.4,21,1539782945666
37,0,0,0,12,37.53,86,1539782999995
14,41,0,0,12,37.55,100,1539782999996
0,0,0,0,11,37.4,100,1539782999996
0,0,0,0,11,37.4,100,1539782999996
14,37,41,0,12,37.55,14,1539783000101
14,37,41,0,12,37.55,86,1539783000101
14,41,0,0,12,37.55,100,1539783000101
51,0,0,0,0,37.41,,1539783000102
51,0,0,0,0,37.4,,1539783000102
14,41,0,0,11,37.41,100,1539783000102
25,16,0,0,11,37.41,100,1539783000102
14,41,0,0,11,37.4,100,1539783000102
14,41,0,0,11,37.4,446,1539783000102
14,37,41,0,11,37.4,2,1539783000102
51,0,0,0,0,37.45,,1539783000397
25,41,0,0,12,37.45,32707,1539783000397
25,16,0,0,12,37.45,32707,1539783000397
37,0,0,0,4,37.5,49,1539783000592
51,0,0,0,0,37.49,,1539783000600
0,0,0,0,12,37.49,100,1539783000600
37,0,0,0,12,37.45,2,1539783000614
14,37,41,0,12,37.45,1,1539783001062
37,0,0,0,4,37.45,10,1539783001371
14,41,0,0,12,37.45,135,1539783001421
14,41,0,0,11,37.45,100,1539783001421
37,0,0,0,4,37.45,2,1539783001644
37,0,0,0,4,37.45,8,1539783001929
14,41,0,0,12,37.4,407,1539783002336
14,37,41,0,12,37.3,20,1539783002336
0,0,0,0,11,37.4,100,1539783002337
37,0,0,0,19,37.01,1,1539783002615
37,0,0,0,19,36.98,1,1539783004050
37,0,0,0,19,36.98,5,1539783004050
37,0,0,0,19,36.98,5,1539783004050
37,0,0,0,19,36.98,2,1539783004355
37,0,0,0,19,36.98,1,1539783004355
37,0,0,0,19,36.98,1,1539783005002
37,0,0,0,19,36.98,1,1539783005002
37,0,0,0,19,36.98,3,1539783005002
14,37,41,0,12,37,2,1539783005003
14,37,41,0,12,37,2,1539783005003
14,37,41,0,12,37,6,1539783005003
37,0,0,0,19,36.98,3,1539783005003
37,0,0,0,19,36.98,3,1539783005003
37,0,0,0,19,36.98,1,1539783005004
37,0,0,0,19,36.98,1,1539783005004
37,0,0,0,19,36.98,1,1539783005004
51,0,0,0,0,36.98,,1539783005332
14,41,0,0,2,36.98,100,1539783005332
14,37,41,0,12,36.98,1,1539783005332
14,41,0,0,12,36.98,1499,1539783005332
14,41,0,0,12,36.98,100,1539783005332
14,41,0,0,12,36.98,100,1539783005332
14,41,0,0,12,36.98,100,1539783005332
14,41,0,0,18,36.98,100,1539783005332
14,41,0,0,8,36.98,100,1539783005332
14,41,0,0,8,36.98,100,1539783005332
