c1,c2,c3,c4,e,p,s,t
14,41,0,0,12,66.56,100,1538037248136
14,41,0,0,12,66.65,100,1538037506084
14,41,0,0,12,66.71,100,1538037616731
14,41,0,0,12,66.66,100,1538038028433
0,0,0,0,11,66.8,200,1538038590341
0,0,0,0,11,66.8,100,1538038590525
14,41,0,0,12,66.88,100,1538041295922
37,0,0,0,12,66.87,50,1538042307955
14,37,41,0,11,66.76,28,1538042702323
14,41,0,0,12,66.71,100,1538043174125
14,41,0,0,11,66.71,100,1538043174134
14,37,41,0,11,66.72,50,1538043195856
14,37,41,0,11,66.74,75,1538043884786
14,37,41,0,12,66.89,75,1538044253548
14,41,0,0,12,66.9,100,1538046142778
14,41,0,0,12,66.9,100,1538046142825
14,37,41,0,11,66.97,50,1538046280044
14,41,0,0,11,67.06,172,1538046778569
14,41,0,0,12,66.81,100,1538050109043
14,41,0,0,11,66.76,100,1538051600090
14,41,0,0,19,66.8,100,1538052884382
14,41,0,0,11,66.8,117,1538052905380
14,41,0,0,11,66.8,100,1538052905380
14,37,41,0,11,66.8,83,1538052905527
14,41,0,0,19,66.77,100,1538052920274
14,41,0,0,12,66.7,100,1538053359267
14,41,0,0,12,66.7,100,1538053359307
14,41,0,0,19,66.7,100,1538053359314
14,41,0,0,19,66.69,100,1538053359320
14,41,0,0,12,66.69,100,1538053359344
14,41,0,0,12,66.69,100,1538053359351
14,41,0,0,12,66.7,100,1538053359392
14,41,0,0,12,66.7,100,1538053359415
14,41,0,0,12,66.7,100,1538053359503
0,0,0,0,12,66.66,100,1538054100029
37,0,0,0,12,66.65,1,1538054100029
14,41,0,0,11,66.64,100,1538054104912
14,41,0,0,11,66.64,100,1538054104912
14,41,0,0,11,66.64,100,1538054104912
14,41,0,0,19,66.64,100,1538054104912
14,41,0,0,19,66.64,100,1538054104912
14,41,0,0,11,66.62,400,1538054104912
14,41,0,0,11,66.62,239,1538054104912
14,41,0,0,19,66.62,194,1538054104912
14,41,0,0,11,66.6,345,1538054104912
14,41,0,0,11,66.59,100,1538054104912
14,41,0,0,11,66.5,100,1538054104913
14,41,0,0,11,66.42,100,1538054104913
14,37,41,0,12,66.65,99,1538054104913
14,41,0,0,11,66.41,2016,1538054104913
14,41,0,0,12,66.65,100,1538054104913
14,41,0,0,12,66.64,100,1538054104913
14,41,0,0,12,66.63,100,1538054104913
14,41,0,0,12,66.62,100,1538054104913
14,41,0,0,12,66.62,100,1538054104913
14,41,0,0,12,66.6,100,1538054104913
14,41,0,0,12,66.52,100,1538054104913
14,41,0,0,12,66.52,100,1538054104913
14,41,0,0,12,66.51,100,1538054104913
14,41,0,0,12,66.51,100,1538054104913
14,41,0,0,12,66.5,100,1538054104913
14,41,0,0,12,66.41,1477,1538054104913
14,41,0,0,12,66.41,906,1538054104913
14,41,0,0,11,66.39,100,1538054104918
14,41,0,0,11,66.38,100,1538054104918
14,41,0,0,11,66.37,100,1538054104918
14,41,0,0,11,66.36,100,1538054104918
14,41,0,0,11,66.34,100,1538054104918
14,41,0,0,18,66.6,100,1538054104919
14,41,0,0,12,66.34,100,1538054104933
14,41,0,0,12,66.34,100,1538054104933
0,0,0,0,12,66.22,100,1538054104937
14,41,0,0,11,66.49,100,1538054104959
14,41,0,0,12,66.44,100,1538054104959
14,41,0,0,12,66.5,100,1538054104960
14,41,0,0,17,66.5,100,1538054104960
14,41,0,0,12,66.32,100,1538054104980
14,41,0,0,12,66.53,100,1538054105560
14,41,0,0,12,66.6,100,1538054109600
14,41,0,0,12,66.6,100,1538054109600
14,41,0,0,12,66.6,100,1538054109600
14,41,0,0,12,66.6,100,1538054109601
14,41,0,0,12,66.6,100,1538054109601
37,0,0,0,12,66.6,21,1538054109605
14,41,0,0,12,66.61,100,1538054110904
14,41,0,0,12,66.61,100,1538054110904
14,41,0,0,12,66.62,100,1538054110904
14,41,0,0,11,66.62,100,1538054111432
14,41,0,0,17,66.61,100,1538054111433
14,41,0,0,12,66.61,100,1538054114431
14,41,0,0,12,66.61,100,1538054114472
14,41,0,0,11,66.5,100,1538054114528
14,41,0,0,11,66.49,400,1538054114528
14,41,0,0,11,66.5,100,1538054115925
14,41,0,0,19,66.5,100,1538054115925
14,41,0,0,11,66.47,424,1538054115925
14,41,0,0,19,66.47,376,1538054115925
0,0,0,0,11,66.44,100,1538054116625
37,0,0,0,12,66.44,22,1538054116625
14,41,0,0,11,66.44,100,1538054116745
14,37,41,0,19,66.41,12,1538054116746
14,37,41,0,12,66.44,88,1538054116746
14,41,0,0,19,66.41,100,1538054116747
14,41,0,0,19,66.41,100,1538054116748
14,37,41,0,19,66.41,84,1538054116748
14,37,41,0,12,66.41,16,1538054116750
14,41,0,0,12,66.41,100,1538054116750
14,41,0,0,11,66.38,100,1538054116761
14,41,0,0,11,66.38,100,1538054116761
14,41,0,0,11,66.38,100,1538054116762
14,41,0,0,11,66.39,100,1538054116790
14,41,0,0,12,66.31,100,1538054117195
14,41,0,0,12,66.31,100,1538054117198
0,0,0,0,19,66.32,100,1538054117368
37,0,0,0,12,66.32,23,1538054117369
14,37,41,0,19,66.31,23,1538054117373
14,41,0,0,12,66.34,100,1538054117374
14,37,41,0,12,66.32,77,1538054117374
14,41,0,0,11,66.3,100,1538054117392
14,37,41,0,11,66.29,78,1538054117394
14,41,0,0,12,66.29,100,1538054117440
14,41,0,0,12,66.29,100,1538054117440
14,41,0,0,12,66.29,100,1538054117448
14,41,0,0,11,66.34,100,1538054117485
0,0,0,0,11,66.33,100,1538054117490
0,0,0,0,11,66.33,100,1538054117492
14,41,0,0,12,66.12,100,1538054118027
14,41,0,0,12,66.12,100,1538054118029
14,41,0,0,12,66.1,100,1538054118032
14,41,0,0,12,66.08,100,1538054118072
14,41,0,0,12,66.08,100,1538054118072
14,41,0,0,17,65.9,100,1538054118077
14,37,41,0,12,65.96,30,1538054118077
14,37,41,0,12,65.76,70,1538054118077
0,0,0,0,11,65.52,100,1538054118089
14,41,0,0,11,65.53,100,1538054118089
14,41,0,0,11,65.54,100,1538054118089
14,41,0,0,11,65.55,100,1538054118089
14,41,0,0,12,65.52,100,1538054118089
14,37,41,0,12,65.52,30,1538054118090
14,37,41,0,12,65.52,70,1538054118090
37,0,0,0,12,65.52,30,1538054118090
0,0,0,0,12,65.55,100,1538054118090
0,0,0,0,12,65.55,100,1538054118090
14,41,0,0,12,65.89,400,1538054118090
0,0,0,0,12,65.89,100,1538054118090
14,41,0,0,17,66.02,100,1538054118090
0,0,0,0,12,65.89,100,1538054118091
37,0,0,0,12,65.9,10,1538054118091
0,0,0,0,11,66.06,100,1538054118092
37,0,0,0,12,65.9,70,1538054118092
0,0,0,0,12,66.03,100,1538054118092
0,0,0,0,11,66.06,100,1538054118093
0,0,0,0,12,66.06,100,1538054118095
37,0,0,0,12,65.96,10,1538054118095
37,0,0,0,12,65.9,20,1538054118095
37,0,0,0,12,65.89,50,1538054118095
37,0,0,0,12,65.89,10,1538054118095
14,41,0,0,12,65.89,100,1538054118100
14,41,0,0,12,65.89,100,1538054118105
14,41,0,0,11,65.53,100,1538054118113
14,41,0,0,11,65.53,121,1538054118113
14,41,0,0,12,65.55,100,1538054118113
14,37,41,0,17,66.02,40,1538054118113
14,37,41,0,12,65.55,10,1538054118113
14,41,0,0,17,66.03,100,1538054118113
14,41,0,0,11,65.5,100,1538054118153
14,41,0,0,11,65.53,100,1538054118153
14,41,0,0,11,65.54,100,1538054118153
14,41,0,0,11,65.55,100,1538054118153
14,41,0,0,11,65.68,100,1538054118153
14,41,0,0,12,65.52,100,1538054118153
14,41,0,0,12,65.55,100,1538054118154
14,37,41,0,12,65.55,70,1538054118154
14,41,0,0,12,65.55,100,1538054118154
14,41,0,0,12,65.58,100,1538054118154
14,37,41,0,12,65.63,60,1538054118154
14,37,41,0,12,65.63,40,1538054118154
14,37,41,0,12,65.65,30,1538054118154
14,41,0,0,12,65.71,100,1538054118154
14,41,0,0,11,65.53,100,1538054118195
14,41,0,0,11,65.54,100,1538054118199
14,41,0,0,12,65.55,100,1538054118200
14,37,41,0,12,65.53,30,1538054118213
14,37,41,0,12,65.52,70,1538054118213
14,37,41,0,12,65.52,30,1538054118213
14,37,41,0,12,65.51,70,1538054118213
14,37,41,0,17,65.54,77,1538054118213
14,41,0,0,17,65.51,100,1538054118213
14,41,0,0,17,65.49,100,1538054118214
14,37,41,0,17,65.49,23,1538054118214
14,37,41,0,12,65.53,70,1538054118278
14,37,41,0,12,65.53,30,1538054118278
14,41,0,0,12,65.11,100,1538054119464
14,41,0,0,11,65.33,500,1538054119465
14,41,0,0,12,65.02,100,1538054119466
14,41,0,0,7,65.01,100,1538054119470
14,41,0,0,19,65.04,100,1538054119473
14,41,0,0,12,64.99,100,1538054119473
14,41,0,0,12,64.99,100,1538054119474
14,41,0,0,12,65.06,100,1538054119476
14,41,0,0,12,65.02,100,1538054119517
14,41,0,0,12,65.02,123,1538054119535
14,37,41,0,12,65.02,77,1538054119535
14,41,0,0,12,65.06,100,1538054119578
14,41,0,0,12,65.09,100,1538054119606
14,41,0,0,12,65.09,100,1538054120042
14,41,0,0,12,65.09,100,1538054120083
14,41,0,0,12,65.09,100,1538054120534
14,41,0,0,11,65.11,100,1538054120612
0,0,0,0,11,65.11,100,1538054120620
0,0,0,0,12,65.12,100,1538054120631
14,41,0,0,19,65.07,100,1538054120827
14,37,41,0,12,65.06,24,1538054120828
14,41,0,0,12,64.96,100,1538054120832
14,37,41,0,12,64.9,30,1538054120833
0,0,0,0,11,64.87,100,1538054120833
14,37,41,0,12,64.87,70,1538054120833
14,37,41,0,11,65.01,30,1538054120833
14,37,41,0,12,64.96,30,1538054120834
14,41,0,0,12,65.01,100,1538054120834
14,37,41,0,12,65.04,30,1538054120834
0,0,0,0,11,65.01,100,1538054120840
14,41,0,0,11,65,100,1538054120845
0,0,0,0,11,64.99,100,1538054120852
14,41,0,0,12,64.87,100,1538054120856
14,41,0,0,11,64.86,100,1538054120872
14,41,0,0,11,64.87,100,1538054120872
14,37,41,0,19,64.96,10,1538054120872
14,37,41,0,8,64.96,10,1538054120873
14,41,0,0,12,64.86,140,1538054120873
14,37,41,0,12,64.96,21,1538054120873
14,41,0,0,12,64.96,100,1538054120873
14,37,41,0,12,64.9,30,1538054120889
14,37,41,0,12,64.9,31,1538054120889
14,37,41,0,12,64.9,10,1538054120889
14,37,41,0,12,64.88,29,1538054120889
37,0,0,0,11,64.87,21,1538054120893
14,37,41,0,12,64.96,10,1538054120893
14,41,0,0,17,64.99,100,1538054120893
14,41,0,0,12,64.98,100,1538054120893
14,37,41,0,12,64.99,60,1538054120893
37,0,0,0,11,64.9,30,1538054120893
14,37,41,0,19,64.96,20,1538054120893
14,37,41,0,19,64.99,80,1538054120893
14,37,41,0,12,65,70,1538054120894
37,0,0,0,11,64.9,49,1538054120894
14,37,41,0,12,64.95,49,1538054120894
14,37,41,0,12,64.98,19,1538054120894
14,37,41,0,19,64.96,30,1538054120895
14,41,0,0,12,64.9,100,1538054120907
14,41,0,0,12,64.9,100,1538054120912
37,0,0,0,12,64.88,71,1538054120924
0,0,0,0,12,64.62,100,1538054121169
14,41,0,0,11,64.62,100,1538054121193
14,37,41,0,12,64.62,76,1538054121194
14,37,41,0,11,64.43,20,1538054121255
14,37,41,0,11,64.44,80,1538054121256
14,37,41,0,11,64.44,20,1538054121256
14,37,41,0,12,64.44,80,1538054121258
14,37,41,0,11,64.43,80,1538054121265
14,37,41,0,12,64.44,20,1538054121265
14,41,0,0,12,64.38,100,1538054121270
14,37,41,0,12,64.38,2,1538054121270
14,41,0,0,12,64.38,130,1538054121270
