c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,49.71,10,1539216245122
14,41,0,0,11,49.96,200,1539244827965
0,0,0,0,11,49.72,100,1539251394163
37,0,0,0,11,49.72,7,1539251421038
37,0,0,0,11,49.71,12,1539251421038
0,0,0,0,11,49.71,100,1539252914430
37,0,0,0,11,49.71,15,1539253090953
14,37,41,0,11,49.71,7,1539254264308
37,0,0,0,11,50.65,25,1539255483048
37,0,0,0,11,49.71,4,1539255540102
37,0,0,0,11,49.7,21,1539255540102
37,0,0,0,11,49.75,1,1539255610315
14,41,0,0,11,49.75,100,1539255691779
37,0,0,0,11,49.75,20,1539255700544
14,41,0,0,11,49.75,100,1539255705227
14,41,0,0,8,49.95,100,1539255730987
14,41,0,0,8,49.8,100,1539255783317
14,41,0,0,11,50.11,200,1539255867200
37,0,0,0,11,50.35,20,1539255867208
37,0,0,0,11,50.1,20,1539255989700
14,37,41,0,11,49.9,75,1539256166301
14,41,0,0,11,49.8,100,1539256166301
0,0,0,0,12,49.8,100,1539256166313
0,0,0,0,12,49.8,1125,1539256166313
0,0,0,0,12,49.8,100,1539256166321
0,0,0,0,12,49.8,500,1539256166321
0,0,0,0,12,49.8,100,1539256166325
0,0,0,0,12,49.8,200,1539256166325
0,0,0,0,12,49.8,100,1539256166329
14,41,0,0,12,49.8,100,1539256166333
0,0,0,0,12,49.95,125,1539256166333
14,37,41,0,8,49.76,50,1539256187988
14,37,41,0,8,49.75,50,1539256187988
14,41,0,0,19,49.75,200,1539256187988
14,41,0,0,7,49.75,200,1539256187988
37,0,0,0,12,50,20,1539256222725
0,0,0,0,12,50,100,1539256260330
0,0,0,0,12,50,200,1539256266347
0,0,0,0,12,50,100,1539256279714
14,41,0,0,12,50.1,100,1539256324273
14,41,0,0,11,50.1,300,1539256324278
0,0,0,0,11,50.01,100,1539256382411
0,0,0,0,11,50,100,1539256382412
0,0,0,0,7,50,100,1539256382413
0,0,0,0,8,50,100,1539256382413
0,0,0,0,19,50,100,1539256382413
0,0,0,0,11,50.1,100,1539256382901
0,0,0,0,12,50.09,100,1539256382901
0,0,0,0,12,50.1,100,1539256382901
14,41,0,0,12,50.15,100,1539256512761
14,41,0,0,11,50.15,100,1539256512765
14,41,0,0,11,50.15,200,1539256645004
14,41,0,0,12,50.15,100,1539256645004
14,41,0,0,11,50.2,100,1539256648561
14,41,0,0,12,50.15,100,1539256648561
14,41,0,0,11,50.2,100,1539256648562
14,41,0,0,12,50.15,100,1539256648563
0,0,0,0,11,50.2,200,1539256793942
0,0,0,0,11,50.26,100,1539256936187
0,0,0,0,8,50.4,500,1539256955687
14,41,0,0,11,50.4,100,1539256955690
14,41,0,0,11,50.4,270,1539256955690
14,41,0,0,11,50.5,100,1539257132925
14,41,0,0,11,50.5,100,1539257132925
14,37,41,0,12,50.5,25,1539257132926
14,41,0,0,12,50.5,275,1539257132926
0,0,0,0,11,50.69,150,1539257134873
14,41,0,0,11,50.5,100,1539257143861
14,41,0,0,11,50.5,100,1539257143861
14,41,0,0,11,50.5,300,1539257143861
14,37,41,0,12,51.12,20,1539257146293
37,0,0,0,11,50.69,50,1539257154718
37,0,0,0,11,51,50,1539257162796
0,0,0,0,11,50.98,100,1539257242713
0,0,0,0,12,50.97,200,1539257245034
0,0,0,0,12,51,100,1539257245034
37,0,0,0,8,50.99,15,1539257333561
14,41,0,0,8,50.99,100,1539257333561
0,0,0,0,8,50.99,100,1539257336475
14,37,41,0,12,50.99,10,1539257336960
37,0,0,0,8,50.99,35,1539257339574
37,0,0,0,11,50.9,85,1539257416260
37,0,0,0,11,50.9,15,1539257425271
37,0,0,0,11,50.9,50,1539257426248
37,0,0,0,11,51,75,1539257427369
0,0,0,0,11,50.99,100,1539257471317
14,41,0,0,11,50.76,100,1539257496897
37,0,0,0,11,50.76,80,1539257516509
37,0,0,0,11,50.75,99,1539257609813
37,0,0,0,11,50.75,1,1539257609813
0,0,0,0,11,50.76,740,1539257677497
0,0,0,0,11,50.75,200,1539257677497
0,0,0,0,11,50.75,100,1539257677497
0,0,0,0,11,50.75,300,1539257677497
37,0,0,0,12,50.75,70,1539257677497
0,0,0,0,11,50.51,500,1539257714626
0,0,0,0,11,50.5,100,1539257714986
0,0,0,0,11,50.5,700,1539257714986
14,37,41,0,11,50.46,60,1539257715944
14,37,41,0,8,50.45,40,1539257715945
37,0,0,0,8,50.45,60,1539257719646
14,37,41,0,11,50.3,10,1539257721089
14,41,0,0,11,50.56,160,1539257789700
14,41,0,0,11,50.55,240,1539257789700
0,0,0,0,11,50.55,760,1539257794155
14,41,0,0,11,50.69,100,1539257915147
14,41,0,0,11,50.7,500,1539257915147
14,41,0,0,12,50.7,275,1539257915148
0,0,0,0,11,50.7,100,1539257925269
37,0,0,0,11,50.7,25,1539257925269
0,0,0,0,11,50.7,575,1539257925269
0,0,0,0,19,50.7,100,1539257925269
0,0,0,0,19,50.7,400,1539257925269
0,0,0,0,8,50.7,100,1539257925269
0,0,0,0,8,50.7,400,1539257925269
0,0,0,0,12,50.7,100,1539257925269
0,0,0,0,12,50.7,710,1539257925269
0,0,0,0,19,50.7,100,1539257925279
0,0,0,0,12,50.7,100,1539257925279
0,0,0,0,11,50.7,100,1539257944004
0,0,0,0,19,50.7,100,1539257944004
0,0,0,0,12,50.7,100,1539257944004
37,0,0,0,12,50.7,20,1539257944004
0,0,0,0,11,50.69,100,1539257985926
0,0,0,0,11,50.69,1500,1539257985926
0,0,0,0,19,50.69,100,1539257985926
0,0,0,0,19,50.69,1300,1539257985926
0,0,0,0,8,50.69,100,1539257985926
0,0,0,0,8,50.69,1300,1539257985926
0,0,0,0,12,50.69,100,1539257985926
0,0,0,0,12,50.69,2100,1539257985926
0,0,0,0,11,50.69,100,1539257985936
0,0,0,0,11,50.69,700,1539257985936
0,0,0,0,19,50.69,100,1539257985936
0,0,0,0,19,50.69,700,1539257985937
0,0,0,0,8,50.69,100,1539257985937
0,0,0,0,8,50.69,700,1539257985937
0,0,0,0,12,50.69,100,1539257985937
0,0,0,0,12,50.69,900,1539257985937
14,41,0,0,12,50.68,100,1539258040826
14,41,0,0,12,50.68,100,1539258050795
0,0,0,0,11,50.68,100,1539258055563
0,0,0,0,11,50.68,600,1539258055563
0,0,0,0,8,50.68,100,1539258055563
0,0,0,0,8,50.68,600,1539258055563
0,0,0,0,19,50.68,100,1539258055563
0,0,0,0,19,50.68,800,1539258055563
0,0,0,0,12,50.68,100,1539258055564
0,0,0,0,12,50.68,600,1539258055564
0,0,0,0,11,50.68,100,1539258067166
0,0,0,0,11,50.68,100,1539258067166
0,0,0,0,8,50.68,100,1539258067166
0,0,0,0,8,50.68,100,1539258067166
0,0,0,0,19,50.68,100,1539258067166
0,0,0,0,19,50.68,100,1539258067166
0,0,0,0,12,50.68,100,1539258067166
0,0,0,0,12,50.68,100,1539258067166
0,0,0,0,11,50.67,100,1539258125011
0,0,0,0,8,50.67,100,1539258125011
14,41,0,0,19,50.67,100,1539258136712
14,41,0,0,19,50.67,100,1539258136712
14,41,0,0,8,50.67,100,1539258136712
