c1,c2,c3,c4,e,p,s,t
0,0,0,0,11,106,500,1539861749882
0,0,0,0,11,106,400,1539861765318
37,0,0,0,4,107,5,1539864009033
37,0,0,0,4,106.96,44,1539864466374
14,37,41,0,11,106.5,50,1539865343204
14,37,41,0,11,106.5,35,1539865343204
14,37,41,0,11,106.1,50,1539865343204
14,41,0,0,12,105,100,1539865680266
14,37,41,0,12,105,80,1539865680266
0,0,0,0,4,104.9999,100,1539865748496
14,41,0,0,12,104.99,100,1539865754761
14,41,0,0,12,105,100,1539865762709
14,41,0,0,11,105,526,1539865762709
14,41,0,0,12,105.59,500,1539866054618
14,41,0,0,12,105.6,1000,1539866097282
14,41,0,0,11,106,100,1539866628460
14,41,0,0,11,106,400,1539866628460
0,0,0,0,15,106.5,100,1539866654008
0,0,0,0,15,106.5,100,1539866670459
37,0,0,0,4,106.5,5,1539867544696
7,37,0,0,4,104.96,1,1539867652921
37,0,0,0,12,106,6,1539867941447
37,0,0,0,4,106.4499,8,1539868282581
37,0,0,0,12,106,15,1539868422168
0,0,0,0,4,106.25,100,1539868545908
37,0,0,0,11,106,4,1539868841697
14,41,0,0,12,106.25,100,1539868886833
14,41,0,0,11,106,100,1539868888808
37,0,0,0,4,106.25,20,1539869094847
37,0,0,0,4,106.25,7,1539869171368
0,0,0,0,11,106,100,1539869248653
0,0,0,0,11,106,400,1539869248653
14,41,0,0,11,106,100,1539869254657
14,41,0,0,11,106,100,1539869256616
14,41,0,0,11,106,100,1539869278548
37,0,0,0,11,106,96,1539869280041
0,0,0,0,12,106.01,100,1539869280041
0,0,0,0,12,106,260,1539869280041
14,41,0,0,11,106,500,1539869300413
14,41,0,0,11,106,500,1539869302743
14,41,0,0,19,105.98,100,1539869310010
14,41,0,0,7,105.96,100,1539869310037
14,41,0,0,19,105.96,100,1539869310038
14,41,0,0,11,105.96,100,1539869310038
14,41,0,0,7,105.92,100,1539869310042
14,41,0,0,19,105.92,200,1539869310042
14,41,0,0,11,105.92,100,1539869310043
14,41,0,0,11,105.82,300,1539869327589
14,41,0,0,11,105.82,1200,1539869327589
14,41,0,0,11,105.82,300,1539869327589
14,41,0,0,11,105.82,300,1539869327589
37,0,0,0,8,105.6,6,1539869340091
14,41,0,0,11,105.72,400,1539869340094
0,0,0,0,12,106.25,100,1539869365870
0,0,0,0,12,106.25,100,1539869365870
0,0,0,0,11,106.5,100,1539869367408
14,41,0,0,7,106.5,100,1539869367410
14,37,41,0,7,106.5,98,1539869367411
37,0,0,0,11,106.96,25,1539869370169
37,0,0,0,11,106.96,6,1539869370169
14,37,41,0,8,107,39,1539869370169
14,37,41,0,8,107,91,1539869370169
14,37,41,0,11,107.15,39,1539869370170
51,0,0,0,0,106,,1539869401508
0,0,0,0,12,106,100,1539869401508
25,16,0,0,12,106,100,1539869401508
0,0,0,0,12,106,100,1539869401508
0,0,0,0,12,106,100,1539869402003
0,0,0,0,12,106,100,1539869402246
37,0,0,0,12,106,19,1539869402322
51,0,0,0,0,106.05,,1539869405002
51,0,0,0,0,106.1,,1539869405002
0,0,0,0,11,106.05,100,1539869405002
0,0,0,0,19,106.1,100,1539869405002
0,0,0,0,19,106.1,100,1539869405002
25,16,0,0,11,106.05,100,1539869405002
0,0,0,0,8,106.09,100,1539869405002
0,0,0,0,12,106.09,100,1539869405003
0,0,0,0,2,106.07,100,1539869405003
0,0,0,0,11,106.1,100,1539869405005
0,0,0,0,11,106.1,300,1539869405005
0,0,0,0,12,106.1,100,1539869405006
37,0,0,0,12,106.1,69,1539869405006
0,0,0,0,11,106.1,100,1539869405006
37,0,0,0,11,106.1,69,1539869405006
0,0,0,0,19,106.1,100,1539869405006
37,0,0,0,19,106.1,69,1539869405006
0,0,0,0,11,106.1,100,1539869405006
0,0,0,0,11,106.1,100,1539869405006
0,0,0,0,11,106.1,100,1539869405006
0,0,0,0,19,106.1,100,1539869405006
0,0,0,0,19,106.1,100,1539869405006
0,0,0,0,19,106.1,100,1539869405006
37,0,0,0,12,106.1,31,1539869405006
37,0,0,0,12,106.1,69,1539869405006
37,0,0,0,12,106.1,31,1539869405006
37,0,0,0,12,106.1,69,1539869405006
0,0,0,0,12,106.1,100,1539869405006
