c1,c2,c3,c4,e,p,s,t
14,37,41,0,8,120,63,1537441206781
14,37,41,0,11,120,50,1537441206782
14,37,41,0,11,121.65,25,1537441454624
14,41,0,0,12,121,100,1537441478673
0,0,0,0,11,121,180,1537441481377
37,0,0,0,11,121,50,1537441498407
37,0,0,0,11,121,55,1537441500601
0,0,0,0,11,121,100,1537441500601
14,37,41,0,11,120.99,65,1537441509405
14,37,41,0,11,121,35,1537441509405
37,0,0,0,11,120.2,15,1537441527984
37,0,0,0,11,120.2,15,1537441540942
37,0,0,0,11,120,10,1537441573435
37,0,0,0,11,119.99,50,1537441599564
14,37,41,0,11,119.99,50,1537441609142
14,41,0,0,11,120.88,100,1537441612210
14,41,0,0,11,121,200,1537441612211
14,37,41,0,19,121.07,35,1537441627406
14,37,41,0,8,122,50,1537441637213
37,0,0,0,11,122,35,1537441666793
0,0,0,0,11,122.11,100,1537441672383
0,0,0,0,11,122,465,1537441672383
37,0,0,0,8,121.5,50,1537441679132
0,0,0,0,11,121.9,100,1537441692228
37,0,0,0,11,121.84,2,1537441699792
14,37,41,0,11,121.79,35,1537441717226
14,37,41,0,11,121.84,98,1537441717226
14,37,41,0,11,121.99,50,1537441717226
37,0,0,0,8,122,17,1537441722143
37,0,0,0,11,121.5,20,1537441745678
37,0,0,0,11,120.11,15,1537441772305
37,0,0,0,11,122.75,15,1537441812731
0,0,0,0,11,122.75,100,1537441827520
37,0,0,0,11,122.75,85,1537441828960
0,0,0,0,11,123,107,1537441877240
0,0,0,0,11,123,100,1537441934124
37,0,0,0,8,123,5,1537442008837
37,0,0,0,11,122.7,20,1537442115981
37,0,0,0,11,122.79,28,1537442140712
37,0,0,0,11,123,20,1537442140712
37,0,0,0,11,123,4,1537442140712
0,0,0,0,11,123,148,1537442140712
14,37,41,0,11,122.9,50,1537442229895
14,37,41,0,11,122.98,90,1537442229895
14,41,0,0,8,123,110,1537442229896
37,0,0,0,12,122.98,60,1537442359210
37,0,0,0,11,122.75,14,1537442369607
14,37,41,0,12,122.06,76,1537442387859
14,41,0,0,12,122,100,1537442387859
37,0,0,0,12,122,2,1537442462591
14,37,41,0,8,122,29,1537442474941
14,41,0,0,11,122.75,100,1537442479234
14,37,41,0,11,122.99,50,1537442479235
14,41,0,0,11,122.99,100,1537442479235
14,41,0,0,8,123,185,1537442479236
14,41,0,0,11,123,162,1537442479236
14,41,0,0,8,123,137,1537442545157
14,41,0,0,12,123.5,163,1537442545157
37,0,0,0,11,124,68,1537442643825
14,41,0,0,11,124.85,199,1537442692239
14,37,41,0,11,124.9,25,1537442692240
14,37,41,0,11,124.9,75,1537442692240
14,37,41,0,11,125,25,1537442692241
14,41,0,0,11,125,376,1537442692241
14,37,41,0,11,125,3,1537442692542
0,0,0,0,11,125,621,1537442693013
0,0,0,0,11,125,379,1537442693013
14,41,0,0,11,125,200,1537442693535
14,41,0,0,11,125,121,1537442693703
14,41,0,0,12,125.2,200,1537442699943
14,37,41,0,12,125,20,1537442715632
37,0,0,0,12,125.2,70,1537442722065
14,37,41,0,12,125.8,20,1537442722065
14,37,41,0,11,125.5,20,1537442722065
14,37,41,0,11,125,50,1537442726871
14,37,41,0,12,125.8,50,1537442726871
14,37,41,0,12,125.8,40,1537442726936
14,41,0,0,11,124.5,200,1537442741185
14,37,41,0,12,124,10,1537442741186
37,0,0,0,11,122.61,50,1537442741257
37,0,0,0,11,121.95,60,1537442741262
37,0,0,0,11,121.95,40,1537442741264
37,0,0,0,8,123,50,1537442747779
37,0,0,0,11,124.83,20,1537442829590
37,0,0,0,11,124.74,25,1537442869514
14,37,41,0,12,123.8,50,1537442947760
14,41,0,0,12,123.8,150,1537442949703
37,0,0,0,11,123.5,13,1537443020389
14,41,0,0,12,123.2,200,1537443035287
14,41,0,0,11,123,250,1537443036433
14,41,0,0,11,123.2,320,1537443039462
14,41,0,0,12,123.2,100,1537443039492
37,0,0,0,11,123.4,20,1537443064985
37,0,0,0,12,123.79,50,1537443077087
37,0,0,0,12,123.85,25,1537443109578
0,0,0,0,11,123.89,100,1537443135437
0,0,0,0,11,124,100,1537443135437
14,41,0,0,12,123.92,100,1537443152724
14,41,0,0,12,123.92,100,1537443153129
37,0,0,0,12,123.9,50,1537443165846
0,0,0,0,12,123.2,100,1537443190052
37,0,0,0,11,123.5,50,1537443355576
0,0,0,0,11,123.34,100,1537443355576
14,41,0,0,11,123.34,100,1537443413362
14,37,41,0,11,123.75,20,1537443573437
14,37,41,0,12,123.67,20,1537443573437
37,0,0,0,12,123.67,10,1537443695527
37,0,0,0,11,123.67,50,1537443699075
37,0,0,0,12,123.75,50,1537443699287
14,41,0,0,12,123.88,963,1537443721144
14,37,41,0,12,123.99,37,1537443721144
14,41,0,0,12,123.99,260,1537443728483
14,37,41,0,12,123.99,33,1537443729759
14,37,41,0,12,123.99,90,1537443731443
14,37,41,0,12,124,10,1537443731443
14,37,41,0,12,124,90,1537443731443
14,37,41,0,12,124,10,1537443731443
0,0,0,0,8,123.96,100,1537443765034
37,0,0,0,8,124,50,1537443765034
14,37,41,0,12,124,1,1537443801379
14,41,0,0,8,124,150,1537443863322
14,37,41,0,8,124,50,1537443863322
14,37,41,0,12,124,89,1537443863322
14,41,0,0,12,124,100,1537443863322
14,37,41,0,12,124,11,1537443863322
37,0,0,0,12,123.88,11,1537443951361
37,0,0,0,12,123.8,39,1537444051274
14,37,41,0,11,123.7,41,1537444059794
14,37,41,0,12,123.8,41,1537444059795
0,0,0,0,11,123.6,150,1537444064141
14,37,41,0,11,123.6,50,1537444202292
14,41,0,0,12,123.5,100,1537444202301
0,0,0,0,11,123.5,100,1537444206961
14,37,41,0,11,123.45,75,1537444208075
14,37,41,0,19,123.41,20,1537444208075
14,41,0,0,19,123.4,105,1537444208075
14,41,0,0,11,123.5,100,1537444214398
14,41,0,0,12,123.5,100,1537444214399
14,41,0,0,11,123.5,100,1537444214401
14,37,41,0,11,123.5,50,1537444214401
37,0,0,0,11,123.7,24,1537444223816
0,0,0,0,11,123.75,576,1537444232578
37,0,0,0,11,123.5,90,1537444232578
14,37,41,0,11,123.5,1,1537444241018
14,41,0,0,11,123.5,200,1537444241948
0,0,0,0,11,123.5,100,1537444242901
14,41,0,0,11,123.5,200,1537444243395
14,41,0,0,11,123.5,333,1537444243804
0,0,0,0,11,123.4,100,1537444260581
14,41,0,0,19,123.4,195,1537444260582
14,41,0,0,12,123.4,300,1537444260582
14,41,0,0,19,123.4,300,1537444260582
14,41,0,0,12,123.4,300,1537444260583
14,41,0,0,19,123.4,300,1537444260583
14,37,41,0,12,123.4,5,1537444260584
14,41,0,0,11,123.34,244,1537444268268
14,37,41,0,11,123.28,9,1537444268268
14,41,0,0,11,123.01,300,1537444268268
14,41,0,0,11,123,352,1537444268268
14,41,0,0,19,123.4,300,1537444268269
0,0,0,0,12,123.4,295,1537444268269
0,0,0,0,12,123.4,300,1537444268269
14,41,0,0,19,123.4,295,1537444268270
14,41,0,0,19,123.4,100,1537444269126
14,41,0,0,11,123.23,300,1537444328598
14,41,0,0,11,123.23,295,1537444328598
14,41,0,0,11,123.2,205,1537444328598
41,0,0,0,11,123.2,795,1537444328598
14,41,0,0,19,123.4,200,1537444328598
14,37,41,0,11,123,92,1537444520448
14,37,41,0,11,123,1,1537444520448
14,41,0,0,11,123,100,1537444520448
14,37,41,0,11,123,7,1537444520448
14,41,0,0,19,123.5,300,1537444520449
14,41,0,0,19,123.5,100,1537444542580
0,0,0,0,19,123.5,200,1537444547574
14,37,41,0,19,123.5,60,1537444589641
14,41,0,0,19,123.5,100,1537444598157
14,41,0,0,11,123.03,360,1537444630218
14,41,0,0,19,123.5,140,1537444630219
14,37,41,0,19,123.5,55,1537444633893
14,41,0,0,19,123.5,245,1537444633894
14,37,41,0,19,123.5,60,1537444633894
14,41,0,0,19,123.5,100,1537444667917
14,41,0,0,19,123.5,200,1537444682561
14,41,0,0,19,123.5,200,1537444682561
37,0,0,0,19,123.5,67,1537444682566
37,0,0,0,19,123.5,33,1537444682566
14,37,41,0,19,123.51,70,1537444697628
14,37,41,0,19,123.51,30,1537444697629
14,37,41,0,19,123.5,70,1537444697634
14,37,41,0,19,123.5,9,1537444747602
14,41,0,0,19,123.5,121,1537444752335
14,41,0,0,19,123.5,145,1537444752335
14,37,41,0,8,123,13,1537444758449
14,37,41,0,8,123,87,1537444758449
0,0,0,0,11,123,993,1537444759431
37,0,0,0,11,123,7,1537444759432
14,37,41,0,8,123,13,1537444759471
14,37,41,0,12,123,10,1537444759472
14,37,41,0,12,123,5,1537444759472
14,37,41,0,12,123,5,1537444759472
14,37,41,0,11,123,67,1537444759472
14,37,41,0,11,123,28,1537444759609
14,41,0,0,11,123,118,1537444762750
14,37,41,0,11,123,3,1537444800306
37,0,0,0,4,122,21,1537444800765
37,0,0,0,4,123.7999,1,1537444800858
37,0,0,0,4,122,10,1537444800859
37,0,0,0,4,122.64,50,1537444800890
37,0,0,0,4,122,50,1537444800928
0,0,0,0,4,123,200,1537444801306
37,0,0,0,4,123.9899,70,1537444801474
37,0,0,0,4,123.35,30,1537444801481
0,0,0,0,4,123.926,300,1537444801592
0,0,0,0,4,123.55,500,1537444802017
37,0,0,0,4,122,30,1537444802382
0,0,0,0,4,123.8,125,1537444802383
0,0,0,0,4,122.99,150,1537444802383
37,0,0,0,4,124,20,1537444802384
37,0,0,0,4,123.99,35,1537444802388
37,0,0,0,4,123.99,30,1537444802402
0,0,0,0,4,123.25,1000,1537444802408
0,0,0,0,4,123.7999,275,1537444808159
0,0,0,0,4,123.2,136,1537444808161
37,0,0,0,4,123.695,70,1537444808164
0,0,0,0,4,123.25,120,1537444808167
37,0,0,0,4,122.75,43,1537444808169
0,0,0,0,4,123.4001,300,1537444808171
0,0,0,0,4,121.9999,800,1537444808172
0,0,0,0,4,123.9,1000,1537444808174
37,0,0,0,4,124,25,1537444808177
0,0,0,0,4,123.92,100,1537444808182
0,0,0,0,4,123.9899,400,1537444808862
37,0,0,0,11,122.85,50,1537444854514
0,0,0,0,11,122.63,118,1537444854514
14,37,41,0,11,122.5,12,1537444854514
14,37,41,0,12,122.8,4,1537444854514
14,41,0,0,12,122.63,118,1537444854515
14,37,41,0,12,122.61,98,1537444854515
0,0,0,0,4,125,100,1537444856548
37,0,0,0,4,120.2,15,1537444856565
37,0,0,0,12,122.9,50,1537444881053
14,37,41,0,11,122.85,63,1537444893886
14,37,41,0,11,122.85,5,1537444893886
14,41,0,0,11,123,250,1537444893886
37,0,0,0,12,122.9,68,1537444893889
37,0,0,0,12,123,50,1537444893889
37,0,0,0,11,123.02,50,1537444907255
0,0,0,0,4,122.9999,200,1537444917826
37,0,0,0,4,122.9999,40,1537444922980
0,0,0,0,11,122.57,100,1537444925428
0,0,0,0,11,122.55,100,1537444925428
14,37,41,0,12,122.61,2,1537444925429
14,37,41,0,12,122.58,50,1537444925429
14,41,0,0,12,122.55,220,1537444925429
14,37,41,0,12,122.55,28,1537444925429
14,37,41,0,11,122.5,88,1537444932778
14,37,41,0,11,122.5,12,1537444932778
14,41,0,0,11,122.5,388,1537444932778
14,37,41,0,12,122.61,68,1537444932779
14,41,0,0,12,122.55,304,1537444932779
14,37,41,0,12,122.55,68,1537444932779
14,37,41,0,12,122.19,72,1537444932779
0,0,0,0,4,123,400,1537444966395
0,0,0,0,4,123,100,1537444973515
37,0,0,0,11,122.5,40,1537444986501
0,0,0,0,8,122.9,200,1537445010630
37,0,0,0,8,122.95,60,1537445010630
0,0,0,0,11,122.88,200,1537445010630
0,0,0,0,8,123,500,1537445010630
37,0,0,0,11,122.96,60,1537445010630
37,0,0,0,11,122.96,40,1537445010630
0,0,0,0,11,123,150,1537445010630
0,0,0,0,11,123,1234,1537445010630
0,0,0,0,11,123.15,200,1537445010646
37,0,0,0,12,123.07,12,1537445013894
37,0,0,0,11,123.15,21,1537445020057
37,0,0,0,4,123,50,1537445029587
0,0,0,0,4,125,275,1537445035896
0,0,0,0,4,121,100,1537445035901
37,0,0,0,4,125,25,1537445035902
37,0,0,0,4,124.85,1,1537445035964
14,37,41,0,8,123.04,10,1537445101115
14,41,0,0,12,123.01,100,1537445122172
0,0,0,0,4,123.69,125,1537445122562
37,0,0,0,8,123.09,11,1537445126756
37,0,0,0,11,123,45,1537445194739
14,37,41,0,11,122.5,55,1537445194739
14,37,41,0,8,123.1,55,1537445194739
0,0,0,0,8,123.1,145,1537445194739
37,0,0,0,8,123.02,55,1537445194739
14,37,41,0,8,123.02,15,1537445194739
14,41,0,0,8,123,285,1537445194739
14,41,0,0,12,123.07,100,1537445194739
14,37,41,0,8,123,17,1537445197608
14,37,41,0,8,123,5,1537445197608
14,41,0,0,8,123,278,1537445198506
14,41,0,0,8,123,200,1537445198506
14,41,0,0,8,123,123,1537445198506
37,0,0,0,4,123,20,1537445204960
0,0,0,0,11,123.15,100,1537445245114
37,0,0,0,4,123.1,70,1537445278709
37,0,0,0,4,123.2499,40,1537445279733
0,0,0,0,4,123.0001,730,1537445281973
37,0,0,0,4,123.2499,50,1537445297204
14,37,41,0,11,123.25,50,1537445303574
0,0,0,0,4,123,125,1537445386724
14,41,0,0,11,123.03,145,1537445436509
14,37,41,0,11,123.03,55,1537445436509
14,37,41,0,11,123.01,50,1537445436509
14,37,41,0,8,123.01,30,1537445436509
14,41,0,0,8,123,300,1537445436511
14,41,0,0,8,123,100,1537445436511
