c1,c2,c3,c4,e,p,s,t
0,0,0,0,8,19.65,800,1538487253001
37,0,0,0,12,19.61,2,1538487306630
25,16,0,0,12,19.61,2,1538487306630
37,0,0,0,4,19.6874,7,1538487442754
37,0,0,0,10,19.61,23,1538487554138
14,37,41,0,18,19.71,10,1538487657625
51,0,0,0,0,19.7278,,1538487791710
0,0,0,0,4,19.7278,101,1538487791710
37,0,0,0,4,19.7278,1,1538487794136
14,41,0,0,18,19.64,100,1538487811234
0,0,0,0,15,19.68,100,1538487811239
0,0,0,0,4,19.68,100,1538487811790
0,0,0,0,4,19.68,100,1538487913639
0,0,0,0,4,19.72,100,1538487919032
37,0,0,0,18,19.71,10,1538487968694
37,0,0,0,4,19.72,10,1538488033845
14,41,0,0,18,19.72,100,1538488034078
0,0,0,0,4,19.69,100,1538488034687
14,41,0,0,10,19.67,100,1538488038025
37,0,0,0,10,19.67,65,1538488038025
14,41,0,0,10,19.71,100,1538488060943
0,0,0,0,4,19.6896,110,1538488085139
0,0,0,0,4,19.685,100,1538488086765
37,0,0,0,2,19.685,50,1538488086778
0,0,0,0,4,19.685,100,1538488087768
37,0,0,0,10,19.67,35,1538488099505
0,0,0,0,4,19.675,100,1538488099509
37,0,0,0,2,19.69,45,1538488099514
37,0,0,0,10,19.69,46,1538488099514
37,0,0,0,2,19.69,55,1538488099514
0,0,0,0,7,19.69,100,1538488099514
37,0,0,0,10,19.69,45,1538488099514
37,0,0,0,10,19.69,18,1538488099521
37,0,0,0,10,19.69,25,1538488099521
37,0,0,0,10,19.69,38,1538488099521
14,37,41,0,10,19.69,28,1538488099534
14,41,0,0,12,19.69,100,1538488099535
14,37,41,0,12,19.69,72,1538488099535
37,0,0,0,4,19.6846,91,1538488108279
37,0,0,0,12,19.66,48,1538488130035
37,0,0,0,12,19.66,52,1538488130035
37,0,0,0,2,19.66,20,1538488245672
37,0,0,0,2,19.66,80,1538488245672
0,0,0,0,10,19.66,100,1538488245672
0,0,0,0,8,19.66,100,1538488245672
0,0,0,0,8,19.66,100,1538488245673
0,0,0,0,8,19.66,100,1538488245673
37,0,0,0,18,19.675,20,1538488245673
37,0,0,0,12,19.66,18,1538488245673
14,37,41,0,12,19.65,10,1538488245675
0,0,0,0,4,19.655,100,1538488246240
14,41,0,0,8,19.63,100,1538488249237
14,41,0,0,8,19.63,100,1538488249237
37,0,0,0,4,19.6469,20,1538488249296
14,41,0,0,8,19.63,100,1538488256977
0,0,0,0,8,19.63,100,1538488256978
37,0,0,0,10,19.61,10,1538488282577
0,0,0,0,4,19.63,200,1538488300127
37,0,0,0,10,19.63,20,1538488300142
0,0,0,0,10,19.63,210,1538488302375
0,0,0,0,12,19.63,100,1538488302375
0,0,0,0,10,19.62,100,1538488302375
0,0,0,0,11,19.64,200,1538488302383
0,0,0,0,12,19.64,100,1538488302383
25,16,0,0,11,19.64,200,1538488302383
37,0,0,0,2,19.64,40,1538488302383
37,0,0,0,2,19.64,60,1538488302383
0,0,0,0,4,19.65,100,1538488302451
0,0,0,0,4,19.65,100,1538488302587
37,0,0,0,18,19.65,10,1538488304096
0,0,0,0,10,19.67,400,1538488304096
0,0,0,0,10,19.65,200,1538488304097
37,0,0,0,4,19.67,40,1538488304152
37,0,0,0,10,19.66,50,1538488307118
37,0,0,0,19,19.64,20,1538488326893
37,0,0,0,10,19.63,70,1538488326894
14,37,41,0,18,19.67,76,1538488406881
14,41,0,0,3,19.67,100,1538488423207
0,0,0,0,10,19.67,100,1538488467239
14,37,41,0,2,19.6,14,1538488471601
37,0,0,0,4,19.66,10,1538488768689
37,0,0,0,4,19.66,10,1538488835241
37,0,0,0,4,19.65,10,1538488896923
37,0,0,0,4,19.625,18,1538488929001
0,0,0,0,11,19.6,200,1538488933886
14,37,41,0,8,19.6,64,1538488933886
14,41,0,0,19,19.6,200,1538488933886
0,0,0,0,8,19.6,136,1538488933886
37,0,0,0,18,19.61,50,1538488933886
0,0,0,0,12,19.61,100,1538488933886
0,0,0,0,12,19.6,100,1538488933886
0,0,0,0,12,19.6,100,1538488933886
0,0,0,0,8,19.6,100,1538488933899
0,0,0,0,3,19.6,100,1538488933899
37,0,0,0,15,19.58,45,1538488934067
0,0,0,0,8,19.6,100,1538488934913
37,0,0,0,12,19.6,60,1538488934913
37,0,0,0,12,19.6,40,1538488934914
37,0,0,0,12,19.6,50,1538488934914
51,0,0,0,0,19.55,,1538488934916
14,41,0,0,2,19.55,100,1538488934916
14,37,41,0,10,19.55,2,1538488934918
0,0,0,0,4,19.6,5000,1538488935621
14,41,0,0,10,19.59,100,1538488935622
37,0,0,0,4,19.5871,9,1538488989781
0,0,0,0,10,19.55,355,1538489011696
0,0,0,0,10,19.55,143,1538489011697
0,0,0,0,10,19.55,100,1538489011697
51,0,0,0,0,19.54,,1538489011806
0,0,0,0,12,19.54,100,1538489011806
37,0,0,0,18,19.545,20,1538489011810
51,0,0,0,0,19.53,,1538489011984
0,0,0,0,19,19.53,100,1538489011984
51,0,0,0,0,19.5,,1538489011988
0,0,0,0,17,19.5,100,1538489011988
0,0,0,0,4,19.5098,100,1538489011999
37,0,0,0,8,19.5,10,1538489012519
37,0,0,0,11,19.49,90,1538489012523
37,0,0,0,11,19.49,10,1538489012523
51,0,0,0,0,19.47,,1538489022128
0,0,0,0,11,19.47,100,1538489022128
37,0,0,0,18,19.485,10,1538489022129
51,0,0,0,0,19.4,,1538489022403
0,0,0,0,4,19.4,100,1538489022403
0,0,0,0,4,19.44,100,1538489022407
0,0,0,0,4,19.44,100,1538489022407
0,0,0,0,4,19.44,100,1538489022408
0,0,0,0,4,19.44,100,1538489022409
14,41,0,0,10,19.44,200,1538489022409
0,0,0,0,4,19.44,100,1538489022409
14,41,0,0,12,19.44,100,1538489022409
14,41,0,0,12,19.44,100,1538489022409
0,0,0,0,4,19.44,500,1538489022411
0,0,0,0,4,19.44,100,1538489022470
14,41,0,0,10,19.44,100,1538489022474
0,0,0,0,2,19.4,100,1538489022530
0,0,0,0,18,19.4,100,1538489023166
0,0,0,0,12,19.4,100,1538489023166
0,0,0,0,12,19.4,100,1538489023166
0,0,0,0,12,19.4,100,1538489023166
37,0,0,0,10,19.43,2,1538489023168
37,0,0,0,10,19.43,8,1538489023168
0,0,0,0,11,19.4,100,1538489023170
0,0,0,0,11,19.4,100,1538489023171
0,0,0,0,11,19.4,100,1538489023171
0,0,0,0,10,19.4,800,1538489023171
0,0,0,0,19,19.4,100,1538489023171
0,0,0,0,19,19.4,200,1538489023171
0,0,0,0,19,19.4,200,1538489023171
0,0,0,0,8,19.4,100,1538489023171
0,0,0,0,8,19.4,100,1538489023171
0,0,0,0,12,19.4,100,1538489023671
0,0,0,0,10,19.42,100,1538489023671
0,0,0,0,12,19.42,200,1538489023671
0,0,0,0,18,19.4,100,1538489023814
0,0,0,0,12,19.4,100,1538489024193
0,0,0,0,12,19.4,200,1538489024215
0,0,0,0,12,19.4,200,1538489024215
51,0,0,0,0,19.32,,1538489025063
0,0,0,0,18,19.32,100,1538489025063
0,0,0,0,18,19.32,100,1538489025063
37,0,0,0,18,19.32,37,1538489025100
0,0,0,0,10,19.36,100,1538489027103
14,37,41,0,10,19.36,90,1538489027104
14,41,0,0,10,19.38,200,1538489030481
0,0,0,0,4,19.38,100,1538489030608
0,0,0,0,4,19.38,100,1538489030627
0,0,0,0,18,19.38,100,1538489043054
0,0,0,0,11,19.4,100,1538489044518
0,0,0,0,2,19.4,100,1538489044518
0,0,0,0,12,19.4,100,1538489044518
0,0,0,0,19,19.4,200,1538489044519
37,0,0,0,18,19.4,61,1538489044519
37,0,0,0,18,19.4,61,1538489044519
37,0,0,0,18,19.4,39,1538489044519
14,41,0,0,12,19.41,100,1538489044519
14,41,0,0,12,19.41,100,1538489044520
0,0,0,0,12,19.41,100,1538489044522
0,0,0,0,4,19.39,100,1538489045607
0,0,0,0,4,19.44,100,1538489064041
14,37,41,0,12,19.44,32,1538489065281
14,37,41,0,12,19.44,68,1538489065281
37,0,0,0,12,19.44,32,1538489065281
0,0,0,0,10,19.44,100,1538489065281
0,0,0,0,12,19.49,100,1538489065282
0,0,0,0,2,19.44,100,1538489065282
0,0,0,0,11,19.5,100,1538489065282
0,0,0,0,2,19.51,100,1538489065282
0,0,0,0,19,19.5,100,1538489065282
0,0,0,0,19,19.51,100,1538489065282
14,41,0,0,11,19.51,100,1538489065283
0,0,0,0,19,19.51,100,1538489065284
0,0,0,0,4,19.49,100,1538489065284
14,41,0,0,10,19.51,100,1538489087516
14,41,0,0,19,19.51,100,1538489087516
14,41,0,0,2,19.51,100,1538489087516
0,0,0,0,4,19.495,100,1538489087518
37,0,0,0,11,19.54,30,1538489087532
37,0,0,0,11,19.54,70,1538489087532
0,0,0,0,4,19.5,100,1538489087533
0,0,0,0,4,19.5,200,1538489087534
0,0,0,0,4,19.495,100,1538489093057
37,0,0,0,4,19.495,1,1538489100135
37,0,0,0,18,19.44,23,1538489304368
37,0,0,0,4,19.485,20,1538489498953
37,0,0,0,4,19.4661,5,1538489501402
37,0,0,0,4,19.485,6,1538489521067
37,0,0,0,4,19.4831,24,1538489598110
14,37,41,0,3,19.52,50,1538489695473
14,37,41,0,3,19.53,50,1538489695473
37,0,0,0,4,19.53,10,1538489795376
37,0,0,0,4,19.4985,71,1538489804275
37,0,0,0,4,19.53,10,1538489864506
37,0,0,0,4,19.52,10,1538489934418
37,0,0,0,4,19.52,10,1538490003877
37,0,0,0,4,19.52,10,1538490077623
14,37,41,0,3,19.51,50,1538490111219
14,37,41,0,3,19.51,50,1538490111219
37,0,0,0,4,19.52,10,1538490150068
37,0,0,0,4,19.52,10,1538490223542
37,0,0,0,4,19.52,10,1538490297405
0,0,0,0,4,19.48,100,1538490318061
0,0,0,0,4,19.48,100,1538490318061
0,0,0,0,4,19.48,200,1538490318062
37,0,0,0,4,19.52,10,1538490373826
0,0,0,0,4,19.44,100,1538490434330
0,0,0,0,4,19.44,100,1538490434330
37,0,0,0,4,19.52,10,1538490450315
14,41,0,0,3,19.44,100,1538490470222
37,0,0,0,4,19.52,10,1538490527318
37,0,0,0,4,19.52,10,1538490604496
37,0,0,0,4,19.52,10,1538490679350
0,0,0,0,12,19.475,100,1538490722965
0,0,0,0,4,19.475,100,1538490730042
0,0,0,0,4,19.475,100,1538490730045
37,0,0,0,4,19.51,10,1538490754340
37,0,0,0,4,19.468,10,1538490776000
0,0,0,0,10,19.44,100,1538490800730
37,0,0,0,4,19.49,10,1538490829093
37,0,0,0,4,19.48,10,1538490904318
37,0,0,0,4,19.47,10,1538490981545
14,41,0,0,3,19.46,100,1538491014129
37,0,0,0,4,19.46,10,1538491058299
37,0,0,0,4,19.46,10,1538491134935
0,0,0,0,4,19.425,100,1538491141391
0,0,0,0,4,19.425,200,1538491146181
37,0,0,0,4,19.425,60,1538491149475
37,0,0,0,4,19.46,10,1538491212517
0,0,0,0,4,19.4111,500,1538491234847
0,0,0,0,4,19.39,100,1538491237157
37,0,0,0,4,19.4186,40,1538491242853
37,0,0,0,4,19.45,10,1538491290951
14,41,0,0,18,19.44,100,1538491330098
37,0,0,0,4,19.45,10,1538491370036
37,0,0,0,4,19.4482,2,1538491430410
37,0,0,0,4,19.45,10,1538491449183
37,0,0,0,4,19.44,1,1538491520110
37,0,0,0,4,19.44,10,1538491527048
37,0,0,0,4,19.44,10,1538491604095
14,41,0,0,3,19.44,100,1538491604098
14,41,0,0,10,19.44,300,1538491604098
14,41,0,0,19,19.44,100,1538491604098
14,41,0,0,12,19.44,100,1538491604098
14,41,0,0,19,19.44,100,1538491604098
14,41,0,0,12,19.44,100,1538491604098
0,0,0,0,10,19.44,100,1538491604098
37,0,0,0,10,19.44,15,1538491604099
37,0,0,0,10,19.44,25,1538491604099
37,0,0,0,10,19.44,56,1538491604099
0,0,0,0,11,19.44,100,1538491604099
0,0,0,0,10,19.44,100,1538491604099
37,0,0,0,10,19.44,4,1538491604099
0,0,0,0,4,19.44,100,1538491604209
37,0,0,0,19,19.45,60,1538491604299
37,0,0,0,18,19.42,40,1538491604314
14,37,41,0,2,19.48,4,1538491650491
0,0,0,0,4,19.4488,200,1538491692271
0,0,0,0,10,19.42,100,1538491715958
0,0,0,0,12,19.42,100,1538491715958
0,0,0,0,12,19.42,100,1538491715958
37,0,0,0,12,19.42,85,1538491715958
37,0,0,0,12,19.42,15,1538491715959
37,0,0,0,4,19.39,20,1538491890103
0,0,0,0,4,19.39,200,1538491890130
