c1,c2,c3,c4,e,p,s,t
37,0,0,0,11,113.45,1,1539953974354
37,0,0,0,11,113.99,1,1539953974354
25,41,0,0,12,111.41,3383,1539955800606
25,16,0,0,12,111.41,3383,1539955800606
37,0,0,0,4,111.41,1,1539955818293
37,0,0,0,4,113.42,10,1539955883974
51,0,0,0,0,113.49,,1539955986314
14,41,0,0,12,113.49,100,1539955986314
14,37,41,0,11,113.49,3,1539955989445
25,16,0,0,11,113.49,3,1539955989445
37,0,0,0,4,113.2,11,1539955991567
14,37,41,0,12,113.33,10,1539955993000
14,37,41,0,12,113.2,2,1539955993000
14,37,41,0,12,113.2,10,1539955993000
0,0,0,0,4,112,100,1539955994011
0,0,0,0,12,112.63,100,1539955994068
51,0,0,0,0,113.76,,1539956031276
0,0,0,0,4,113.76,100,1539956031276
0,0,0,0,4,112.63,100,1539956039476
0,0,0,0,4,112.63,5000,1539956050370
0,0,0,0,4,112.63,100,1539956050380
0,0,0,0,4,112.63,1000,1539956050381
0,0,0,0,4,112.775,100,1539956050550
0,0,0,0,4,112.92,100,1539956050550
0,0,0,0,4,112.63,100,1539956050552
0,0,0,0,4,112.63,100,1539956050561
0,0,0,0,4,113.54,100,1539956061779
0,0,0,0,4,113.695,100,1539956090965
0,0,0,0,4,112.635,100,1539956090979
14,37,41,0,18,113.52,3,1539956091002
14,41,0,0,12,113.5,100,1539956108153
14,37,41,0,12,113.79,28,1539956108153
14,41,0,0,19,113.5,100,1539956108154
37,0,0,0,11,113.5,72,1539956108154
37,0,0,0,12,113.78,1,1539956119170
37,0,0,0,12,113.78,1,1539956119170
0,0,0,0,4,113.74,100,1539956119208
0,0,0,0,4,112.64,100,1539956119567
0,0,0,0,4,112.64,100,1539956124258
37,0,0,0,4,112.64,30,1539956125825
37,0,0,0,4,111.43,17,1539956125829
37,0,0,0,11,113.61,70,1539956132922
51,0,0,0,0,113.79,,1539956146782
0,0,0,0,4,113.79,100,1539956146782
51,0,0,0,0,113.85,,1539956146787
0,0,0,0,4,113.85,100,1539956146787
0,0,0,0,4,113.85,100,1539956146792
37,0,0,0,4,112.64,1,1539956159744
0,0,0,0,4,113.6247,100,1539956166221
37,0,0,0,11,113.84,3,1539956178142
37,0,0,0,4,113.85,1,1539956182506
0,0,0,0,4,113.85,100,1539956197914
37,0,0,0,12,113.78,14,1539956198231
0,0,0,0,12,113.84,100,1539956198231
37,0,0,0,12,113.85,5,1539956198231
37,0,0,0,12,113.85,23,1539956198231
0,0,0,0,12,113.85,100,1539956198231
0,0,0,0,12,113.85,100,1539956198231
37,0,0,0,12,113.85,58,1539956198231
14,41,0,0,2,113.85,100,1539956198231
14,41,0,0,2,113.85,100,1539956198231
0,0,0,0,2,113.85,100,1539956198231
0,0,0,0,17,113.85,100,1539956198231
14,41,0,0,17,113.85,100,1539956198231
14,37,41,0,12,113.85,36,1539956198231
0,0,0,0,18,113.85,100,1539956198231
14,41,0,0,12,113.85,100,1539956198231
14,41,0,0,12,113.84,100,1539956198231
14,41,0,0,18,113.85,100,1539956198231
14,41,0,0,8,113.85,100,1539956198231
14,41,0,0,19,113.54,100,1539956198231
14,41,0,0,19,113.54,100,1539956198231
14,41,0,0,8,113.85,100,1539956198231
14,41,0,0,18,113.85,100,1539956198231
0,0,0,0,19,113.54,100,1539956198231
