c1,c2,c3,c4,e,p,s,t
25,0,0,0,10,4.25,10676,1538659800454
37,0,0,0,8,4.2,60,1538659837359
37,0,0,0,8,4.2,20,1538659837359
51,0,0,0,0,4.18,,1538659928389
0,0,0,0,11,4.18,100,1538659928389
25,16,0,0,11,4.18,100,1538659928389
0,0,0,0,8,4.18,100,1538659928389
0,0,0,0,8,4.18,500,1538659928389
0,0,0,0,10,4.18,100,1538659928389
0,0,0,0,12,4.18,100,1538659928389
25,16,0,0,12,4.18,100,1538659928389
37,0,0,0,12,4.15,1,1538659928389
0,0,0,0,4,4.18,100,1538659928390
37,0,0,0,10,4.15,2,1538659928390
0,0,0,0,4,4.18,100,1538659928391
51,0,0,0,0,4.17,,1538659928420
0,0,0,0,19,4.17,100,1538659928420
0,0,0,0,12,4.17,100,1538659928420
37,0,0,0,18,4.14,91,1538659938392
14,37,41,0,18,4.12,19,1538660027230
37,0,0,0,18,4.12,8,1538660238764
37,0,0,0,19,4.16,8,1538660308652
37,0,0,0,4,4.2,5,1538660319701
37,0,0,0,12,4.13,60,1538660587664
37,0,0,0,4,4.1499,2,1538660753128
51,0,0,0,0,4.125,,1538660814670
0,0,0,0,4,4.125,2000,1538660814670
37,0,0,0,4,4.1,10,1538660814673
0,0,0,0,4,4.125,100,1538660814731
0,0,0,0,15,4.13,100,1538660814816
0,0,0,0,4,4.13,100,1538660814818
0,0,0,0,15,4.13,200,1538660816341
0,0,0,0,4,4.13,100,1538660867327
0,0,0,0,4,4.13,100,1538660867329
0,0,0,0,4,4.14,1200,1538660871411
0,0,0,0,4,4.14,1300,1538660871434
0,0,0,0,15,4.14,100,1538660871820
0,0,0,0,15,4.14,100,1538660876165
0,0,0,0,18,4.13,100,1538660879420
14,37,41,0,11,4.13,80,1538660879470
14,41,0,0,19,4.13,100,1538660879470
14,41,0,0,8,4.13,100,1538660879470
0,0,0,0,10,4.13,100,1538660879470
37,0,0,0,10,4.12,21,1538660879472
51,0,0,0,0,4.12,,1538660894687
0,0,0,0,4,4.12,580,1538660894687
0,0,0,0,4,4.12,580,1538660894688
0,0,0,0,4,4.12,100,1538660897121
0,0,0,0,4,4.1204,500,1538660944096
0,0,0,0,4,4.12,100,1538660947063
0,0,0,0,2,4.12,300,1538660962413
37,0,0,0,4,4.1299,1,1538661138695
0,0,0,0,4,4.1225,2500,1538661241389
0,0,0,0,4,4.125,100,1538661242876
0,0,0,0,4,4.125,100,1538661242878
0,0,0,0,2,4.12,100,1538661273160
0,0,0,0,4,4.1295,100,1538661273161
51,0,0,0,0,4.115,,1538661313165
0,0,0,0,4,4.115,100,1538661313165
0,0,0,0,2,4.12,100,1538661317607
0,0,0,0,4,4.1295,100,1538661317609
0,0,0,0,2,4.12,100,1538661321079
0,0,0,0,4,4.1295,100,1538661321080
14,41,0,0,10,4.13,104,1538661325256
0,0,0,0,11,4.12,200,1538661325256
14,41,0,0,19,4.12,100,1538661325256
14,41,0,0,18,4.12,100,1538661325257
14,41,0,0,8,4.12,205,1538661325257
0,0,0,0,8,4.125,205,1538661325257
14,41,0,0,8,4.125,100,1538661325257
14,41,0,0,8,4.125,205,1538661325257
14,41,0,0,12,4.12,100,1538661325257
0,0,0,0,8,4.125,205,1538661325257
14,37,41,0,8,4.125,5,1538661325257
0,0,0,0,12,4.13,500,1538661325257
0,0,0,0,2,4.13,300,1538661325257
0,0,0,0,2,4.13,300,1538661325257
0,0,0,0,2,4.13,200,1538661325257
0,0,0,0,19,4.125,100,1538661325258
0,0,0,0,8,4.125,200,1538661325258
0,0,0,0,4,4.12,200,1538661325258
0,0,0,0,10,4.12,100,1538661325258
14,41,0,0,8,4.125,100,1538661325258
14,41,0,0,19,4.125,100,1538661325258
14,41,0,0,8,4.125,205,1538661325258
0,0,0,0,4,4.12,200,1538661325258
0,0,0,0,4,4.12,200,1538661325259
37,0,0,0,10,4.12,60,1538661325261
0,0,0,0,15,4.12,100,1538661326915
0,0,0,0,15,4.12,100,1538661326918
0,0,0,0,4,4.125,100,1538661326918
0,0,0,0,15,4.12,100,1538661326920
0,0,0,0,4,4.13,100,1538661326920
0,0,0,0,4,4.12,100,1538661327008
0,0,0,0,2,4.12,200,1538661327647
0,0,0,0,4,4.13,200,1538661327649
0,0,0,0,4,4.12,100,1538661329841
0,0,0,0,4,4.12,300,1538661330717
0,0,0,0,4,4.12,300,1538661340142
0,0,0,0,4,4.1299,362,1538661374053
37,0,0,0,4,4.1299,92,1538661374053
0,0,0,0,15,4.12,100,1538661382053
37,0,0,0,4,4.1101,63,1538661445424
37,0,0,0,4,4.11,50,1538661452627
37,0,0,0,4,4.12,50,1538661452630
51,0,0,0,0,4.11,,1538661452719
0,0,0,0,4,4.11,100,1538661452719
0,0,0,0,4,4.11,100,1538661452722
0,0,0,0,4,4.11,100,1538661459030
0,0,0,0,4,4.11,100,1538661459032
0,0,0,0,4,4.11,300,1538661459183
14,41,0,0,8,4.11,200,1538661459189
14,41,0,0,19,4.11,120,1538661459189
14,41,0,0,10,4.11,100,1538661459189
37,0,0,0,11,4.1,42,1538661459191
37,0,0,0,10,4.11,6,1538661459198
51,0,0,0,0,4.1,,1538661465486
0,0,0,0,10,4.1,100,1538661465486
14,37,41,0,11,4.1,8,1538661467186
14,41,0,0,11,4.1,292,1538661467186
0,0,0,0,4,4.1,100,1538661468773
14,41,0,0,11,4.1,800,1538661469681
0,0,0,0,11,4.1,100,1538661469681
0,0,0,0,11,4.1,100,1538661469681
0,0,0,0,11,4.1,708,1538661469681
51,0,0,0,0,4.09,,1538661469682
0,0,0,0,10,4.09,111,1538661469682
37,0,0,0,10,4.09,85,1538661469682
0,0,0,0,10,4.09,100,1538661469690
51,0,0,0,0,4.08,,1538661472703
0,0,0,0,4,4.08,100,1538661472703
51,0,0,0,0,4.07,,1538661494587
0,0,0,0,19,4.07,200,1538661494587
0,0,0,0,19,4.07,200,1538661494590
0,0,0,0,4,4.0799,200,1538661494590
0,0,0,0,4,4.0799,200,1538661494592
0,0,0,0,10,4.08,105,1538661505500
0,0,0,0,10,4.09,100,1538661505503
0,0,0,0,11,4.1,100,1538661506944
37,0,0,0,15,4.12,95,1538661515428
0,0,0,0,18,4.12,100,1538661561480
0,0,0,0,2,4.12,100,1538661561481
0,0,0,0,18,4.12,1270,1538661561482
0,0,0,0,4,4.12,100,1538661561967
0,0,0,0,4,4.12,100,1538661561969
0,0,0,0,4,4.12,100,1538661561970
0,0,0,0,4,4.12,100,1538661561970
0,0,0,0,4,4.12,100,1538661562162
14,41,0,0,10,4.13,100,1538661588240
0,0,0,0,4,4.13,280,1538661588245
0,0,0,0,11,4.12,200,1538661588245
0,0,0,0,11,4.12,100,1538661588245
0,0,0,0,10,4.13,100,1538661588246
0,0,0,0,11,4.12,100,1538661588246
0,0,0,0,19,4.125,100,1538661588246
14,41,0,0,11,4.125,100,1538661588247
14,37,41,0,11,4.125,95,1538661588247
