c1,c2,c3,c4,e,p,s,t
0,0,0,0,12,9.08,1000,1539849790268
0,0,0,0,12,9.08,3100,1539849790268
0,0,0,0,12,9.08,1000,1539849790268
0,0,0,0,12,9.08,1000,1539849790268
0,0,0,0,11,9.08,2600,1539849790268
14,41,0,0,12,9.04,200,1539850064448
14,41,0,0,12,9.06,1400,1539850463183
14,41,0,0,12,9.06,700,1539850463183
14,41,0,0,12,9.04,100,1539850511315
14,41,0,0,12,9.04,400,1539850511315
14,41,0,0,12,9,1000,1539850731935
14,41,0,0,12,9,1000,1539850731935
14,41,0,0,12,9,500,1539850731935
14,41,0,0,12,9.02,2000,1539850962070
0,0,0,0,12,8.95,1000,1539851472533
0,0,0,0,12,8.95,1000,1539851472533
14,41,0,0,12,8.97,200,1539851839310
14,41,0,0,12,8.92,100,1539852009304
14,41,0,0,12,8.92,236,1539852009304
14,41,0,0,12,8.98,100,1539852415785
14,41,0,0,12,8.98,1000,1539852415785
14,41,0,0,12,8.98,1000,1539852415790
14,41,0,0,11,8.98,236,1539852415791
37,0,0,0,11,8.99,1,1539853147564
0,0,0,0,12,8.98,200,1539853288587
0,0,0,0,11,8.98,1200,1539854575939
0,0,0,0,11,8.98,500,1539854575939
14,41,0,0,12,8.99,2292,1539854619925
14,41,0,0,12,9.01,100,1539854983131
0,0,0,0,11,9.01,1000,1539855619811
0,0,0,0,11,9.01,1500,1539855627188
14,41,0,0,12,9.01,1000,1539855627188
0,0,0,0,12,9.05,100,1539856165186
14,41,0,0,12,9.1,1000,1539856945468
14,41,0,0,12,9.1,500,1539856945468
0,0,0,0,11,9.17,800,1539858833945
14,41,0,0,12,9.2,1000,1539859178263
14,41,0,0,12,9.18,100,1539859192984
14,41,0,0,12,9.18,100,1539859193027
14,41,0,0,12,9.19,100,1539859263249
0,0,0,0,12,9.2,1000,1539859470347
14,41,0,0,12,9.23,100,1539859900303
0,0,0,0,12,9.24,200,1539860344558
0,0,0,0,8,9.22,2000,1539860400167
14,41,0,0,12,9.22,3400,1539860400167
14,41,0,0,12,9.22,7200,1539860400167
14,41,0,0,12,9.22,3000,1539860400167
14,41,0,0,12,9.22,4200,1539860400167
14,41,0,0,12,9.22,1000,1539860400167
14,41,0,0,12,9.22,1000,1539860400167
14,41,0,0,12,9.22,1000,1539860400167
14,41,0,0,12,9.22,500,1539860400167
14,41,0,0,11,9.22,100,1539860400168
14,41,0,0,11,9.22,7900,1539860400168
14,41,0,0,11,9.22,580,1539860400168
14,41,0,0,12,9.22,1000,1539860400168
14,41,0,0,12,9.22,100,1539860400168
14,41,0,0,19,9.24,4000,1539860408399
0,0,0,0,8,9.23,600,1539860426585
0,0,0,0,12,9.23,1100,1539860435869
0,0,0,0,8,9.23,1400,1539860435869
0,0,0,0,8,9.22,500,1539860441237
14,37,41,0,11,9.22,95,1539860441261
14,41,0,0,11,9.2,900,1539860552193
0,0,0,0,11,9.2,2100,1539860552194
14,41,0,0,11,9.19,600,1539860666608
14,41,0,0,8,9.19,400,1539860681453
0,0,0,0,11,9.21,500,1539860900926
14,37,41,0,12,9.22,1,1539860934414
0,0,0,0,11,9.31,500,1539861715226
0,0,0,0,11,9.31,2000,1539861725592
0,0,0,0,11,9.31,2300,1539861725592
0,0,0,0,11,9.31,700,1539861725592
14,41,0,0,12,9.31,1000,1539861725592
14,41,0,0,12,9.31,3000,1539861725592
14,41,0,0,12,9.31,1000,1539861725592
14,41,0,0,12,9.31,2200,1539861725592
14,41,0,0,12,9.31,1000,1539861725592
14,41,0,0,12,9.31,800,1539861725592
14,41,0,0,19,9.31,100,1539861725592
14,41,0,0,12,9.31,2000,1539861731936
0,0,0,0,11,9.31,100,1539861740990
0,0,0,0,11,9.31,100,1539861740990
0,0,0,0,11,9.31,2400,1539861740990
14,41,0,0,12,9.31,2000,1539861740991
14,41,0,0,12,9.31,600,1539861740991
14,41,0,0,12,9.31,3000,1539861740991
14,41,0,0,12,9.31,1000,1539861740991
14,41,0,0,11,9.31,100,1539861741684
14,41,0,0,12,9.31,1000,1539861741684
14,41,0,0,12,9.31,600,1539861741684
0,0,0,0,11,9.31,200,1539861768240
0,0,0,0,11,9.3,2500,1539861768240
0,0,0,0,11,9.3,2400,1539861768240
0,0,0,0,11,9.3,1200,1539861768240
0,0,0,0,11,9.3,1700,1539861768240
0,0,0,0,11,9.3,2300,1539861768240
0,0,0,0,11,9.3,4700,1539861768240
14,41,0,0,12,9.3,3000,1539861768240
14,41,0,0,12,9.3,3600,1539861768240
14,41,0,0,12,9.3,3400,1539861768240
14,41,0,0,12,9.28,600,1539861817431
14,41,0,0,12,9.29,300,1539861836132
14,41,0,0,12,9.28,200,1539861860145
14,41,0,0,12,9.28,300,1539861860145
14,41,0,0,12,9.26,100,1539861879211
14,41,0,0,12,9.27,200,1539861915271
14,41,0,0,12,9.28,300,1539861947864
14,41,0,0,12,9.3,200,1539861963403
14,37,41,0,12,9.3,10,1539861963403
14,41,0,0,12,9.3,200,1539862153445
14,41,0,0,12,9.3,100,1539862153445
0,0,0,0,11,9.32,100,1539862332168
0,0,0,0,11,9.32,400,1539862332168
14,41,0,0,12,9.32,100,1539862346356
14,41,0,0,12,9.32,400,1539862361610
0,0,0,0,11,9.32,600,1539862385038
14,37,41,0,12,9.3,15,1539862472499
14,41,0,0,12,9.29,500,1539862574297
14,41,0,0,12,9.29,500,1539862574297
14,41,0,0,12,9.29,1100,1539862610421
14,41,0,0,12,9.29,100,1539862611410
0,0,0,0,11,9.27,500,1539862747381
0,0,0,0,11,9.28,2500,1539862757332
14,41,0,0,12,9.28,3000,1539862757333
14,41,0,0,12,9.28,100,1539862757333
14,41,0,0,12,9.28,1000,1539862757333
14,41,0,0,12,9.28,2500,1539862757333
14,41,0,0,12,9.28,899,1539862757333
0,0,0,0,12,9.27,100,1539862792737
0,0,0,0,12,9.27,900,1539862792737
14,41,0,0,12,9.28,1000,1539862807908
14,41,0,0,12,9.28,2000,1539862807908
0,0,0,0,11,9.28,2000,1539862980474
14,41,0,0,19,9.27,1900,1539863256832
14,41,0,0,19,9.27,200,1539863256832
14,41,0,0,19,9.27,2600,1539863256832
14,41,0,0,19,9.27,300,1539863256832
14,41,0,0,19,9.27,2400,1539863258367
14,41,0,0,19,9.27,1000,1539863258367
14,41,0,0,19,9.27,1600,1539863258367
0,0,0,0,11,9.26,2500,1539863282479
0,0,0,0,11,9.26,1500,1539863282479
0,0,0,0,11,9.26,600,1539863282479
0,0,0,0,11,9.26,1500,1539863282479
0,0,0,0,11,9.26,1700,1539863282479
14,41,0,0,12,9.26,900,1539863282479
14,41,0,0,12,9.26,3000,1539863282479
14,41,0,0,12,9.26,2200,1539863282479
14,41,0,0,12,9.26,1000,1539863282479
14,41,0,0,12,9.26,1000,1539863282479
14,41,0,0,12,9.26,1000,1539863282479
14,41,0,0,12,9.26,1000,1539863282479
14,41,0,0,12,9.26,200,1539863282481
14,41,0,0,12,9.26,800,1539863282481
14,41,0,0,12,9.26,200,1539863282481
14,41,0,0,12,9.26,800,1539863282481
14,41,0,0,12,9.26,100,1539863282481
0,0,0,0,11,9.23,1530,1539863493457
0,0,0,0,11,9.23,2500,1539863493457
0,0,0,0,11,9.23,700,1539863493457
0,0,0,0,11,9.23,8700,1539863493457
0,0,0,0,11,9.23,300,1539863493457
0,0,0,0,11,9.23,300,1539863493457
0,0,0,0,11,9.23,5000,1539863493457
14,41,0,0,12,9.23,3000,1539863493457
14,41,0,0,12,9.23,1000,1539863493457
14,41,0,0,12,9.23,1000,1539863493457
14,41,0,0,12,9.23,970,1539863493457
14,41,0,0,12,9.22,250,1539863548601
14,41,0,0,12,9.22,3000,1539863614152
14,41,0,0,11,9.22,1000,1539863614153
14,41,0,0,11,9.22,2500,1539863614153
0,0,0,0,12,9.22,3000,1539863617507
14,41,0,0,11,9.22,2500,1539863617509
14,41,0,0,12,9.22,1000,1539863617511
14,41,0,0,12,9.22,1000,1539863617530
14,41,0,0,12,9.22,1000,1539863617543
14,41,0,0,12,9.22,1000,1539863617581
14,41,0,0,12,9.22,1000,1539863618870
14,41,0,0,12,9.22,1000,1539863618885
14,41,0,0,12,9.22,1000,1539863618940
14,41,0,0,12,9.22,1000,1539863631689
0,0,0,0,12,9.22,3000,1539863631697
14,41,0,0,12,9.22,1000,1539863631702
0,0,0,0,12,9.22,3000,1539863655026
0,0,0,0,12,9.22,3000,1539863662149
0,0,0,0,11,9.23,800,1539863717876
0,0,0,0,11,9.23,2500,1539863717876
0,0,0,0,11,9.23,1400,1539863717876
0,0,0,0,11,9.23,800,1539863717876
0,0,0,0,11,9.23,4700,1539863717876
0,0,0,0,11,9.23,400,1539863717876
0,0,0,0,11,9.23,6900,1539863717876
14,41,0,0,12,9.22,8500,1539863717876
0,0,0,0,12,9.22,3000,1539863717935
0,0,0,0,12,9.22,3000,1539863804283
0,0,0,0,12,9.22,3000,1539863808740
0,0,0,0,12,9.22,2500,1539863810243
0,0,0,0,11,9.21,3000,1539863998073
14,37,41,0,19,9.22,1,1539864000147
0,0,0,0,4,9.3199,2688,1539864000799
0,0,0,0,4,9.3199,1000,1539864000818
0,0,0,0,4,9.2899,200,1539864001312
37,0,0,0,4,9.28,10,1539864001819
0,0,0,0,4,9.28,100,1539864002007
0,0,0,0,4,9.24,300,1539864003685
0,0,0,0,4,9.22,304,1539864003698
0,0,0,0,4,9.21,2000,1539864003701
0,0,0,0,4,9.23,120,1539864003703
0,0,0,0,4,9.24,643,1539864003703
0,0,0,0,4,9.32,300,1539864003719
0,0,0,0,4,9.33,1288,1539864003723
37,0,0,0,4,9.26,8,1539864003751
0,0,0,0,4,9.22,300,1539864003769
41,0,0,0,4,9.22,50000,1539864005660
0,0,0,0,4,9.2999,100,1539864009006
0,0,0,0,4,9.3,200,1539864009011
0,0,0,0,4,9.2299,750,1539864009015
14,41,0,0,8,9.21,160,1539864017716
14,41,0,0,12,9.2,200,1539864123508
14,41,0,0,12,9.21,200,1539864282249
0,0,0,0,12,9.22,2000,1539864390023
14,41,0,0,11,9.2,800,1539864400294
14,41,0,0,11,9.2,1100,1539864400294
14,41,0,0,11,9.2,2500,1539864400294
14,41,0,0,11,9.2,800,1539864400294
14,41,0,0,11,9.2,1100,1539864400294
14,41,0,0,11,9.2,5500,1539864400294
14,41,0,0,11,9.2,400,1539864400294
14,41,0,0,11,9.2,2800,1539864400294
0,0,0,0,11,9.19,2500,1539864507291
0,0,0,0,11,9.19,700,1539864507291
0,0,0,0,11,9.19,300,1539864507291
0,0,0,0,11,9.19,1100,1539864507291
0,0,0,0,11,9.19,300,1539864507291
0,0,0,0,11,9.19,8300,1539864507291
0,0,0,0,11,9.19,400,1539864507291
0,0,0,0,11,9.19,4300,1539864507291
14,41,0,0,12,9.19,3000,1539864507291
14,41,0,0,12,9.19,1700,1539864507291
14,41,0,0,12,9.19,1000,1539864507291
14,41,0,0,12,9.19,1100,1539864507291
14,41,0,0,12,9.19,1100,1539864507291
14,41,0,0,12,9.19,4800,1539864507291
14,41,0,0,12,9.19,3300,1539864507291
14,41,0,0,12,9.19,400,1539864507291
14,41,0,0,12,9.19,1000,1539864507291
14,41,0,0,12,9.19,1000,1539864507291
14,41,0,0,12,9.19,1000,1539864507291
14,41,0,0,19,9.19,2000,1539864507291
14,41,0,0,19,9.19,400,1539864507291
14,41,0,0,19,9.19,4600,1539864507291
14,41,0,0,19,9.19,3500,1539864507291
14,41,0,0,19,9.19,200,1539864507291
14,41,0,0,19,9.19,2000,1539864507291
0,0,0,0,4,9.1701,750,1539864554996
0,0,0,0,12,9.17,100,1539864556401
0,0,0,0,11,9.17,2500,1539864556401
0,0,0,0,11,9.17,400,1539864556401
14,41,0,0,11,9.17,100,1539864575131
0,0,0,0,11,9.16,2500,1539864575811
0,0,0,0,11,9.16,400,1539864575811
14,41,0,0,12,9.16,3000,1539864575811
14,41,0,0,12,9.16,1000,1539864575811
14,41,0,0,12,9.16,1000,1539864575811
14,41,0,0,12,9.16,1000,1539864575811
14,41,0,0,11,9.16,100,1539864575812
14,41,0,0,11,9.16,300,1539864575812
14,41,0,0,11,9.16,100,1539864575813
14,41,0,0,11,9.16,900,1539864575813
0,0,0,0,11,9.16,100,1539864575891
14,41,0,0,12,9.16,1000,1539864575892
14,41,0,0,12,9.16,1100,1539864575892
14,41,0,0,12,9.16,900,1539864575892
14,41,0,0,11,9.16,100,1539864580601
14,41,0,0,12,9.16,1000,1539864580602
14,41,0,0,12,9.16,1000,1539864580602
14,41,0,0,12,9.16,1000,1539864580602
14,41,0,0,12,9.16,3000,1539864580602
