c1,c2,c3,c4,e,p,s,t
14,41,0,0,10,55.22,100,1539868859549
25,41,0,0,12,55.22,5944,1539869400406
37,0,0,0,4,55.22,90,1539869483039
37,0,0,0,4,55.0001,9,1539869511569
37,0,0,0,4,55.0148,6,1539869546053
51,0,0,0,0,55.115,,1539869567933
0,0,0,0,4,55.115,9000,1539869567933
0,0,0,0,4,55.115,600,1539869571738
0,0,0,0,4,55.115,5000,1539869573956
14,41,0,0,12,55.22,100,1539869574420
0,0,0,0,4,55.22,100,1539869574717
14,41,0,0,12,55.22,100,1539869574914
0,0,0,0,12,55.22,100,1539869574914
14,41,0,0,8,55.22,100,1539869574914
0,0,0,0,12,55.22,100,1539869574914
0,0,0,0,19,55.22,100,1539869574914
14,41,0,0,19,55.22,100,1539869574914
14,41,0,0,19,55.22,100,1539869574914
14,41,0,0,8,55.22,100,1539869574914
14,41,0,0,12,55.22,100,1539869574914
14,37,41,0,12,55.22,50,1539869574914
14,41,0,0,8,55.22,100,1539869574914
14,41,0,0,8,55.22,100,1539869574914
0,0,0,0,8,55.22,100,1539869574914
14,41,0,0,11,55.22,100,1539869574914
25,16,0,0,11,55.22,100,1539869574914
37,0,0,0,11,55.22,1,1539869574914
14,41,0,0,10,55.22,100,1539869574914
14,41,0,0,10,55.22,100,1539869574914
0,0,0,0,10,55.22,100,1539869574914
0,0,0,0,10,55.22,100,1539869574914
14,41,0,0,10,55.22,100,1539869574915
14,37,41,0,10,55.22,50,1539869574915
0,0,0,0,4,55.22,100,1539869574922
0,0,0,0,4,55.22,200,1539869574924
0,0,0,0,4,55.21,100,1539869575280
0,0,0,0,4,55.22,100,1539869575281
14,37,41,0,12,55.22,50,1539869580199
14,41,0,0,10,55.22,150,1539869580200
14,37,41,0,10,55.22,36,1539869581724
0,0,0,0,4,55.22,100,1539869581732
14,37,41,0,12,55.22,50,1539869581864
14,41,0,0,10,55.22,164,1539869581864
0,0,0,0,10,55.22,100,1539869581865
0,0,0,0,10,55.22,100,1539869581865
0,0,0,0,10,55.22,100,1539869581865
14,41,0,0,10,55.22,100,1539869581865
0,0,0,0,4,55.22,100,1539869581868
14,41,0,0,10,55.22,100,1539869581895
0,0,0,0,11,55.22,100,1539869581988
14,37,41,0,10,55.22,67,1539869582103
0,0,0,0,12,55.22,100,1539869582398
0,0,0,0,10,55.22,133,1539869582399
14,41,0,0,10,55.22,100,1539869582400
37,0,0,0,4,55.22,80,1539869585318
