c1,c2,c3,c4,e,p,s,t
25,16,0,0,12,45.01,11257,1539955800092
37,0,0,0,12,46.24,54,1539955800636
37,0,0,0,12,45.01,21,1539955800636
37,0,0,0,4,46,21,1539955800645
37,0,0,0,4,46,2,1539955801221
37,0,0,0,12,45.45,25,1539955801233
37,0,0,0,12,45.01,79,1539955801396
37,0,0,0,12,45.01,64,1539955801583
37,0,0,0,12,45.01,36,1539955801583
37,0,0,0,12,45.01,63,1539955801606
51,0,0,0,0,45,,1539955801733
14,41,0,0,12,45,100,1539955801733
14,41,0,0,12,45,100,1539955801733
0,0,0,0,12,45,100,1539955801733
0,0,0,0,12,45.01,100,1539955801733
0,0,0,0,12,45.01,142,1539955801733
37,0,0,0,12,45.01,30,1539955801733
14,41,0,0,11,45,200,1539955801733
25,16,0,0,11,45,200,1539955801733
14,37,41,0,12,45,7,1539955801734
37,0,0,0,19,44.95,25,1539955802033
51,0,0,0,0,44.44,,1539955802323
37,0,0,0,12,45,23,1539955802323
37,0,0,0,12,44.44,78,1539955802323
0,0,0,0,12,44.44,100,1539955802323
14,37,41,0,18,45.01,50,1539955802323
0,0,0,0,12,44.44,229,1539955802323
14,37,41,0,19,44.95,50,1539955802323
14,37,41,0,11,45.01,50,1539955802323
14,37,41,0,10,45.01,50,1539955802323
14,37,41,0,19,44.95,25,1539955802324
0,0,0,0,12,44.44,200,1539955802324
0,0,0,0,12,44.44,300,1539955802324
37,0,0,0,11,44.81,50,1539955802337
14,37,41,0,11,44.84,50,1539955802429
14,37,41,0,12,44.44,50,1539955802461
0,0,0,0,4,45,2722,1539955802614
0,0,0,0,11,44.84,100,1539955802620
0,0,0,0,11,44.85,400,1539955802620
37,0,0,0,4,45,50,1539955802629
0,0,0,0,12,44.52,100,1539955802632
37,0,0,0,4,45,30,1539955802721
14,37,41,0,12,44.44,11,1539955802826
37,0,0,0,4,44.44,86,1539955804324
0,0,0,0,4,44.95,120,1539955805357
37,0,0,0,12,44.82,55,1539955805380
37,0,0,0,11,44.82,65,1539955805380
37,0,0,0,12,44.82,5,1539955805386
37,0,0,0,12,44.85,51,1539955805386
37,0,0,0,12,44.85,5,1539955805386
0,0,0,0,12,44.85,100,1539955805386
37,0,0,0,11,44.85,24,1539955805387
14,41,0,0,11,44.85,100,1539955805387
14,37,41,0,11,44.85,92,1539955805387
0,0,0,0,4,44.45,100,1539955807091
37,0,0,0,4,44.44,19,1539955807092
51,0,0,0,0,45.925,,1539955808349
0,0,0,0,4,45.925,160,1539955808349
0,0,0,0,4,45.685,200,1539955812627
37,0,0,0,4,44.44,20,1539955828797
0,0,0,0,4,44.44,258,1539955828837
37,0,0,0,4,44.44,70,1539955828841
0,0,0,0,4,44.44,1000,1539955829797
51,0,0,0,0,46.93,,1539955830247
0,0,0,0,4,46.93,100,1539955830247
14,37,41,0,18,46.59,10,1539955830814
0,0,0,0,12,46.61,100,1539955832795
0,0,0,0,18,46.61,100,1539955832796
0,0,0,0,11,46.6,100,1539955832796
0,0,0,0,11,46.69,100,1539955832796
0,0,0,0,11,46.93,100,1539955832796
0,0,0,0,4,46.6977,200,1539955871201
37,0,0,0,4,44.4501,94,1539955925851
14,41,0,0,18,45.06,100,1539955932839
0,0,0,0,4,45.96,100,1539955963524
0,0,0,0,18,46.68,100,1539955963529
14,41,0,0,19,45.28,100,1539955991092
0,0,0,0,12,46,100,1539956101866
37,0,0,0,18,45.5,3,1539956106688
37,0,0,0,18,46.7,1,1539956118358
