c1,c2,c3,c4,e,p,s,t
0,0,0,0,11,55.1,100,1539165747347
14,41,0,0,11,55.6,400,1539168760264
37,0,0,0,8,57,4,1539169204776
14,37,41,0,11,55,50,1539169227790
14,37,41,0,11,55,50,1539169227790
37,0,0,0,11,55,50,1539169432531
37,0,0,0,11,55,35,1539169439648
37,0,0,0,11,55,50,1539169906876
14,41,0,0,8,55,100,1539169947255
0,0,0,0,11,55,100,1539169960359
37,0,0,0,8,55.1,70,1539170051338
37,0,0,0,8,55.1,30,1539170051338
14,37,41,0,11,55.25,60,1539170056631
14,41,0,0,11,55.3,175,1539170056631
37,0,0,0,11,55.3,25,1539170059915
14,37,41,0,12,55.6,20,1539170072074
14,37,41,0,8,55.3,15,1539170094064
14,37,41,0,8,55.26,30,1539170094064
14,41,0,0,8,55.25,300,1539170094064
14,41,0,0,19,55.25,100,1539170094065
0,0,0,0,12,55.25,100,1539170117132
37,0,0,0,11,55.25,20,1539170117133
37,0,0,0,11,54.96,10,1539170411234
37,0,0,0,12,54.88,50,1539170442680
0,0,0,0,12,55,100,1539170442680
0,0,0,0,12,55,335,1539170442680
37,0,0,0,11,54.88,50,1539170442681
0,0,0,0,11,55,200,1539170442681
0,0,0,0,11,55,4800,1539170442681
14,37,41,0,10,55.25,50,1539170442689
0,0,0,0,19,55.25,200,1539170461693
14,41,0,0,12,55.25,500,1539170461693
0,0,0,0,8,55.25,100,1539170461693
14,41,0,0,10,55.25,200,1539170461697
0,0,0,0,19,55.25,200,1539170474351
14,41,0,0,12,55.25,500,1539170474351
0,0,0,0,8,55.25,100,1539170474351
14,41,0,0,10,55.25,200,1539170474352
0,0,0,0,19,55.25,200,1539170482752
14,41,0,0,12,55.25,500,1539170482752
0,0,0,0,8,55.25,100,1539170482752
14,41,0,0,10,55.25,200,1539170482753
14,41,0,0,12,55.25,600,1539170500392
0,0,0,0,8,55.26,100,1539170500392
0,0,0,0,19,55.25,200,1539170500392
14,41,0,0,10,55.25,100,1539170500393
14,37,41,0,10,55.25,81,1539170500408
0,0,0,0,19,55.25,200,1539170511806
0,0,0,0,8,55.25,100,1539170511806
14,41,0,0,12,55.25,300,1539170511806
14,41,0,0,10,55.25,100,1539170511807
14,41,0,0,10,55.25,169,1539170511807
14,37,41,0,10,55.25,31,1539170511808
0,0,0,0,12,55.25,100,1539170511809
0,0,0,0,10,55.25,500,1539170522600
14,41,0,0,10,55.25,200,1539170549510
0,0,0,0,10,55.25,100,1539170553968
0,0,0,0,10,55.25,900,1539170553988
0,0,0,0,10,55.25,100,1539170554070
0,0,0,0,10,55.25,900,1539170554092
0,0,0,0,10,55.25,100,1539170554160
0,0,0,0,10,55.25,900,1539170554181
0,0,0,0,10,55.25,100,1539170554251
0,0,0,0,10,55.25,900,1539170554268
0,0,0,0,10,55.25,100,1539170554316
0,0,0,0,10,55.25,500,1539170554332
0,0,0,0,10,55.25,100,1539170554389
0,0,0,0,19,55.25,300,1539170554425
37,0,0,0,11,55.32,50,1539170760254
37,0,0,0,11,55.26,19,1539170760254
0,0,0,0,11,55.25,631,1539170760254
0,0,0,0,11,55.25,109,1539170760260
14,41,0,0,10,55.25,591,1539170760261
0,0,0,0,10,55.25,100,1539170760323
0,0,0,0,10,55.25,500,1539170760333
0,0,0,0,10,55.25,100,1539170760366
0,0,0,0,19,55.29,100,1539170760392
0,0,0,0,19,55.25,200,1539170760392
14,37,41,0,19,55.25,50,1539170760392
0,0,0,0,19,55.25,150,1539170760394
0,0,0,0,19,55.25,150,1539170760394
