c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,227.11,100,1537873209834
37,0,0,0,11,219.87,2,1537873516285
14,41,0,0,11,219.87,287,1537873630215
37,0,0,0,12,206.95,19,1537873685152
37,0,0,0,11,219.87,11,1537873685362
37,0,0,0,11,208.75,8,1537873685362
37,0,0,0,4,215,10,1537876810081
37,0,0,0,4,215,1,1537876846527
37,0,0,0,4,210,47,1537876886203
37,0,0,0,4,215,39,1537876886203
37,0,0,0,4,220,10,1537879239501
37,0,0,0,11,220,34,1537879368971
37,0,0,0,4,223.2108,15,1537880493664
37,0,0,0,8,220,66,1537880858015
14,37,41,0,12,219.75,66,1537880867669
37,0,0,0,11,219.75,50,1537880872508
37,0,0,0,11,219.75,10,1537880872508
37,0,0,0,4,219.75,40,1537881218215
0,0,0,0,4,219.75,100,1537881299126
37,0,0,0,12,219,22,1537881407593
14,37,41,0,12,219,10,1537881416102
37,0,0,0,4,219.75,50,1537881468313
14,37,41,0,12,219,25,1537881532031
14,37,41,0,11,218,10,1537881870478
14,37,41,0,11,218,90,1537881870479
14,37,41,0,12,219.65,10,1537882081504
14,37,41,0,12,219.74,36,1537882081504
14,37,41,0,12,219.75,54,1537882081504
14,41,0,0,12,219.75,200,1537882082360
14,37,41,0,11,218.95,25,1537882083746
14,37,41,0,12,219.75,75,1537882083747
14,37,41,0,12,219.75,50,1537882086838
14,37,41,0,12,219.75,55,1537882088187
14,37,41,0,12,219.75,45,1537882088187
14,37,41,0,12,219.75,50,1537882089338
14,41,0,0,12,219.69,140,1537882090683
14,41,0,0,12,219.75,360,1537882090683
14,37,41,0,12,219.75,45,1537882090684
14,37,41,0,12,219.75,55,1537882090684
14,41,0,0,12,219.75,445,1537882091513
14,41,0,0,12,219.75,555,1537882091513
14,37,41,0,12,219.35,20,1537882125624
37,0,0,0,4,219.5312,1,1537882147413
14,37,41,0,12,219.2,50,1537882190160
14,41,0,0,12,219.25,100,1537882190160
14,37,41,0,12,219.34,50,1537882190160
51,0,0,0,0,218.98,,1537882210505
25,0,0,0,10,218.98,5612,1537882210505
37,0,0,0,10,219.12,3,1537882210506
37,0,0,0,10,218.94,10,1537882210507
51,0,0,0,0,219.7,,1537882210508
51,0,0,0,0,219.75,,1537882210508
37,0,0,0,10,218.77,15,1537882210508
37,0,0,0,10,219.12,10,1537882210508
37,0,0,0,12,219.49,50,1537882210508
37,0,0,0,12,219.68,50,1537882210508
25,16,0,0,12,219.49,50,1537882210508
37,0,0,0,12,219.7,50,1537882210508
37,0,0,0,12,219.7,50,1537882210508
0,0,0,0,12,219.7,100,1537882210508
0,0,0,0,12,219.75,500,1537882210508
37,0,0,0,4,218.8186,35,1537882210511
37,0,0,0,12,218.94,7,1537882210512
37,0,0,0,4,219.7,3,1537882210513
37,0,0,0,10,219.12,7,1537882210513
37,0,0,0,4,218.77,2,1537882210514
37,0,0,0,15,218.77,28,1537882210527
37,0,0,0,12,218.94,10,1537882210532
37,0,0,0,12,218.84,90,1537882210532
37,0,0,0,12,219.35,30,1537882210532
51,0,0,0,0,218.7727,,1537882210574
0,0,0,0,4,218.7727,100,1537882210574
51,0,0,0,0,218.77,,1537882210717
0,0,0,0,4,218.77,100,1537882210717
37,0,0,0,12,218.94,20,1537882210723
0,0,0,0,12,218.77,100,1537882210723
0,0,0,0,12,218.77,100,1537882210723
37,0,0,0,12,218.77,15,1537882210723
14,37,41,0,12,218.91,50,1537882210723
37,0,0,0,10,218.77,7,1537882210727
37,0,0,0,10,218.77,50,1537882210728
37,0,0,0,4,218.345,10,1537882211064
37,0,0,0,4,217.3261,25,1537882212022
37,0,0,0,4,218.8682,22,1537882212281
51,0,0,0,0,218.1164,,1537882214517
0,0,0,0,4,218.1164,200,1537882214517
0,0,0,0,4,218.2228,100,1537882214517
37,0,0,0,10,218.77,28,1537882214517
37,0,0,0,4,217.1001,5,1537882216040
37,0,0,0,4,217.1,8,1537882220108
37,0,0,0,4,217.1,8,1537882220109
37,0,0,0,4,217.7847,13,1537882226202
0,0,0,0,18,219.07,100,1537882229889
0,0,0,0,8,219.23,100,1537882229889
37,0,0,0,12,219,50,1537882229889
14,41,0,0,11,219.21,100,1537882229889
14,41,0,0,18,219.23,100,1537882229889
25,16,0,0,11,219.21,100,1537882229889
37,0,0,0,12,219.07,50,1537882229889
37,0,0,0,11,219.23,1,1537882229889
37,0,0,0,18,219.07,18,1537882229889
14,41,0,0,10,219.07,100,1537882229889
14,37,41,0,12,219.07,50,1537882229889
14,37,41,0,12,219.15,50,1537882229889
37,0,0,0,12,219.15,50,1537882229889
37,0,0,0,12,219.23,50,1537882229889
37,0,0,0,12,219.23,50,1537882229889
14,41,0,0,12,219.28,100,1537882229890
0,0,0,0,4,218.75,100,1537882229892
0,0,0,0,4,219,100,1537882229893
51,0,0,0,0,217.4,,1537882238517
0,0,0,0,4,217.4,100,1537882238517
0,0,0,0,4,217.4,213,1537882238518
37,0,0,0,4,219.1038,32,1537882241472
0,0,0,0,4,217.8675,100,1537882243405
0,0,0,0,15,218.335,100,1537882246213
0,0,0,0,15,218.335,100,1537882246214
0,0,0,0,4,218.0167,100,1537882246215
0,0,0,0,4,218.335,100,1537882246215
0,0,0,0,4,218.0167,100,1537882246215
0,0,0,0,4,218.0167,100,1537882246216
0,0,0,0,4,218.335,100,1537882246216
0,0,0,0,4,218.0167,100,1537882246216
37,0,0,0,4,218,60,1537882246705
37,0,0,0,4,218.3256,18,1537882250747
37,0,0,0,4,217.5,18,1537882250747
0,0,0,0,11,219.07,100,1537882251362
0,0,0,0,11,219.27,100,1537882251362
0,0,0,0,18,219.06,100,1537882251362
0,0,0,0,18,219.27,100,1537882251362
0,0,0,0,12,219.22,100,1537882251362
0,0,0,0,12,219.27,100,1537882251362
37,0,0,0,12,219.27,21,1537882251362
0,0,0,0,12,219.27,100,1537882251362
0,0,0,0,10,219.1,100,1537882251362
0,0,0,0,12,219.32,100,1537882251363
0,0,0,0,10,219.32,100,1537882251363
0,0,0,0,4,218.5875,125,1537882252831
0,0,0,0,4,219.36,100,1537882257988
0,0,0,0,10,219.11,100,1537882257989
0,0,0,0,10,219.57,100,1537882257989
37,0,0,0,18,219.25,50,1537882257989
14,37,41,0,18,218.16,50,1537882259417
14,37,41,0,18,218.12,72,1537882259417
0,0,0,0,12,218.21,100,1537882259417
0,0,0,0,4,217.9239,1600,1537882259419
37,0,0,0,4,219.03,50,1537882259420
0,0,0,0,4,217.9344,100,1537882259420
0,0,0,0,4,217.9344,100,1537882259422
0,0,0,0,10,219,100,1537882260817
0,0,0,0,4,218.475,150,1537882260822
0,0,0,0,4,219.26,100,1537882260936
0,0,0,0,4,219.2,100,1537882260962
0,0,0,0,4,219.2,100,1537882260971
37,0,0,0,19,219.67,53,1537882262931
0,0,0,0,4,219.6775,100,1537882262932
0,0,0,0,18,219.67,100,1537882268905
14,37,41,0,19,219.67,47,1537882268906
14,37,41,0,19,219.68,53,1537882268906
37,0,0,0,4,219.1104,25,1537882272946
14,37,41,0,10,219.68,10,1537882274120
14,37,41,0,10,219.69,40,1537882274120
14,37,41,0,10,219.69,40,1537882274512
37,0,0,0,10,219.69,60,1537882275231
0,0,0,0,4,219.75,100,1537882275232
0,0,0,0,12,219.75,500,1537882275233
0,0,0,0,12,219.75,100,1537882275233
14,41,0,0,12,219.75,100,1537882275233
14,41,0,0,12,219.75,100,1537882275233
14,37,41,0,11,220,50,1537882275233
14,41,0,0,12,219.75,500,1537882275233
14,41,0,0,12,219.75,500,1537882275234
14,37,41,0,12,219.75,65,1537882275234
14,37,41,0,12,220,22,1537882275234
14,37,41,0,10,220.21,25,1537882275234
51,0,0,0,0,220.63,,1537882275235
0,0,0,0,4,219.75,100,1537882275235
14,37,41,0,8,220.07,36,1537882275235
0,0,0,0,19,220.63,100,1537882275235
14,37,41,0,10,220.71,40,1537882275236
51,0,0,0,0,220.71,,1537882275238
0,0,0,0,4,220.71,220,1537882275238
37,0,0,0,4,220.32,50,1537882275312
0,0,0,0,4,220.71,100,1537882275838
51,0,0,0,0,221,,1537882276216
14,41,0,0,10,220.58,100,1537882276216
14,37,41,0,18,220.71,50,1537882276216
14,41,0,0,18,221,100,1537882276216
14,41,0,0,10,221,100,1537882276218
0,0,0,0,19,220.3,100,1537882277849
0,0,0,0,15,220.17,100,1537882285816
0,0,0,0,10,220.5,200,1537882288538
37,0,0,0,8,220.84,1,1537882291963
14,41,0,0,7,220.17,100,1537882291963
37,0,0,0,8,220.94,1,1537882291964
37,0,0,0,8,221.17,79,1537882291965
51,0,0,0,0,221.24,,1537882295264
0,0,0,0,4,221.24,200,1537882295264
14,37,41,0,18,219.71,11,1537882297361
37,0,0,0,4,219.99,30,1537882306909
14,37,41,0,8,221.24,1,1537882307632
37,0,0,0,10,221.34,99,1537882307633
37,0,0,0,10,221.34,1,1537882307633
51,0,0,0,0,221.34,,1537882308494
51,0,0,0,0,221.39,,1537882308494
14,41,0,0,12,221.34,100,1537882308494
14,37,41,0,19,221,50,1537882308494
14,37,41,0,19,221.34,50,1537882308494
14,37,41,0,19,221.34,50,1537882308494
14,41,0,0,10,221.39,100,1537882308494
37,0,0,0,4,221.339,50,1537882308498
37,0,0,0,4,221.24,5,1537882315574
37,0,0,0,12,222,22,1537882316050
14,37,41,0,10,221.51,21,1537882330900
51,0,0,0,0,221.94,,1537882336286
0,0,0,0,4,221.94,100,1537882336286
51,0,0,0,0,222,,1537882336288
14,41,0,0,8,222,100,1537882336288
14,41,0,0,19,222,100,1537882336288
14,37,41,0,10,222,76,1537882336288
14,37,41,0,12,222,78,1537882336288
14,37,41,0,12,222,46,1537882336288
14,41,0,0,12,222,100,1537882336288
14,37,41,0,11,222.05,76,1537882336288
14,37,41,0,10,222,24,1537882336288
14,37,41,0,11,222.05,24,1537882336288
0,0,0,0,4,222,2700,1537882336293
51,0,0,0,0,222.22,,1537882336297
0,0,0,0,4,222.22,200,1537882336297
37,0,0,0,4,223.14,50,1537882337149
37,0,0,0,4,222.685,70,1537882338491
51,0,0,0,0,222.39,,1537882338496
14,41,0,0,11,222.39,100,1537882338496
14,41,0,0,11,222.28,100,1537882338496
