c1,c2,c3,c4,e,p,s,t
14,41,0,0,12,26.34,100,1539955680198
14,41,0,0,12,26.34,807,1539955680198
14,37,41,0,12,26.34,93,1539955680198
0,0,0,0,8,27.42,100,1539955680198
14,41,0,0,8,27.42,302,1539955680198
14,41,0,0,8,27.42,100,1539955680198
14,41,0,0,8,27.42,200,1539955680198
14,41,0,0,8,27.42,298,1539955680198
37,0,0,0,12,26.3,6,1539955680198
37,0,0,0,12,26.3,12,1539955680199
37,0,0,0,12,26.3,12,1539955680199
37,0,0,0,12,26.3,12,1539955680199
37,0,0,0,12,26.3,12,1539955680199
37,0,0,0,12,26.09,17,1539955799035
0,0,0,0,12,26.09,100,1539955799036
37,0,0,0,12,26.09,17,1539955800035
51,0,0,0,0,26.04,,1539955800365
25,41,0,0,12,26.04,18368,1539955800365
25,16,0,0,12,26.04,18368,1539955800365
37,0,0,0,4,26,13,1539955800618
51,0,0,0,0,27,,1539955801581
0,0,0,0,12,27,100,1539955801581
37,0,0,0,12,26.99,77,1539955801581
0,0,0,0,12,26.99,100,1539955801582
37,0,0,0,12,26.99,57,1539955801582
0,0,0,0,4,26.0438,300,1539955801699
14,41,0,0,19,26.05,100,1539955801701
14,41,0,0,19,26.04,100,1539955801701
14,41,0,0,19,26.04,200,1539955801701
14,41,0,0,12,26.11,100,1539955802023
0,0,0,0,4,26.0411,300,1539955805357
14,37,41,0,3,26.63,9,1539955831659
14,37,41,0,12,26.33,5,1539955832024
14,37,41,0,12,26.3,87,1539955832024
37,0,0,0,4,26.58,20,1539955833315
37,0,0,0,4,26.0401,1,1539955892109
14,41,0,0,19,26.04,100,1539956034105
51,0,0,0,0,26.03,,1539956034106
14,41,0,0,12,26.04,100,1539956034106
14,41,0,0,12,26.04,100,1539956034106
0,0,0,0,12,26.04,100,1539956034106
37,0,0,0,11,26.04,5,1539956034106
25,16,0,0,11,26.04,5,1539956034106
14,41,0,0,11,26.03,100,1539956034106
51,0,0,0,0,26,,1539956034112
0,0,0,0,11,26.03,100,1539956034112
0,0,0,0,11,26.03,100,1539956034112
37,0,0,0,12,26.03,50,1539956034112
14,41,0,0,12,26.03,100,1539956034112
14,41,0,0,12,26.03,100,1539956034112
37,0,0,0,12,26.03,50,1539956034112
0,0,0,0,8,26,250,1539956034112
14,41,0,0,11,26.12,100,1539956034113
37,0,0,0,12,26.1,45,1539956034118
37,0,0,0,12,26.09,55,1539956034118
37,0,0,0,12,26.09,45,1539956034118
14,41,0,0,12,26.03,100,1539956034129
14,41,0,0,19,26.1,100,1539956034149
14,41,0,0,12,26.11,100,1539956034172
14,37,41,0,19,26.1,20,1539956034172
14,37,41,0,19,26.11,80,1539956034172
0,0,0,0,4,26.14,100,1539956034203
0,0,0,0,4,26.03,100,1539956034225
0,0,0,0,4,26.0401,200,1539956034387
0,0,0,0,4,26.05,100,1539956034486
0,0,0,0,4,26.04,100,1539956034489
14,41,0,0,12,26.04,100,1539956034493
14,41,0,0,12,26.04,100,1539956034493
14,41,0,0,12,26.03,100,1539956034502
14,41,0,0,12,26.03,100,1539956034502
14,41,0,0,12,26.04,100,1539956034558
14,37,41,0,19,26.07,95,1539956034560
14,37,41,0,19,26.08,5,1539956034560
14,37,41,0,12,26.05,5,1539956034639
14,41,0,0,12,26.04,100,1539956034639
14,37,41,0,12,26.04,95,1539956034639
37,0,0,0,12,26.04,5,1539956034639
14,41,0,0,12,26.04,100,1539956034768
0,0,0,0,4,26.16,100,1539956035025
0,0,0,0,2,26.04,100,1539956035089
0,0,0,0,4,26.125,100,1539956043388
14,41,0,0,12,26.16,100,1539956072801
37,0,0,0,12,26.16,9,1539956072801
14,41,0,0,12,26.19,100,1539956072801
14,37,41,0,12,26.17,43,1539956072801
14,37,41,0,12,26.21,57,1539956072801
37,0,0,0,12,26.21,43,1539956072801
37,0,0,0,12,26.21,57,1539956072801
37,0,0,0,12,26.21,43,1539956072801
37,0,0,0,12,26.21,57,1539956072801
37,0,0,0,12,26.21,43,1539956072801
37,0,0,0,12,26.21,57,1539956072801
37,0,0,0,12,26.21,43,1539956072801
37,0,0,0,12,26.21,57,1539956072801
37,0,0,0,12,26.21,43,1539956072801
37,0,0,0,12,26.18,30,1539956072801
37,0,0,0,12,26.16,70,1539956072801
14,41,0,0,19,26.21,100,1539956072801
37,0,0,0,12,26.21,30,1539956072801
0,0,0,0,19,26.21,100,1539956072803
20,37,0,0,4,26.21,57,1539956072840
20,37,0,0,4,26.21,43,1539956072848
0,0,0,0,4,26.28,100,1539956072926
0,0,0,0,4,26.28,100,1539956092507
37,0,0,0,15,26.07,5,1539956106787
37,0,0,0,12,26.18,25,1539956106882
37,0,0,0,4,26.0401,45,1539956120961
14,37,41,0,12,26.175,17,1539956145508
10,2,32,41,4,26.175,100,1539956161260
10,2,32,41,4,26.175,100,1539956161267
37,0,0,0,12,26.175,11,1539956169567
37,0,0,0,12,26.15,1,1539956208912
14,41,0,0,8,26.13,100,1539956208912
37,0,0,0,12,26.12,10,1539956208913
37,0,0,0,19,26.2,10,1539956208913
37,0,0,0,19,26.2,90,1539956208913
14,37,41,0,12,26.06,4,1539956208913
37,0,0,0,15,26.04,32,1539956208918
37,0,0,0,12,26.115,20,1539956223282
