c1,c2,c3,c4,e,p,s,t
14,41,0,0,11,2.6,130,1538047261435
14,41,0,0,11,2.55,160,1538047708144
14,41,0,0,11,2.6,870,1538048083051
14,41,0,0,11,2.65,2456,1538048142289
0,0,0,0,4,2.65,115,1538049601177
0,0,0,0,4,2.65,1000,1538049601257
0,0,0,0,4,2.85,1000,1538049744641
37,0,0,0,4,2.75,69,1538050761091
14,41,0,0,11,2.84,100,1538052286468
37,0,0,0,4,2.75,2,1538053143164
14,37,41,0,11,2.7,10,1538053454051
14,37,41,0,8,2.72,10,1538053454051
14,37,41,0,11,2.7,50,1538053454052
14,37,41,0,11,2.7,40,1538053454052
14,37,41,0,11,2.7,10,1538053454052
14,37,41,0,11,2.66,90,1538053945501
14,41,0,0,11,2.66,300,1538053954285
0,0,0,0,4,2.65,150,1538054101174
37,0,0,0,8,2.68,5,1538054155260
0,0,0,0,4,2.6501,1745,1538054155265
0,0,0,0,8,2.65,144,1538054221867
0,0,0,0,4,2.6438,100,1538054258422
0,0,0,0,4,2.6444,200,1538054306384
37,0,0,0,8,2.65,4,1538054452268
37,0,0,0,11,2.6,50,1538054676199
0,0,0,0,4,2.61,700,1538054716385
0,0,0,0,4,2.61,1000,1538054716386
51,0,0,0,0,2.65,,1538055000312
25,0,0,0,10,2.65,24462,1538055000312
51,0,0,0,0,2.62,,1538055000316
51,0,0,0,0,2.61,,1538055000316
51,0,0,0,0,2.6,,1538055000316
37,0,0,0,10,2.63,50,1538055000316
0,0,0,0,10,2.62,250,1538055000316
0,0,0,0,10,2.61,166,1538055000316
0,0,0,0,10,2.6,534,1538055000316
0,0,0,0,10,2.65,7967,1538055000354
14,41,0,0,11,2.65,100,1538055000385
25,16,0,0,11,2.65,100,1538055000385
51,0,0,0,0,2.66,,1538055000386
0,0,0,0,8,2.66,670,1538055000386
51,0,0,0,0,2.69,,1538055000407
14,41,0,0,10,2.69,163,1538055000407
0,0,0,0,10,2.69,503,1538055000624
37,0,0,0,10,2.7,97,1538055000634
10,37,41,0,4,2.65,81,1538055002042
10,2,41,0,4,2.65,600,1538055002679
51,0,0,0,0,2.7,,1538055003045
