c1,c2,c3,c4,e,p,s,t
25,41,0,0,12,39.12,11586,1539955800605
25,16,0,0,12,39.12,11586,1539955800605
0,0,0,0,4,38.44,200,1539955802222
0,0,0,0,4,38.4516,1732,1539955802226
37,0,0,0,4,39,30,1539955802228
14,37,41,0,12,39,1,1539955803344
14,37,41,0,12,39,20,1539955803344
14,37,41,0,12,39,2,1539955803344
0,0,0,0,4,38.625,109,1539955803436
14,37,41,0,12,39,13,1539955803528
0,0,0,0,4,38.44,100,1539955804493
37,0,0,0,4,38.6322,72,1539955805505
51,0,0,0,0,39.1279,,1539955805851
0,0,0,0,4,39.1279,492,1539955805851
14,37,41,0,12,38.82,87,1539955810837
0,0,0,0,4,38.56,100,1539955811209
14,41,0,0,12,38.97,100,1539955811614
14,41,0,0,12,38.86,100,1539955811614
14,41,0,0,12,38.74,100,1539955811614
0,0,0,0,4,38.65,100,1539955811615
0,0,0,0,4,38.65,100,1539955811724
37,0,0,0,4,38.77,75,1539955813026
14,37,41,0,18,38.71,27,1539955821729
0,0,0,0,4,39,100,1539955825954
0,0,0,0,4,39,100,1539955825974
14,37,41,0,12,39.49,8,1539955831749
51,0,0,0,0,39.426,,1539955832286
0,0,0,0,4,39.426,780,1539955832286
51,0,0,0,0,39.515,,1539955832583
0,0,0,0,4,39.515,700,1539955832583
37,0,0,0,19,39.47,19,1539955856731
37,0,0,0,19,39.47,19,1539955859510
37,0,0,0,19,39.47,19,1539955862360
37,0,0,0,4,39.12,1,1539955878514
0,0,0,0,4,39.03,100,1539955890889
14,41,0,0,12,39.01,100,1539955890889
0,0,0,0,2,39.07,100,1539955890889
14,41,0,0,12,39.01,100,1539955890889
14,41,0,0,12,39,100,1539955890889
14,41,0,0,12,39,100,1539955890889
14,41,0,0,12,39,100,1539955890889
14,41,0,0,12,39,100,1539955890889
14,37,41,0,12,39,2,1539955890889
14,41,0,0,12,39,100,1539955890889
0,0,0,0,18,39.1,100,1539955890889
0,0,0,0,7,39.07,100,1539955890889
37,0,0,0,3,39.04,50,1539955890889
0,0,0,0,11,39.07,100,1539955890889
25,16,0,0,11,39.07,100,1539955890889
14,37,41,0,11,39,6,1539955921045
14,37,41,0,12,39.335,94,1539955936127
0,0,0,0,4,39.2,100,1539955938321
0,0,0,0,4,39.225,100,1539955938393
0,0,0,0,4,39.25,100,1539955940097
14,37,41,0,12,39,49,1539955946960
0,0,0,0,4,39.195,100,1539955946961
0,0,0,0,4,39.2,100,1539955946962
0,0,0,0,4,39.2225,100,1539955946962
0,0,0,0,4,39.25,100,1539955946963
0,0,0,0,4,39.225,100,1539955946964
0,0,0,0,4,39.15,100,1539955946964
0,0,0,0,4,39.25,100,1539955946964
0,0,0,0,12,39.01,100,1539955946964
0,0,0,0,12,39.01,100,1539955946964
0,0,0,0,4,39.25,100,1539955946967
0,0,0,0,4,39.22,200,1539955946974
14,41,0,0,4,38.96,200,1539955947006
0,0,0,0,4,39.23,100,1539955947010
0,0,0,0,4,39.23,100,1539955947010
0,0,0,0,4,39.25,100,1539955947012
0,0,0,0,4,39.23,100,1539955947050
0,0,0,0,4,39.25,100,1539955947051
0,0,0,0,4,39.105,100,1539955947053
37,0,0,0,15,39,94,1539955947079
0,0,0,0,15,38.96,100,1539955947079
14,37,41,0,12,38.98,75,1539955947082
14,37,41,0,12,38.98,25,1539955947082
0,0,0,0,4,39.22,100,1539955947083
0,0,0,0,4,39.235,100,1539955947089
0,0,0,0,4,39.235,100,1539955947094
0,0,0,0,4,39.25,200,1539955947125
0,0,0,0,4,39.21,100,1539955947168
0,0,0,0,4,39.005,100,1539955947303
0,0,0,0,4,38.985,100,1539955947304
0,0,0,0,4,38.98,100,1539955947305
0,0,0,0,18,38.99,100,1539955947551
0,0,0,0,4,38.985,100,1539955948078
0,0,0,0,4,39.025,100,1539955952284
0,0,0,0,4,38.99,100,1539955952332
0,0,0,0,12,39.06,100,1539955952332
0,0,0,0,12,39.06,100,1539955952439
0,0,0,0,4,38.995,100,1539955956796
0,0,0,0,4,39.15,700,1539955966553
14,41,0,0,12,39.15,200,1539955967076
0,0,0,0,4,39.2,200,1539955967085
0,0,0,0,12,39.15,100,1539955967203
0,0,0,0,4,39.07,100,1539955967299
14,41,0,0,12,39.15,100,1539955967300
14,37,41,0,12,39.05,18,1539955968418
0,0,0,0,4,39.07,500,1539955975132
37,0,0,0,4,39.2,40,1539955983361
0,0,0,0,15,39.2,100,1539955983402
37,0,0,0,4,39.2,80,1539955984324
0,0,0,0,4,38.995,100,1539955985077
14,41,0,0,12,39.1,200,1539955985538
0,0,0,0,4,39.0572,100,1539955999680
